50Traced_NONETRACED_RFUNDER_MULTI_LSA_50_RFUNDER,Associated
0,0
0,0
0,0
1,0
1,1
1,0
1,1
0,0
0,0
1,1
0,0
0,0
1,1
1,0
0,0
1,1
0,0
1,1
1,0
0,0
0,0
0,0
0,0
1,0
0,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
1,1
0,0
1,1
0,0
0,0
0,1
1,1
1,1
1,1
0,0
0,0
1,1
0,0
1,1
0,0
0,0
1,0
1,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
1,0
0,0
1,1
0,0
1,1
1,0
0,0
1,1
1,0
0,0
1,1
1,0
1,0
1,1
0,0
1,1
0,0
1,0
0,0
0,0
0,0
1,0
0,0
1,0
0,0
0,0
1,0
1,0
1,0
1,0
1,1
1,0
1,1
0,0
0,0
0,1
1,1
1,1
1,1
0,0
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
1,1
0,0
1,1
1,1
1,1
1,0
0,0
0,0
1,0
1,1
1,1
0,0
0,0
0,0
0,0
1,0
0,0
1,0
1,1
1,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
1,1
0,1
1,1
1,1
1,0
0,0
1,1
0,0
1,1
0,0
1,0
1,0
1,0
0,0
1,1
0,0
1,1
0,0
0,1
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
0,0
1,1
1,1
1,1
1,1
0,0
0,0
1,1
1,0
1,1
1,0
0,0
1,0
1,0
1,0
1,1
0,0
1,1
0,0
0,1
1,0
1,0
1,0
0,0
1,1
1,0
1,1
0,0
0,0
1,1
1,1
1,1
1,1
1,0
1,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
1,0
0,0
1,0
0,0
1,1
0,0
1,1
0,0
0,0
1,1
0,1
1,1
1,1
1,0
0,0
1,1
0,0
1,1
1,0
1,0
1,0
0,0
0,0
1,1
0,0
1,1
0,0
0,1
0,0
1,0
0,0
0,0
1,1
1,0
1,1
0,0
0,0
0,1
1,1
1,1
0,1
0,0
0,0
1,1
0,0
1,1
0,0
1,0
1,0
1,0
0,0
1,1
0,0
1,1
1,0
1,1
0,0
1,0
0,0
0,0
0,1
0,0
0,1
1,0
0,0
1,1
1,1
1,1
1,1
0,0
0,0
1,1
1,0
1,1
0,0
1,0
0,0
0,0
1,0
1,1
0,0
1,1
0,0
1,1
1,0
1,0
0,0
0,0
1,1
0,0
1,1
0,0
0,0
1,0
0,0
0,0
0,0
1,0
0,0
1,0
0,0
0,0
0,0
1,1
1,1
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
1,1
1,1
1,0
0,0
0,0
0,0
1,1
1,1
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,1
1,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
1,0
0,0
1,1
1,1
1,1
1,1
0,0
0,0
1,1
0,0
1,1
0,0
0,0
1,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
1,0
0,0
0,0
1,1
0,0
1,1
1,1
1,1
0,0
0,0
0,0
0,0
1,1
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
0,0
1,0
0,0
0,0
1,0
0,0
1,0
0,0
1,1
1,1
1,1
1,1
1,0
1,1
1,0
1,1
1,1
1,0
0,0
0,0
0,0
1,1
1,1
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
1,0
1,1
1,0
1,1
0,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
0,0
1,1
0,0
