50Traced_NONETRACED_RFNONE_SINGLE_VSM_53_RFSMOTE,Associated
1,0
1,0
1,0
0,0
1,1
1,0
0,1
1,0
1,0
1,1
0,0
0,0
1,1
0,0
1,0
1,1
1,0
1,1
1,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
1,0
1,0
0,0
1,0
1,1
1,0
1,1
1,0
0,0
1,1
1,1
1,1
1,1
1,0
0,0
1,1
0,0
0,1
1,0
0,0
0,0
1,0
0,0
0,1
0,0
1,1
1,0
1,1
1,0
0,0
1,0
0,0
0,1
1,0
1,1
1,0
0,0
1,1
1,0
1,0
1,1
1,0
1,0
1,1
1,0
1,1
0,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
0,0
1,1
1,0
1,1
0,0
1,0
0,1
1,1
1,1
0,1
0,0
0,0
1,1
0,0
0,1
0,0
0,0
1,0
1,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
1,0
0,1
0,0
0,1
1,1
1,1
1,0
1,0
0,0
1,0
1,1
1,1
1,0
0,0
0,0
0,0
1,0
1,0
1,0
0,1
1,0
0,1
0,0
1,1
0,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
0,0
0,1
0,1
0,1
1,1
0,0
0,0
0,1
0,0
0,1
0,0
0,0
0,0
1,0
0,0
1,1
0,0
1,1
0,0
1,1
1,0
1,0
1,0
0,0
0,1
1,0
1,1
0,0
0,0
1,1
0,1
1,1
0,1
0,0
1,0
1,1
1,0
1,1
0,0
0,0
1,0
1,0
0,0
1,1
1,0
1,1
1,0
0,1
1,0
0,0
1,0
1,0
1,1
0,0
1,1
0,0
1,0
0,1
1,1
0,1
0,1
0,0
1,0
0,1
0,0
1,1
1,0
1,0
1,0
1,0
0,0
1,1
1,0
1,1
1,0
1,1
1,0
0,0
1,0
1,0
1,1
1,0
1,1
0,0
0,0
0,1
1,1
0,1
1,1
0,0
0,0
0,1
0,0
0,1
1,0
1,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
0,1
1,0
0,0
1,0
1,0
1,1
0,0
1,1
1,0
0,0
0,1
1,1
1,1
1,1
0,0
0,0
0,1
1,0
1,1
0,0
0,0
1,0
0,0
0,0
1,1
0,0
1,1
0,0
0,1
1,0
1,0
1,0
0,0
0,1
1,0
1,1
1,0
1,0
1,1
1,1
1,1
1,1
0,0
0,0
1,1
1,0
1,1
0,0
1,0
0,0
0,0
1,0
0,1
1,0
1,1
0,0
1,1
1,0
1,0
1,0
0,0
1,1
0,0
1,1
1,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
1,0
1,1
1,1
1,1
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
1,0
1,1
1,1
1,0
0,0
0,0
0,0
1,1
1,1
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
0,0
0,0
1,1
0,0
1,1
0,0
1,0
1,0
1,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
1,0
0,0
0,1
1,0
0,1
1,1
1,1
1,0
0,0
0,0
1,0
1,1
1,1
0,0
0,0
0,0
0,0
1,0
1,0
1,0
1,1
0,0
1,1
0,0
1,1
0,0
1,0
1,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
1,0
0,0
1,0
1,1
0,0
1,1
1,0
0,0
1,0
0,0
0,0
1,0
0,0
1,0
0,0
0,1
1,1
1,1
1,1
1,0
0,1
0,0
1,1
1,1
1,0
0,0
0,0
0,0
1,1
1,1
0,0
0,0
0,0
1,0
1,0
0,0
1,0
1,1
0,0
1,1
0,0
1,1
0,0
1,0
0,0
1,0
0,0
1,0
1,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
1,0
1,0
1,0
0,1
0,0
1,1
1,0
0,0
0,0
1,0
0,0
1,0
0,0
0,0
1,0
0,1
1,1
1,1
1,1
0,0
0,1
1,0
