50Traced_NONETRACED_MEDIAN_MULTI_LSA_71_RFUNDER,Associated
1,0
0,0
0,0
1,0
0,1
1,0
0,1
0,0
0,0
1,1
0,0
0,0
1,1
1,0
0,0
1,1
0,0
1,1
1,0
0,0
0,0
0,0
0,0
1,0
0,0
1,0
0,0
0,0
0,0
1,0
1,0
0,0
1,1
0,0
0,1
0,0
0,0
0,1
1,1
1,1
0,1
0,0
0,0
1,1
0,0
0,1
0,0
0,0
1,0
1,0
0,0
1,1
0,0
1,1
0,0
0,1
0,0
0,0
1,0
0,0
0,1
1,0
0,1
1,0
0,0
1,1
1,0
0,0
1,1
1,0
1,0
1,1
0,0
1,1
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,0
1,0
1,0
1,0
1,1
1,0
0,1
0,0
0,0
0,1
0,1
1,1
0,1
0,0
0,0
1,1
0,0
0,1
0,0
0,0
0,0
1,0
0,0
0,1
0,0
0,1
0,0
1,1
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,1
0,1
1,0
0,0
0,0
1,0
0,1
1,1
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,1
1,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
0,1
0,1
0,1
0,1
0,0
0,0
1,1
0,0
1,1
0,0
0,0
1,0
0,0
0,0
0,1
0,0
0,1
0,0
0,1
0,0
1,0
0,0
0,0
1,1
0,0
1,1
0,0
0,0
1,1
0,1
0,1
0,1
1,0
0,0
0,1
0,0
1,1
0,0
0,0
1,0
1,0
1,0
0,1
0,0
1,1
0,0
0,1
0,0
1,0
0,0
1,0
0,1
0,0
1,1
0,0
0,0
1,1
1,1
0,1
0,1
0,0
1,0
0,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
1,1
0,0
0,1
0,0
1,1
1,0
0,0
1,0
0,0
0,1
0,0
1,1
0,0
1,0
0,1
0,1
0,1
1,1
0,0
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,1
0,0
1,1
0,0
0,0
0,1
1,1
0,1
0,1
0,0
0,0
0,1
0,0
0,1
0,0
1,0
1,0
1,0
0,0
1,1
0,0
1,1
1,0
0,1
1,0
1,0
0,0
0,0
0,1
0,0
1,1
1,0
0,0
1,1
0,1
1,1
0,1
0,0
0,0
1,1
1,0
0,1
0,0
1,0
0,0
0,0
1,0
1,1
0,0
1,1
0,0
1,1
1,0
0,0
0,0
0,0
0,1
1,0
0,1
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,1
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
0,1
1,1
1,0
0,0
0,0
0,0
0,1
1,1
0,0
0,0
0,0
1,0
1,0
0,0
0,0
0,1
1,0
0,1
0,0
1,1
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
1,0
0,0
1,1
0,1
0,1
0,1
0,0
1,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,1
0,1
0,0
0,0
0,0
1,0
1,1
1,1
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,1
0,0
0,1
0,0
0,1
0,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
0,0
1,0
0,0
0,0
1,0
0,0
1,0
0,0
0,1
1,1
0,1
0,1
1,0
0,1
1,0
1,1
0,1
1,0
0,0
0,0
0,0
0,1
1,1
1,0
0,0
0,0
0,0
1,0
0,0
0,0
0,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
1,0
0,1
0,0
1,1
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,1
0,1
1,1
0,0
0,1
0,0
