50Traced_NONETRACED_RFUNDER_RAW_LSA_47_RFSMOTE,Associated
1,0
0,0
1,0
0,0
0,1
0,0
1,1
1,0
0,0
0,1
1,0
1,0
0,1
0,0
1,0
0,1
1,0
1,1
1,0
0,0
1,0
1,0
0,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
1,0
1,0
1,1
1,0
1,1
0,0
1,0
1,1
1,1
0,1
1,1
1,0
0,0
1,1
0,0
0,1
1,0
0,0
1,0
0,0
0,0
0,1
1,0
1,1
1,0
1,1
1,0
1,0
0,0
0,0
0,1
0,0
1,1
1,0
1,0
1,1
1,0
0,0
0,1
1,0
0,0
0,1
1,0
0,1
0,0
0,0
1,0
1,0
1,0
0,0
1,0
1,0
0,0
1,0
1,0
1,0
0,0
1,0
1,1
1,0
0,1
0,0
0,0
0,1
1,1
1,1
0,1
0,0
0,0
0,1
0,0
0,1
1,0
0,0
1,0
1,0
0,0
0,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,1
0,0
0,1
1,1
0,1
1,0
0,0
0,0
0,0
1,1
1,1
1,0
0,0
0,0
0,0
1,0
1,0
1,0
1,1
1,0
1,1
0,0
1,1
0,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
0,0
1,1
0,1
0,1
1,1
0,0
0,0
1,1
0,0
1,1
0,0
1,0
0,0
1,0
0,0
1,1
0,0
1,1
0,0
0,1
1,0
1,0
1,0
0,0
0,1
0,0
1,1
0,0
0,0
1,1
1,1
1,1
1,1
1,0
0,0
1,1
1,0
1,1
0,0
1,0
1,0
1,0
1,0
1,1
0,0
1,1
0,0
0,1
0,0
1,0
1,0
1,0
0,1
0,0
0,1
0,0
1,0
1,1
1,1
1,1
0,1
0,0
1,0
0,1
0,0
1,1
0,0
1,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
0,1
1,0
0,0
1,0
1,0
1,1
0,0
1,1
0,0
0,0
1,1
0,1
1,1
1,1
0,0
1,0
1,1
0,0
1,1
1,0
0,0
0,0
1,0
0,0
1,1
0,0
1,1
0,0
1,1
1,0
1,0
1,0
1,0
0,1
0,0
1,1
0,0
1,0
0,1
1,1
1,1
1,1
0,0
0,0
0,1
0,0
1,1
0,0
1,0
1,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
1,0
1,0
1,0
0,0
1,1
0,0
1,1
0,0
0,0
1,1
0,1
1,1
1,1
0,0
0,0
1,1
1,0
1,1
0,0
0,0
0,0
0,0
1,0
1,1
0,0
1,1
0,0
1,1
1,0
0,0
1,0
0,0
1,1
0,0
1,1
1,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,0
1,1
1,1
1,1
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,1
1,1
1,0
0,0
1,0
0,0
0,1
0,1
1,0
0,0
0,0
1,0
1,0
0,0
1,0
1,1
1,0
1,1
0,0
1,1
0,0
0,0
0,0
1,0
1,0
1,0
0,0
0,0
0,0
0,0
0,1
1,1
1,1
1,1
0,0
0,0
1,1
0,0
0,1
0,0
1,0
1,0
1,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
1,0
0,0
0,1
1,0
0,1
1,1
0,1
1,0
0,0
0,0
0,0
1,1
1,1
0,0
0,0
0,0
0,0
1,0
1,0
1,0
1,1
0,0
1,1
0,0
0,1
0,0
1,0
1,0
1,0
0,0
1,0
1,0
1,0
0,0
0,0
0,0
1,0
0,0
1,0
0,0
0,0
1,0
0,1
0,0
1,1
1,0
0,0
1,0
0,0
0,0
1,0
0,0
1,0
0,0
0,1
0,1
1,1
1,1
1,0
0,1
0,0
1,1
1,1
1,0
0,0
0,0
0,0
1,1
1,1
1,0
0,0
0,0
1,0
1,0
0,0
0,0
0,1
0,0
1,1
0,0
1,1
0,0
1,0
0,0
1,0
0,0
0,0
1,0
0,0
1,0
1,0
1,0
1,0
0,0
0,0
0,0
1,0
1,0
1,1
0,0
1,1
1,0
0,0
1,0
0,0
0,0
0,0
1,0
0,0
1,0
0,1
1,1
0,1
1,1
0,0
1,1
1,0
