50Traced_NONETRACED_MEDIAN_SINGLE_LSA_57_RFSMOTE,Associated
1,1
1,0
0,0
0,0
0,0
0,1
1,0
1,1
1,0
1,0
0,1
1,0
1,0
1,1
0,0
1,0
1,1
1,0
1,1
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
1,0
1,1
0,0
1,1
1,0
0,0
1,1
1,1
0,1
1,1
1,0
0,0
1,1
0,0
0,1
1,0
1,0
1,0
1,0
0,0
0,1
1,0
1,1
1,0
1,1
0,0
1,0
1,0
0,0
0,1
1,0
1,1
1,0
1,0
1,1
1,0
1,0
1,1
1,0
1,0
1,1
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
0,1
0,0
1,0
0,1
1,1
1,1
0,1
0,0
0,0
1,1
0,0
0,1
1,0
1,0
1,0
0,0
0,0
0,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,1
0,0
1,1
0,1
0,1
1,0
1,0
0,0
1,0
0,1
1,1
1,0
1,0
0,0
0,0
1,0
0,0
1,0
0,1
1,0
0,1
0,0
1,1
0,0
0,0
0,0
1,0
1,0
0,0
1,0
1,0
0,0
0,0
1,1
0,1
0,1
1,1
0,0
0,0
1,1
0,0
1,1
0,0
0,0
0,0
1,0
0,0
0,1
0,0
1,1
0,0
1,1
1,0
1,0
0,0
0,0
0,1
1,0
1,1
1,0
0,0
1,1
1,1
1,1
0,1
1,0
1,0
0,1
1,0
1,1
0,0
1,0
1,0
1,0
1,0
0,1
0,0
1,1
1,0
1,1
0,0
0,0
1,0
1,0
0,1
0,0
1,1
0,0
1,0
1,1
1,1
0,1
0,1
0,0
1,0
0,1
0,0
1,1
1,0
1,0
0,0
1,0
1,0
1,1
0,0
1,1
1,0
1,1
1,0
0,0
1,0
1,0
1,1
0,0
1,1
1,0
0,0
1,1
0,1
0,1
1,1
0,0
1,0
1,1
0,0
1,1
0,0
1,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
0,1
1,0
0,0
1,0
1,0
0,1
1,0
1,1
0,0
1,0
0,1
1,1
1,1
1,1
0,0
0,0
0,1
1,0
1,1
0,0
0,0
1,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
1,0
0,0
1,0
0,0
0,1
1,0
1,1
1,0
1,0
1,1
0,1
1,1
1,1
1,0
1,0
1,1
1,0
0,1
0,0
0,0
0,0
0,0
1,0
0,1
1,0
1,1
0,0
1,1
1,0
1,0
1,0
0,0
1,1
1,0
0,1
0,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
1,0
1,0
1,1
0,1
1,1
0,0
0,0
1,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
1,0
0,1
1,1
1,0
0,0
0,0
0,0
0,1
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,1
1,0
1,1
0,0
1,1
0,0
0,0
0,0
1,0
1,0
1,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
0,0
0,0
0,1
0,0
0,1
1,0
1,0
1,0
1,0
0,0
1,1
0,0
0,1
0,0
1,1
0,0
0,0
1,0
0,0
1,1
0,0
0,1
1,1
0,1
1,0
0,0
0,0
1,0
1,1
1,1
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,1
0,0
0,1
0,0
1,1
0,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
1,0
1,0
0,0
0,0
0,1
0,0
1,1
0,0
1,0
1,0
0,0
0,0
0,0
0,0
1,0
1,0
0,1
0,1
0,1
1,1
1,0
0,1
0,0
1,1
0,1
1,0
0,0
1,0
0,0
0,1
1,1
1,0
0,0
0,0
1,0
1,0
0,0
1,0
1,1
0,0
1,1
0,0
1,1
0,0
1,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
1,0
1,0
1,0
0,1
0,0
1,1
0,0
0,0
1,0
0,0
1,0
0,0
0,0
1,0
1,0
1,1
0,1
0,1
1,1
1,0
0,1
1,0
