50Traced_NONETRACED_MAX_SINGLE_LSA_72_RFUNDER,Associated
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
0,0
1,1
0,0
0,0
1,1
0,0
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
1,1
0,0
1,1
0,0
0,0
0,1
1,1
1,1
1,1
0,0
0,0
1,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
1,1
1,0
1,1
0,0
0,0
0,1
0,0
0,0
1,1
0,0
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,0
0,1
0,0
0,0
0,1
1,1
1,1
0,1
0,0
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,1
0,0
0,1
1,1
0,1
1,0
0,0
0,0
0,0
1,1
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,1
1,1
1,1
0,0
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
1,1
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
0,0
1,1
0,1
1,1
1,1
0,0
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
1,1
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
0,0
1,1
0,1
1,1
1,1
0,0
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
1,1
1,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
0,0
1,1
0,1
1,1
1,1
0,0
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
1,1
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
0,0
0,1
1,1
1,1
0,1
0,0
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
0,0
0,1
1,1
1,1
0,1
0,0
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,0
0,0
0,0
0,0
1,1
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
1,1
1,1
0,1
0,0
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,1
0,0
0,1
1,1
1,1
1,0
0,0
0,0
0,0
1,1
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
0,0
1,1
0,0
1,1
0,1
0,0
0,0
0,0
0,0
1,1
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
0,0
1,1
0,0
