NONETRACED_MAX_MULTI_VSM_MAX.csv,Associated
0.647,YES
0.1385,NO
0.4969,NO
0.4029,NO
0.2744,NO
0.1636,NO
0.3442,YES
0.1583,NO
0.4978,YES
0.1713,NO
0.3233,YES
0.2375,NO
0.3015,NO
0.5102,NO
0.2335,NO
0.5231,YES
0.4987,NO
0.6303,YES
0.1925,NO
0.0905,NO
0.223,YES
0.4472,YES
0.3924,YES
0.2827,YES
0.1901,NO
0.1275,NO
0.2316,YES
0.3405,NO
0.19899999999999998,YES
0.2093,NO
0.293,NO
0.2731,NO
0.2523,NO
0.1698,NO
0.3487,YES
0.17,NO
0.3742,YES
0.1508,NO
0.3787,YES
0.2843,NO
0.3774,NO
0.3148,NO
0.1827,NO
0.2578,YES
0.2358,NO
0.1935,YES
0.2164,NO
0.10300000000000001,NO
0.3723,YES
0.5295,YES
0.4647,YES
0.4024,YES
0.2231,NO
0.1037,NO
0.3919,YES
0.3268,NO
0.3311,YES
0.1439,NO
0.2305,NO
0.28600000000000003,NO
0.11800000000000001,NO
0.1825,NO
0.3977,YES
0.1772,NO
0.6379,YES
0.1857,NO
0.5115,YES
0.2729,NO
0.3623,NO
0.3583,NO
0.1487,NO
0.3555,YES
0.3512,NO
0.2983,YES
0.2897,NO
0.1362,NO
0.2565,NO
0.2858,NO
0.2015,NO
0.3316,NO
0.3122,NO
0.1439,NO
0.4623,NO
0.1961,NO
0.2219,NO
0.1493,NO
0.6313,YES
0.57,YES
0.4772,YES
0.1545,NO
0.2767,NO
0.1756,NO
0.1838,NO
0.1742,NO
0.1816,NO
0.1358,NO
0.2708,NO
0.2286,NO
0.1547,NO
0.2614,NO
0.2436,NO
0.368,NO
0.2917,YES
0.289,YES
0.2752,NO
0.1766,NO
0.1112,NO
0.1374,NO
0.519,YES
0.2171,YES
0.1558,NO
0.18100000000000002,NO
0.1051,NO
0.1784,NO
0.2127,NO
0.23399999999999999,NO
0.1608,NO
0.5669,YES
0.1402,NO
0.2881,YES
0.12,NO
0.3735,YES
0.1513,NO
0.1218,NO
0.1704,NO
0.1354,NO
0.1354,NO
0.1501,NO
0.1469,NO
0.124,NO
0.2323,NO
0.0835,NO
0.3124,YES
0.6065,YES
0.5322,YES
0.3961,YES
0.2294,NO
0.1081,NO
0.3417,YES
0.2926,NO
0.2787,YES
0.1551,NO
0.3029,NO
0.3022,NO
0.2447,NO
0.1221,NO
0.4555,YES
0.138,NO
0.5212,YES
0.1887,NO
0.5806,YES
0.2391,NO
0.41,NO
0.3014,NO
0.1383,NO
0.3612,YES
0.2869,NO
0.271,YES
0.7453,YES
0.1148,YES
0.3473,NO
0.1836,NO
0.1537,NO
0.2376,NO
0.2582,YES
0.57,YES
0.1876,NO
0.1725,NO
0.1537,NO
0.1381,NO
0.2514,NO
0.2456,NO
0.19,NO
0.2327,YES
0.177,NO
0.7204,YES
0.166,NO
0.4652,YES
0.1249,NO
0.1513,NO
0.1909,NO
0.1656,NO
0.1206,NO
0.2205,NO
0.1559,NO
0.1465,NO
0.2363,NO
0.0879,NO
0.1352,NO
0.2168,NO
0.1643,NO
0.1853,NO
0.1632,NO
0.1779,NO
0.2267,NO
0.3643,YES
0.1329,NO
0.3123,YES
0.2977,NO
0.2692,NO
0.2504,NO
0.1782,NO
0.1649,NO
0.2334,NO
0.177,NO
0.2072,NO
0.1652,NO
0.2585,YES
0.3432,YES
0.2863,YES
0.2726,YES
0.1506,NO
0.2144,YES
0.1735,NO
0.7726,YES
0.1165,YES
0.2823,NO
0.1882,NO
0.1187,NO
0.1923,NO
0.2677,YES
0.5909,YES
0.1462,NO
0.1398,NO
0.1028,NO
0.1199,NO
0.1922,NO
0.2534,NO
0.1463,NO
0.2362,YES
0.1835,NO
0.7382,YES
0.1247,NO
0.4767,YES
0.1624,NO
0.1152,NO
0.1979,NO
0.1274,NO
0.1046,NO
0.2154,NO
0.1432,NO
0.1184,NO
0.3446,NO
0.1196,NO
0.2212,NO
0.2817,NO
0.1614,NO
0.3335,NO
0.222,NO
0.2553,NO
0.2422,NO
0.4852,YES
0.2156,NO
0.4159,YES
0.2956,NO
0.2809,NO
0.2305,NO
0.2425,NO
0.2171,NO
0.3404,NO
0.1743,NO
0.2286,NO
0.16899999999999998,NO
0.3156,YES
0.4568,YES
0.2585,YES
0.3631,YES
0.3095,NO
0.2423,YES
0.1742,NO
