NONETRACED_RFSMOTE_RAW_VSM_MEDIAN.csv,Associated
0.0413,NO
0.006500000000000001,NO
0.11015,YES
0.07475000000000001,NO
0.50125,YES
0.11715,NO
0.25825,NO
0.1517,NO
0.16670000000000001,NO
0.0686,NO
0.1709,YES
0.0528,NO
0.20545,YES
0.07585,NO
0.1725,YES
0.0261,NO
0.26885,NO
0.08195,NO
0.0847,NO
0.09075000000000001,YES
0.0732,NO
0.07715,YES
0.1172,NO
0.0416,NO
0.22875,NO
0.1891,NO
0.19385,NO
0.36505000000000004,NO
0.1592,NO
0.06625,NO
0.09290000000000001,NO
0.2864,YES
0.07885,NO
0.5102,YES
0.10435,NO
0.4678,NO
0.10445,NO
0.047,NO
0.10345,NO
0.23735,NO
0.1491,NO
0.12595,NO
0.19965,NO
0.25485,YES
0.3306,YES
0.30455,YES
0.5947,YES
0.3013,NO
0.12265000000000001,YES
0.05895,NO
0.06925,NO
0.0487,NO
0.07345,YES
0.21735000000000002,YES
0.34655,YES
0.34655,YES
0.06425,NO
0.0302,NO
0.19340000000000002,YES
0.4749,NO
0.073,YES
0.48795,NO
0.1226,NO
0.13855,NO
0.11875,NO
0.08765,NO
0.22725,YES
0.0955,NO
0.17115,YES
0.151,NO
0.13775,YES
0.23245,NO
0.1353,NO
0.1414,NO
0.3266,NO
0.25305,YES
0.0558,NO
0.1013,YES
0.08574999999999999,NO
0.03725,NO
0.14905000000000002,NO
0.255,NO
0.07735,NO
0.17485,NO
0.08265,NO
0.0768,NO
0.10495,NO
0.41945,YES
0.10725,NO
0.13735,YES
0.12595,NO
0.1568,NO
0.17165000000000002,NO
0.06165,NO
0.0525,NO
0.108,NO
0.09065000000000001,NO
0.12279999999999999,NO
0.05445,NO
0.18895,YES
0.24724999999999997,YES
0.11505,YES
0.1554,YES
0.20525,NO
0.14784999999999998,YES
0.09154999999999999,NO
0.04745,NO
0.07195,NO
0.46699999999999997,NO
0.35835,NO
0.07680000000000001,NO
0.10395,NO
0.08195,NO
0.053349999999999995,NO
0.3499,NO
0.2264,YES
0.2622,NO
0.2168,YES
0.06655,NO
0.05175,NO
0.037349999999999994,NO
0.172,NO
0.23135,NO
0.15275,NO
0.28500000000000003,NO
0.06545,NO
0.31594999999999995,NO
0.2671,YES
0.2548,YES
0.33704999999999996,YES
0.11914999999999999,YES
0.1165,NO
0.45365,YES
0.1013,NO
0.27195,NO
0.043449999999999996,NO
0.32265,NO
0.18209999999999998,NO
0.12735,NO
0.30115,NO
0.2042,NO
0.07519999999999999,NO
0.17754999999999999,NO
0.26395,YES
0.15639999999999998,NO
0.58915,YES
0.1476,NO
0.13205,NO
0.10035,NO
0.0249,NO
0.45075,NO
0.31074999999999997,NO
0.16535,NO
0.1806,NO
0.20500000000000002,NO
0.2419,YES
0.3147,YES
0.25495,YES
0.54875,YES
0.1303,NO
0.21515,YES
0.0584,NO
0.03635,NO
0.10070000000000001,NO
0.054000000000000006,NO
0.2693,NO
0.11635,NO
0.29275,NO
0.05025,NO
0.031599999999999996,NO
0.08105,NO
0.28485,YES
0.04035,NO
0.44235,YES
0.1059,NO
0.1674,NO
0.10725,NO
0.14245000000000002,NO
0.26175,NO
0.09620000000000001,NO
0.04875,NO
0.2751,NO
0.10089999999999999,NO
0.21860000000000002,YES
0.25515,YES
0.227,YES
0.37285,YES
0.06875,NO
0.0814,YES
0.0495,NO
0.06845,NO
0.02255,NO
0.29474999999999996,YES
0.19655,YES
0.47135,YES
0.14235,YES
0.11185,NO
0.05325,NO
0.1633,YES
0.2337,NO
0.21445000000000003,YES
0.10794999999999999,NO
0.23155,NO
0.1348,NO
0.2937,NO
0.0451,NO
0.05965,YES
0.06875,NO
0.27344999999999997,YES
0.12645,NO
0.07105,YES
0.40854999999999997,NO
0.215,NO
0.21125,NO
0.16999999999999998,NO
0.18495,YES
0.14579999999999999,NO
0.25905,YES
0.13495000000000001,NO
0.11235,NO
0.17975,YES
0.11280000000000001,NO
0.08175,NO
0.26295,YES
0.15635,NO
0.05485,NO
0.6274,YES
0.0955,NO
0.22905,YES
0.1064,NO
0.17820000000000003,NO
0.46014999999999995,NO
0.25739999999999996,NO
0.0855,NO
0.12449999999999999,NO
0.0699,NO
0.18365,NO
0.08255,NO
0.56185,NO
0.09955,NO
0.0942,NO
0.18835,NO
0.09585,NO
0.1897,YES
0.16795,NO
0.1487,YES
0.059899999999999995,NO
0.0182,NO
0.12375,YES
0.1447,YES
0.5166000000000001,YES
0.11065,YES
0.11665,NO
0.0287,NO
0.14495,YES
0.19640000000000002,NO
0.14539999999999997,YES
0.05475,NO
0.22825,NO
0.10305,NO
0.13240000000000002,NO
0.0378,NO
0.09475,YES
0.0721,NO
0.135,YES
0.0862,NO
0.10565,YES
0.18985000000000002,NO
0.10555,NO
0.14675,NO
0.07775,NO
0.1215,YES
0.09795,NO
0.099,YES
0.0818,NO
0.0823,NO
0.20905,YES
0.23309999999999997,NO
0.08245,NO
0.21985000000000002,YES
0.17404999999999998,NO
0.1365,NO
0.4369,YES
0.0795,NO
0.27649999999999997,YES
0.25780000000000003,NO
0.46219999999999994,NO
0.3171,NO
0.06385,NO
0.16875,NO
0.2603,NO
0.09269999999999999,NO
0.20285,NO
0.0601,NO
0.21815,NO
0.1109,NO
0.1832,NO
0.19505,NO
0.10800000000000001,NO
0.221,YES
0.1792,NO
0.21195000000000003,YES
0.29835,NO
0.019200000000000002,NO
0.2372,YES
0.12835000000000002,YES
0.12755,YES
0.0663,YES
0.09444999999999999,NO
0.0049,NO
0.0602,YES
0.1026,NO
0.5017,YES
0.0497,NO
0.10550000000000001,NO
0.10165,NO
0.08925,NO
0.0316,NO
0.0826,YES
0.0307,NO
0.14165,YES
0.07235,NO
0.1206,YES
0.0125,NO
0.0857,NO
0.0799,NO
0.0175,NO
0.06359999999999999,YES
0.0189,NO
0.18685000000000002,YES
0.2112,YES
0.0291,YES
0.2017,NO
0.2174,NO
0.16795,NO
0.1203,NO
0.1197,YES
0.19465000000000002,YES
0.1352,NO
0.0429,NO
0.09085,NO
0.0335,NO
0.12155,NO
0.085,NO
0.1773,NO
0.11220000000000001,YES
0.1075,NO
0.13095,YES
0.043,NO
0.20425,YES
0.01885,NO
0.08099999999999999,NO
0.04635,NO
0.06295,NO
0.06965,NO
0.12385,NO
0.09,NO
0.0498,NO
0.10195,NO
0.0736,NO
0.1534,YES
0.0577,YES
0.1101,YES
0.2483,YES
0.0634,NO
0.41885,NO
0.5028,YES
0.0469,NO
0.23354999999999998,YES
0.09825,NO
0.1721,NO
0.20335,NO
0.1412,NO
0.062,NO
0.07635,YES
0.10364999999999999,NO
0.1701,YES
0.051050000000000005,NO
0.37845,YES
0.08265,NO
0.2671,NO
0.15115,NO
0.05885,NO
0.1583,YES
0.13105,NO
0.34155,YES
0.2989,NO
0.0287,NO
0.29885,YES
0.5007,YES
0.10035,YES
0.12335,YES
0.1246,NO
0.27825,NO
0.15175,YES
0.3443,NO
0.2111,YES
0.1194,NO
0.23385,NO
0.18315,NO
0.2622,NO
0.0924,NO
0.091,YES
0.0641,NO
0.17835,YES
0.0984,NO
0.09870000000000001,YES
0.3467,NO
0.11729999999999999,NO
0.1502,NO
0.09110000000000001,NO
0.22694999999999999,YES
0.12205,NO
0.22185,YES
0.07210000000000001,NO
0.059949999999999996,NO
0.333,YES
0.31115000000000004,YES
0.0998,YES
0.16485,YES
0.2485,NO
0.1411,NO
0.1936,YES
0.09010000000000001,NO
0.20505,YES
0.1011,NO
0.36915,NO
0.0631,NO
0.07644999999999999,NO
0.1417,NO
0.0991,YES
0.10875,NO
0.22110000000000002,YES
0.10865000000000001,NO
0.13570000000000002,YES
0.1027,NO
0.26005,NO
0.21095,NO
0.10575000000000001,NO
0.1826,YES
0.16795000000000002,NO
0.164,YES
0.04045,NO
0.08660000000000001,NO
0.1647,YES
0.05455,YES
0.03325,YES
0.16204999999999997,YES
0.0332,NO
0.0828,NO
0.5264500000000001,YES
0.05015,NO
0.3702,YES
0.07900000000000001,NO
0.17295,NO
0.17815,NO
0.17985,NO
0.05735,NO
0.19655,YES
0.0658,NO
0.1633,YES
0.03695,NO
0.21735,YES
0.06385,NO
0.33065,NO
0.15675,NO
0.05475,NO
0.161,YES
0.11845,NO
0.38315,YES
0.05755,NO
0.11025,NO
0.0814,YES
0.5932999999999999,YES
0.37255,YES
0.1521,YES
0.047,NO
0.0277,NO
0.11685,YES
0.11355,NO
0.0713,YES
0.09090000000000001,NO
0.1694,NO
0.15155000000000002,NO
0.12615,NO
0.0999,NO
0.18330000000000002,YES
0.1074,NO
0.16225,YES
0.1054,NO
0.22765,YES
0.3703,NO
0.33565,NO
0.08555,NO
0.27590000000000003,NO
0.406,YES
0.0593,NO
0.06035,YES
0.06005,NO
0.0565,NO
0.21200000000000002,YES
0.25425,YES
0.2212,YES
0.13965,YES
0.059050000000000005,NO
0.0446,NO
0.16085,YES
0.09680000000000001,NO
0.19695000000000001,YES
0.12210000000000001,NO
0.0724,NO
0.1168,NO
0.1701,NO
0.23625,NO
0.15185,YES
0.2686,NO
0.38139999999999996,YES
0.4446,NO
0.2797,YES
0.08385,NO
0.12805,NO
0.15925,NO
0.0774,NO
0.36395,YES
0.4149,NO
0.15225,YES
0.044500000000000005,NO
0.0247,NO
0.06905,NO
0.1104,NO
0.0438,NO
0.18785000000000002,NO
0.06315,NO
0.02175,NO
0.3796,NO
0.07454999999999999,NO
0.03925,NO
0.0576,NO
0.39125,YES
0.2834,YES
0.2069,YES
0.0383,NO
0.06055,NO
0.03985,NO
0.02655,NO
0.07755,NO
0.0485,NO
0.10815000000000001,NO
0.03725,NO
0.1207,NO
0.057050000000000003,NO
0.08425,NO
0.02705,NO
0.14024999999999999,NO
0.15695,YES
0.22449999999999998,YES
0.1376,NO
0.14765,NO
0.1157,NO
0.29615,NO
0.1745,YES
0.06245,YES
0.0834,NO
0.08595,NO
0.03165,NO
0.0892,NO
0.14305,NO
0.0852,NO
0.0781,NO
0.15875,YES
0.02985,NO
0.13075,YES
0.4818,NO
0.29175,YES
0.34885,NO
0.09315000000000001,NO
0.0259,NO
0.0727,NO
0.0474,NO
0.14035,NO
0.07605,NO
0.0647,NO
0.0358,NO
0.00655,NO
0.24515,YES
0.3043,YES
0.19395,YES
0.0797,YES
0.0249,NO
0.00695,NO
0.12495,YES
0.12045,NO
0.42445,YES
0.44480000000000003,NO
0.17385,NO
0.1613,NO
0.18025,NO
0.0352,NO
0.14115,YES
0.0349,NO
0.1968,YES
0.05195,NO
0.21635,YES
0.0213,NO
0.22435,NO
0.0864,NO
0.06365,NO
0.07295,YES
0.0504,NO
0.08595,YES
0.1929,YES
0.0132,YES
0.17365,NO
0.08275,NO
0.4903,NO
0.0785,NO
0.113,YES
0.2142,YES
0.07055,NO
0.05085,NO
0.08349999999999999,NO
0.0529,NO
0.13705,NO
0.08365,NO
0.066,NO
0.0769,YES
0.0933,NO
0.1671,YES
0.01485,NO
0.42035,YES
0.05935,NO
0.14105,NO
0.038,NO
0.20829999999999999,NO
0.0363,NO
0.096,NO
0.1564,NO
0.17065,NO
0.07189999999999999,NO
0.04295,NO
0.05955,NO
0.1084,NO
0.05205,NO
0.0863,NO
0.10485,NO
0.04345,NO
0.09605,NO
0.16595,YES
0.08225,NO
0.13815,YES
0.1405,NO
0.1565,NO
0.1252,NO
0.0757,NO
0.05415,NO
0.0879,NO
0.07165,NO
0.1186,NO
0.14095000000000002,NO
0.12635000000000002,YES
0.0662,YES
0.11904999999999999,YES
0.26635000000000003,YES
0.2289,NO
0.1435,YES
0.07450000000000001,NO
0.18560000000000001,YES
0.0244,YES
0.14615,NO
0.11420000000000001,NO
0.0875,NO
0.0589,NO
0.1276,YES
0.22995000000000002,YES
0.04735,NO
0.06394999999999999,NO
0.03225,NO
0.05475,NO
0.09325,NO
0.1486,NO
0.07315,NO
0.07805,YES
0.0364,NO
0.19955,YES
0.31645,NO
0.47385,YES
0.036,NO
0.02385,NO
0.02785,NO
0.0637,NO
0.03405,NO
0.07635,NO
0.0802,NO
0.06345,NO
0.0711,NO
0.03065,NO
0.0742,NO
0.0889,NO
0.06625,NO
0.30225,NO
0.07645,NO
0.0549,NO
0.12265000000000001,NO
0.55035,YES
0.092,NO
0.1459,YES
0.1369,NO
0.14425,NO
0.1138,NO
0.16035,NO
0.0786,NO
0.0481,NO
0.05075,NO
0.2143,NO
0.060200000000000004,NO
0.2436,YES
0.2725,YES
0.06185,YES
0.23655,YES
0.16185,NO
0.05755,YES
0.0526,NO
