LOWERTRACED_MAX_SINGLE_VSM_MEDIAN.csv,Associated
0.4423,NO
0.3498,NO
0.6897,YES
0.4219,NO
0.6436999999999999,YES
0.11674999999999999,NO
0.09505,NO
0.61475,YES
0.6396999999999999,YES
0.6116,YES
0.60165,YES
0.1385,NO
0.10055,NO
0.63095,YES
0.5553,NO
0.6214,YES
0.49365000000000003,NO
0.37929999999999997,NO
0.3641,NO
0.36345,NO
0.09965,NO
0.58975,YES
0.09895000000000001,NO
0.635,YES
0.13805,NO
0.59565,YES
0.55875,NO
0.54445,NO
0.58565,NO
0.49665000000000004,NO
0.6125,YES
0.53685,NO
0.59,YES
0.09275,NO
0.09325,NO
0.6940500000000001,YES
0.41205,NO
0.4064,NO
0.70985,YES
0.095,NO
0.08745,NO
0.7369,YES
0.3814,NO
0.7464999999999999,YES
0.37470000000000003,NO
0.28035,NO
0.24525,NO
0.23199999999999998,NO
0.0997,NO
0.42925,NO
0.09365,NO
0.5018,NO
0.05605,NO
0.4571,NO
0.4128,NO
0.3901,NO
0.49695,NO
0.40990000000000004,NO
0.7010000000000001,YES
0.48109999999999997,NO
0.66195,YES
0.13385,NO
0.1197,NO
0.334,YES
0.59835,YES
0.56255,YES
0.3331,YES
0.12995,NO
0.1154,NO
0.367,YES
0.26795,NO
0.3285,YES
0.26005,NO
0.47905000000000003,NO
0.4802,NO
0.4828,NO
0.1421,NO
0.5826,YES
0.1412,NO
0.57665,YES
0.17785,NO
0.5606,YES
0.21785000000000002,NO
0.24605000000000002,NO
0.24525000000000002,NO
0.22785,NO
0.34040000000000004,YES
0.22925,NO
0.33865,YES
0.6512,YES
0.5241,YES
0.4293,NO
0.32499999999999996,NO
0.32055,NO
0.32289999999999996,NO
0.6197,YES
0.68465,YES
0.31779999999999997,NO
0.24170000000000003,NO
0.32345,NO
0.2373,NO
0.41745,NO
0.3909,NO
0.3832,NO
0.5422,YES
0.2951,NO
0.62095,YES
0.2606,NO
0.64925,YES
0.26644999999999996,NO
0.2548,NO
0.25015,NO
0.26675000000000004,NO
0.26345,NO
0.35645,NO
0.2788,NO
0.2974,NO
0.04655,NO
0.0382,NO
0.6534,YES
0.34320000000000006,YES
0.3256,YES
0.6583,YES
0.048,NO
0.03845,NO
0.7727999999999999,YES
0.28859999999999997,NO
0.68855,YES
0.27995,NO
0.40945000000000004,NO
0.3507,NO
0.35855000000000004,NO
0.0466,NO
0.34185000000000004,YES
0.04325,NO
0.43560000000000004,YES
0.04565,NO
0.38395,YES
0.30935,NO
0.2888,NO
0.39285000000000003,NO
0.30055,NO
0.6483,YES
0.37275,NO
0.68155,YES
0.17585,NO
0.14065,NO
0.71385,YES
0.6107,YES
0.6003499999999999,YES
0.62335,YES
0.22655,NO
0.1752,NO
0.65175,YES
0.493,NO
0.6461,YES
0.4531,NO
0.2968,NO
0.2711,NO
0.27015,NO
0.16435,NO
0.576,YES
0.16105,NO
0.6133500000000001,YES
0.21534999999999999,NO
0.5787,YES
0.5054,NO
0.491,NO
0.5488999999999999,NO
0.4648,NO
0.65195,YES
0.51575,NO
0.60685,YES
0.12895,NO
0.1168,NO
0.763,YES
0.41664999999999996,YES
0.43529999999999996,YES
0.6648499999999999,YES
0.17535,NO
0.14295000000000002,NO
0.6686,YES
0.3946,NO
0.69505,YES
0.3906,NO
0.15875,NO
0.12769999999999998,NO
0.11604999999999999,NO
0.16355,NO
0.4196,YES
0.16060000000000002,NO
0.5065999999999999,YES
0.15050000000000002,NO
0.46119999999999994,YES
0.4272,NO
0.40455,NO
0.5204500000000001,NO
0.42525,NO
0.6726,YES
0.5024500000000001,NO
0.629,YES
0.038450000000000005,NO
0.0396,NO
0.6547000000000001,YES
0.3392,YES
0.3179,YES
0.64705,YES
0.0362,NO
0.030799999999999998,NO
0.76145,YES
0.27180000000000004,NO
0.6802,YES
0.26565,NO
0.36195,NO
0.28214999999999996,NO
0.29384999999999994,NO
0.05535,NO
0.3362,YES
0.0538,NO
0.43795,YES
0.03495,NO
0.392,YES
0.28550000000000003,NO
0.26230000000000003,NO
0.3784,NO
0.27640000000000003,NO
0.651,YES
0.3401,NO
0.71315,YES
0.13169999999999998,NO
0.11939999999999999,NO
0.38695,YES
0.6783,YES
0.63255,YES
0.41265,YES
0.12115,NO
0.10185,NO
0.4374,YES
0.404,NO
0.39185000000000003,YES
0.37635,NO
0.36815,NO
0.38029999999999997,NO
0.3699,NO
0.15905,NO
0.6133,YES
0.15655,NO
0.63725,YES
0.14955,NO
0.6326499999999999,YES
0.36575,NO
0.3861,NO
0.386,NO
0.35635,NO
0.41155,YES
0.36475,NO
0.39590000000000003,YES
0.11660000000000001,NO
0.10805000000000001,NO
0.49900000000000005,YES
0.66425,YES
0.6812,YES
0.50165,YES
0.1056,NO
0.09615000000000001,NO
0.51785,YES
0.321,NO
0.52395,YES
0.2963,NO
0.14225,NO
0.12165,NO
0.10494999999999999,NO
0.1478,NO
0.64685,YES
0.14515,NO
0.7864,YES
0.10115,NO
0.7297,YES
0.31305,NO
0.30225,NO
0.37844999999999995,NO
0.2966,NO
0.49595000000000006,YES
0.34409999999999996,NO
0.4892500000000001,YES
0.1721,NO
0.1473,NO
0.28625,NO
0.2942,NO
0.2226,NO
0.26505,NO
0.17575,NO
0.14934999999999998,NO
0.3468,NO
0.2182,NO
0.25645,NO
0.20625000000000002,NO
0.7112499999999999,YES
0.6684,YES
0.6969,YES
0.1659,NO
0.22435,NO
0.16745,NO
0.21534999999999999,NO
0.20515,NO
0.2273,NO
0.1768,NO
0.19090000000000001,NO
0.20435,NO
0.1807,NO
0.30145,NO
0.1807,NO
0.32245,NO
0.56195,YES
0.6445,YES
0.25105,NO
0.1961,NO
0.15415,NO
0.1446,NO
0.6645,YES
0.56245,YES
0.16185,NO
0.23854999999999998,NO
0.1401,NO
0.2518,NO
0.24435,NO
0.2365,NO
0.2394,NO
0.65375,YES
0.14329999999999998,NO
0.59075,YES
0.13025,NO
0.68675,YES
0.1573,NO
0.22075,NO
0.1835,NO
0.2303,NO
0.21,NO
0.1838,NO
0.20365,NO
0.15814999999999999,NO
0.0485,NO
0.03425,NO
0.44775,YES
0.6443,YES
0.64395,YES
0.4523,YES
0.052599999999999994,NO
0.03465,NO
0.48755,YES
0.15555,NO
0.45705,YES
0.14989999999999998,NO
0.31165,NO
0.2991,NO
0.30305,NO
0.0379,NO
0.60615,YES
0.0376,NO
0.6768000000000001,YES
0.07965,NO
0.64135,YES
0.1214,NO
0.11945,NO
0.1615,NO
0.11875,NO
0.45555,YES
0.14049999999999999,NO
0.44355,YES
0.6729,YES
0.5132,YES
0.34065,NO
0.23149999999999998,NO
0.19905,NO
0.22049999999999997,NO
0.613,YES
0.7092,YES
0.22254999999999997,NO
0.17615,NO
0.21549999999999997,NO
0.1782,NO
0.2615,NO
0.24309999999999998,NO
0.24045,NO
0.5569,YES
0.19205,NO
0.6621,YES
0.1686,NO
0.67035,YES
0.1731,NO
0.15635,NO
0.1633,NO
0.1886,NO
0.1616,NO
0.263,NO
0.1817,NO
0.20764999999999997,NO
0.20345000000000002,NO
0.17450000000000002,NO
0.1491,NO
0.28195000000000003,NO
0.22060000000000002,NO
0.16085,NO
0.1814,NO
0.185,NO
0.1956,NO
0.60595,YES
0.1418,NO
0.59815,YES
0.40249999999999997,NO
0.4135,NO
0.4072,NO
0.21225,NO
0.2227,NO
0.22445,NO
0.24020000000000002,NO
0.24515,NO
0.2495,NO
0.56135,YES
0.5662,YES
0.57905,YES
0.59635,YES
0.16845,NO
0.5485,YES
0.15905,NO
0.6806,YES
0.5244,YES
0.2556,NO
0.19365,NO
0.14695,NO
0.14834999999999998,NO
0.5826,YES
0.72495,YES
0.1618,NO
0.1651,NO
0.1467,NO
0.1659,NO
0.21505000000000002,NO
0.2054,NO
0.20495000000000002,NO
0.56305,YES
0.14085,NO
0.68955,YES
0.1309,NO
0.67885,YES
0.14545,NO
0.135,NO
0.134,NO
0.17485,NO
0.1452,NO
0.1858,NO
0.15134999999999998,NO
0.15289999999999998,NO
0.2801,NO
0.23965,NO
0.31695,NO
0.2188,NO
0.18114999999999998,NO
0.32,NO
0.28545,NO
0.26389999999999997,NO
0.3304,NO
0.59035,YES
0.30974999999999997,NO
0.6409,YES
0.3255,NO
0.32284999999999997,NO
0.3124,NO
0.24935,NO
0.1785,NO
0.2521,NO
0.17065,NO
0.3233,NO
0.17009999999999997,NO
0.5486,YES
0.5525,YES
0.56185,YES
0.63655,YES
0.3396,NO
0.55755,YES
0.29535,NO
