LOWERTRACED_RFUNDER_MULTI_LSA_MEDIAN.csv,Associated
0.5059459595959597,NO
0.04105,YES
0.4751459595959596,NO
0.15405,YES
0.4798959595959596,NO
0.06255,NO
0.0455,NO
0.059000000000000004,NO
0.05265,NO
0.48378737373737374,NO
0.06755,NO
0.44013737373737377,NO
0.04125050505050505,NO
0.01725050505050505,NO
0.5550484848484848,YES
0.1674,YES
0.14685,YES
0.5563484848484848,YES
0.04635050505050505,NO
0.01155050505050505,NO
0.5899984848484848,YES
0.3980328282828284,NO
0.5510984848484848,YES
0.40043282828282833,NO
0.10825,NO
0.0967,NO
0.0967,NO
0.03365050505050505,NO
0.1159,YES
0.03285050505050505,NO
0.18045,YES
0.07590050505050505,NO
0.1275,YES
0.35438282828282835,NO
0.36213282828282833,NO
0.40023282828282836,NO
0.35298282828282834,NO
0.5705984848484849,YES
0.37648282828282836,NO
0.5519984848484848,YES
0.23881616161616165,NO
0.19821616161616165,NO
0.1088510101010101,NO
0.6189989898989898,NO
0.5887489898989899,NO
0.0951510101010101,NO
0.24581616161616165,NO
0.22286616161616166,NO
0.0830010101010101,NO
0.30746060606060605,YES
0.0889510101010101,NO
0.2512606060606061,YES
0.10440050505050505,NO
0.09285050505050506,NO
0.08950050505050505,NO
0.18861616161616165,NO
0.5633489898989898,NO
0.18896616161616164,NO
0.5439989898989899,NO
0.26256616161616164,NO
0.5545489898989899,NO
0.30091060606060605,YES
0.28666060606060606,YES
0.24561060606060608,YES
0.2507606060606061,YES
0.12140101010101009,NO
0.19371060606060608,YES
0.059051010101010104,NO
0.04925,NO
0.0387,NO
0.05345,YES
0.4651782828282829,YES
0.40937828282828287,YES
0.06655,YES
0.04425,NO
0.0302,NO
0.1034,YES
0.1299,NO
0.053,YES
0.07295,NO
0.1126,NO
0.12855,NO
0.11875,NO
0.07265,NO
0.3950782828282829,YES
0.0705,NO
0.41397828282828286,YES
0.071,NO
0.4105782828282829,YES
0.10245,NO
0.1103,NO
0.1114,NO
0.0516,NO
0.07305,YES
0.0558,NO
0.0663,YES
0.07580050505050505,NO
0.04230050505050505,NO
0.44228232323232325,NO
0.5798484848484848,NO
0.5621984848484848,NO
0.42308232323232325,NO
0.08770050505050506,NO
0.08185050505050505,NO
0.42318232323232324,NO
0.10450050505050505,YES
0.42548232323232327,NO
0.12740050505050504,YES
0.12595,NO
0.1018,NO
0.10165,NO
0.03170050505050505,NO
0.5373484848484849,NO
0.033050505050505045,NO
0.5404984848484848,NO
0.11785050505050505,NO
0.5342984848484849,NO
0.09900050505050506,YES
0.07730050505050505,YES
0.10010050505050505,YES
0.16045050505050507,YES
0.4434823232323233,NO
0.08790050505050505,YES
0.38978232323232326,NO
0.10805606060606061,NO
0.12755606060606062,NO
0.1423030303030303,NO
0.09835,NO
0.0718,NO
0.13425303030303032,NO
0.12755606060606062,NO
0.10895606060606061,NO
0.1402030303030303,NO
0.1714,YES
0.1475030303030303,NO
0.0868,YES
0.06655,NO
0.03675,NO
0.03235,NO
0.16260606060606062,NO
0.06635,NO
0.14335606060606063,NO
0.155,NO
0.12605606060606062,NO
0.14095,NO
0.2021,YES
0.1648,YES
0.24705,YES
0.08915,YES
0.1268030303030303,NO
0.13365,YES
0.1166030303030303,NO
0.1095367258443016,NO
0.0760367258443016,NO
0.24411464646464642,NO
0.6069989898989899,NO
0.5922489898989899,NO
0.23761464646464642,NO
0.12178672584430161,NO
0.0977867258443016,NO
0.23401464646464643,NO
0.2395560606060606,YES
0.23786464646464645,NO
0.16475606060606063,YES
0.1126,NO
0.10205,NO
0.10035,NO
0.06248672584430161,NO
0.5606489898989899,NO
0.06333672584430161,NO
0.5502489898989898,NO
0.1331867258443016,NO
0.5598989898989899,NO
0.26250606060606063,YES
0.2353060606060606,YES
0.2005560606060606,YES
0.19435606060606062,YES
0.2567646464646464,NO
0.16075606060606062,YES
0.20486464646464644,NO
0.04140050505050505,NO
0.04075050505050505,NO
0.06915151515151516,NO
0.1443,NO
0.07135,NO
0.057901515151515155,NO
0.03530050505050505,NO
0.03165050505050505,NO
0.08620151515151515,NO
0.43702171717171723,YES
0.045501515151515154,NO
0.3345217171717172,YES
0.11095050505050505,NO
0.10745050505050506,NO
0.10730050505050505,NO
0.04750050505050505,NO
0.05175,NO
0.04625050505050505,NO
0.04875,NO
0.09015050505050505,NO
0.0759,NO
0.3857717171717172,YES
0.3823217171717172,YES
0.3741717171717172,YES
0.2800217171717172,YES
0.08390151515151516,NO
0.2735717171717172,YES
0.06465151515151515,NO
0.05345,NO
0.02255,NO
0.5981843434343435,YES
0.39478232323232326,YES
0.3845823232323233,YES
0.4857843434343435,YES
0.11185,NO
0.05325,NO
0.5067343434343434,YES
0.2658717171717172,NO
0.5078843434343435,YES
0.2701217171717172,NO
0.10655,NO
0.0748,NO
0.0737,NO
0.0451,NO
0.3728823232323233,YES
0.04375,NO
0.44168232323232326,YES
0.10645,NO
0.38928232323232326,YES
0.28072171717171723,NO
0.2571717171717172,NO
0.36842171717171723,NO
0.2771717171717172,NO
0.5133843434343435,YES
0.3429717171717172,NO
0.4474843434343435,YES
0.09500050505050506,NO
0.08240050505050506,NO
0.38682070707070704,YES
0.1381030303030303,NO
0.1070530303030303,NO
0.41502070707070704,YES
0.09640050505050506,NO
0.05990050505050505,NO
0.47947070707070705,YES
0.1056010101010101,NO
0.42612070707070704,YES
0.08650101010101009,NO
0.1632,NO
0.16015,NO
0.1324,NO
0.09055050505050506,NO
0.1398030303030303,NO
0.07495050505050506,NO
0.2139530303030303,NO
0.07760050505050506,NO
0.1621530303030303,NO
0.1096510101010101,NO
0.0993010101010101,NO
0.1984510101010101,NO
0.1059510101010101,NO
0.39677070707070705,YES
0.1780510101010101,NO
0.350770707070707,YES
0.30252626262626264,NO
0.28082626262626265,NO
0.62375,YES
0.1498010101010101,YES
0.1217010101010101,YES
0.61065,YES
0.32427626262626263,NO
0.28632626262626265,NO
0.63995,YES
0.12145050505050506,NO
0.6304,YES
0.05980050505050505,NO
0.11825,NO
0.10305,NO
0.1024,NO
0.28542626262626264,NO
0.0998510101010101,YES
0.28472626262626266,NO
0.14510101010101012,YES
0.32382626262626263,NO
0.1057510101010101,YES
0.12490050505050505,NO
0.11060050505050506,NO
0.15180050505050505,NO
0.06280050505050505,NO
0.6214999999999999,YES
0.10300050505050505,NO
0.599,YES
0.18281010101010103,NO
0.18331010101010103,NO
0.2041510101010101,YES
0.0881,NO
0.08245,NO
0.21995101010101012,YES
0.185060101010101,NO
0.177510101010101,NO
0.2470010101010101,YES
0.14515656565656565,NO
0.2566010101010101,YES
0.13845656565656567,NO
0.1122,NO
0.0771,NO
0.06385,NO
0.18976010101010102,NO
0.1053,NO
0.18371010101010102,NO
0.17785,NO
0.14611010101010102,NO
0.13315,NO
0.17655656565656566,NO
0.15385656565656566,NO
0.2607065656565657,NO
0.17365656565656568,NO
0.21110101010101012,YES
0.24485656565656566,NO
0.17205101010101012,YES
0.08395606060606062,NO
0.06980606060606062,NO
0.042351515151515154,YES
0.194309595959596,YES
0.15850959595959596,YES
0.041451515151515156,YES
0.08005606060606062,NO
0.06550606060606061,NO
0.07535151515151516,YES
0.06265050505050505,NO
0.036851515151515156,YES
0.05475050505050505,NO
0.09055050505050506,NO
0.09170050505050506,NO
0.09430050505050505,NO
0.09220606060606062,NO
0.17855959595959597,YES
0.09130606060606061,NO
0.17260959595959596,YES
0.1279560606060606,NO
0.15655959595959598,YES
0.012550505050505052,NO
0.04075050505050505,NO
0.03995050505050505,NO
0.022550505050505053,NO
0.04875151515151515,YES
0.023950505050505052,NO
0.047001515151515155,YES
0.2572606060606061,YES
0.13016060606060606,YES
0.43422525252525257,NO
0.5016424242424242,NO
0.49719242424242427,NO
0.3278252525252525,NO
0.22576060606060605,YES
0.29071060606060606,YES
0.3227252525252525,NO
0.05810202020202021,NO
0.32837525252525257,NO
0.05370202020202021,NO
0.10655,NO
0.08,NO
0.0723,NO
0.14826060606060606,YES
0.47174242424242424,NO
0.22701060606060608,YES
0.43724242424242427,NO
0.25531060606060607,YES
0.44309242424242423,NO
0.07120202020202021,NO
0.06655202020202021,NO
0.08315202020202021,NO
0.0798520202020202,NO
0.36137525252525254,NO
0.0952020202020202,NO
0.30232525252525255,NO
0.08740454545454546,NO
0.07905454545454546,NO
0.4463292929292929,YES
0.0577,YES
0.0401,YES
0.4512292929292929,YES
0.08885454545454546,NO
0.07930454545454546,NO
0.565729292929293,YES
0.0772030303030303,NO
0.4814792929292929,YES
0.06855303030303031,NO
0.1521,NO
0.09335,NO
0.1012,NO
0.08745454545454547,NO
0.05635,YES
0.08410454545454546,NO
0.1501,YES
0.08650454545454547,NO
0.09845,YES
0.0979530303030303,NO
0.0774030303030303,NO
0.1814530303030303,NO
0.0891530303030303,NO
0.4412292929292929,YES
0.1613530303030303,NO
0.4744792929292929,YES
0.0589,NO
0.0237,NO
0.5976883838383839,YES
0.5702959595959596,YES
0.5599459595959596,YES
0.5071883838383838,YES
0.1096,NO
0.05825,NO
0.5355883838383839,YES
0.10440101010101009,NO
0.5299383838383839,YES
0.0645010101010101,NO
0.11385,NO
0.08815,NO
0.0872,NO
0.0474,NO
0.5355959595959596,YES
0.0441,NO
0.5729459595959596,YES
0.0984,NO
0.5382959595959597,YES
0.1168010101010101,NO
0.10240101010101009,NO
0.1603010101010101,NO
0.0762010101010101,NO
0.5357883838383839,YES
0.1271510101010101,NO
0.49068838383838387,YES
0.0671,NO
0.05495,NO
0.3034040404040404,YES
0.09630151515151515,YES
0.11495151515151515,YES
0.2052540404040404,YES
0.11349999999999999,NO
0.0811,NO
0.20900404040404041,YES
0.20661515151515153,NO
0.23545404040404042,YES
0.20261515151515153,NO
0.07415,NO
0.0431,NO
0.03145,NO
0.1017,NO
0.09925151515151515,YES
0.09875,NO
0.18625151515151517,YES
0.08865,NO
0.14085151515151517,YES
0.23921515151515152,NO
0.21656515151515152,NO
0.33246515151515155,NO
0.23726515151515154,NO
0.21300404040404042,YES
0.31446515151515153,NO
0.16940404040404042,YES
0.07080353535353537,NO
0.07195353535353535,NO
0.1547,YES
0.08990353535353536,YES
0.06860353535353536,YES
0.14705,YES
0.06855353535353537,NO
0.06315353535353535,NO
0.26145,YES
0.4087358585858586,NO
0.1802,YES
0.40258585858585855,NO
0.14295,NO
0.06315,NO
0.07485,NO
0.08770353535353537,NO
0.08690353535353536,YES
0.08615353535353536,NO
0.18865353535353535,YES
0.06730353535353537,NO
0.14270353535353536,YES
0.4224358585858586,NO
0.3992358585858586,NO
0.5153358585858585,NO
0.4133358585858586,NO
0.151,YES
0.47703585858585856,NO
0.21315,YES
0.20401464646464643,NO
0.19171464646464642,NO
0.07160202020202021,YES
0.20355252525252523,YES
0.15780252525252525,YES
0.09730202020202021,YES
0.19346464646464645,NO
0.17416464646464644,NO
0.1220520202020202,YES
0.09855,NO
0.07650202020202021,YES
0.0709,NO
0.1244,NO
0.13655,NO
0.12615,NO
0.23136464646464644,NO
0.13855252525252526,YES
0.22886464646464644,NO
0.16250252525252526,YES
0.22186464646464643,NO
0.15790252525252524,YES
0.0603,NO
0.08065,NO
0.08055,NO
0.0509,NO
0.0962020202020202,YES
0.0593,NO
0.08055202020202021,YES
0.06005,NO
0.051500000000000004,NO
0.127,YES
0.24000757575757575,YES
0.2569575757575758,YES
0.12965,YES
0.04905,NO
0.0396,NO
0.14585,YES
0.11200202020202021,NO
0.15195,YES
0.08730202020202021,NO
0.0724,NO
0.0518,NO
0.0351,NO
0.09125,NO
0.22260757575757578,YES
0.0886,NO
0.36215757575757573,YES
0.0446,NO
0.30545757575757576,YES
0.1040520202020202,NO
0.09325202020202021,NO
0.16945202020202021,NO
0.08760202020202021,NO
0.12395,YES
0.13510202020202022,NO
0.11725,YES
0.16066161616161617,NO
0.13586161616161618,NO
0.0791510101010101,NO
0.11550101010101009,NO
0.0439010101010101,NO
0.0579510101010101,NO
0.16431161616161616,NO
0.13791161616161618,NO
0.1397010101010101,NO
0.0847520202020202,NO
0.049351010101010104,NO
0.0728020202020202,NO
0.21125,YES
0.1684,YES
0.1969,YES
0.1544616161616162,NO
0.0456510101010101,NO
0.15601161616161618,NO
0.0366510101010101,NO
0.19371161616161617,NO
0.0486010101010101,NO
0.04335202020202021,NO
0.057452020202020206,NO
0.07090202020202022,NO
0.04725202020202021,NO
0.0943510101010101,NO
0.04725202020202021,NO
0.11535101010101009,NO
0.06700050505050505,YES
0.14955050505050504,YES
0.14265050505050506,NO
0.10285202020202021,NO
0.06090202020202021,NO
0.03620050505050505,NO
0.16955050505050503,YES
0.06750050505050505,YES
0.05345050505050505,NO
0.07595,NO
0.03170050505050505,NO
0.0892,NO
0.08305,NO
0.0752,NO
0.0781,NO
0.15880050505050505,YES
0.05005202020202021,NO
0.09580050505050505,YES
0.0370020202020202,NO
0.19180050505050505,YES
0.06405202020202021,NO
0.05815,NO
0.0209,NO
0.0677,NO
0.0474,NO
0.07540050505050505,NO
0.04105,NO
0.049750505050505045,NO
0.0208,NO
0.00655,NO
0.4136853535353535,YES
0.1443,YES
0.14395,YES
0.4182353535353535,YES
0.0249,NO
0.00695,NO
0.4534853535353535,YES
0.05545,NO
0.42298535353535355,YES
0.0498,NO
0.09885,NO
0.0863,NO
0.09025,NO
0.0102,NO
0.10615,YES
0.0099,NO
0.1768,YES
0.05195,NO
0.14135,YES
0.0213,NO
0.01935,NO
0.0614,NO
0.01865,NO
0.42148535353535355,YES
0.0404,NO
0.40948535353535354,YES
0.31431414141414143,YES
0.15461414141414143,YES
0.4463772727272728,NO
0.3302752525252525,NO
0.29782525252525255,NO
0.32622727272727275,NO
0.2544141414141414,YES
0.35061414141414143,YES
0.32827727272727275,NO
0.07610252525252525,NO
0.32122727272727275,NO
0.07815252525252525,NO
0.08705,NO
0.06865,NO
0.066,NO
0.19831414141414144,YES
0.29082525252525254,NO
0.30351414141414146,YES
0.2673752525252525,NO
0.31176414141414144,YES
0.2718752525252525,NO
0.05630252525252526,NO
0.06325252525252525,NO
0.08855252525252524,NO
0.061552525252525254,NO
0.3687272727272728,NO
0.08165252525252525,NO
0.3133772727272728,NO
0.0619,NO
0.03295,NO
0.0697520202020202,NO
0.11345050505050505,NO
0.05210050505050505,NO
0.08150202020202021,NO
0.03985,NO
0.04345,NO
0.1162520202020202,NO
0.10595,YES
0.06245202020202021,NO
0.09815,YES
0.12050000000000001,NO
0.1315,NO
0.1252,NO
0.0707,NO
0.05420050505050505,NO
0.0829,NO
0.07170050505050506,NO
0.1036,NO
0.08100050505050506,NO
0.06135,YES
0.0662,YES
0.07905,YES
0.09635,YES
0.08910202020202021,NO
0.048499999999999995,YES
0.07970202020202022,NO
0.20585252525252526,YES
0.049652525252525254,YES
0.1512510101010101,NO
0.0792,NO
0.0325,NO
0.0440010101010101,NO
0.10785252525252526,YES
0.2502025252525253,YES
0.05745101010101011,NO
0.10445505050505051,NO
0.042351010101010104,NO
0.10525505050505052,NO
0.08325,NO
0.0736,NO
0.07315,NO
0.08830252525252524,YES
0.0264,NO
0.21480252525252524,YES
0.01645,NO
0.20410252525252526,YES
0.031,NO
0.07435505050505051,NO
0.0733550505050505,NO
0.11420505050505052,NO
0.08455505050505051,NO
0.0814510101010101,NO
0.09070505050505051,NO
0.0485510101010101,NO
0.08625151515151515,NO
0.045801515151515156,NO
0.36207878787878783,NO
0.5333444444444445,NO
0.49569444444444455,NO
0.36512878787878783,NO
0.09160151515151516,NO
0.07005151515151516,NO
0.37552878787878785,NO
0.09035,YES
0.35487878787878785,NO
0.1409,YES
0.1219,NO
0.11925,NO
0.1088,NO
0.05550151515151515,NO
0.4930444444444445,NO
0.05825151515151515,NO
0.48519444444444454,NO
0.12945151515151515,NO
0.48464444444444454,NO
0.0486,YES
0.0525,YES
0.06185,YES
0.13655,YES
0.38472878787878784,NO
0.05755,YES
0.3404787878787878,NO
