NONETRACED_RFNONE_RAW_LSA_MEDIAN.csv,Associated
0.21515,YES
0.07975,NO
0.06625,YES
0.17215000000000003,NO
0.16825,NO
0.0967,NO
0.0967,NO
0.1086,NO
0.1159,YES
0.0678,NO
0.25045,YES
0.08084999999999999,NO
0.2975,YES
0.0861,NO
0.03385,NO
0.10195,NO
0.0247,NO
0.08575,YES
0.0482,NO
0.12714999999999999,YES
0.0772,NO
0.0466,NO
0.38875,NO
0.1291,NO
0.09885,NO
0.08505,NO
0.0842,NO
0.06125,NO
0.0829,NO
0.26139999999999997,YES
0.28885,NO
0.16519999999999999,YES
0.09935,NO
0.0878,NO
0.53445,NO
0.027000000000000003,NO
0.07345,NO
0.03735,NO
0.3141,NO
0.18095,NO
0.06465,NO
0.19485,YES
0.1806,YES
0.13955,YES
0.1447,YES
0.1113,NO
0.08765,YES
0.11895,NO
0.04925,NO
0.0387,NO
0.08345,YES
0.37235,YES
0.14654999999999999,YES
0.06655,YES
0.04425,NO
0.060200000000000004,NO
0.13340000000000002,YES
0.1299,NO
0.053,YES
0.07295,NO
0.1226,NO
0.12855,NO
0.21875,NO
0.11265,NO
0.11225,YES
0.1305,NO
0.13115,YES
0.071,NO
0.39775000000000005,YES
0.10245,NO
0.1303,NO
0.1314,NO
0.0516,NO
0.08305,YES
0.0558,NO
0.1763,YES
0.07075,NO
0.03725,NO
0.11905,NO
0.355,NO
0.24735000000000001,NO
0.09985,NO
0.08265,NO
0.08679999999999999,NO
0.09995,NO
0.16945,YES
0.10225,NO
0.16235,YES
0.12595,NO
0.1018,NO
0.10165,NO
0.02665,NO
0.0525,NO
0.027999999999999997,NO
0.10565,NO
0.1728,NO
0.46945,NO
0.09395,YES
0.07225,YES
0.20505,YES
0.2654,YES
0.12025,NO
0.08285,YES
0.09655,NO
0.13745,NO
0.13695000000000002,NO
0.11199999999999999,NO
0.09835,NO
0.1418,NO
0.16394999999999998,NO
0.06695,NO
0.10835,NO
0.1699,NO
0.2914,YES
0.1772,NO
0.0868,YES
0.06655,NO
0.03675,NO
0.03235,NO
0.102,NO
0.06635,NO
0.21275,NO
0.165,NO
0.09545,NO
0.14095,NO
0.2821,YES
0.6648000000000001,YES
0.27705,YES
0.18914999999999998,YES
0.0965,NO
0.22365,YES
0.1163,NO
0.07195,NO
0.03845,NO
0.09765,NO
0.1171,NO
0.10235,NO
0.09115,NO
0.0842,NO
0.0602,NO
0.09755,NO
0.23895,YES
0.1114,NO
0.13415,YES
0.1126,NO
0.10205,NO
0.12035,NO
0.0349,NO
0.07075,NO
0.02575,NO
0.07035,NO
0.15560000000000002,NO
0.07,NO
0.2019,YES
0.1747,YES
0.14995,YES
0.23375,YES
0.1103,NO
0.10015,YES
0.3084,NO
0.14635,NO
0.0357,NO
0.064,NO
0.24430000000000002,NO
0.07135,NO
0.04275,NO
0.03025,NO
0.15660000000000002,NO
0.07105,NO
0.28985,YES
0.03035,NO
0.21735,YES
0.2059,NO
0.19240000000000002,NO
0.16225,NO
0.052450000000000004,NO
0.05175,NO
0.0512,NO
0.058750000000000004,NO
0.2851,NO
0.0759,NO
0.1686,YES
0.16515,YES
0.197,YES
0.07285,YES
0.11875000000000001,NO
0.0564,YES
0.21950000000000003,NO
0.06344999999999999,NO
0.03255,NO
0.26475,YES
0.13155,YES
0.09135,YES
0.14235,YES
0.11185,NO
0.07325,NO
0.1833,YES
0.10869999999999999,NO
0.17445000000000002,YES
0.11295,NO
0.17655,NO
0.0748,NO
0.1237,NO
0.1051,NO
0.04965,YES
0.09375,NO
0.12845,YES
0.32645,NO
0.09605,YES
0.13355,NO
0.09,NO
0.21125,NO
0.06,NO
0.16995,YES
0.1258,NO
0.16405,YES
0.16995,NO
0.07735,NO
0.32975,YES
0.1778,NO
0.07675,NO
0.22794999999999999,YES
0.09135,NO
0.12485000000000002,NO
0.3024,YES
0.14550000000000002,NO
0.27905,YES
0.08639999999999999,NO
0.1832,NO
0.18014999999999998,NO
0.1324,NO
0.10550000000000001,NO
0.10949999999999999,NO
0.2799,NO
0.23365000000000002,NO
0.08255,NO
0.13185,NO
0.10955,NO
0.0992,NO
0.20834999999999998,NO
0.09585,NO
0.1897,YES
0.16795,NO
0.1737,YES
0.0399,NO
0.0382,NO
0.12375,YES
0.2097,YES
0.1716,YES
0.11065,YES
0.06165,NO
0.0237,NO
0.17995,YES
0.34640000000000004,NO
0.1304,YES
0.05475,NO
0.11825,NO
0.33305,NO
0.1124,NO
0.0228,NO
0.08975,YES
0.032100000000000004,NO
0.135,YES
0.0912,NO
0.15565,YES
0.11985,NO
0.10555,NO
0.21675,NO
0.05775,NO
0.1215,YES
0.09795,NO
0.139,YES
0.1318,NO
0.0823,NO
0.20405,YES
0.0881,NO
0.10245,NO
0.21985000000000002,YES
0.08405,NO
0.11649999999999999,NO
0.2369,YES
0.0795,NO
0.4565,YES
0.09280000000000001,NO
0.1122,NO
0.2571,NO
0.06385,NO
0.08875,NO
0.1453,NO
0.2827,NO
0.17785,NO
0.0751,NO
0.13315,NO
0.19090000000000001,NO
0.0882,NO
0.19505,NO
0.11800000000000001,NO
0.221,YES
0.3492,NO
0.16195,YES
0.02335,NO
0.0092,NO
0.0272,YES
0.09835,YES
0.06255,YES
0.0363,YES
0.01945,NO
0.0049,NO
0.0602,YES
0.1276,NO
0.0217,YES
0.10969999999999999,NO
0.0855,NO
0.09665,NO
0.12925,NO
0.0316,NO
0.25260000000000005,YES
0.0307,NO
0.08664999999999999,YES
0.06735,NO
0.0606,YES
0.0175,NO
0.0757,NO
0.0449,NO
0.027500000000000004,NO
0.0336,YES
0.0189,NO
0.03185,YES
0.6012,YES
0.0841,YES
0.2017,NO
0.1474,NO
0.14295000000000002,NO
0.1553,NO
0.39970000000000006,YES
0.20465,YES
0.1502,NO
0.1179,NO
0.12585000000000002,NO
0.10350000000000001,NO
0.16655,NO
0.25,NO
0.25229999999999997,NO
0.24220000000000003,YES
0.1275,NO
0.19095,YES
0.033,NO
0.34925,YES
0.07885,NO
0.11099999999999999,NO
0.12635000000000002,NO
0.13295,NO
0.11965,NO
0.19885,NO
0.135,NO
0.1298,NO
0.04195,NO
0.0336,NO
0.19340000000000002,YES
0.29769999999999996,YES
0.2201,YES
0.1683,YES
0.0534,NO
0.053849999999999995,NO
0.2828,YES
0.0469,NO
0.18855,YES
0.03825,NO
0.1821,NO
0.10335,NO
0.1112,NO
0.07200000000000001,NO
0.32635000000000003,YES
0.18864999999999998,NO
0.1501,YES
0.04105,NO
0.10844999999999999,YES
0.27765,NO
0.08710000000000001,NO
0.22115,NO
0.07885,NO
0.1483,YES
0.13105,NO
0.46155,YES
0.0589,NO
0.0937,NO
0.21385,YES
0.2007,YES
0.38035,YES
0.12335,YES
0.1396,NO
0.06825,NO
0.16175,YES
0.1743,NO
0.15610000000000002,YES
0.1144,NO
0.42385,NO
0.08815,NO
0.1272,NO
0.0774,NO
0.076,YES
0.15410000000000001,NO
0.12335,YES
0.3984,NO
0.1387,YES
0.1267,NO
0.0923,NO
0.1702,NO
0.0761,NO
0.15195,YES
0.11705,NO
0.10685,YES
0.2471,NO
0.24495,NO
0.313,YES
0.12115000000000001,YES
0.3598,YES
0.34485,YES
0.11349999999999999,NO
0.2611,NO
0.1686,YES
0.08510000000000001,NO
0.35505,YES
0.0611,NO
0.09415,NO
0.0931,NO
0.051449999999999996,NO
0.1217,NO
0.09409999999999999,YES
0.32875,NO
0.1711,YES
0.08865,NO
0.1457,YES
0.2477,NO
0.09505,NO
0.18095,NO
0.29575,NO
0.2826,YES
0.26295,NO
0.129,YES
0.17545000000000002,NO
0.1566,NO
0.1647,YES
0.08455,YES
0.03325,YES
0.14705,YES
0.0332,NO
0.047799999999999995,NO
0.26145,YES
0.25015,NO
0.1802,YES
0.094,NO
0.14295,NO
0.08315,NO
0.08485,NO
0.05235,NO
0.05155,YES
0.3408,NO
0.2233,YES
0.03195,NO
0.15735,YES
0.13385000000000002,NO
0.04065,NO
0.15675,NO
0.05475,NO
0.151,YES
0.14845,NO
0.26315,YES
0.05755,NO
0.04525,NO
0.1614,YES
0.2983,YES
0.20255,YES
0.0771,YES
0.067,NO
0.4177,NO
0.38185,YES
0.09855,NO
0.0563,YES
0.1009,NO
0.3044,NO
0.14655,NO
0.12615,NO
0.1449,NO
0.1133,YES
0.4324,NO
0.13725,YES
0.0754,NO
0.30265,YES
0.0603,NO
0.08065,NO
0.09054999999999999,NO
0.1409,NO
0.076,YES
0.0593,NO
0.08035,YES
0.16005,NO
0.0915,NO
0.147,YES
0.16425,YES
0.2512,YES
0.15965,YES
0.06905,NO
0.3496,NO
0.14585,YES
0.11180000000000001,NO
0.22195,YES
0.1371,NO
0.0724,NO
0.1218,NO
0.0751,NO
0.12125,NO
0.29685,YES
0.17859999999999998,NO
0.2864,YES
0.0646,NO
0.42969999999999997,YES
0.19385,NO
0.07305,NO
0.22925,NO
0.1274,NO
0.12395,YES
0.1649,NO
0.11725,YES
0.044500000000000005,NO
0.0597,NO
0.07905,NO
0.3154,NO
0.0338,NO
0.04785,NO
0.04815,NO
0.02175,NO
0.1296,NO
0.15455,NO
0.03925,NO
0.0826,NO
0.21125,YES
0.18839999999999998,YES
0.2069,YES
0.0383,NO
0.03555,NO
0.08985,NO
0.03655,NO
0.07755,NO
0.058499999999999996,NO
0.04315,NO
0.03725,NO
0.060700000000000004,NO
0.06705,NO
0.08425,NO
0.02705,NO
0.13524999999999998,NO
0.19195,YES
0.3345,YES
0.1376,NO
0.15265,NO
0.0907,NO
0.05115,NO
0.3245,YES
0.06245,YES
0.1084,NO
0.14595000000000002,NO
0.02665,NO
0.1592,NO
0.13305,NO
0.2252,NO
0.11810000000000001,NO
0.22375,YES
0.34985,NO
0.13075,YES
0.0768,NO
0.32675,YES
0.09385,NO
0.10815,NO
0.31089999999999995,NO
0.12769999999999998,NO
0.25739999999999996,NO
0.12035,NO
0.10105,NO
0.0947,NO
0.0208,NO
0.016550000000000002,NO
0.06015,YES
0.18430000000000002,YES
0.26395,YES
0.0647,YES
0.0349,NO
0.02695,NO
0.20995,YES
0.05545,NO
0.06945,YES
0.0498,NO
0.12885,NO
0.0863,NO
0.10024999999999999,NO
0.0102,NO
0.10615,YES
0.0599,NO
0.3368,YES
0.07195,NO
0.26134999999999997,YES
0.0413,NO
0.01935,NO
0.16140000000000002,NO
0.13865,NO
0.06795,YES
0.0404,NO
0.26595,YES
0.6729,YES
0.0732,YES
0.19365,NO
0.13774999999999998,NO
0.1253,NO
0.1235,NO
0.413,YES
0.2492,YES
0.09555,NO
0.11085,NO
0.0985,NO
0.1129,NO
0.14705000000000001,NO
0.31865,NO
0.186,NO
0.2069,YES
0.0983,NO
0.1921,YES
0.02485,NO
0.40035,YES
0.07935,NO
0.09104999999999999,NO
0.098,NO
0.1333,NO
0.0963,NO
0.156,NO
0.1164,NO
0.12065000000000001,NO
0.0619,NO
0.03295,NO
0.19955,NO
0.21839999999999998,NO
0.11705000000000002,NO
0.0613,NO
0.06985,NO
0.10345,NO
0.11605,NO
0.19595,YES
0.04225,NO
0.37815000000000004,YES
0.2505,NO
0.14150000000000001,NO
0.1252,NO
0.0907,NO
0.04915,NO
0.1729,NO
0.06665,NO
0.1036,NO
0.09595000000000001,NO
0.09135,YES
0.0662,YES
0.12905,YES
0.09635,YES
0.0689,NO
0.048499999999999995,YES
0.10950000000000001,NO
0.19060000000000002,YES
0.37439999999999996,YES
0.16115,NO
0.1392,NO
0.0425,NO
0.0739,NO
0.3126,YES
0.22495,YES
0.10735,NO
0.14395,NO
0.03225,NO
0.20475,NO
0.14325,NO
0.2736,NO
0.13315,NO
0.08305,YES
0.2164,NO
0.18955,YES
0.036449999999999996,NO
0.26885000000000003,YES
0.081,NO
0.08385,NO
0.31284999999999996,NO
0.0937,NO
0.09405,NO
0.13135,NO
0.0502,NO
0.09845,NO
0.0711,NO
0.03065,NO
0.13419999999999999,NO
0.19890000000000002,NO
0.05125,NO
0.07725,NO
0.07645,NO
0.3249,NO
0.09765,NO
0.14035,YES
0.067,NO
0.2009,YES
0.1619,NO
0.11925,NO
0.1088,NO
0.04035,NO
0.0486,NO
0.0431,NO
0.09075,NO
0.1743,NO
0.0802,NO
0.0486,YES
0.0525,YES
0.08185,YES
0.14655,YES
0.09685,NO
0.05755,YES
0.1126,NO
