NONETRACED_RFUNDER_SINGLE_VSM_MEDIAN.csv,Associated
0.06975,NO
0.06625,YES
0.07215,NO
0.11325,NO
0.1217,NO
0.10669999999999999,NO
0.0286,NO
0.4609,YES
0.0278,NO
0.22045,YES
0.09085,NO
0.4475,YES
0.0261,NO
0.038849999999999996,NO
0.11695,NO
0.0247,NO
0.08575,YES
0.0632,NO
0.07715,YES
0.0772,NO
0.0366,NO
0.09875,NO
0.17909999999999998,NO
0.12384999999999999,NO
0.22005000000000002,NO
0.0842,NO
0.06125,NO
0.1029,NO
0.5564,YES
0.08385000000000001,NO
0.4652,YES
0.09935,NO
0.0878,NO
0.08445,NO
0.027000000000000003,NO
0.13345,NO
0.02735,NO
0.0641,NO
0.10595,NO
0.08465,NO
0.45985,YES
0.3256,YES
0.15955,YES
0.28969999999999996,YES
0.1163,NO
0.09765,YES
0.11895,NO
0.04925,NO
0.0387,NO
0.06344999999999999,YES
0.31735,YES
0.29155,YES
0.06655,YES
0.04425,NO
0.0302,NO
0.1034,YES
0.1349,NO
0.053,YES
0.09295,NO
0.2326,NO
0.14855,NO
0.13374999999999998,NO
0.07265,NO
0.37225,YES
0.0705,NO
0.17115,YES
0.076,NO
0.16775,YES
0.13245,NO
0.12029999999999999,NO
0.1414,NO
0.0516,NO
0.14305,YES
0.0658,NO
0.0813,YES
0.07075,NO
0.03725,NO
0.14405,NO
0.095,NO
0.07735,NO
0.10984999999999999,NO
0.08265,NO
0.0768,NO
0.18495,NO
0.09945,YES
0.10725,NO
0.40735,YES
0.24595,NO
0.1068,NO
0.10165,NO
0.02665,NO
0.0675,NO
0.027999999999999997,NO
0.05565,NO
0.1278,NO
0.04945,NO
0.09395,YES
0.08725,YES
0.11005,YES
0.2954,YES
0.12525,NO
0.09284999999999999,YES
0.06655,NO
0.04745,NO
0.06695,NO
0.11699999999999999,NO
0.14335,NO
0.1068,NO
0.10395,NO
0.06695,NO
0.04835,NO
0.1099,NO
0.5064,YES
0.1222,NO
0.0968,YES
0.06655,NO
0.03675,NO
0.037349999999999994,NO
0.102,NO
0.10135000000000001,NO
0.08275,NO
0.155,NO
0.06545,NO
0.14095,NO
0.4071,YES
0.2998,YES
0.40205,YES
0.18414999999999998,YES
0.0965,NO
0.24864999999999998,YES
0.0863,NO
0.07195,NO
0.03845,NO
0.09765,NO
0.1371,NO
0.10735,NO
0.10615,NO
0.0892,NO
0.0602,NO
0.08755,NO
0.5439499999999999,YES
0.0964,NO
0.42415,YES
0.1126,NO
0.10205,NO
0.10035,NO
0.0249,NO
0.07075,NO
0.02575,NO
0.06035,NO
0.11560000000000001,NO
0.07500000000000001,NO
0.3669,YES
0.3447,YES
0.14495,YES
0.21375,YES
0.1103,NO
0.11015,YES
0.0584,NO
0.03635,NO
0.0357,NO
0.054000000000000006,NO
0.1593,NO
0.07635,NO
0.04275,NO
0.03025,NO
0.0266,NO
0.07105,NO
0.54985,YES
0.03035,NO
0.12735,YES
0.1059,NO
0.1024,NO
0.10225,NO
0.04245,NO
0.06175,NO
0.0412,NO
0.07375000000000001,NO
0.0851,NO
0.08589999999999999,NO
0.5536,YES
0.45014999999999994,YES
0.187,YES
0.07285,YES
0.06875,NO
0.07139999999999999,YES
0.059500000000000004,NO
0.08345,NO
0.057550000000000004,NO
0.46975,YES
0.07155,YES
0.06635,YES
0.42235,YES
0.11185,NO
0.05325,NO
0.32330000000000003,YES
0.0487,NO
0.52445,YES
0.05295,NO
0.10655,NO
0.0748,NO
0.0737,NO
0.0451,NO
0.06465,YES
0.04375,NO
0.14845,YES
0.10645,NO
0.11605,YES
0.07354999999999999,NO
0.04,NO
0.19624999999999998,NO
0.08499999999999999,NO
0.32994999999999997,YES
0.1658,NO
0.15405000000000002,YES
0.09495,NO
0.07735,NO
0.22475,YES
0.11280000000000001,NO
0.08175,NO
0.32295,YES
0.09135,NO
0.05485,NO
0.4424,YES
0.0955,NO
0.45904999999999996,YES
0.0764,NO
0.23320000000000002,NO
0.17015,NO
0.1424,NO
0.0855,NO
0.10949999999999999,NO
0.0699,NO
0.29865,NO
0.07255,NO
0.14684999999999998,NO
0.09955,NO
0.0992,NO
0.22335,NO
0.09585,NO
0.3197,YES
0.20795,NO
0.4637,YES
0.059899999999999995,NO
0.09820000000000001,NO
0.21375,YES
0.3347,YES
0.3316,YES
0.13065,YES
0.06165,NO
0.0237,NO
0.45994999999999997,YES
0.2514,NO
0.2004,YES
0.09975,NO
0.11825,NO
0.10305,NO
0.1274,NO
0.0228,NO
0.34975,YES
0.0221,NO
0.4,YES
0.0862,NO
0.11065,YES
0.29985,NO
0.31555,NO
0.42675,NO
0.06775,NO
0.1265,YES
0.26295,NO
0.199,YES
0.0818,NO
0.0823,NO
0.43405,YES
0.09809999999999999,NO
0.16745,NO
0.22985,YES
0.09405,NO
0.0765,NO
0.6069,YES
0.0795,NO
0.5715,YES
0.0728,NO
0.1372,NO
0.0871,NO
0.07885,NO
0.08875,NO
0.1203,NO
0.0827,NO
0.21785000000000002,NO
0.0501,NO
0.13315,NO
0.1259,NO
0.2132,NO
0.21505,NO
0.11800000000000001,NO
0.226,YES
0.1792,NO
0.42195000000000005,YES
0.02335,NO
0.0092,NO
0.1222,YES
0.35335,YES
0.35255,YES
0.0263,YES
0.01945,NO
0.0049,NO
0.1152,YES
0.0576,NO
0.0417,YES
0.0547,NO
0.3355,NO
0.11665,NO
0.32425,NO
0.0316,NO
0.4026,YES
0.0307,NO
0.27665,YES
0.07235,NO
0.1756,YES
0.0075,NO
0.0407,NO
0.0399,NO
0.022500000000000003,NO
0.0336,YES
0.0339,NO
0.03685,YES
0.3512,YES
0.0241,YES
0.1867,NO
0.0824,NO
0.07295,NO
0.08030000000000001,NO
0.1297,YES
0.38965,YES
0.0952,NO
0.0379,NO
0.10085,NO
0.0335,NO
0.10655,NO
0.085,NO
0.0723,NO
0.0572,YES
0.0475,NO
0.31595,YES
0.103,NO
0.32925,YES
0.038849999999999996,NO
0.051,NO
0.04635,NO
0.06795000000000001,NO
0.08965000000000001,NO
0.11885,NO
0.075,NO
0.1048,NO
0.04695,NO
0.0336,NO
0.1584,YES
0.0577,YES
0.045099999999999994,YES
0.3483,YES
0.0534,NO
0.03385,NO
0.6377999999999999,YES
0.0469,NO
0.56855,YES
0.04325,NO
0.2071,NO
0.13335,NO
0.1112,NO
0.042,NO
0.08135,YES
0.03865,NO
0.2001,YES
0.04605,NO
0.11345,YES
0.09765,NO
0.0471,NO
0.16615000000000002,NO
0.05885,NO
0.5083,YES
0.15605,NO
0.53655,YES
0.0589,NO
0.0887,NO
0.34885,YES
0.13570000000000002,YES
0.11535,YES
0.15835,YES
0.1096,NO
0.05825,NO
0.19674999999999998,YES
0.1093,NO
0.1711,YES
0.0544,NO
0.15885,NO
0.08815,NO
0.0972,NO
0.0474,NO
0.121,YES
0.0441,NO
0.18835000000000002,YES
0.0984,NO
0.10370000000000001,YES
0.1517,NO
0.0973,NO
0.31520000000000004,NO
0.0811,NO
0.19695000000000001,YES
0.24705,NO
0.30185,YES
0.0671,NO
0.05495,NO
0.46799999999999997,YES
0.08115,YES
0.1398,YES
0.17985,YES
0.1185,NO
0.0811,NO
0.1986,YES
0.0551,NO
0.50005,YES
0.0511,NO
0.07415,NO
0.0431,NO
0.05645,NO
0.1017,NO
0.12409999999999999,YES
0.09875,NO
0.1861,YES
0.08865,NO
0.13570000000000002,YES
0.0927,NO
0.12004999999999999,NO
0.19095,NO
0.08575,NO
0.1976,YES
0.16795000000000002,NO
0.40900000000000003,YES
0.03545,NO
0.0366,NO
0.2197,YES
0.05955,YES
0.03325,YES
0.18705,YES
0.0332,NO
0.0278,NO
0.64645,YES
0.05015,NO
0.44520000000000004,YES
0.044000000000000004,NO
0.17295,NO
0.06815,NO
0.10985,NO
0.05235,NO
0.07655,YES
0.0508,NO
0.2133,YES
0.03195,NO
0.10735,YES
0.06885000000000001,NO
0.04065,NO
0.17675,NO
0.05475,NO
0.191,YES
0.18345,NO
0.56315,YES
0.05755,NO
0.04525,NO
0.0514,YES
0.3833,YES
0.36755,YES
0.1121,YES
0.07200000000000001,NO
0.0277,NO
0.10185,YES
0.10355,NO
0.0913,YES
0.0709,NO
0.1244,NO
0.13655,NO
0.13115000000000002,NO
0.0849,NO
0.4233,YES
0.0824,NO
0.20725000000000002,YES
0.0804,NO
0.17764999999999997,YES
0.0603,NO
0.08565,NO
0.09054999999999999,NO
0.0509,NO
0.091,YES
0.0643,NO
0.09535,YES
0.06005,NO
0.0665,NO
0.197,YES
0.44925,YES
0.4062,YES
0.16465,YES
0.13905,NO
0.0396,NO
0.20585,YES
0.09680000000000001,NO
0.18195,YES
0.0671,NO
0.07740000000000001,NO
0.0518,NO
0.0601,NO
0.09125,NO
0.48185,YES
0.0886,NO
0.38639999999999997,YES
0.0446,NO
0.5697,YES
0.08885,NO
0.07805000000000001,NO
0.24425,NO
0.0824,NO
0.18895,YES
0.1549,NO
0.19724999999999998,YES
0.0495,NO
0.0197,NO
0.07405,NO
0.1054,NO
0.0338,NO
0.11785000000000001,NO
0.053149999999999996,NO
0.02175,NO
0.17459999999999998,NO
0.06455,NO
0.05925,NO
0.0526,NO
0.57125,YES
0.3984,YES
0.39690000000000003,YES
0.0383,NO
0.040549999999999996,NO
0.03985,NO
0.041550000000000004,NO
0.12755,NO
0.0385,NO
0.02315,NO
0.03725,NO
0.060700000000000004,NO
0.02705,NO
0.09925,NO
0.04705,NO
0.12525,NO
0.10694999999999999,YES
0.4195,YES
0.1376,NO
0.08265,NO
0.06570000000000001,NO
0.03115,NO
0.3495,YES
0.09245,YES
0.0484,NO
0.07595,NO
0.02665,NO
0.0892,NO
0.08305,NO
0.0752,NO
0.0781,NO
0.42875,YES
0.02985,NO
0.12575,YES
0.0168,NO
0.38175000000000003,YES
0.04385,NO
0.05815,NO
0.0209,NO
0.0677,NO
0.0474,NO
0.07035,NO
0.04105,NO
0.0447,NO
0.0208,NO
0.00655,NO
0.06015,YES
0.46930000000000005,YES
0.31894999999999996,YES
0.0897,YES
0.0799,NO
0.03195,NO
0.11995,YES
0.05545,NO
0.10445,YES
0.0498,NO
0.17885,NO
0.0963,NO
0.09025,NO
0.0102,NO
0.53615,YES
0.0099,NO
0.5218,YES
0.061950000000000005,NO
0.29635,YES
0.0213,NO
0.01935,NO
0.0814,NO
0.01865,NO
0.06795,YES
0.0554,NO
0.08595,YES
0.3679,YES
0.0132,YES
0.17365,NO
0.07775,NO
0.0453,NO
0.08349999999999999,NO
0.113,YES
0.4292,YES
0.16555,NO
0.05085,NO
0.048499999999999995,NO
0.0529,NO
0.08705,NO
0.06865,NO
0.066,NO
0.0669,YES
0.0383,NO
0.4071,YES
0.01485,NO
0.43535,YES
0.03435,NO
0.03105,NO
0.038,NO
0.0633,NO
0.0363,NO
0.101,NO
0.0564,NO
0.07565,NO
0.0619,NO
0.04795,NO
0.04955,NO
0.1434,NO
0.057050000000000003,NO
0.0613,NO
0.03985,NO
0.04345,NO
0.13105,NO
0.12095,YES
0.04225,NO
0.40815,YES
0.1355,NO
0.1315,NO
0.13520000000000001,NO
0.0707,NO
0.07415,NO
0.0879,NO
0.06665,NO
0.1236,NO
0.07595,NO
0.06135,YES
0.0712,YES
0.07905,YES
0.35635,YES
0.0689,NO
0.058499999999999996,YES
0.0995,NO
0.4006,YES
0.0244,YES
0.14115,NO
0.0792,NO
0.0375,NO
0.0339,NO
0.0826,YES
0.44495,YES
0.04735,NO
0.05395,NO
0.03225,NO
0.05475,NO
0.08325,NO
0.0736,NO
0.07315,NO
0.06805,YES
0.0264,NO
0.43455,YES
0.01645,NO
0.49385,YES
0.031,NO
0.02385,NO
0.02285,NO
0.0637,NO
0.03405,NO
0.07135,NO
0.0402,NO
0.03845,NO
0.0761,NO
0.03065,NO
0.0742,NO
0.0889,NO
0.05125,NO
0.07725,NO
0.07645,NO
0.0549,NO
0.09265000000000001,NO
0.09035,YES
0.112,NO
0.41590000000000005,YES
0.1769,NO
0.19424999999999998,NO
0.20379999999999998,NO
0.04035,NO
0.06359999999999999,NO
0.0431,NO
0.04075,NO
0.17930000000000001,NO
0.0402,NO
0.08360000000000001,YES
0.0525,YES
0.06185,YES
0.29655,YES
0.10185000000000001,NO
0.05755,YES
0.0526,NO
