NONETRACED_SUM_RAW_VSM_MEDIAN.csv,Associated
0.472,NO
0.35450000000000004,NO
0.5568,NO
0.39145,NO
0.18030000000000002,NO
0.52275,NO
0.55555,YES
0.45275,NO
0.31015,YES
0.3514,NO
0.3857,NO
0.14595,NO
0.30445,NO
0.42695,NO
0.28405,NO
0.52035,NO
0.2257,NO
0.48175,NO
0.55555,YES
0.63775,YES
0.7172499999999999,YES
0.3268,YES
0.48340000000000005,NO
0.55375,YES
0.4017,NO
0.44695,NO
0.17009999999999997,NO
0.4702,NO
0.5468000000000001,NO
0.41765,NO
0.5514,NO
0.447,NO
0.23020000000000002,NO
0.5136999999999999,NO
0.60335,YES
0.413,NO
0.36195,YES
0.45394999999999996,NO
0.51275,NO
0.26875,NO
0.2466,NO
0.46395,NO
0.2685,NO
0.42060000000000003,NO
0.3089,NO
0.42310000000000003,NO
0.57095,YES
0.691,YES
0.6043,YES
0.39254999999999995,YES
0.51195,NO
0.5161,YES
0.39105,NO
0.3534,NO
0.1506,NO
0.35655,NO
0.5362,NO
0.3559,NO
0.41465,NO
0.34345,NO
0.16509999999999997,NO
0.4107,NO
0.61895,YES
0.28304999999999997,NO
0.35115,YES
0.39440000000000003,NO
0.45955,NO
0.24769999999999998,NO
0.24105,NO
0.40080000000000005,NO
0.24880000000000002,NO
0.35815,NO
0.2623,NO
0.39385000000000003,NO
0.5075999999999999,YES
0.64,YES
0.56155,YES
0.2881,YES
0.3933,NO
0.4069,YES
0.31865,NO
0.4291,NO
0.1612,NO
0.7152000000000001,YES
0.45765,YES
0.36460000000000004,YES
0.6973,YES
0.4882,NO
0.2213,NO
0.7048,YES
0.3355,NO
0.5849,YES
0.2478,NO
0.48240000000000005,NO
0.493,NO
0.2491,NO
0.2653,NO
0.44589999999999996,YES
0.27955,NO
0.54895,YES
0.32915,NO
0.43705,YES
0.3432,NO
0.43679999999999997,NO
0.612,NO
0.2924,NO
0.6515,YES
0.58125,NO
0.5096,YES
0.46465,NO
0.2256,NO
0.6763,YES
0.5148,NO
0.40304999999999996,NO
0.8285,YES
0.48455,NO
0.20875000000000002,NO
0.90345,YES
0.39315,NO
0.69625,YES
0.2801,NO
0.5850500000000001,NO
0.61595,NO
0.33094999999999997,NO
0.30205,NO
0.5430999999999999,NO
0.28565,NO
0.6677,NO
0.273,NO
0.54465,NO
0.39495,NO
0.50595,NO
0.69355,NO
0.3464,NO
0.7187,YES
0.67045,NO
0.6075999999999999,YES
0.5143,NO
0.1928,NO
0.66335,YES
0.6984999999999999,YES
0.5479,YES
0.7761,YES
0.53565,NO
0.22765,NO
0.78545,YES
0.5643,NO
0.61985,YES
0.33930000000000005,NO
0.58635,NO
0.6455,NO
0.32755,NO
0.3001,NO
0.6329,YES
0.31525000000000003,NO
0.6982,YES
0.32344999999999996,NO
0.6081,YES
0.5294,NO
0.6898500000000001,NO
0.74475,NO
0.36915000000000003,NO
0.6970000000000001,YES
0.6644,NO
0.5881,YES
0.3918,NO
0.20879999999999999,NO
0.64115,YES
0.42745,NO
0.35975,NO
0.76305,YES
0.41685,NO
0.20255,NO
0.7948,YES
0.33740000000000003,NO
0.68545,YES
0.2455,NO
0.46285,NO
0.45165,NO
0.21465,NO
0.26949999999999996,NO
0.47395,NO
0.25834999999999997,NO
0.60745,NO
0.2054,NO
0.48775,NO
0.37955,NO
0.45155,NO
0.6575500000000001,NO
0.32955,NO
0.67145,YES
0.634,NO
0.57475,YES
0.22105,NO
0.0805,NO
0.223,YES
0.3469,YES
0.25734999999999997,YES
0.26825,YES
0.2117,NO
0.0885,NO
0.2981,YES
0.2284,NO
0.18885,YES
0.163,NO
0.27985,NO
0.3191,NO
0.19729999999999998,NO
0.14884999999999998,NO
0.31565,YES
0.15625,NO
0.31035,YES
0.1808,NO
0.2823,YES
0.15080000000000002,NO
0.2609,NO
0.24385,NO
0.1326,NO
0.245,YES
0.22075,NO
0.2121,YES
0.494,YES
0.12204999999999999,YES
0.4689,NO
0.35660000000000003,NO
0.27805,NO
0.4094,NO
0.39535,YES
0.37124999999999997,YES
0.3956,NO
0.25730000000000003,NO
0.31015000000000004,NO
0.18425,NO
0.3789,NO
0.39385000000000003,NO
0.2198,NO
0.21494999999999997,YES
0.31484999999999996,NO
0.368,YES
0.25515,NO
0.36475,YES
0.2499,NO
0.23934999999999998,NO
0.3362,NO
0.3382,NO
0.2182,NO
0.40845,NO
0.35050000000000003,NO
0.30360000000000004,NO
0.4229,NO
0.18764999999999998,NO
0.6593,YES
0.46595,YES
0.367,YES
0.79555,YES
0.44489999999999996,NO
0.19285,NO
0.93415,YES
0.3493,NO
0.68245,YES
0.24595,NO
0.5939000000000001,NO
0.55885,NO
0.3124,NO
0.25825,NO
0.4912,YES
0.253,NO
0.63075,YES
0.24595,NO
0.5053,YES
0.371,NO
0.47155,NO
0.6652,NO
0.3164,NO
0.69155,YES
0.6439,NO
0.67215,YES
0.46085,NO
0.16975,NO
0.6664,YES
0.5559,YES
0.44445,YES
0.6769,YES
0.50575,NO
0.2391,NO
0.6872,YES
0.45880000000000004,NO
0.5547500000000001,YES
0.28795,NO
0.50275,NO
0.53295,NO
0.2741,NO
0.2798,NO
0.5091,YES
0.29625,NO
0.55615,YES
0.32995,NO
0.4793,YES
0.4432,NO
0.56875,NO
0.6416999999999999,NO
0.32425,NO
0.6333,YES
0.58545,NO
0.5144,YES
0.4017,NO
0.1827,NO
0.6998500000000001,YES
0.4374,YES
0.38505,YES
0.6935499999999999,YES
0.456,NO
0.22615000000000002,NO
0.6820499999999999,YES
0.33209999999999995,NO
0.60415,YES
0.2333,NO
0.4068,NO
0.41755,NO
0.1726,NO
0.3033,NO
0.45785000000000003,YES
0.308,NO
0.59225,YES
0.27295,NO
0.48455000000000004,YES
0.36375,NO
0.44565,NO
0.6353500000000001,NO
0.30735,NO
0.6269,YES
0.60575,NO
0.5117499999999999,YES
0.38675,NO
0.18159999999999998,NO
0.63965,YES
0.43474999999999997,YES
0.34135,YES
0.7574,YES
0.4088,NO
0.1725,NO
0.8994,YES
0.3276,NO
0.6598,YES
0.2349,NO
0.56025,NO
0.4975,NO
0.27105,NO
0.25079999999999997,NO
0.46105,YES
0.24409999999999998,NO
0.615,YES
0.21805,NO
0.4924,YES
0.3487,NO
0.4349,NO
0.6475500000000001,NO
0.2975,NO
0.6703,YES
0.609,NO
0.6877500000000001,YES
0.34635,NO
0.15165,NO
0.33845000000000003,YES
0.5565,YES
0.42925,YES
0.43405,YES
0.3306,NO
0.14909999999999998,NO
0.4464,YES
0.37544999999999995,NO
0.30415,YES
0.24855,NO
0.40285,NO
0.4736,NO
0.2772,NO
0.2595,NO
0.46265,YES
0.26555,NO
0.48540000000000005,YES
0.23829999999999998,NO
0.4649,YES
0.29395,NO
0.4376,NO
0.4047,NO
0.22845000000000001,NO
0.388,YES
0.36450000000000005,NO
0.32355,YES
0.39189999999999997,NO
0.1755,NO
0.5304,YES
0.61,YES
0.5489,YES
0.62425,YES
0.385,NO
0.1739,NO
0.61685,YES
0.391,NO
0.52415,YES
0.25885,NO
0.3915,NO
0.43370000000000003,NO
0.17975,NO
0.28725,NO
0.5811000000000001,YES
0.29009999999999997,NO
0.7734000000000001,YES
0.2188,NO
0.66255,YES
0.3636,NO
0.4799,NO
0.58555,NO
0.28295,NO
0.5521,YES
0.5323,NO
0.4698,YES
0.31729999999999997,NO
0.12175,NO
0.3387,NO
0.3969,NO
0.2508,NO
0.3822,NO
0.31525000000000003,NO
0.1428,NO
0.4919,NO
0.2743,NO
0.2756,NO
0.19935,NO
0.5262,YES
0.5055499999999999,YES
0.38734999999999997,YES
0.1877,NO
0.31365,NO
0.20299999999999999,NO
0.28485,NO
0.24359999999999998,NO
0.28115,NO
0.1996,NO
0.31745,NO
0.31810000000000005,NO
0.1817,NO
0.3757,NO
0.29460000000000003,NO
0.3821,NO
0.29655,YES
0.23745,YES
0.3506,NO
0.30785,NO
0.20429999999999998,NO
0.27005,NO
0.3989,YES
0.1777,YES
0.2724,NO
0.25115,NO
0.1879,NO
0.20795,NO
0.27735,NO
0.313,NO
0.18135,NO
0.32525,YES
0.24004999999999999,NO
0.26380000000000003,YES
0.20625000000000002,NO
0.35345,YES
0.23265,NO
0.20800000000000002,NO
0.2477,NO
0.27425,NO
0.16835,NO
0.28615,NO
0.2457,NO
0.221,NO
0.35924999999999996,NO
0.13215,NO
0.44184999999999997,YES
0.5993,YES
0.51435,YES
0.53635,YES
0.36495,NO
0.14450000000000002,NO
0.56155,YES
0.3373,NO
0.41255000000000003,YES
0.23845,NO
0.4445,NO
0.49024999999999996,NO
0.27075,NO
0.20515,NO
0.54005,YES
0.21139999999999998,NO
0.6434,YES
0.24205,NO
0.56505,YES
0.2731,NO
0.40685,NO
0.4568,NO
0.2238,NO
0.4792,YES
0.42685,NO
0.4026,YES
0.5236000000000001,YES
0.10445,YES
0.44514999999999993,NO
0.3424,NO
0.23975000000000002,NO
0.3588,NO
0.37634999999999996,YES
0.40925,YES
0.33885,NO
0.2534,NO
0.25905,NO
0.19285,NO
0.3271,NO
0.35885,NO
0.19215000000000002,NO
0.23275,YES
0.29065,NO
0.43035,YES
0.24265,NO
0.39455,YES
0.23925000000000002,NO
0.2029,NO
0.30729999999999996,NO
0.3146,NO
0.18095,NO
0.3742,NO
0.31015,NO
0.26315,NO
0.334,NO
0.12815000000000001,NO
0.3074,NO
0.4018,NO
0.2651,NO
0.37555,NO
0.296,NO
0.16870000000000002,NO
0.4001,NO
0.36255,YES
0.26045,NO
0.2658,YES
0.37095,NO
0.4301,NO
0.2582,NO
0.23320000000000002,NO
0.3254,NO
0.2655,NO
0.32384999999999997,NO
0.26180000000000003,NO
0.32715,NO
0.27725,YES
0.3862,YES
0.37085,YES
0.2648,YES
0.3437,NO
0.3222,YES
0.29415,NO
0.5014,YES
0.10200000000000001,YES
0.36265,NO
0.3074,NO
0.1987,NO
0.2755,NO
0.30855,YES
0.4151,YES
0.26580000000000004,NO
0.2274,NO
0.19335,NO
0.1746,NO
0.2789,NO
0.3195,NO
0.1776,NO
0.2223,YES
0.24105000000000001,NO
0.44545,YES
0.20145,NO
0.38555,YES
0.21875,NO
0.16490000000000002,NO
0.25075,NO
0.2632,NO
0.1531,NO
0.29525,NO
0.24320000000000003,NO
0.21265,NO
0.38445,NO
0.13745000000000002,NO
0.37379999999999997,NO
0.40625,NO
0.28585,NO
0.44345,NO
0.36885,NO
0.2039,NO
0.43605,NO
0.36585,YES
0.3214,NO
0.3287,YES
0.4033,NO
0.45199999999999996,NO
0.25525,NO
0.2249,NO
0.35019999999999996,NO
0.2538,NO
0.3195,NO
0.30585,NO
0.31045,NO
0.284,YES
0.39905,YES
0.38625000000000004,YES
0.3291,YES
0.4197,NO
0.3686,YES
0.31955,NO
