UPPERTRACED_RFSMOTE_MULTI_VSM_MEDIAN.csv,Associated
0.57345,NO
0.02735,NO
0.5441,NO
0.42095,NO
0.38465,NO
0.19485,YES
0.1806,YES
0.13955,YES
0.3097,YES
0.3113,NO
0.08765,YES
0.46895,NO
0.38425000000000004,NO
0.5337,NO
0.51345,YES
0.18235,YES
0.12655,YES
0.06655,YES
0.47925,NO
0.2552,NO
0.6034,YES
0.5049,NO
0.553,YES
0.13295,NO
0.5226,NO
0.53855,NO
0.17375,NO
0.13765,NO
0.11225,YES
0.1355,NO
0.13115,YES
0.091,NO
0.12775,YES
0.29245,NO
0.6103,NO
0.6113999999999999,NO
0.1066,NO
0.09805,YES
0.5558,NO
0.36129999999999995,YES
0.55075,NO
0.06225,NO
0.12405000000000001,NO
0.125,NO
0.33735000000000004,NO
0.12484999999999999,NO
0.50265,NO
0.5318,NO
0.31495,NO
0.09945,YES
0.26225,NO
0.13735,YES
0.54095,NO
0.5267999999999999,NO
0.10665000000000001,NO
0.03165,NO
0.5525,NO
0.027999999999999997,NO
0.54565,NO
0.4328,NO
0.36945,NO
0.09395,YES
0.07225,YES
0.09505,YES
0.3204,YES
0.32025000000000003,NO
0.08285,YES
0.48655,NO
0.52745,NO
0.09195,NO
0.11699999999999999,NO
0.12835000000000002,NO
0.3318,NO
0.12895,NO
0.48695,NO
0.50335,NO
0.32489999999999997,NO
0.1714,YES
0.2772,NO
0.1018,YES
0.48155,NO
0.46175,NO
0.037349999999999994,NO
0.107,NO
0.56635,NO
0.08275,NO
0.645,NO
0.38545,NO
0.46094999999999997,NO
0.2021,YES
0.1648,YES
0.24705,YES
0.25415,YES
0.2965,NO
0.13365,YES
0.5063,NO
0.5519499999999999,NO
0.06345,NO
0.10265,NO
0.1471,NO
0.36235,NO
0.11615,NO
0.5042,NO
0.5152,NO
0.30255,NO
0.17895,YES
0.2514,NO
0.11915,YES
0.5276,NO
0.52705,NO
0.10535,NO
0.0299,NO
0.57075,NO
0.02575,NO
0.55035,NO
0.4156,NO
0.39,NO
0.2019,YES
0.1747,YES
0.13995,YES
0.29875,YES
0.3103,NO
0.10015,YES
0.4784,NO
0.51635,NO
0.060700000000000004,NO
0.059000000000000004,NO
0.1743,NO
0.33135000000000003,NO
0.06775,NO
0.45025,NO
0.48160000000000003,NO
0.28605,NO
0.21985,YES
0.19035,NO
0.13235,YES
0.5208999999999999,NO
0.5274,NO
0.10725,NO
0.04745,NO
0.55175,NO
0.0412,NO
0.53875,NO
0.4051,NO
0.39590000000000003,NO
0.1686,YES
0.16515,YES
0.157,YES
0.22785,YES
0.26875000000000004,NO
0.0564,YES
0.4695,NO
0.52345,NO
0.07755000000000001,NO
0.25475,YES
0.07655,YES
0.06135,YES
0.14235,YES
0.61185,NO
0.18325,NO
0.1633,YES
0.45370000000000005,NO
0.16445,YES
0.11295,NO
0.60655,NO
0.5748,NO
0.1437,NO
0.2351,NO
0.42464999999999997,YES
0.23375,NO
0.11845,YES
0.32145,NO
0.54105,YES
0.48355,NO
0.36,NO
0.15125,NO
0.08499999999999999,NO
0.16995,YES
0.1258,NO
0.10405,YES
0.57495,NO
0.56735,NO
0.41474999999999995,YES
0.1228,NO
0.08175,NO
0.20795,YES
0.59135,NO
0.18985000000000002,NO
0.2724,YES
0.0955,NO
0.23404999999999998,YES
0.5014,NO
0.6632,NO
0.66015,NO
0.5724,NO
0.41550000000000004,NO
0.6094999999999999,NO
0.5599,NO
0.27865,NO
0.07255,NO
0.30185,NO
0.09955,NO
0.5892,NO
0.42335,NO
0.09585,NO
0.1897,YES
0.17795,NO
0.1437,YES
0.3749,NO
0.5132,NO
0.58375,YES
0.1397,YES
0.1116,YES
0.11065,YES
0.49665,NO
0.2487,NO
0.63995,YES
0.4914,NO
0.6304,YES
0.11474999999999999,NO
0.52825,NO
0.51305,NO
0.1574,NO
0.0878,NO
0.08975,YES
0.08710000000000001,NO
0.135,YES
0.0812,NO
0.09565,YES
0.30985,NO
0.60555,NO
0.6467499999999999,NO
0.11275,NO
0.1465,YES
0.59795,NO
0.394,YES
0.4568,NO
0.5423,NO
0.19405,YES
0.5881,NO
0.08245,NO
0.20985,YES
0.47405,NO
0.2865,NO
0.2369,YES
0.40950000000000003,NO
0.2465,YES
0.5728,NO
0.6122,NO
0.5121,NO
0.56385,NO
0.09375,NO
0.4503,NO
0.0827,NO
0.6778500000000001,NO
0.08510000000000001,NO
0.42815,NO
0.1109,NO
0.0882,NO
0.55505,NO
0.10800000000000001,NO
0.21100000000000002,YES
0.5392,NO
0.16195,YES
0.35835,NO
0.5042,NO
0.4872,YES
0.09835,YES
0.06255,YES
0.0263,YES
0.45445,NO
0.2299,NO
0.5602,YES
0.4326,NO
0.5217,YES
0.10969999999999999,NO
0.4955,NO
0.49665,NO
0.14425,NO
0.0966,NO
0.0826,YES
0.09570000000000001,NO
0.07665,YES
0.08735,NO
0.0606,YES
0.1975,NO
0.5357,NO
0.5349,NO
0.07250000000000001,NO
0.0586,YES
0.5189,NO
0.32685,YES
0.1512,YES
0.5141,YES
0.4917,NO
0.0924,NO
0.52795,NO
0.2953,NO
0.1297,YES
0.18465,YES
0.3252,NO
0.3579,NO
0.20585,NO
0.0885,NO
0.55655,NO
0.535,NO
0.0723,NO
0.0472,YES
0.2875,NO
0.12095,YES
0.013000000000000001,NO
0.14925,YES
0.39385,NO
0.411,NO
0.08135,NO
0.46295000000000003,NO
0.09465000000000001,NO
0.12885,NO
0.53,NO
0.24480000000000002,NO
0.51195,NO
0.0886,NO
0.1534,YES
0.0627,YES
0.0401,YES
0.1583,YES
0.5434,NO
0.16385,NO
0.2728,YES
0.4519,NO
0.18855,YES
0.09825,NO
0.6521,NO
0.59335,NO
0.17120000000000002,NO
0.232,NO
0.43135,YES
0.22865,NO
0.1501,YES
0.25605,NO
0.57345,YES
0.48765,NO
0.3671,NO
0.15115,NO
0.08385000000000001,NO
0.1483,YES
0.13105,NO
0.18155,YES
0.5288999999999999,NO
0.07869999999999999,NO
0.21385,YES
0.11570000000000001,YES
0.10035,YES
0.12335,YES
0.6096,NO
0.18825,NO
0.15175,YES
0.4993,NO
0.1461,YES
0.1144,NO
0.61385,NO
0.58815,NO
0.1572,NO
0.2374,NO
0.451,YES
0.2341,NO
0.11335,YES
0.3134,NO
0.5537,YES
0.5267,NO
0.4123,NO
0.1502,NO
0.09110000000000001,NO
0.15195,YES
0.11705,NO
0.10685,YES
0.5371,NO
0.10994999999999999,NO
0.263,YES
0.08615,YES
0.0998,YES
0.16485,YES
0.6134999999999999,NO
0.2111,NO
0.1686,YES
0.4601,NO
0.19505,YES
0.1111,NO
0.5741499999999999,NO
0.5431,NO
0.10145000000000001,NO
0.2917,NO
0.4591,YES
0.28875,NO
0.1711,YES
0.30365,NO
0.6007,YES
0.5077,NO
0.38505,NO
0.18095,NO
0.11075000000000002,NO
0.1726,YES
0.16295,NO
0.129,YES
0.50545,NO
0.0916,NO
0.1547,YES
0.05955,YES
0.03325,YES
0.14705,YES
0.5332,NO
0.1578,NO
0.26145,YES
0.45515000000000005,NO
0.1802,YES
0.10400000000000001,NO
0.64295,NO
0.56315,NO
0.14485,NO
0.24235,NO
0.42655,YES
0.24080000000000001,NO
0.1533,YES
0.24695,NO
0.5823499999999999,YES
0.48385,NO
0.36065,NO
0.15675,NO
0.07975,NO
0.151,YES
0.11845,NO
0.21315,YES
0.39255,NO
0.54025,NO
0.5114000000000001,YES
0.1783,YES
0.13255,YES
0.0771,YES
0.482,NO
0.2527,NO
0.60185,YES
0.47355,NO
0.5563,YES
0.13090000000000002,NO
0.5344,NO
0.54655,NO
0.18115,NO
0.1499,NO
0.1133,YES
0.1474,NO
0.13725,YES
0.0954,NO
0.13265,YES
0.2503,NO
0.58065,NO
0.58055,NO
0.1059,NO
0.101,YES
0.5593,NO
0.35535,YES
0.39505,NO
0.5465,NO
0.587,YES
0.16425,YES
0.1812,YES
0.12965,YES
0.48405,NO
0.2646,NO
0.64585,YES
0.4668,NO
0.65195,YES
0.1271,NO
0.4824,NO
0.4618,NO
0.0901,NO
0.15625,NO
0.14685,YES
0.15360000000000001,NO
0.2864,YES
0.0646,NO
0.2297,YES
0.27385,NO
0.5730500000000001,NO
0.64925,NO
0.12240000000000001,NO
0.14895,YES
0.6149,NO
0.41225,YES
0.4495,NO
0.5047,NO
0.28905000000000003,NO
0.6004,NO
0.1538,NO
0.28785,NO
0.54815,NO
0.07675,NO
0.1296,NO
0.06455,NO
0.08424999999999999,NO
0.3876,NO
0.21125,YES
0.1684,YES
0.1969,YES
0.3483,NO
0.46055,NO
0.23485,NO
0.24155,NO
0.07755,NO
0.1285,NO
0.38815,NO
0.48725,NO
0.3457,NO
0.34705,NO
0.21925,NO
0.52705,NO
0.53025,NO
0.06195,YES
0.6345,YES
0.4476,NO
0.09765,NO
0.49570000000000003,NO
0.25115,NO
0.1745,YES
0.06245,YES
0.3034,NO
0.39595,NO
0.15665,NO
0.1442,NO
0.53305,NO
0.5302,NO
0.0781,NO
0.15875,YES
0.26985,NO
0.09075,YES
0.0168,NO
0.18675,YES
0.41885,NO
0.41814999999999997,NO
0.055900000000000005,NO
0.4677,NO
0.0824,NO
0.09035,NO
0.49605,NO
0.2397,NO
0.3558,NO
0.5015499999999999,NO
0.52015,YES
0.1443,YES
0.14395,YES
0.0647,YES
0.4599,NO
0.23195000000000002,NO
0.59995,YES
0.43045,NO
0.56945,YES
0.1098,NO
0.50885,NO
0.49629999999999996,NO
0.14525,NO
0.0752,NO
0.10615,YES
0.07490000000000001,NO
0.1768,YES
0.07195,NO
0.14135,YES
0.2113,NO
0.51935,NO
0.5614,NO
0.07365,NO
0.09295,YES
0.5404,NO
0.35095,YES
0.1729,YES
0.5032,YES
0.48365,NO
0.09275,NO
0.5003,NO
0.2735,NO
0.123,YES
0.2092,YES
0.31055,NO
0.37085,NO
0.1785,NO
0.1079,NO
0.53705,NO
0.5236500000000001,NO
0.066,NO
0.0619,YES
0.2783,NO
0.1621,YES
0.01485,NO
0.17035,YES
0.39435,NO
0.39105,NO
0.07300000000000001,NO
0.46330000000000005,NO
0.0713,NO
0.116,NO
0.5114,NO
0.23565,NO
0.5418999999999999,NO
0.05795,NO
0.054549999999999994,NO
0.1384,NO
0.30705,NO
0.0863,NO
0.45985,NO
0.49845,NO
0.31105,NO
0.10595,YES
0.20225,NO
0.11315,YES
0.5355,NO
0.5565,NO
0.1302,NO
0.0757,NO
0.54915,NO
0.0829,NO
0.55665,NO
0.4236,NO
0.39595,NO
0.06135,YES
0.0662,YES
0.07905,YES
0.26135,YES
0.26890000000000003,NO
0.048499999999999995,YES
0.4795,NO
0.1806,YES
0.5144,YES
0.45115,NO
0.0942,NO
0.48750000000000004,NO
0.2539,NO
0.0926,YES
0.22495,YES
0.30235,NO
0.37395,NO
0.16225,NO
0.10975,NO
0.53325,NO
0.5286,NO
0.07315,NO
0.06805,YES
0.26639999999999997,NO
0.18955,YES
0.01645,NO
0.17885,YES
0.406,NO
0.38384999999999997,NO
0.05785,NO
0.4637,NO
0.06905,NO
0.09135,NO
0.49520000000000003,NO
0.23345,NO
0.5510999999999999,NO
0.055650000000000005,NO
0.0792,NO
0.1189,NO
0.31125,NO
0.10225000000000001,NO
0.49645,NO
0.5099,NO
0.30265,NO
0.09035,YES
0.227,NO
0.15589999999999998,YES
0.5368999999999999,NO
0.54425,NO
0.1138,NO
0.045349999999999994,NO
0.5486,NO
0.0431,NO
0.5307499999999999,NO
0.4343,NO
0.3602,NO
0.0486,YES
0.0525,YES
0.06185,YES
0.30155,YES
0.29685,NO
0.05755,YES
0.47259999999999996,NO
