UPPERTRACED_RFNONE_MULTI_VSM_MEDIAN.csv,Associated
0.148,NO
0.20565,NO
0.2878,NO
0.21945,NO
0.21895,YES
0.29225,YES
0.22005,YES
0.2554,YES
0.21525,NO
0.32284999999999997,YES
0.26155,NO
0.15745,NO
0.16695,NO
0.16699999999999998,NO
0.31335,NO
0.1518,NO
0.25895,NO
0.22694999999999999,NO
0.39835,NO
0.1849,NO
0.39139999999999997,YES
0.1222,NO
0.2218,YES
0.19655,NO
0.18175,NO
0.03235,NO
0.202,NO
0.34135000000000004,NO
0.20274999999999999,NO
0.305,NO
0.24045,NO
0.31095,NO
0.3271,YES
0.38480000000000003,YES
0.37205,YES
0.18914999999999998,YES
0.1915,NO
0.37365,YES
0.2813,NO
0.18195,NO
0.13845000000000002,NO
0.15265,NO
0.3321,NO
0.18235,NO
0.24614999999999998,NO
0.2442,NO
0.41019999999999995,NO
0.16255,NO
0.39895,YES
0.0964,NO
0.23915000000000003,YES
0.2426,NO
0.24705,NO
0.10035,NO
0.12490000000000001,NO
0.34575,NO
0.14575,NO
0.21034999999999998,NO
0.2706,NO
0.24000000000000002,NO
0.32689999999999997,YES
0.3947,YES
0.26495,YES
0.23375,YES
0.20529999999999998,NO
0.34015,YES
0.2534,NO
0.14635,NO
0.13570000000000002,NO
0.10900000000000001,NO
0.3593,NO
0.15134999999999998,NO
0.19775,NO
0.19025,NO
0.3766,NO
0.14605,NO
0.43984999999999996,YES
0.03535,NO
0.25235,YES
0.2359,NO
0.2474,NO
0.10225,NO
0.14245000000000002,NO
0.32675000000000004,NO
0.1612,NO
0.19874999999999998,NO
0.2601,NO
0.2459,NO
0.29359999999999997,YES
0.38515,YES
0.28200000000000003,YES
0.16285,YES
0.16375,NO
0.2964,YES
0.2445,NO
0.28845,NO
0.22255000000000003,NO
0.45975,YES
0.27155,YES
0.15134999999999998,YES
0.26735,YES
0.37185,NO
0.27825,NO
0.3833,YES
0.1537,NO
0.29945,YES
0.27295,NO
0.49655000000000005,NO
0.5448,NO
0.3737,NO
0.18510000000000001,NO
0.29464999999999997,YES
0.17875000000000002,NO
0.27344999999999997,YES
0.17145,NO
0.22105,YES
0.23355,NO
0.215,NO
0.30625,NO
0.19,NO
0.40495,YES
0.2708,NO
0.23905,YES
0.27995000000000003,NO
0.12735000000000002,NO
0.21475,YES
0.1278,NO
0.09175,NO
0.23795,YES
0.15635,NO
0.15485000000000002,NO
0.4124,YES
0.1155,NO
0.31405,YES
0.1264,NO
0.6332,NO
0.62515,NO
0.21739999999999998,NO
0.0855,NO
0.2895,NO
0.0849,NO
0.18865,NO
0.10255,NO
0.13685,NO
0.12955,NO
0.4792,NO
0.21835,NO
0.12585000000000002,NO
0.2197,YES
0.19294999999999998,NO
0.1737,YES
0.12490000000000001,NO
0.1782,NO
0.48375,YES
0.3447,YES
0.2416,YES
0.26065,YES
0.15165,NO
0.0987,NO
0.51495,YES
0.19140000000000001,NO
0.5354,YES
0.30975,NO
0.25325,NO
0.27305,NO
0.2574,NO
0.2828,NO
0.21475,YES
0.1121,NO
0.335,YES
0.1162,NO
0.30065,YES
0.18985000000000002,NO
0.48555000000000004,NO
0.60675,NO
0.33275000000000005,NO
0.26649999999999996,YES
0.5629500000000001,NO
0.179,YES
0.1118,NO
0.0823,NO
0.24405,YES
0.35810000000000003,NO
0.08745,NO
0.23485,YES
0.09405,NO
0.22149999999999997,NO
0.3019,YES
0.0795,NO
0.27649999999999997,YES
0.2928,NO
0.4172,NO
0.0971,NO
0.21384999999999998,NO
0.11875,NO
0.1203,NO
0.1627,NO
0.52285,NO
0.0451,NO
0.13315,NO
0.1609,NO
0.13319999999999999,NO
0.43505,NO
0.10800000000000001,NO
0.226,YES
0.4242,NO
0.19195,YES
0.10835,NO
0.16920000000000002,NO
0.3872,YES
0.30335,YES
0.19255,YES
0.17629999999999998,YES
0.10944999999999999,NO
0.0799,NO
0.4352,YES
0.1326,NO
0.4267,YES
0.3047,NO
0.22050000000000003,NO
0.25665000000000004,NO
0.24425,NO
0.2916,NO
0.2076,YES
0.1207,NO
0.27665,YES
0.12234999999999999,NO
0.2656,YES
0.07750000000000001,NO
0.4157,NO
0.4949,NO
0.29250000000000004,NO
0.17859999999999998,YES
0.4839,NO
0.11185,YES
0.3262,YES
0.2041,YES
0.2967,NO
0.1874,NO
0.36795,NO
0.2203,NO
0.3497,YES
0.22965000000000002,YES
0.3752,NO
0.2879,NO
0.09585,NO
0.35850000000000004,NO
0.33155,NO
0.21000000000000002,NO
0.0723,NO
0.1072,YES
0.2675,NO
0.21595,YES
0.013000000000000001,NO
0.27425,YES
0.16385,NO
0.126,NO
0.15635,NO
0.29795,NO
0.24465,NO
0.21885,NO
0.315,NO
0.17980000000000002,NO
0.27695,NO
0.2336,NO
0.3584,YES
0.25770000000000004,YES
0.1301,YES
0.2833,YES
0.3034,NO
0.25885,NO
0.4928,YES
0.15189999999999998,NO
0.32355,YES
0.25825,NO
0.5421,NO
0.56335,NO
0.4012,NO
0.18200000000000002,NO
0.30135,YES
0.17365,NO
0.30510000000000004,YES
0.10605,NO
0.25345,YES
0.23765000000000003,NO
0.2221,NO
0.30615000000000003,NO
0.18885000000000002,NO
0.3833,YES
0.27605,NO
0.31655,YES
0.2939,NO
0.2237,NO
0.41885,YES
0.31070000000000003,YES
0.19035,YES
0.24835000000000002,YES
0.36960000000000004,NO
0.28325,NO
0.37175,YES
0.19929999999999998,NO
0.2811,YES
0.2744,NO
0.50385,NO
0.5581499999999999,NO
0.3872,NO
0.1874,NO
0.321,YES
0.1791,NO
0.26835,YES
0.1634,NO
0.23370000000000002,YES
0.2767,NO
0.2673,NO
0.3052,NO
0.1961,NO
0.38695,YES
0.26205,NO
0.24185,YES
0.3021,NO
0.25495,NO
0.46799999999999997,YES
0.28115,YES
0.1898,YES
0.28985,YES
0.3735,NO
0.30610000000000004,NO
0.3886,YES
0.1601,NO
0.33005,YES
0.2711,NO
0.46415,NO
0.5131,NO
0.33144999999999997,NO
0.24170000000000003,NO
0.3291,YES
0.23375,NO
0.3261,YES
0.15365,NO
0.2807,YES
0.25770000000000004,NO
0.24004999999999999,NO
0.33594999999999997,NO
0.21575,NO
0.40759999999999996,YES
0.30795,NO
0.264,YES
0.27044999999999997,NO
0.2366,NO
0.3597,YES
0.25455,YES
0.12325,YES
0.27205,YES
0.2932,NO
0.2528,NO
0.48145000000000004,YES
0.15515,NO
0.31520000000000004,YES
0.264,NO
0.53295,NO
0.53315,NO
0.37485,NO
0.19235000000000002,NO
0.29655,YES
0.18580000000000002,NO
0.3083,YES
0.09695000000000001,NO
0.26234999999999997,YES
0.23385,NO
0.21564999999999998,NO
0.31174999999999997,NO
0.18475,NO
0.386,YES
0.26344999999999996,NO
0.34815,YES
0.14255,NO
0.20525,NO
0.4114,YES
0.3833,YES
0.26255,YES
0.2271,YES
0.137,NO
0.1027,NO
0.47685,YES
0.17354999999999998,NO
0.46130000000000004,YES
0.3259,NO
0.2594,NO
0.30655,NO
0.28115,NO
0.3449,NO
0.2383,YES
0.1724,NO
0.33725000000000005,YES
0.1304,NO
0.33765,YES
0.1303,NO
0.46065,NO
0.54055,NO
0.3259,NO
0.22099999999999997,YES
0.5243,NO
0.14035,YES
0.14505,NO
0.21150000000000002,NO
0.487,YES
0.36924999999999997,YES
0.31120000000000003,YES
0.27964999999999995,YES
0.13905,NO
0.11460000000000001,NO
0.52085,YES
0.1668,NO
0.5569500000000001,YES
0.3221,NO
0.20740000000000003,NO
0.2218,NO
0.1901,NO
0.35125,NO
0.27185000000000004,YES
0.17859999999999998,NO
0.4864,YES
0.0996,NO
0.4347,YES
0.15385,NO
0.45305,NO
0.6092500000000001,NO
0.34240000000000004,NO
0.26895,YES
0.5799000000000001,NO
0.19724999999999998,YES
0.1395,NO
0.1697,NO
0.11405,NO
0.1204,NO
0.0838,NO
0.14785,NO
0.09815,NO
0.028416666666666663,NO
0.17959999999999998,NO
0.07454999999999999,NO
0.09425,NO
0.0776,NO
0.24125,YES
0.33340000000000003,YES
0.2219,YES
0.0683,NO
0.05555,NO
0.03985,NO
0.04655,NO
0.11255,NO
0.11349999999999999,NO
0.02315,NO
0.042249999999999996,NO
0.1457,NO
0.04705,NO
0.14425,NO
0.21705,NO
0.47525,NO
0.23695,YES
0.3245,YES
0.2526,NO
0.19265,NO
0.3357,NO
0.17615,NO
0.39449999999999996,YES
0.10744999999999999,YES
0.3534,NO
0.32595,NO
0.04665,NO
0.4142,NO
0.30805,NO
0.2052,NO
0.0781,NO
0.21875,YES
0.24985000000000002,NO
0.18575,YES
0.0168,NO
0.31174999999999997,YES
0.18885,NO
0.13315,NO
0.1309,NO
0.30269999999999997,NO
0.2324,NO
0.18035,NO
0.28105,NO
0.1747,NO
0.1058,NO
0.16655,NO
0.42014999999999997,YES
0.3493,YES
0.27395,YES
0.2147,YES
0.1149,NO
0.08195,NO
0.47495,YES
0.13045,NO
0.47445000000000004,YES
0.3048,NO
0.23385,NO
0.25630000000000003,NO
0.24525,NO
0.2702,NO
0.23115,YES
0.0999,NO
0.3768,YES
0.10695,NO
0.34635,YES
0.0913,NO
0.39935,NO
0.5214,NO
0.29365,NO
0.21294999999999997,YES
0.5054000000000001,NO
0.13595000000000002,YES
0.3479,YES
0.19319999999999998,YES
0.28865,NO
0.18775,NO
0.3403,NO
0.19849999999999998,NO
0.343,YES
0.2542,YES
0.36055,NO
0.30085,NO
0.06849999999999999,NO
0.3779,NO
0.31205,NO
0.19865,NO
0.066,NO
0.12190000000000001,YES
0.2583,NO
0.2571,YES
0.01485,NO
0.29535,YES
0.16435,NO
0.10605,NO
0.148,NO
0.2983,NO
0.2213,NO
0.20600000000000002,NO
0.2964,NO
0.17065,NO
0.1719,NO
0.13295,NO
0.10455,NO
0.3234,NO
0.12705,NO
0.2163,NO
0.19985,NO
0.39344999999999997,NO
0.17104999999999998,NO
0.32595,YES
0.04725,NO
0.23315000000000002,YES
0.2505,NO
0.27649999999999997,NO
0.1252,NO
0.17070000000000002,NO
0.32415000000000005,NO
0.2029,NO
0.21665,NO
0.27859999999999996,NO
0.24595,NO
0.18635000000000002,YES
0.2862,YES
0.20405,YES
0.19635000000000002,YES
0.1639,NO
0.2885,YES
0.2545,NO
0.3556,YES
0.2044,YES
0.25615,NO
0.1892,NO
0.3275,NO
0.1789,NO
0.3126,YES
0.26995,YES
0.35235,NO
0.30395,NO
0.052250000000000005,NO
0.37975000000000003,NO
0.30825,NO
0.2036,NO
0.07315,NO
0.12805,YES
0.2464,NO
0.28454999999999997,YES
0.01645,NO
0.30385,YES
0.176,NO
0.09885,NO
0.13285,NO
0.29869999999999997,NO
0.21905,NO
0.18135,NO
0.2802,NO
0.16845,NO
0.18109999999999998,NO
0.13065000000000002,NO
0.1292,NO
0.3039,NO
0.13125,NO
0.23225,NO
0.23645,NO
0.4049,NO
0.16265000000000002,NO
0.31035,YES
0.07200000000000001,NO
0.27590000000000003,YES
0.2519,NO
0.26425,NO
0.1088,NO
0.14035,NO
0.3236,NO
0.1631,NO
0.19075,NO
0.2893,NO
0.2102,NO
0.1736,YES
0.2725,YES
0.18685000000000002,YES
0.23655,YES
0.19185000000000002,NO
0.29755,YES
0.24760000000000001,NO
