LOWERTRACED_SUM_MULTI_VSM_MEDIAN.csv,Associated
0.41815,NO
2.2220999999999997,YES
1.26225,NO
2.21255,YES
1.2006000000000001,NO
0.5662,NO
0.551,NO
0.55035,NO
0.41725,NO
1.55505,YES
0.41655000000000003,NO
1.6003,YES
0.45565,NO
1.56095,YES
1.2657,NO
1.2514,NO
1.2926,NO
1.2036,NO
2.20365,YES
1.2438,NO
2.18115,YES
0.0982,NO
0.0987,NO
2.4448999999999996,YES
0.77525,NO
0.7696000000000001,NO
2.4606999999999997,YES
0.10045,NO
0.0929,NO
2.4877499999999997,YES
0.5747,NO
2.49735,YES
0.568,NO
0.3196,NO
0.2845,NO
0.27125,NO
0.10515,NO
0.7924500000000001,NO
0.0991,NO
0.865,NO
0.0615,NO
0.8203,NO
0.6061,NO
0.5833999999999999,NO
0.69025,NO
0.6032,NO
2.45185,YES
0.6744,NO
2.4128,YES
0.19925,NO
0.1851,NO
0.47715,YES
0.89205,YES
0.85625,YES
0.47625,YES
0.19535,NO
0.1808,NO
0.51015,YES
0.30105,NO
0.47165,YES
0.29315,NO
0.372,NO
0.37315,NO
0.37575,NO
0.20750000000000002,NO
0.8763,YES
0.2066,NO
0.87035,YES
0.24325,NO
0.8543,YES
0.25095,NO
0.27915,NO
0.27835,NO
0.26095,NO
0.48355000000000004,YES
0.26234999999999997,NO
0.4818,YES
0.91485,YES
0.7877500000000001,YES
1.0644500000000001,NO
0.47665,NO
0.4722,NO
0.9580500000000001,NO
0.8833500000000001,YES
0.9483,YES
0.9529500000000001,NO
0.43,NO
0.9586,NO
0.4256,NO
0.51935,NO
0.4928,NO
0.4851,NO
0.8058500000000001,YES
0.44675,NO
0.8846,YES
0.41225,NO
0.9129,YES
0.41809999999999997,NO
0.4431,NO
0.43845,NO
0.45505,NO
0.45175,NO
0.9916,NO
0.4671,NO
0.93255,NO
0.1679,NO
0.15955,NO
2.73055,YES
0.86125,YES
0.84365,YES
2.73545,YES
0.16935,NO
0.1598,NO
2.84995,YES
0.5448999999999999,NO
2.7657,YES
0.53625,NO
0.61395,NO
0.5552,NO
0.5630499999999999,NO
0.16795000000000002,NO
0.8599,YES
0.1646,NO
0.95365,YES
0.167,NO
0.902,YES
0.56565,NO
0.5451,NO
0.64915,NO
0.55685,NO
2.72545,YES
0.62905,NO
2.7587,YES
0.46975,NO
0.43455,NO
2.032,YES
1.0925,YES
1.08215,YES
1.9415,YES
0.52045,NO
0.4691,NO
1.9699,YES
1.0192,NO
1.9642499999999998,YES
0.9793000000000001,NO
0.46945000000000003,NO
0.44375000000000003,NO
0.4428,NO
0.45825,NO
1.0578,YES
0.45494999999999997,NO
1.09515,YES
0.50925,NO
1.0605,YES
1.0316,NO
1.0172,NO
1.0751,NO
0.9910000000000001,NO
1.9701,YES
1.0419500000000002,NO
1.9249999999999998,YES
0.30365000000000003,NO
0.2915,NO
2.23685,YES
0.8535999999999999,YES
0.87225,YES
2.1387,YES
0.35005,NO
0.31765,NO
2.14245,YES
0.6637500000000001,NO
2.1689000000000003,YES
0.6597500000000001,NO
0.2355,NO
0.20445,NO
0.1928,NO
0.33825,NO
0.8565499999999999,YES
0.33530000000000004,NO
0.94355,YES
0.32520000000000004,NO
0.89815,YES
0.69635,NO
0.6737,NO
0.7896000000000001,NO
0.6944,NO
2.14645,YES
0.7716000000000001,NO
2.10285,YES
0.08975,NO
0.09090000000000001,NO
2.7106,YES
0.8112,YES
0.7899,YES
2.70295,YES
0.0875,NO
0.0821,NO
2.81735,YES
0.47004999999999997,NO
2.7361,YES
0.4639,NO
0.538,NO
0.4582,NO
0.4699,NO
0.10665,NO
0.8082,YES
0.1051,NO
0.90995,YES
0.08625,NO
0.8640000000000001,YES
0.48375,NO
0.46055,NO
0.57665,NO
0.47465,NO
2.7068999999999996,YES
0.53835,NO
2.76905,YES
0.32694999999999996,NO
0.31465,NO
0.8067,YES
1.4239499999999998,YES
1.3781999999999999,YES
0.8324,YES
0.31639999999999996,NO
0.2971,NO
0.85715,YES
0.66605,NO
0.8116,YES
0.6384,NO
0.48160000000000003,NO
0.49375,NO
0.48335000000000006,NO
0.35429999999999995,NO
1.3589499999999999,YES
0.3518,NO
1.3829,YES
0.3448,NO
1.3782999999999999,YES
0.6278,NO
0.64815,NO
0.64805,NO
0.6184000000000001,NO
0.8312999999999999,YES
0.6268,NO
0.81565,YES
0.22164999999999999,NO
0.2131,NO
1.66035,YES
1.8527,YES
1.86965,YES
1.663,YES
0.21065,NO
0.2012,NO
1.6792,YES
0.63205,NO
1.6853,YES
0.6073500000000001,NO
0.18165,NO
0.16105,NO
0.14435,NO
0.25285,NO
1.8353,YES
0.2502,NO
1.97485,YES
0.2062,NO
1.91815,YES
0.6241,NO
0.6133,NO
0.6895,NO
0.60765,NO
1.6573,YES
0.65515,NO
1.6506,YES
0.33325,NO
0.30845,NO
0.92395,NO
0.6435500000000001,NO
0.57195,NO
0.9027499999999999,NO
0.3369,NO
0.3105,NO
0.9844999999999999,NO
0.3189,NO
0.89415,NO
0.30695,NO
0.9541999999999999,YES
0.91135,YES
0.93985,YES
0.32705,NO
0.5737,NO
0.3286,NO
0.5647,NO
0.3663,NO
0.57665,NO
0.2775,NO
0.2916,NO
0.30505000000000004,NO
0.28140000000000004,NO
0.93915,NO
0.28140000000000004,NO
0.96015,NO
0.71205,YES
0.7946,YES
0.60135,NO
0.4674,NO
0.42545,NO
0.4949,NO
0.8146,YES
0.71255,YES
0.51215,NO
0.3909,NO
0.4904,NO
0.40415,NO
0.3345,NO
0.32665,NO
0.32955,NO
0.80385,YES
0.41459999999999997,NO
0.74085,YES
0.40154999999999996,NO
0.83685,YES
0.4286,NO
0.3731,NO
0.33585,NO
0.38265,NO
0.36235,NO
0.5341,NO
0.356,NO
0.50845,NO
0.24459999999999998,NO
0.23035,NO
1.40655,YES
1.89365,YES
1.8933,YES
1.4111,YES
0.2487,NO
0.23075,NO
1.44635,YES
0.40255,NO
1.41585,YES
0.39690000000000003,NO
0.4738,NO
0.46125,NO
0.4652,NO
0.23399999999999999,NO
1.8555,YES
0.2337,NO
1.92615,YES
0.27575,NO
1.8907,YES
0.3684,NO
0.36645,NO
0.40850000000000003,NO
0.36575,NO
1.41435,YES
0.3875,NO
1.40235,YES
1.1007,YES
0.941,YES
0.89735,NO
0.49424999999999997,NO
0.4618,NO
0.7772,NO
1.0408,YES
1.137,YES
0.77925,NO
0.38025000000000003,NO
0.7722,NO
0.38230000000000003,NO
0.38705,NO
0.36865,NO
0.366,NO
0.9846999999999999,YES
0.4548,NO
1.0898999999999999,YES
0.43134999999999996,NO
1.09815,YES
0.43584999999999996,NO
0.36045000000000005,NO
0.3674,NO
0.39270000000000005,NO
0.3657,NO
0.8197,NO
0.38580000000000003,NO
0.76435,NO
0.42,NO
0.39104999999999995,NO
0.70505,NO
0.6715,NO
0.6101500000000001,NO
0.7168,NO
0.39794999999999997,NO
0.40154999999999996,NO
0.7515499999999999,NO
0.7993,YES
0.69775,NO
0.7915,YES
0.4794,NO
0.4904,NO
0.4841,NO
0.42879999999999996,NO
0.6122500000000001,NO
0.44099999999999995,NO
0.62975,NO
0.4617,NO
0.63905,NO
0.7547,YES
0.7595500000000001,YES
0.7724,YES
0.7897000000000001,YES
0.7243999999999999,NO
0.74185,YES
0.715,NO
1.1345,YES
0.9783,YES
0.57165,NO
0.4502,NO
0.40349999999999997,NO
0.4644,NO
1.0365,YES
1.17885,YES
0.47785,NO
0.31015,NO
0.46275,NO
0.31095,NO
0.31475,NO
0.3051,NO
0.30465,NO
1.01695,YES
0.3974,NO
1.14345,YES
0.38745,NO
1.13275,YES
0.402,NO
0.28004999999999997,NO
0.27904999999999996,NO
0.31989999999999996,NO
0.29025,NO
0.50185,NO
0.2964,NO
0.46895,NO
0.55125,NO
0.5108,NO
0.9886,NO
0.6264,NO
0.58875,NO
0.99165,NO
0.5566,NO
0.53505,NO
1.00205,NO
0.8464,YES
0.9814,NO
0.89695,YES
0.4872,NO
0.48455000000000004,NO
0.4741,NO
0.5205,NO
0.5861,NO
0.52325,NO
0.5782499999999999,NO
0.59445,NO
0.5777,NO
0.80465,YES
0.80855,YES
0.8179,YES
0.8926000000000001,YES
1.01125,NO
0.8136,YES
0.967,NO
