UPPERTRACED_MAX_SINGLE_VSM_MEDIAN.csv,Associated
0.6789499999999999,YES
0.44525,NO
0.60415,YES
0.2193,NO
0.22160000000000002,NO
0.187,NO
0.18735000000000002,NO
0.37,NO
0.17005,NO
0.2775,NO
0.22100000000000003,NO
0.30574999999999997,NO
0.7019,YES
0.6747,YES
0.63995,YES
0.63375,YES
0.36965000000000003,NO
0.60015,YES
0.25534999999999997,NO
0.1392,NO
0.19235000000000002,NO
0.38365,NO
0.45125000000000004,NO
0.23979999999999999,NO
0.3814,NO
0.24145,NO
0.08335000000000001,NO
0.29305000000000003,NO
0.71985,YES
0.3842,NO
0.61735,YES
0.2126,NO
0.22195,NO
0.1889,NO
0.20490000000000003,NO
0.35100000000000003,NO
0.1855,NO
0.2659,NO
0.21050000000000002,NO
0.31165,NO
0.6686,YES
0.66515,YES
0.657,YES
0.56285,YES
0.32810000000000006,NO
0.5564,YES
0.24645,NO
0.16425,NO
0.18419999999999997,NO
0.75475,YES
0.44345,YES
0.44470000000000004,YES
0.64235,YES
0.317,NO
0.12229999999999999,NO
0.6633,YES
0.1509,NO
0.66445,YES
0.1344,NO
0.38549999999999995,NO
0.2871,NO
0.24735000000000001,NO
0.17295,NO
0.4255,YES
0.15785,NO
0.4862,YES
0.35945,NO
0.31420000000000003,YES
0.2498,NO
0.22605,NO
0.4995,NO
0.2469,NO
0.66995,YES
0.46524999999999994,NO
0.60405,YES
0.20074999999999998,NO
0.239,NO
0.45299999999999996,YES
0.17125,NO
0.1742,NO
0.70795,YES
0.2965,NO
0.12185000000000001,NO
0.7724,YES
0.15760000000000002,NO
0.6648,YES
0.15785,NO
0.37929999999999997,NO
0.37244999999999995,NO
0.281,NO
0.15035,NO
0.37415,NO
0.10685,NO
0.45215000000000005,NO
0.15195,NO
0.32630000000000003,NO
0.2343,NO
0.21265,NO
0.47429999999999994,NO
0.2805,NO
0.636,YES
0.48974999999999996,NO
0.6314500000000001,YES
0.12535,NO
0.1306,NO
0.39790000000000003,YES
0.6396999999999999,YES
0.6116,YES
0.45299999999999996,YES
0.2114,NO
0.09055,NO
0.39105,YES
0.26735,NO
0.44455,YES
0.16674999999999998,NO
0.2193,NO
0.26065,NO
0.24405,NO
0.0801,NO
0.58975,YES
0.0747,NO
0.635,YES
0.3106,NO
0.59565,YES
0.3061,NO
0.33405,NO
0.41,NO
0.2231,NO
0.4749,YES
0.32889999999999997,NO
0.39195,YES
0.16105,NO
0.2404,NO
0.53245,YES
0.15725,NO
0.18205,NO
0.548,YES
0.23325,NO
0.14555,NO
0.6657,YES
0.099,NO
0.7464999999999999,YES
0.12680000000000002,NO
0.39115,NO
0.1998,NO
0.2375,NO
0.1086,NO
0.27344999999999997,NO
0.1028,NO
0.4854,NO
0.13865,NO
0.29135,NO
0.23945,NO
0.16235,NO
0.48865000000000003,NO
0.29490000000000005,NO
0.53,YES
0.469,NO
0.66195,YES
0.1088,NO
0.1216,NO
0.30135,YES
0.59835,YES
0.56255,YES
0.36865,YES
0.1692,NO
0.07175000000000001,NO
0.31129999999999997,YES
0.20855,NO
0.33585,YES
0.16169999999999998,NO
0.18655,NO
0.24425,NO
0.2309,NO
0.0889,NO
0.5826,YES
0.0833,NO
0.57665,YES
0.31675,NO
0.5606,YES
0.19375,NO
0.2642,NO
0.29814999999999997,NO
0.18285,NO
0.387,YES
0.24985,NO
0.3248,YES
0.6512,YES
0.5241,YES
0.3043,NO
0.1227,NO
0.10095,NO
0.11325,NO
0.6197,YES
0.68465,YES
0.07894999999999999,NO
0.05285,NO
0.1202,NO
0.0658,NO
0.12505,NO
0.15789999999999998,NO
0.13305,NO
0.5422,YES
0.09175,NO
0.62095,YES
0.03665,NO
0.64925,YES
0.04535,NO
0.1354,NO
0.10615,NO
0.0927,NO
0.0983,NO
0.18359999999999999,NO
0.1189,NO
0.0934,NO
0.15275,NO
0.19524999999999998,NO
0.6534,YES
0.4296,YES
0.42345,YES
0.6583,YES
0.24855,NO
0.10289999999999999,NO
0.7727999999999999,YES
0.1491,NO
0.68855,YES
0.1197,NO
0.43105,NO
0.30565,NO
0.27485,NO
0.16985,NO
0.43220000000000003,YES
0.15275,NO
0.51785,YES
0.29405000000000003,NO
0.3466,YES
0.2539,NO
0.23315,NO
0.4994,NO
0.24575000000000002,NO
0.6483,YES
0.4705,NO
0.68155,YES
0.1697,NO
0.18535,NO
0.71385,YES
0.48260000000000003,YES
0.4837,YES
0.62335,YES
0.31475,NO
0.1273,NO
0.65175,YES
0.1965,NO
0.6461,YES
0.13585,NO
0.3928,NO
0.30045,NO
0.26085,NO
0.17525,NO
0.45185000000000003,YES
0.1582,NO
0.4811,YES
0.3514,NO
0.32685000000000003,YES
0.29295,NO
0.27835,NO
0.49845,NO
0.253,NO
0.65195,YES
0.45649999999999996,NO
0.60685,YES
0.1779,NO
0.2166,NO
0.763,YES
0.45305,YES
0.48315,YES
0.6648499999999999,YES
0.31865,NO
0.15015,NO
0.6686,YES
0.1573,NO
0.69505,YES
0.13255,NO
0.35309999999999997,NO
0.25539999999999996,NO
0.2051,NO
0.22954999999999998,NO
0.45995,YES
0.21284999999999998,NO
0.53885,YES
0.34165,NO
0.37385,YES
0.27395,NO
0.2511,NO
0.5292,NO
0.27265,NO
0.6726,YES
0.5024,NO
0.629,YES
0.14625,NO
0.19824999999999998,NO
0.6547000000000001,YES
0.42645,YES
0.4166,YES
0.64705,YES
0.23835,NO
0.09684999999999999,NO
0.76145,YES
0.15234999999999999,NO
0.6802,YES
0.12545,NO
0.42189999999999994,NO
0.27545,NO
0.2485,NO
0.1802,NO
0.4274,YES
0.1649,NO
0.52105,YES
0.28495,NO
0.35550000000000004,YES
0.2501,NO
0.22669999999999998,NO
0.505,NO
0.24165,NO
0.651,YES
0.4579,NO
0.71315,YES
0.143,NO
0.15765,NO
0.32555,YES
0.6783,YES
0.63255,YES
0.41945,YES
0.19674999999999998,NO
0.09455000000000001,NO
0.35295,YES
0.2495,NO
0.37045,YES
0.1829,NO
0.22544999999999998,NO
0.29415,NO
0.26780000000000004,NO
0.1422,NO
0.6133,YES
0.135,NO
0.63725,YES
0.3248,NO
0.6326499999999999,YES
0.24655,NO
0.30915000000000004,NO
0.3438,NO
0.21625,NO
0.4294,YES
0.29025,NO
0.3533,YES
0.1455,NO
0.1639,NO
0.40115,YES
0.66425,YES
0.6812,YES
0.472,YES
0.1988,NO
0.10645000000000002,NO
0.39695,YES
0.24275000000000002,NO
0.46609999999999996,YES
0.17909999999999998,NO
0.17345,NO
0.20939999999999998,NO
0.17675,NO
0.14855,NO
0.64685,YES
0.1412,NO
0.7864,YES
0.29400000000000004,NO
0.7297,YES
0.2701,NO
0.30155,NO
0.4125,NO
0.23275,NO
0.47735,YES
0.34585,NO
0.4102,YES
0.18295,NO
0.2303,NO
0.226,NO
0.26775,NO
0.15105,NO
0.25645,NO
0.27554999999999996,NO
0.09129999999999999,NO
0.45189999999999997,NO
0.14875,NO
0.2363,NO
0.1705,NO
0.7112499999999999,YES
0.6684,YES
0.6969,YES
0.0902,NO
0.2767,NO
0.08785,NO
0.15575,NO
0.26765,NO
0.135,NO
0.1036,NO
0.1742,NO
0.1972,NO
0.18434999999999999,NO
0.24520000000000003,NO
0.17295,NO
0.4341,NO
0.56195,YES
0.6445,YES
0.2602,NO
0.12795,NO
0.0687,NO
0.0691,NO
0.6645,YES
0.56245,YES
0.05715,NO
0.09090000000000001,NO
0.07100000000000001,NO
0.1215,NO
0.10155,NO
0.1531,NO
0.13885,NO
0.65375,YES
0.0741,NO
0.59075,YES
0.04045,NO
0.68675,YES
0.07035,NO
0.14255,NO
0.0807,NO
0.09745,NO
0.08604999999999999,NO
0.1451,NO
0.08495,NO
0.08829999999999999,NO
0.10625,NO
0.11895,NO
0.3343,YES
0.6443,YES
0.64395,YES
0.40704999999999997,YES
0.17465,NO
0.0738,NO
0.35105,YES
0.2064,NO
0.3836,YES
0.1618,NO
0.1999,NO
0.2439,NO
0.2319,NO
0.0675,NO
0.60615,YES
0.0625,NO
0.6768000000000001,YES
0.30135,NO
0.64135,YES
0.20755,NO
0.24785000000000001,NO
0.32465,NO
0.184,NO
0.42135,YES
0.27135,NO
0.3489,YES
0.6729,YES
0.5132,YES
0.29625,NO
0.12304999999999999,NO
0.0733,NO
0.09145,NO
0.613,YES
0.7092,YES
0.0643,NO
0.0658,NO
0.09284999999999999,NO
0.0852,NO
0.10555,NO
0.14655,NO
0.12675,NO
0.5569,YES
0.08255,NO
0.6621,YES
0.0385,NO
0.67035,YES
0.04585,NO
0.11545,NO
0.0978,NO
0.09305,NO
0.07494999999999999,NO
0.17075,NO
0.1003,NO
0.08424999999999999,NO
0.16475,NO
0.18960000000000002,NO
0.3792,NO
0.41535,NO
0.2155,NO
0.39995,NO
0.25105,NO
0.10020000000000001,NO
0.31805,NO
0.60595,YES
0.3961,NO
0.59815,YES
0.2272,NO
0.25105,NO
0.21185,NO
0.23315000000000002,NO
0.34840000000000004,NO
0.2272,NO
0.2838,NO
0.229,NO
0.3117,NO
0.56135,YES
0.5662,YES
0.57905,YES
0.59635,YES
0.32825000000000004,NO
0.5485,YES
0.25645,NO
0.6806,YES
0.5244,YES
0.26375,NO
0.1245,NO
0.0605,NO
0.07185,NO
0.5826,YES
0.72495,YES
0.056100000000000004,NO
0.0689,NO
0.0766,NO
0.08705,NO
0.10175000000000001,NO
0.1515,NO
0.13390000000000002,NO
0.56305,YES
0.07064999999999999,NO
0.68955,YES
0.0401,NO
0.67885,YES
0.057499999999999996,NO
0.10825,NO
0.08265,NO
0.09345,NO
0.07269999999999999,NO
0.1461,NO
0.08410000000000001,NO
0.08205,NO
0.17395,NO
0.18730000000000002,NO
0.40385,NO
0.39585000000000004,NO
0.21969999999999998,NO
0.4159,NO
0.28765,NO
0.11165,NO
0.30965,NO
0.59035,YES
0.42085,NO
0.6409,YES
0.2286,NO
0.2388,NO
0.19545,NO
0.2028,NO
0.34785,NO
0.1874,NO
0.2579,NO
0.23970000000000002,NO
0.27595,NO
0.5486,YES
0.5525,YES
0.56185,YES
0.63655,YES
0.3562,NO
0.55755,YES
0.24955,NO
