LOWERTRACED_RFNONE_MULTI_VSM_MEDIAN.csv,Associated
0.0967,NO
0.0286,NO
0.3609,YES
0.0278,NO
0.42545,YES
0.07085,NO
0.3725,YES
0.0261,NO
0.03385,NO
0.07195,NO
0.0247,NO
0.40575,YES
0.0482,NO
0.38715,YES
0.0772,NO
0.0366,NO
0.09875,NO
0.1291,NO
0.09885,NO
0.08505,NO
0.0842,NO
0.06125,NO
0.0729,NO
0.6464,YES
0.07885,NO
0.5902000000000001,YES
0.09935,NO
0.0878,NO
0.08445,NO
0.027000000000000003,NO
0.07345,NO
0.02735,NO
0.0541,NO
0.10095,NO
0.06465,NO
0.63985,YES
0.6256,YES
0.58455,YES
0.5897,YES
0.1113,NO
0.5326500000000001,YES
0.04895,NO
0.04925,NO
0.0387,NO
0.13845000000000002,YES
0.22735,YES
0.17154999999999998,YES
0.15155000000000002,YES
0.04425,NO
0.0302,NO
0.1884,YES
0.1299,NO
0.138,YES
0.07295,NO
0.1126,NO
0.12855,NO
0.11875,NO
0.07265,NO
0.15725,YES
0.0705,NO
0.17614999999999997,YES
0.071,NO
0.17275000000000001,YES
0.10245,NO
0.1103,NO
0.1114,NO
0.0516,NO
0.15805000000000002,YES
0.0558,NO
0.1513,YES
0.07075,NO
0.03725,NO
0.11905,NO
0.095,NO
0.07735,NO
0.09985,NO
0.08265,NO
0.0768,NO
0.09995,NO
0.44444999999999996,YES
0.10225,NO
0.46735,YES
0.12595,NO
0.1018,NO
0.10165,NO
0.02665,NO
0.0525,NO
0.027999999999999997,NO
0.05565,NO
0.1128,NO
0.04945,NO
0.43894999999999995,YES
0.41724999999999995,YES
0.44004999999999994,YES
0.5004,YES
0.12025,NO
0.42784999999999995,YES
0.06655,NO
0.04745,NO
0.06695,NO
0.11199999999999999,NO
0.09835,NO
0.0718,NO
0.10395,NO
0.06695,NO
0.04835,NO
0.1099,NO
0.6113999999999999,YES
0.1172,NO
0.5268,YES
0.06655,NO
0.03675,NO
0.03235,NO
0.102,NO
0.06635,NO
0.08275,NO
0.155,NO
0.06545,NO
0.14095,NO
0.6421,YES
0.6048,YES
0.6870499999999999,YES
0.52915,YES
0.0965,NO
0.57365,YES
0.0863,NO
0.07195,NO
0.03845,NO
0.17265,NO
0.1671,NO
0.15234999999999999,NO
0.16615,NO
0.0842,NO
0.0602,NO
0.16255,NO
0.63895,YES
0.1664,NO
0.56415,YES
0.1126,NO
0.10205,NO
0.10035,NO
0.0249,NO
0.12075,NO
0.02575,NO
0.11035,NO
0.0956,NO
0.12000000000000001,NO
0.6619,YES
0.6347,YES
0.59995,YES
0.59375,YES
0.1853,NO
0.56015,YES
0.1334,NO
0.03635,NO
0.0357,NO
0.064,NO
0.1593,NO
0.08635,NO
0.052750000000000005,NO
0.03025,NO
0.0266,NO
0.08105,NO
0.65985,YES
0.04035,NO
0.55735,YES
0.1059,NO
0.1024,NO
0.10225,NO
0.04245,NO
0.06675,NO
0.0412,NO
0.06375,NO
0.0851,NO
0.0909,NO
0.6086,YES
0.60515,YES
0.597,YES
0.50285,YES
0.07875,NO
0.4964,YES
0.059500000000000004,NO
0.05345,NO
0.02255,NO
0.54475,YES
0.07155,YES
0.06135,YES
0.43235,YES
0.11185,NO
0.05325,NO
0.4533,YES
0.0487,NO
0.45445,YES
0.05295,NO
0.10655,NO
0.0748,NO
0.0737,NO
0.0451,NO
0.04965,YES
0.04375,NO
0.11845,YES
0.10645,NO
0.06605,YES
0.06355,NO
0.04,NO
0.15125,NO
0.06,NO
0.45994999999999997,YES
0.1258,NO
0.39405,YES
0.08995,NO
0.07735,NO
0.58975,YES
0.3328,NO
0.30175,NO
0.61795,YES
0.09135,NO
0.05485,NO
0.6823999999999999,YES
0.0955,NO
0.62905,YES
0.0764,NO
0.1632,NO
0.16015,NO
0.1324,NO
0.0855,NO
0.3345,NO
0.0699,NO
0.40865,NO
0.07255,NO
0.35685,NO
0.09955,NO
0.0892,NO
0.18835,NO
0.09585,NO
0.5997,YES
0.16795,NO
0.5537,YES
0.0399,NO
0.0182,NO
0.38875000000000004,YES
0.3897,YES
0.36160000000000003,YES
0.37565000000000004,YES
0.06165,NO
0.0237,NO
0.40495000000000003,YES
0.4764,NO
0.3954,YES
0.41475,NO
0.11825,NO
0.10305,NO
0.1024,NO
0.0228,NO
0.33975,YES
0.0221,NO
0.385,YES
0.0612,NO
0.34565,YES
0.47985,NO
0.46555,NO
0.50675,NO
0.41775,NO
0.3865,YES
0.45794999999999997,NO
0.364,YES
0.0818,NO
0.0823,NO
0.59405,YES
0.0881,NO
0.08245,NO
0.60985,YES
0.08405,NO
0.0765,NO
0.6369,YES
0.0795,NO
0.6465000000000001,YES
0.0728,NO
0.1122,NO
0.0771,NO
0.06385,NO
0.08875,NO
0.1053,NO
0.0827,NO
0.17785,NO
0.0451,NO
0.13315,NO
0.1109,NO
0.0882,NO
0.19505,NO
0.10800000000000001,NO
0.601,YES
0.1792,NO
0.5619500000000001,YES
0.02335,NO
0.0092,NO
0.0272,YES
0.10335000000000001,YES
0.06755,YES
0.0263,YES
0.01945,NO
0.0049,NO
0.0602,YES
0.0576,NO
0.0217,YES
0.0497,NO
0.0855,NO
0.08665,NO
0.08925,NO
0.0316,NO
0.08760000000000001,YES
0.0307,NO
0.08165,YES
0.06735,NO
0.0656,YES
0.0075,NO
0.0357,NO
0.0349,NO
0.0175,NO
0.0336,YES
0.0189,NO
0.03185,YES
0.6012,YES
0.4741,YES
0.1817,NO
0.0774,NO
0.07295,NO
0.0753,NO
0.5697,YES
0.63465,YES
0.0702,NO
0.0379,NO
0.07585,NO
0.0335,NO
0.10655,NO
0.08,NO
0.0723,NO
0.4922,YES
0.0475,NO
0.5709500000000001,YES
0.013000000000000001,NO
0.5992500000000001,YES
0.01885,NO
0.051,NO
0.04635,NO
0.06295,NO
0.05965,NO
0.10885,NO
0.075,NO
0.0498,NO
0.04195,NO
0.0336,NO
0.5534,YES
0.0577,YES
0.0401,YES
0.5583,YES
0.0434,NO
0.03385,NO
0.6728000000000001,YES
0.1919,NO
0.58855,YES
0.18325,NO
0.1521,NO
0.09335,NO
0.1012,NO
0.042,NO
0.05635,YES
0.03865,NO
0.1501,YES
0.04105,NO
0.09845,YES
0.21265,NO
0.1921,NO
0.29615,NO
0.20384999999999998,NO
0.5483,YES
0.27605,NO
0.58155,YES
0.0589,NO
0.0237,NO
0.47885,YES
0.3357,YES
0.32535000000000003,YES
0.38835000000000003,YES
0.1096,NO
0.05825,NO
0.41675,YES
0.0943,NO
0.4111,YES
0.0544,NO
0.11885000000000001,NO
0.09315000000000001,NO
0.0922,NO
0.0474,NO
0.301,YES
0.0441,NO
0.33835000000000004,YES
0.0984,NO
0.3037,YES
0.1067,NO
0.0923,NO
0.1502,NO
0.0661,NO
0.41695000000000004,YES
0.11705,NO
0.37185,YES
0.0671,NO
0.05495,NO
0.518,YES
0.08115,YES
0.0998,YES
0.41985,YES
0.11349999999999999,NO
0.0811,NO
0.4236,YES
0.0601,NO
0.45005,YES
0.0561,NO
0.07415,NO
0.0431,NO
0.03145,NO
0.1017,NO
0.0841,YES
0.09875,NO
0.1711,YES
0.08865,NO
0.1257,YES
0.0927,NO
0.07005,NO
0.18595,NO
0.09075000000000001,NO
0.4276,YES
0.16795000000000002,NO
0.384,YES
0.03545,NO
0.0366,NO
0.5547,YES
0.31955,YES
0.29825,YES
0.54705,YES
0.0332,NO
0.0278,NO
0.6614500000000001,YES
0.05015,NO
0.5802,YES
0.044000000000000004,NO
0.14295,NO
0.06315,NO
0.07485,NO
0.05235,NO
0.31655,YES
0.0508,NO
0.4183,YES
0.03195,NO
0.37235,YES
0.06385,NO
0.04065,NO
0.15675,NO
0.05475,NO
0.551,YES
0.11845,NO
0.6131500000000001,YES
0.05755,NO
0.04525,NO
0.0514,YES
0.35829999999999995,YES
0.31255,YES
0.0771,YES
0.047,NO
0.0277,NO
0.10185,YES
0.09855,NO
0.0563,YES
0.0709,NO
0.1344,NO
0.14655,NO
0.13615000000000002,NO
0.0849,NO
0.2933,YES
0.0824,NO
0.31725000000000003,YES
0.0754,NO
0.31265,YES
0.0603,NO
0.08065,NO
0.08055,NO
0.0509,NO
0.076,YES
0.0593,NO
0.06035,YES
0.06005,NO
0.051500000000000004,NO
0.262,YES
0.41425,YES
0.4312,YES
0.26465,YES
0.04905,NO
0.0396,NO
0.28085000000000004,YES
0.09680000000000001,NO
0.28695000000000004,YES
0.07210000000000001,NO
0.0724,NO
0.0518,NO
0.0351,NO
0.09125,NO
0.39685000000000004,YES
0.0886,NO
0.5364,YES
0.0446,NO
0.4797,YES
0.08885,NO
0.07805000000000001,NO
0.15425,NO
0.0724,NO
0.25895,YES
0.1199,NO
0.25225,YES
0.044500000000000005,NO
0.0197,NO
0.06905,NO
0.1054,NO
0.0338,NO
0.04785,NO
0.04815,NO
0.02175,NO
0.1296,NO
0.06455,NO
0.03925,NO
0.0526,NO
0.64625,YES
0.6033999999999999,YES
0.6319,YES
0.0383,NO
0.03555,NO
0.03985,NO
0.02655,NO
0.07755,NO
0.0385,NO
0.02315,NO
0.03725,NO
0.0507,NO
0.02705,NO
0.08425,NO
0.02705,NO
0.10525,NO
0.52195,YES
0.6045,YES
0.1376,NO
0.08265,NO
0.0407,NO
0.03115,NO
0.6245,YES
0.52245,YES
0.0484,NO
0.07595,NO
0.02665,NO
0.0892,NO
0.08305,NO
0.0752,NO
0.0781,NO
0.61375,YES
0.02985,NO
0.5507500000000001,YES
0.0168,NO
0.64675,YES
0.04385,NO
0.05815,NO
0.0209,NO
0.0677,NO
0.0474,NO
0.07035,NO
0.04105,NO
0.0447,NO
0.0208,NO
0.00655,NO
0.42515,YES
0.3593,YES
0.35895,YES
0.42969999999999997,YES
0.0249,NO
0.00695,NO
0.46495,YES
0.05545,NO
0.43445,YES
0.0498,NO
0.09885,NO
0.0863,NO
0.09025,NO
0.0102,NO
0.32115,YES
0.0099,NO
0.39180000000000004,YES
0.05195,NO
0.35635,YES
0.0213,NO
0.01935,NO
0.0614,NO
0.01865,NO
0.43295,YES
0.0404,NO
0.42095,YES
0.6129,YES
0.4532,YES
0.17365,NO
0.07775,NO
0.0453,NO
0.0535,NO
0.553,YES
0.6492,YES
0.05555,NO
0.05085,NO
0.048499999999999995,NO
0.0529,NO
0.08705,NO
0.06865,NO
0.066,NO
0.4969,YES
0.0383,NO
0.6021,YES
0.01485,NO
0.61035,YES
0.01935,NO
0.03105,NO
0.038,NO
0.0633,NO
0.0363,NO
0.096,NO
0.0564,NO
0.04065,NO
0.0619,NO
0.03295,NO
0.04955,NO
0.1084,NO
0.04705,NO
0.0613,NO
0.03985,NO
0.04345,NO
0.09605,NO
0.10595,YES
0.04225,NO
0.09815,YES
0.12050000000000001,NO
0.1315,NO
0.1252,NO
0.0707,NO
0.04915,NO
0.0829,NO
0.06665,NO
0.1036,NO
0.07595,NO
0.06135,YES
0.0662,YES
0.07905,YES
0.09635,YES
0.0689,NO
0.048499999999999995,YES
0.059500000000000004,NO
0.6806,YES
0.5244,YES
0.14115,NO
0.0792,NO
0.0325,NO
0.0339,NO
0.5826,YES
0.72495,YES
0.04735,NO
0.05395,NO
0.03225,NO
0.05475,NO
0.08325,NO
0.0736,NO
0.07315,NO
0.56305,YES
0.0264,NO
0.68955,YES
0.01645,NO
0.67885,YES
0.031,NO
0.02385,NO
0.02285,NO
0.0637,NO
0.03405,NO
0.07135,NO
0.0402,NO
0.03845,NO
0.0711,NO
0.03065,NO
0.0742,NO
0.0889,NO
0.05125,NO
0.07725,NO
0.07645,NO
0.0549,NO
0.08765,NO
0.36535,YES
0.067,NO
0.41590000000000005,YES
0.1219,NO
0.11925,NO
0.1088,NO
0.04035,NO
0.0486,NO
0.0431,NO
0.04075,NO
0.1143,NO
0.0402,NO
0.3236,YES
0.3275,YES
0.33685000000000004,YES
0.41155,YES
0.09685,NO
0.33255,YES
0.0526,NO
