NONETRACED_RFNONE_SINGLE_VSM_MEDIAN.csv,Associated
0.06625,YES
0.07215,NO
0.11325,NO
0.13169999999999998,NO
0.0967,NO
0.0286,NO
0.4109,YES
0.0278,NO
0.22045,YES
0.08084999999999999,NO
0.4125,YES
0.0261,NO
0.038849999999999996,NO
0.11195,NO
0.0247,NO
0.08575,YES
0.0532,NO
0.07215,YES
0.0772,NO
0.0366,NO
0.09875,NO
0.17409999999999998,NO
0.10884999999999999,NO
0.20005,NO
0.0842,NO
0.06125,NO
0.09790000000000001,NO
0.3714,YES
0.08385000000000001,NO
0.2852,YES
0.09935,NO
0.0878,NO
0.08445,NO
0.027000000000000003,NO
0.11345,NO
0.02735,NO
0.0591,NO
0.10595,NO
0.06965,NO
0.30985,YES
0.25060000000000004,YES
0.14455,YES
0.2347,YES
0.1113,NO
0.08765,YES
0.06395,NO
0.04925,NO
0.0387,NO
0.058449999999999995,YES
0.28235,YES
0.32155,YES
0.06655,YES
0.04425,NO
0.0302,NO
0.1134,YES
0.1349,NO
0.068,YES
0.08795,NO
0.1726,NO
0.15855,NO
0.11875,NO
0.07265,NO
0.36725,YES
0.0705,NO
0.20115,YES
0.076,NO
0.17775000000000002,YES
0.12745,NO
0.1103,NO
0.1164,NO
0.0516,NO
0.12805,YES
0.0608,NO
0.0813,YES
0.07075,NO
0.03725,NO
0.14405,NO
0.1,NO
0.07735,NO
0.09985,NO
0.08265,NO
0.0768,NO
0.13495000000000001,NO
0.10445,YES
0.12725,NO
0.32235,YES
0.18095,NO
0.1118,NO
0.10165,NO
0.02665,NO
0.0675,NO
0.027999999999999997,NO
0.05565,NO
0.12279999999999999,NO
0.04945,NO
0.09395,YES
0.07725,YES
0.11005,YES
0.2504,YES
0.13025,NO
0.09284999999999999,YES
0.07155,NO
0.04745,NO
0.06695,NO
0.12199999999999998,NO
0.12335000000000002,NO
0.0718,NO
0.10395,NO
0.06695,NO
0.04835,NO
0.1099,NO
0.38639999999999997,YES
0.1222,NO
0.1068,YES
0.06655,NO
0.03675,NO
0.03235,NO
0.102,NO
0.10635,NO
0.08275,NO
0.155,NO
0.06545,NO
0.14095,NO
0.34709999999999996,YES
0.2748,YES
0.34204999999999997,YES
0.15415,YES
0.0965,NO
0.18364999999999998,YES
0.0863,NO
0.07195,NO
0.03845,NO
0.09765,NO
0.1221,NO
0.12235,NO
0.10615,NO
0.0892,NO
0.0602,NO
0.08755,NO
0.34395,YES
0.0914,NO
0.21415,YES
0.11760000000000001,NO
0.10205,NO
0.10035,NO
0.0249,NO
0.07075,NO
0.02575,NO
0.06535,NO
0.0956,NO
0.07,NO
0.2819,YES
0.2547,YES
0.13995,YES
0.20375000000000001,YES
0.1103,NO
0.11015,YES
0.0584,NO
0.03635,NO
0.0357,NO
0.054000000000000006,NO
0.1443,NO
0.07135,NO
0.04275,NO
0.03025,NO
0.0266,NO
0.07105,NO
0.34985,YES
0.03035,NO
0.14734999999999998,YES
0.1059,NO
0.1024,NO
0.10225,NO
0.04245,NO
0.056749999999999995,NO
0.0412,NO
0.04875,NO
0.0851,NO
0.0759,NO
0.35860000000000003,YES
0.27015,YES
0.172,YES
0.06785000000000001,YES
0.06875,NO
0.07139999999999999,YES
0.0545,NO
0.07844999999999999,NO
0.02755,NO
0.38475,YES
0.07655,YES
0.06135,YES
0.27735,YES
0.11685000000000001,NO
0.05325,NO
0.2783,YES
0.0487,NO
0.40945,YES
0.05295,NO
0.10655,NO
0.07980000000000001,NO
0.0737,NO
0.0451,NO
0.05965,YES
0.048749999999999995,NO
0.15345,YES
0.10645,NO
0.09104999999999999,YES
0.07855,NO
0.04,NO
0.19624999999999998,NO
0.08,NO
0.30495,YES
0.1708,NO
0.12405000000000001,YES
0.10495,NO
0.07735,NO
0.23475,YES
0.1428,NO
0.07675,NO
0.32794999999999996,YES
0.09635,NO
0.05485,NO
0.4574,YES
0.0955,NO
0.34904999999999997,YES
0.0764,NO
0.1832,NO
0.16015,NO
0.1324,NO
0.0855,NO
0.12949999999999998,NO
0.0699,NO
0.24865,NO
0.07755000000000001,NO
0.13185,NO
0.09955,NO
0.0892,NO
0.18835,NO
0.09585,NO
0.2447,YES
0.19294999999999998,NO
0.3237,YES
0.044899999999999995,NO
0.0882,NO
0.17875,YES
0.2747,YES
0.2366,YES
0.17065,YES
0.06165,NO
0.0237,NO
0.36995,YES
0.19640000000000002,NO
0.25039999999999996,YES
0.06475,NO
0.16825,NO
0.10305,NO
0.1174,NO
0.0228,NO
0.17975,YES
0.0221,NO
0.225,YES
0.0862,NO
0.09565,YES
0.19485,NO
0.18055,NO
0.31675,NO
0.06275,NO
0.1315,YES
0.16795,NO
0.194,YES
0.0818,NO
0.0823,NO
0.30905,YES
0.1031,NO
0.14245,NO
0.23985,YES
0.09405,NO
0.0765,NO
0.5319,YES
0.0795,NO
0.5115000000000001,YES
0.0728,NO
0.12719999999999998,NO
0.0971,NO
0.06385,NO
0.08875,NO
0.1153,NO
0.0827,NO
0.24285,NO
0.0451,NO
0.13315,NO
0.1159,NO
0.1882,NO
0.22005,NO
0.12300000000000001,NO
0.221,YES
0.1792,NO
0.26195,YES
0.038349999999999995,NO
0.0092,NO
0.0822,YES
0.34835,YES
0.35255,YES
0.0263,YES
0.01945,NO
0.0049,NO
0.0952,YES
0.0576,NO
0.0267,YES
0.0497,NO
0.2455,NO
0.09665,NO
0.29925,NO
0.0316,NO
0.28759999999999997,YES
0.0307,NO
0.20665,YES
0.07235,NO
0.1956,YES
0.0125,NO
0.0357,NO
0.0349,NO
0.027500000000000004,NO
0.0336,YES
0.028900000000000002,NO
0.041850000000000005,YES
0.4112,YES
0.0241,YES
0.19669999999999999,NO
0.0774,NO
0.07295,NO
0.08030000000000001,NO
0.1297,YES
0.46965,YES
0.0852,NO
0.0379,NO
0.09585,NO
0.0335,NO
0.11155000000000001,NO
0.08,NO
0.0723,NO
0.06720000000000001,YES
0.0475,NO
0.32095,YES
0.057999999999999996,NO
0.37424999999999997,YES
0.02885,NO
0.051,NO
0.05135,NO
0.06295,NO
0.09965,NO
0.12885,NO
0.075,NO
0.08979999999999999,NO
0.04695,NO
0.038599999999999995,NO
0.1684,YES
0.0627,YES
0.045099999999999994,YES
0.3083,YES
0.0484,NO
0.03385,NO
0.4928,YES
0.0469,NO
0.46355,YES
0.03825,NO
0.22710000000000002,NO
0.09835,NO
0.1162,NO
0.042,NO
0.10635,YES
0.03865,NO
0.22510000000000002,YES
0.04105,NO
0.11345,YES
0.10765,NO
0.057100000000000005,NO
0.15115,NO
0.05885,NO
0.4483,YES
0.15105,NO
0.5165500000000001,YES
0.0589,NO
0.0287,NO
0.35885,YES
0.1207,YES
0.10535,YES
0.14835,YES
0.11460000000000001,NO
0.05825,NO
0.19674999999999998,YES
0.0993,NO
0.1761,YES
0.0544,NO
0.15885,NO
0.09315000000000001,NO
0.0922,NO
0.0474,NO
0.096,YES
0.0441,NO
0.14335,YES
0.0984,NO
0.09870000000000001,YES
0.1417,NO
0.0973,NO
0.23020000000000002,NO
0.0761,NO
0.19195,YES
0.20205,NO
0.14185,YES
0.0671,NO
0.05495,NO
0.393,YES
0.08615,YES
0.14479999999999998,YES
0.17985,YES
0.12349999999999998,NO
0.0811,NO
0.1886,YES
0.0651,NO
0.41505000000000003,YES
0.0511,NO
0.07415,NO
0.0431,NO
0.03145,NO
0.1017,NO
0.09409999999999999,YES
0.09875,NO
0.2061,YES
0.09365000000000001,NO
0.13570000000000002,YES
0.0877,NO
0.09505,NO
0.18595,NO
0.08575,NO
0.1926,YES
0.16795000000000002,NO
0.259,YES
0.03545,NO
0.0516,NO
0.2147,YES
0.06955,YES
0.03825,YES
0.18705,YES
0.0382,NO
0.0278,NO
0.51145,YES
0.05015,NO
0.48519999999999996,YES
0.044000000000000004,NO
0.21794999999999998,NO
0.06315,NO
0.10985,NO
0.05235,NO
0.06155,YES
0.0508,NO
0.2183,YES
0.03195,NO
0.10735,YES
0.09885000000000001,NO
0.04065,NO
0.17675,NO
0.05475,NO
0.191,YES
0.16845,NO
0.40815,YES
0.05755,NO
0.04525,NO
0.0514,YES
0.44830000000000003,YES
0.40255,YES
0.0821,YES
0.047,NO
0.0277,NO
0.10185,YES
0.09855,NO
0.0963,YES
0.07590000000000001,NO
0.1244,NO
0.14155,NO
0.12615,NO
0.0849,NO
0.3683,YES
0.0824,NO
0.22225,YES
0.0804,NO
0.20265,YES
0.0603,NO
0.08065,NO
0.08555,NO
0.0509,NO
0.086,YES
0.0643,NO
0.08535000000000001,YES
0.06005,NO
0.0565,NO
0.202,YES
0.39925,YES
0.2762,YES
0.15464999999999998,YES
0.07405,NO
0.0396,NO
0.23085,YES
0.0918,NO
0.18695,YES
0.0671,NO
0.09240000000000001,NO
0.056799999999999996,NO
0.0601,NO
0.09125,NO
0.40685000000000004,YES
0.0886,NO
0.3664,YES
0.0446,NO
0.4897,YES
0.08385,NO
0.09805,NO
0.19424999999999998,NO
0.0724,NO
0.20395000000000002,YES
0.1549,NO
0.21725,YES
0.0495,NO
0.0247,NO
0.06905,NO
0.1054,NO
0.0338,NO
0.13785,NO
0.07314999999999999,NO
0.02175,NO
0.1946,NO
0.06455,NO
0.05925,NO
0.0526,NO
0.50125,YES
0.3484,YES
0.4869,YES
0.0383,NO
0.03555,NO
0.03985,NO
0.03655,NO
0.10255,NO
0.0435,NO
0.02815,NO
0.05225,NO
0.0557,NO
0.02705,NO
0.10925000000000001,NO
0.02705,NO
0.11025,NO
0.08195,YES
0.4545,YES
0.1376,NO
0.08265,NO
0.0807,NO
0.03115,NO
0.3495,YES
0.08245,YES
0.0484,NO
0.07595,NO
0.02665,NO
0.0892,NO
0.08305,NO
0.0752,NO
0.0781,NO
0.5237499999999999,YES
0.02985,NO
0.09575,YES
0.0168,NO
0.24175,YES
0.04385,NO
0.05815,NO
0.0209,NO
0.0677,NO
0.0474,NO
0.07035,NO
0.04105,NO
0.0447,NO
0.0208,NO
0.00655,NO
0.06515,YES
0.45930000000000004,YES
0.30395,YES
0.09469999999999999,YES
0.0499,NO
0.11695,NO
0.12995,YES
0.05545,NO
0.09945,YES
0.0498,NO
0.12384999999999999,NO
0.0963,NO
0.09025,NO
0.0102,NO
0.50615,YES
0.0099,NO
0.4168,YES
0.06695000000000001,NO
0.27635,YES
0.0213,NO
0.01935,NO
0.0764,NO
0.03365,NO
0.06795,YES
0.0404,NO
0.08595,YES
0.3829,YES
0.0132,YES
0.18365,NO
0.07775,NO
0.0453,NO
0.0635,NO
0.113,YES
0.4642,YES
0.10055,NO
0.05085,NO
0.048499999999999995,NO
0.0529,NO
0.08705,NO
0.06865,NO
0.066,NO
0.0569,YES
0.0383,NO
0.47709999999999997,YES
0.01485,NO
0.49035,YES
0.02435,NO
0.03105,NO
0.038,NO
0.0633,NO
0.0363,NO
0.101,NO
0.0564,NO
0.045649999999999996,NO
0.0619,NO
0.04295,NO
0.04955,NO
0.1384,NO
0.06205,NO
0.0613,NO
0.03985,NO
0.04345,NO
0.11605,NO
0.12095,YES
0.04225,NO
0.26815,YES
0.1305,NO
0.14650000000000002,NO
0.1252,NO
0.0707,NO
0.06415,NO
0.0829,NO
0.06665,NO
0.1086,NO
0.07595,NO
0.07135,YES
0.0712,YES
0.07905,YES
0.19135000000000002,YES
0.0689,NO
0.0635,YES
0.0695,NO
0.4006,YES
0.0244,YES
0.14115,NO
0.0792,NO
0.052500000000000005,NO
0.0339,NO
0.0826,YES
0.46995,YES
0.04735,NO
0.05395,NO
0.03225,NO
0.05475,NO
0.08325,NO
0.0736,NO
0.07315,NO
0.06305,YES
0.0264,NO
0.53455,YES
0.01645,NO
0.48385,YES
0.031,NO
0.02385,NO
0.02285,NO
0.0637,NO
0.03405,NO
0.07135,NO
0.0402,NO
0.03845,NO
0.0711,NO
0.03065,NO
0.0742,NO
0.0889,NO
0.05125,NO
0.07725,NO
0.07645,NO
0.0549,NO
0.09265000000000001,NO
0.09035,YES
0.092,NO
0.42589999999999995,YES
0.1419,NO
0.15425,NO
0.14379999999999998,NO
0.04035,NO
0.0586,NO
0.0431,NO
0.04075,NO
0.18430000000000002,NO
0.0402,NO
0.06359999999999999,YES
0.0525,YES
0.06185,YES
0.30155,YES
0.10185000000000001,NO
0.05755,YES
0.0576,NO
