UPPERTRACED_RFNONE_SINGLE_VSM_MEDIAN.csv,Associated
0.21939999999999998,NO
0.23155,NO
0.37615,NO
0.0849,NO
0.5433,YES
0.0924,NO
0.48724999999999996,YES
0.2104,NO
0.40265,YES
0.2003,NO
0.25065000000000004,NO
0.17054999999999998,NO
0.0809,NO
0.261,YES
0.1693,NO
0.27535,YES
0.06005,NO
0.051500000000000004,NO
0.322,YES
0.38925,YES
0.5812,YES
0.31965,YES
0.10405,NO
0.0396,NO
0.24085,YES
0.09680000000000001,NO
0.25195,YES
0.0821,NO
0.1674,NO
0.14679999999999999,NO
0.2851,NO
0.09125,NO
0.57685,YES
0.0986,NO
0.6364,YES
0.1796,NO
0.49970000000000003,YES
0.22385,NO
0.24305000000000002,NO
0.23925,NO
0.0974,NO
0.30895,YES
0.2249,NO
0.33225,YES
0.044500000000000005,NO
0.0197,NO
0.08905,NO
0.1054,NO
0.1188,NO
0.04785,NO
0.06815,NO
0.02675,NO
0.1446,NO
0.13955,NO
0.37425,NO
0.0526,NO
0.21625,YES
0.3484,YES
0.3769,YES
0.0383,NO
0.05555,NO
0.03985,NO
0.02655,NO
0.18255,NO
0.0385,NO
0.02315,NO
0.03725,NO
0.0507,NO
0.15205,NO
0.08425,NO
0.02705,NO
0.14024999999999999,NO
0.22195,YES
0.25736634743718134,YES
0.1476,NO
0.08265,NO
0.0407,NO
0.03115,NO
0.38971753246381424,YES
0.06745,YES
0.0484,NO
0.13653333333333334,NO
0.02665,NO
0.0892,NO
0.08305,NO
0.0752,NO
0.0881,NO
0.3945037636566474,YES
0.02985,NO
0.28575,YES
0.041800000000000004,NO
0.58175,YES
0.04385,NO
0.05815,NO
0.0209,NO
0.0677,NO
0.0474,NO
0.07035,NO
0.04105,NO
0.049699999999999994,NO
0.0208,NO
0.00655,NO
0.25515,YES
0.3693,YES
0.54395,YES
0.2547,YES
0.0799,NO
0.00695,NO
0.19495,YES
0.06045,NO
0.16945,YES
0.0648,NO
0.19385,NO
0.18130000000000002,NO
0.34025,NO
0.0102,NO
0.53615,YES
0.0199,NO
0.5267999999999999,YES
0.18695,NO
0.41135,YES
0.1613,NO
0.18935000000000002,NO
0.1514,NO
0.04865,NO
0.25295,YES
0.1504,NO
0.27095,YES
0.3329,YES
0.12606634743718134,YES
0.18365,NO
0.07775,NO
0.0453,NO
0.0535,NO
0.33821753246381425,YES
0.2142,YES
0.05555,NO
0.11143333333333333,NO
0.048499999999999995,NO
0.0529,NO
0.08705,NO
0.06865,NO
0.076,NO
0.2976537636566474,YES
0.0383,NO
0.3571,YES
0.039850000000000003,NO
0.56535,YES
0.01935,NO
0.03105,NO
0.038,NO
0.0633,NO
0.0363,NO
0.096,NO
0.0564,NO
0.045649999999999996,NO
0.1619,NO
0.11295,NO
0.07955,NO
0.3434,NO
0.33204999999999996,NO
0.1663,NO
0.24484999999999998,NO
0.04345,NO
0.21105000000000002,NO
0.45094999999999996,YES
0.22225,NO
0.2345293103448276,YES
0.15050000000000002,NO
0.1615,NO
0.1252,NO
0.1057,NO
0.16415000000000002,NO
0.0979,NO
0.29665,NO
0.1036,NO
0.30095,NO
0.33635000000000004,YES
0.1612,YES
0.26905,YES
0.22772931034482763,YES
0.19890000000000002,NO
0.3585,YES
0.2695,NO
0.3406,YES
0.13726634743718136,YES
0.15115,NO
0.0792,NO
0.0325,NO
0.0339,NO
0.30781753246381427,YES
0.22995000000000002,YES
0.04735,NO
0.11453333333333333,NO
0.03225,NO
0.05475,NO
0.08325,NO
0.0736,NO
0.08315,NO
0.3038037636566474,YES
0.0264,NO
0.38455,YES
0.04145,NO
0.57385,YES
0.031,NO
0.02385,NO
0.02285,NO
0.0637,NO
0.03405,NO
0.07135,NO
0.0402,NO
0.043449999999999996,NO
0.1711,NO
0.11065,NO
0.1042,NO
0.32389999999999997,NO
0.33625,NO
0.18225,NO
0.28145,NO
0.0549,NO
0.20265,NO
0.43534999999999996,YES
0.247,NO
0.27727931034482756,YES
0.15189999999999998,NO
0.14925,NO
0.1088,NO
0.07535,NO
0.1636,NO
0.0581,NO
0.27075,NO
0.1143,NO
0.2652,NO
0.3236,YES
0.1475,YES
0.25185,YES
0.2679293103448276,YES
0.22685,NO
0.36755,YES
0.2626,NO
