LOWERTRACED_MAX_SINGLE_VSM_MAX.csv,Associated
0.4095,NO
0.2093,NO
0.2093,NO
0.4413,NO
0.4413,NO
0.4413,NO
0.4413,NO
0.2093,NO
0.2093,NO
0.4413,NO
1.0,YES
0.4413,NO
1.0,YES
0.2866,NO
0.2866,NO
0.2866,NO
0.2093,NO
0.4413,NO
0.2093,NO
0.4413,NO
0.2093,NO
0.4413,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4413,NO
1.0,YES
0.4413,NO
0.1812,NO
0.1812,NO
0.31,NO
0.3335,NO
0.3335,NO
0.31,NO
0.1812,NO
0.1812,NO
0.31,NO
1.0,YES
0.31,NO
1.0,YES
0.2846,NO
0.2846,NO
0.2846,NO
0.1812,NO
0.3335,NO
0.1812,NO
0.3335,NO
0.1812,NO
0.3335,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.31,NO
1.0,YES
0.31,NO
0.2194,NO
0.2194,NO
1.0,YES
0.6673,YES
0.6673,YES
1.0,YES
0.2237,NO
0.2194,NO
1.0,YES
0.7244,NO
1.0,YES
0.7244,NO
0.441,NO
0.441,NO
0.441,NO
0.2194,NO
0.6673,YES
0.2194,NO
0.6673,YES
0.2194,NO
0.6673,YES
0.7244,NO
0.7244,NO
0.7244,NO
0.7244,NO
1.0,YES
0.7244,NO
1.0,YES
0.1799,NO
0.1547,NO
1.0,YES
0.6811,NO
0.6811,NO
1.0,YES
0.1827,NO
0.1097,NO
1.0,YES
0.5079,NO
1.0,YES
0.5079,NO
0.5402,NO
0.5402,NO
0.5402,NO
0.171,NO
0.6811,NO
0.1398,NO
0.6811,NO
0.1451,NO
0.6811,NO
0.5079,NO
0.5079,NO
0.5079,NO
0.5079,NO
1.0,YES
0.5079,NO
1.0,YES
0.1537,NO
0.1537,NO
0.982,YES
1.0,YES
1.0,YES
0.982,YES
0.1537,NO
0.1537,NO
0.982,YES
0.8778,NO
0.982,YES
0.8778,NO
0.5221,NO
0.5221,NO
0.5221,NO
0.1537,NO
1.0,YES
0.1537,NO
1.0,YES
0.1537,NO
1.0,YES
0.8778,NO
0.8778,NO
0.8778,NO
0.8778,NO
0.982,YES
0.8778,NO
0.982,YES
0.1636,NO
0.1646,NO
1.0,YES
0.6479,NO
0.6479,NO
1.0,YES
0.1681,NO
0.153,NO
1.0,YES
0.6038,NO
1.0,YES
0.6038,NO
0.3363,NO
0.3363,NO
0.3363,NO
0.1775,NO
0.6479,NO
0.1654,NO
0.6479,NO
0.0902,NO
0.6479,NO
0.6038,NO
0.6038,NO
0.6038,NO
0.6038,NO
1.0,YES
0.6038,NO
1.0,YES
0.221,NO
0.221,NO
0.6136,YES
1.0,YES
1.0,YES
0.6136,YES
0.221,NO
0.221,NO
0.6136,YES
0.4207,NO
0.6136,YES
0.4207,NO
0.7871,NO
0.7871,NO
0.7871,NO
0.221,NO
1.0,YES
0.221,NO
1.0,YES
0.221,NO
1.0,YES
0.4207,NO
0.4207,NO
0.4207,NO
0.4207,NO
0.6136,YES
0.4207,NO
0.6136,YES
1.0,YES
1.0,YES
0.4952,NO
0.4952,NO
0.4952,NO
0.4952,NO
1.0,YES
1.0,YES
0.4952,NO
0.4076,NO
0.4952,NO
0.4076,NO
0.6218,NO
0.6218,NO
0.6218,NO
1.0,YES
0.4952,NO
1.0,YES
0.4952,NO
1.0,YES
0.4952,NO
0.4076,NO
0.4076,NO
0.4076,NO
0.4076,NO
0.4952,NO
0.4076,NO
0.4952,NO
0.0839,NO
0.0672,NO
1.0,YES
0.5710000000000001,YES
0.5710000000000001,YES
1.0,YES
0.0868,NO
0.0677,NO
1.0,YES
0.4834,NO
1.0,YES
0.4834,NO
0.5147,NO
0.5147,NO
0.5147,NO
0.084,NO
0.5710000000000001,YES
0.0773,NO
0.5710000000000001,YES
0.0821,NO
0.5710000000000001,YES
0.4834,NO
0.4834,NO
0.4834,NO
0.4834,NO
1.0,YES
0.4834,NO
1.0,YES
0.2339,NO
0.2339,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.2339,NO
0.2339,NO
1.0,YES
0.7974,NO
1.0,YES
0.7974,NO
0.3659,NO
0.3659,NO
0.3659,NO
0.2339,NO
1.0,YES
0.2339,NO
1.0,YES
0.2339,NO
1.0,YES
0.7974,NO
0.7974,NO
0.7974,NO
0.7974,NO
1.0,YES
0.7974,NO
1.0,YES
0.1342,NO
0.1237,NO
1.0,YES
0.6709999999999999,YES
0.6709999999999999,YES
1.0,YES
0.22699999999999998,NO
0.1622,NO
1.0,YES
0.679,NO
1.0,YES
0.679,NO
0.1692,NO
0.1692,NO
0.1692,NO
0.2034,NO
0.6709999999999999,YES
0.1975,NO
0.6709999999999999,YES
0.1773,NO
0.6709999999999999,YES
0.679,NO
0.679,NO
0.679,NO
0.679,NO
1.0,YES
0.679,NO
1.0,YES
0.0709,NO
0.0732,NO
1.0,YES
0.5693,YES
0.5693,YES
1.0,YES
0.0664,NO
0.0556,NO
1.0,YES
0.4433,NO
1.0,YES
0.4433,NO
0.43799999999999994,NO
0.43799999999999994,NO
0.43799999999999994,NO
0.1047,NO
0.5693,YES
0.1016,NO
0.5693,YES
0.0639,NO
0.5693,YES
0.4433,NO
0.4433,NO
0.4433,NO
0.4433,NO
1.0,YES
0.4433,NO
1.0,YES
0.1483,NO
0.1483,NO
0.6711,YES
1.0,YES
1.0,YES
0.6711,YES
0.1483,NO
0.1483,NO
0.6711,YES
0.6109,NO
0.6711,YES
0.6109,NO
0.4875,NO
0.4875,NO
0.4875,NO
0.1698,NO
1.0,YES
0.1648,NO
1.0,YES
0.1508,NO
1.0,YES
0.6109,NO
0.6109,NO
0.6109,NO
0.6109,NO
0.6711,YES
0.6109,NO
0.6711,YES
0.1201,NO
0.1131,NO
0.7440000000000001,YES
1.0,YES
1.0,YES
0.7440000000000001,YES
0.1131,NO
0.1131,NO
0.7440000000000001,YES
0.4584,NO
0.7440000000000001,YES
0.4584,NO
0.1448,NO
0.1397,NO
0.1397,NO
0.1825,NO
1.0,YES
0.1772,NO
1.0,YES
0.1131,NO
1.0,YES
0.4584,NO
0.4584,NO
0.4584,NO
0.4584,NO
0.7440000000000001,YES
0.4584,NO
0.7440000000000001,YES
0.2552,NO
0.2552,NO
0.4344,NO
0.3776,NO
0.3776,NO
0.4344,NO
0.2552,NO
0.2552,NO
0.4344,NO
0.3073,NO
0.4344,NO
0.3073,NO
1.0,YES
1.0,YES
1.0,YES
0.2552,NO
0.3776,NO
0.2552,NO
0.3776,NO
0.2552,NO
0.3776,NO
0.3073,NO
0.3073,NO
0.3073,NO
0.3073,NO
0.4344,NO
0.3073,NO
0.4344,NO
1.0,YES
1.0,YES
0.2752,NO
0.2269,NO
0.2269,NO
0.2269,NO
1.0,YES
1.0,YES
0.2269,NO
0.3252,NO
0.2269,NO
0.3252,NO
0.3226,NO
0.3226,NO
0.3226,NO
1.0,YES
0.2269,NO
1.0,YES
0.2269,NO
1.0,YES
0.2269,NO
0.3252,NO
0.3252,NO
0.3252,NO
0.3252,NO
0.2269,NO
0.3252,NO
0.2269,NO
0.0554,NO
0.0554,NO
0.7752,YES
1.0,YES
1.0,YES
0.7752,YES
0.0554,NO
0.0554,NO
0.7752,YES
0.2002,NO
0.7752,YES
0.2002,NO
0.4256,NO
0.4256,NO
0.4256,NO
0.0554,NO
1.0,YES
0.0554,NO
1.0,YES
0.1039,NO
1.0,YES
0.2002,NO
0.2002,NO
0.2002,NO
0.2002,NO
0.7752,YES
0.2002,NO
0.7752,YES
1.0,YES
1.0,YES
0.3473,NO
0.3075,NO
0.3075,NO
0.33399999999999996,NO
1.0,YES
1.0,YES
0.33399999999999996,NO
0.2506,NO
0.33399999999999996,NO
0.2506,NO
0.3489,NO
0.3489,NO
0.3489,NO
1.0,YES
0.3075,NO
1.0,YES
0.3075,NO
1.0,YES
0.3075,NO
0.2506,NO
0.2506,NO
0.2506,NO
0.2506,NO
0.33399999999999996,NO
0.2506,NO
0.33399999999999996,NO
0.2831,NO
0.2831,NO
0.1991,NO
0.3471,NO
0.3471,NO
0.1991,NO
0.2831,NO
0.2831,NO
0.1991,NO
1.0,YES
0.1991,NO
1.0,YES
0.564,NO
0.564,NO
0.564,NO
0.2831,NO
0.3471,NO
0.2831,NO
0.3471,NO
0.2831,NO
0.3471,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.1991,NO
1.0,YES
0.1991,NO
1.0,YES
1.0,YES
0.2823,NO
0.2289,NO
0.2289,NO
0.2289,NO
1.0,YES
1.0,YES
0.2289,NO
0.2223,NO
0.2289,NO
0.2223,NO
0.2636,NO
0.2636,NO
0.2636,NO
1.0,YES
0.2289,NO
1.0,YES
0.2289,NO
1.0,YES
0.2289,NO
0.2223,NO
0.2223,NO
0.2223,NO
0.2223,NO
0.2289,NO
0.2223,NO
0.2289,NO
0.418,NO
0.418,NO
0.4855,NO
0.2598,NO
0.2598,NO
0.4855,NO
0.418,NO
0.418,NO
0.4855,NO
1.0,YES
0.4855,NO
1.0,YES
0.4072,NO
0.4072,NO
0.4072,NO
0.418,NO
0.2598,NO
0.418,NO
0.2598,NO
0.418,NO
0.2598,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.4855,NO
1.0,YES
0.4855,NO
