LOWERTRACED_RFSMOTE_MULTI_LSA_MAX.csv,Associated
0.21,NO
0.2555,YES
0.2049,NO
0.2206,NO
0.2228,NO
0.1032,NO
0.1461,YES
0.1116,NO
0.1326,YES
0.84,NO
0.84,NO
0.7,NO
0.24,NO
0.24,NO
0.7,NO
0.84,NO
0.84,NO
0.7,NO
0.4,YES
0.7,NO
0.4,YES
0.2519,NO
0.2036,NO
0.2033,NO
0.84,NO
0.24,NO
0.84,NO
0.24,NO
0.84,NO
0.24,NO
0.4,YES
0.4,YES
0.4,YES
0.4,YES
0.7,NO
0.4,YES
0.7,NO
0.0949,NO
0.1339,NO
0.22399999999999998,NO
0.67,NO
0.67,NO
0.2079,NO
0.1339,NO
0.0967,NO
0.2198,NO
0.3428,YES
0.2344,NO
0.1736,YES
0.47,NO
0.47,NO
0.47,NO
0.204,NO
0.67,NO
0.1655,NO
0.67,NO
0.1309,NO
0.67,NO
0.4042,YES
0.3296,YES
0.4941,YES
0.1783,YES
0.193,NO
0.2673,YES
0.1726,NO
0.1439,NO
0.0769,NO
0.48,NO
0.26,NO
0.26,NO
0.48,NO
0.1684,NO
0.1204,NO
0.48,NO
0.41,YES
0.48,NO
0.41,YES
0.51,NO
0.51,NO
0.51,NO
0.0498,NO
0.26,NO
0.0515,NO
0.26,NO
0.1912,NO
0.26,NO
0.41,YES
0.41,YES
0.41,YES
0.41,YES
0.48,NO
0.41,YES
0.48,NO
0.0727,NO
0.0714,NO
0.86,NO
0.37,NO
0.37,NO
0.86,NO
0.0605,NO
0.0532,NO
0.86,NO
0.58,YES
0.86,NO
0.58,YES
0.2118,NO
0.2048,NO
0.2045,NO
0.0849,NO
0.37,NO
0.0824,NO
0.37,NO
0.1702,NO
0.37,NO
0.58,YES
0.58,YES
0.58,YES
0.58,YES
0.86,NO
0.58,YES
0.86,NO
0.1069,NO
0.0451,NO
0.5095,YES
0.67,YES
0.67,YES
0.45,YES
0.2237,NO
0.1065,NO
0.45,YES
0.42,NO
0.45,YES
0.42,NO
0.2131,NO
0.1496,NO
0.1474,NO
0.0902,NO
0.67,YES
0.0875,NO
0.67,YES
0.2129,NO
0.67,YES
0.42,NO
0.42,NO
0.42,NO
0.42,NO
0.45,YES
0.42,NO
0.45,YES
0.1799,NO
0.1547,NO
0.59,YES
0.34,NO
0.34,NO
0.59,YES
0.1827,NO
0.1097,NO
0.59,YES
0.191,NO
0.59,YES
0.1528,NO
0.3264,NO
0.3203,NO
0.2648,NO
0.171,NO
0.34,NO
0.1398,NO
0.3673,NO
0.1451,NO
0.34,NO
0.1991,NO
0.1784,NO
0.3767,NO
0.1917,NO
0.59,YES
0.3359,NO
0.59,YES
0.38,NO
0.38,NO
0.97,YES
0.44,YES
0.44,YES
0.97,YES
0.38,NO
0.38,NO
0.97,YES
0.2328,NO
0.97,YES
0.1095,NO
0.2365,NO
0.2061,NO
0.2048,NO
0.38,NO
0.44,YES
0.38,NO
0.44,YES
0.38,NO
0.44,YES
0.2397,NO
0.2111,NO
0.2935,NO
0.1155,NO
0.97,YES
0.1959,NO
0.97,YES
0.1636,NO
0.1646,NO
0.3881,YES
0.1762,NO
0.1649,NO
0.4197,YES
0.1681,NO
0.153,NO
0.4738,YES
0.159,NO
0.493,YES
0.1456,NO
0.2244,NO
0.1542,NO
0.1277,NO
0.1775,NO
0.2106,NO
0.1654,NO
0.3557,NO
0.0902,NO
0.2663,NO
0.2218,NO
0.1764,NO
0.3901,NO
0.21600000000000003,NO
0.402,YES
0.3584,NO
0.3239,YES
0.54,NO
0.54,NO
0.13,YES
0.8,YES
0.8,YES
0.13,YES
0.54,NO
0.54,NO
0.13,YES
0.16,NO
0.13,YES
0.16,NO
0.171,NO
0.1733,NO
0.1785,NO
0.54,NO
0.8,YES
0.54,NO
0.8,YES
0.54,NO
0.8,YES
0.16,NO
0.16,NO
0.16,NO
0.16,NO
0.13,YES
0.16,NO
0.13,YES
0.3024,YES
0.12,YES
0.3634,NO
0.92,NO
0.92,NO
0.27,NO
0.2394,YES
0.3693,YES
0.27,NO
0.92,NO
0.27,NO
0.92,NO
0.2131,NO
0.16,NO
0.1446,NO
0.12,YES
0.92,NO
0.2419,YES
0.92,NO
0.2985,YES
0.92,NO
0.92,NO
0.92,NO
0.92,NO
0.92,NO
0.27,NO
0.92,NO
0.27,NO
0.0839,NO
0.0672,NO
0.61,YES
0.1154,YES
0.0802,YES
0.61,YES
0.0868,NO
0.0677,NO
0.61,YES
0.17,NO
0.61,YES
0.17,NO
0.3042,NO
0.1867,NO
0.2024,NO
0.084,NO
0.1127,YES
0.0773,NO
0.3002,YES
0.0821,NO
0.1969,YES
0.17,NO
0.17,NO
0.3023,NO
0.17,NO
0.61,YES
0.2621,NO
0.61,YES
0.47,NO
0.47,NO
0.59,YES
0.28,YES
0.28,YES
0.59,YES
0.47,NO
0.47,NO
0.59,YES
0.22,NO
0.59,YES
0.22,NO
0.2277,NO
0.1763,NO
0.1744,NO
0.47,NO
0.28,YES
0.47,NO
0.28,YES
0.47,NO
0.28,YES
0.22,NO
0.22,NO
0.3004,NO
0.22,NO
0.59,YES
0.2341,NO
0.59,YES
0.1342,NO
0.1099,NO
0.526,YES
0.38,YES
0.38,YES
0.36,YES
0.22699999999999998,NO
0.1622,NO
0.36,YES
1.0,NO
0.3901,YES
1.0,NO
0.1483,NO
0.0862,NO
0.0629,NO
0.2034,NO
0.38,YES
0.1975,NO
0.38,YES
0.1773,NO
0.38,YES
1.0,NO
1.0,NO
1.0,NO
1.0,NO
0.36,YES
1.0,NO
0.36,YES
0.0709,NO
0.0732,NO
0.3094,YES
0.85,YES
0.85,YES
0.2941,YES
0.0664,NO
0.0556,NO
0.5229,YES
1.0,NO
0.3604,YES
1.0,NO
0.2859,NO
0.1263,NO
0.1497,NO
0.1047,NO
0.85,YES
0.1016,NO
0.85,YES
0.0639,NO
0.85,YES
1.0,NO
1.0,NO
1.0,NO
1.0,NO
0.302,YES
1.0,NO
0.4263,YES
0.1151,NO
0.0905,NO
0.47,YES
0.3566,YES
0.2651,YES
0.47,YES
0.094,NO
0.0554,NO
0.47,YES
0.39,NO
0.47,YES
0.39,NO
0.2488,NO
0.2731,NO
0.2523,NO
0.1698,NO
0.2266,YES
0.1648,NO
0.2745,YES
0.1508,NO
0.2653,YES
0.39,NO
0.39,NO
0.39,NO
0.39,NO
0.47,YES
0.39,NO
0.47,YES
0.15,NO
0.15,NO
0.254,YES
0.61,YES
0.61,YES
0.2593,YES
0.15,NO
0.15,NO
0.2917,YES
0.1836,NO
0.3039,YES
0.1342,NO
0.1448,NO
0.1036,NO
0.0702,NO
0.1825,NO
0.61,YES
0.1772,NO
0.61,YES
0.15,NO
0.61,YES
0.1677,NO
0.1461,NO
0.2985,NO
0.1348,NO
0.2479,YES
0.2298,NO
0.2345,YES
0.08900000000000001,NO
0.0394,NO
0.14,NO
0.73,NO
0.73,NO
0.14,NO
0.0963,NO
0.0435,NO
0.2592,NO
0.1291,NO
0.14,NO
0.1052,NO
0.4225,YES
0.42,YES
0.42,YES
0.0766,NO
0.73,NO
0.0797,NO
0.73,NO
0.1551,NO
0.73,NO
0.0463,NO
0.0745,NO
0.1014,NO
0.0541,NO
0.1685,NO
0.0541,NO
0.2105,NO
0.1239,YES
0.289,YES
0.2752,NO
0.1653,NO
0.0814,NO
0.24,NO
0.32899999999999996,YES
0.1249,YES
0.24,NO
0.1519,NO
0.24,NO
0.1784,NO
0.1661,NO
0.1504,NO
0.1562,NO
0.3075,YES
0.0597,NO
0.1815,YES
0.05,NO
0.3735,YES
0.0877,NO
0.1163,NO
0.09,NO
0.1354,NO
0.0948,NO
0.24,NO
0.09,NO
0.24,NO
0.0416,NO
0.02,NO
0.86,YES
0.2886,YES
0.2879,YES
0.86,YES
0.0498,NO
0.02,NO
0.86,YES
0.66,NO
0.86,YES
0.66,NO
0.1977,NO
0.1726,NO
0.1805,NO
0.0204,NO
0.2123,YES
0.02,NO
0.3536,YES
0.1039,NO
0.2827,YES
0.66,NO
0.66,NO
0.66,NO
0.66,NO
0.86,YES
0.66,NO
0.86,YES
0.64,YES
0.64,YES
0.3473,NO
0.52,NO
0.52,NO
0.22,NO
0.64,YES
0.64,YES
0.22,NO
0.94,NO
0.22,NO
0.94,NO
0.1741,NO
0.1373,NO
0.132,NO
0.64,YES
0.52,NO
0.64,YES
0.52,NO
0.64,YES
0.52,NO
0.94,NO
0.94,NO
0.94,NO
0.94,NO
0.22,NO
0.94,NO
0.22,NO
0.1238,NO
0.0659,NO
0.25,NO
0.2168,NO
0.0941,NO
0.25,NO
0.0797,NO
0.0869,NO
0.25,NO
0.53,YES
0.25,NO
0.53,YES
0.24100000000000002,NO
0.263,NO
0.2504,NO
0.1414,NO
0.0983,NO
0.1658,NO
0.1333,NO
0.2072,NO
0.1519,NO
0.53,YES
0.53,YES
0.53,YES
0.53,YES
0.25,NO
0.53,YES
0.25,NO
0.8,YES
0.8,YES
0.2823,NO
0.47,NO
0.47,NO
0.11,NO
0.8,YES
0.8,YES
0.11,NO
0.13,NO
0.11,NO
0.13,NO
0.98,NO
0.98,NO
0.98,NO
0.8,YES
0.47,NO
0.8,YES
0.47,NO
0.8,YES
0.47,NO
0.13,NO
0.13,NO
0.13,NO
0.13,NO
0.1427,NO
0.13,NO
0.11,NO
0.1422,NO
0.0613,NO
0.68,NO
0.83,NO
0.83,NO
0.68,NO
0.1529,NO
0.1098,NO
0.68,NO
0.1807,YES
0.68,NO
0.2818,YES
0.2438,NO
0.2385,NO
0.2176,NO
0.0807,NO
0.83,NO
0.0862,NO
0.83,NO
0.2286,NO
0.83,NO
0.0972,YES
0.105,YES
0.1237,YES
0.2731,YES
0.68,NO
0.1151,YES
0.68,NO
