LOWERTRACED_RFSMOTE_MULTI_VSM_MEDIAN.csv,Associated
0.46514999999999995,YES
0.06975,NO
0.42625,YES
0.07215,NO
0.11825,NO
0.10669999999999999,NO
0.10669999999999999,NO
0.0286,NO
0.5209,YES
0.0278,NO
0.58545,YES
0.07085,NO
0.5325,YES
0.0261,NO
0.03385,NO
0.07195,NO
0.0247,NO
0.44575,YES
0.0482,NO
0.42715,YES
0.0772,NO
0.0366,NO
0.10375000000000001,NO
0.1291,NO
0.09885,NO
0.09005,NO
0.0842,NO
0.06125,NO
0.07790000000000001,NO
0.6514,YES
0.08385000000000001,NO
0.5952,YES
0.09935,NO
0.0878,NO
0.08445,NO
0.027000000000000003,NO
0.07345,NO
0.02735,NO
0.0541,NO
0.10095,NO
0.06465,NO
0.64485,YES
0.6306,YES
0.58955,YES
0.5947,YES
0.1163,NO
0.53765,YES
0.05395,NO
0.04925,NO
0.0387,NO
0.05345,YES
0.30735,YES
0.25155,YES
0.06655,YES
0.04425,NO
0.0302,NO
0.1034,YES
0.1299,NO
0.053,YES
0.07295,NO
0.1126,NO
0.12855,NO
0.11875,NO
0.07265,NO
0.23725000000000002,YES
0.0705,NO
0.25615,YES
0.071,NO
0.25275000000000003,YES
0.10245,NO
0.1103,NO
0.1114,NO
0.0516,NO
0.07305,YES
0.0558,NO
0.0663,YES
0.07075,NO
0.03725,NO
0.12405000000000001,NO
0.095,NO
0.07735,NO
0.10485,NO
0.08265,NO
0.0768,NO
0.10495,NO
0.58945,YES
0.10725,NO
0.61235,YES
0.13595000000000002,NO
0.1118,NO
0.11165,NO
0.02665,NO
0.0525,NO
0.027999999999999997,NO
0.05565,NO
0.1128,NO
0.04945,NO
0.58395,YES
0.56225,YES
0.58505,YES
0.6454,YES
0.12525,NO
0.57285,YES
0.07155,NO
0.04745,NO
0.06695,NO
0.11699999999999999,NO
0.09835,NO
0.0718,NO
0.10895,NO
0.06695,NO
0.04835,NO
0.1149,NO
0.5864,YES
0.1222,NO
0.5018,YES
0.06655,NO
0.03675,NO
0.03235,NO
0.102,NO
0.06635,NO
0.08275,NO
0.155,NO
0.06545,NO
0.14095,NO
0.6171,YES
0.5798,YES
0.66205,YES
0.50415,YES
0.1015,NO
0.54865,YES
0.0913,NO
0.07195,NO
0.03845,NO
0.10265,NO
0.1171,NO
0.10235,NO
0.09615,NO
0.0842,NO
0.0602,NO
0.09255000000000001,NO
0.63895,YES
0.0964,NO
0.56415,YES
0.15760000000000002,NO
0.14705000000000001,NO
0.14534999999999998,NO
0.0249,NO
0.07075,NO
0.02575,NO
0.06035,NO
0.0956,NO
0.07,NO
0.6619,YES
0.6347,YES
0.59995,YES
0.59375,YES
0.1153,NO
0.56015,YES
0.0634,NO
0.03635,NO
0.0357,NO
0.174,NO
0.1443,NO
0.07135,NO
0.16275,NO
0.03025,NO
0.0266,NO
0.19105,NO
0.6348499999999999,YES
0.15034999999999998,NO
0.53235,YES
0.1059,NO
0.1024,NO
0.10225,NO
0.04245,NO
0.05175,NO
0.0412,NO
0.04875,NO
0.0851,NO
0.0759,NO
0.5836,YES
0.5801499999999999,YES
0.572,YES
0.47785,YES
0.18875,NO
0.4714,YES
0.16949999999999998,NO
0.05345,NO
0.02255,NO
0.67975,YES
0.07155,YES
0.06135,YES
0.56735,YES
0.11185,NO
0.05325,NO
0.5883,YES
0.0537,NO
0.58945,YES
0.057949999999999995,NO
0.11655,NO
0.0848,NO
0.0837,NO
0.0451,NO
0.04965,YES
0.04375,NO
0.11845,YES
0.10645,NO
0.06605,YES
0.06855,NO
0.045,NO
0.15625,NO
0.065,NO
0.59495,YES
0.1308,NO
0.52905,YES
0.08995,NO
0.07735,NO
0.61975,YES
0.3328,NO
0.30175,NO
0.64795,YES
0.09135,NO
0.05485,NO
0.7123999999999999,YES
0.4555,NO
0.65905,YES
0.4364,NO
0.1632,NO
0.16015,NO
0.1324,NO
0.0855,NO
0.3345,NO
0.0699,NO
0.40865,NO
0.07255,NO
0.35685,NO
0.45955,NO
0.4492,NO
0.54835,NO
0.45585,NO
0.6297,YES
0.5279499999999999,NO
0.5837,YES
0.0399,NO
0.0182,NO
0.52875,YES
0.5547,YES
0.5266,YES
0.51565,YES
0.06165,NO
0.0237,NO
0.54495,YES
0.4514,NO
0.5354,YES
0.38975000000000004,NO
0.11825,NO
0.10305,NO
0.1024,NO
0.0228,NO
0.50475,YES
0.0221,NO
0.55,YES
0.0612,NO
0.5106499999999999,YES
0.45485000000000003,NO
0.44055,NO
0.48175,NO
0.39275000000000004,NO
0.5265,YES
0.43295,NO
0.504,YES
0.5768,NO
0.5773,NO
0.62905,YES
0.17809999999999998,NO
0.17245,NO
0.64485,YES
0.57905,NO
0.5715,NO
0.6718999999999999,YES
0.0895,NO
0.6815,YES
0.0828,NO
0.1122,NO
0.0771,NO
0.06385,NO
0.58375,NO
0.1953,NO
0.5777,NO
0.26785000000000003,NO
0.5401,NO
0.22315,NO
0.1209,NO
0.0982,NO
0.20505,NO
0.11800000000000001,NO
0.636,YES
0.1892,NO
0.59695,YES
0.02335,NO
0.0092,NO
0.0272,YES
0.09835,YES
0.06255,YES
0.0263,YES
0.01945,NO
0.0049,NO
0.0602,YES
0.0576,NO
0.0217,YES
0.0497,NO
0.0855,NO
0.08665,NO
0.08925,NO
0.0316,NO
0.0826,YES
0.0307,NO
0.07665,YES
0.06735,NO
0.0606,YES
0.0075,NO
0.0357,NO
0.0349,NO
0.0175,NO
0.0336,YES
0.0189,NO
0.03185,YES
0.6512,YES
0.5241,YES
0.1817,NO
0.0774,NO
0.07295,NO
0.0753,NO
0.6197,YES
0.68465,YES
0.0702,NO
0.0379,NO
0.07585,NO
0.0335,NO
0.11655,NO
0.09,NO
0.0823,NO
0.5422,YES
0.0475,NO
0.62095,YES
0.013000000000000001,NO
0.64925,YES
0.01885,NO
0.051,NO
0.04635,NO
0.06295,NO
0.05965,NO
0.10885,NO
0.075,NO
0.0498,NO
0.04195,NO
0.0336,NO
0.5884,YES
0.0577,YES
0.0401,YES
0.5932999999999999,YES
0.0434,NO
0.03385,NO
0.7078,YES
0.2519,NO
0.62355,YES
0.24325,NO
0.1521,NO
0.09335,NO
0.1012,NO
0.042,NO
0.05635,YES
0.03865,NO
0.1501,YES
0.04105,NO
0.09845,YES
0.27265,NO
0.2521,NO
0.35614999999999997,NO
0.26385,NO
0.5832999999999999,YES
0.33604999999999996,NO
0.6165499999999999,YES
0.0589,NO
0.0237,NO
0.65385,YES
0.4007,YES
0.39035,YES
0.56335,YES
0.1096,NO
0.05825,NO
0.59175,YES
0.0943,NO
0.5861000000000001,YES
0.0544,NO
0.11385,NO
0.08815,NO
0.0872,NO
0.0474,NO
0.366,YES
0.0441,NO
0.40335,YES
0.0984,NO
0.36869999999999997,YES
0.1067,NO
0.0923,NO
0.1502,NO
0.0661,NO
0.59195,YES
0.11705,NO
0.5468500000000001,YES
0.0671,NO
0.05495,NO
0.698,YES
0.08115,YES
0.0998,YES
0.59985,YES
0.11349999999999999,NO
0.0811,NO
0.6036,YES
0.2001,NO
0.63005,YES
0.1961,NO
0.07415,NO
0.0431,NO
0.03145,NO
0.1017,NO
0.0841,YES
0.09875,NO
0.1711,YES
0.08865,NO
0.1257,YES
0.2327,NO
0.21005,NO
0.32594999999999996,NO
0.23075,NO
0.6076,YES
0.30795,NO
0.5640000000000001,YES
0.03545,NO
0.0366,NO
0.5897,YES
0.22455000000000003,YES
0.20325000000000001,YES
0.58205,YES
0.0332,NO
0.0278,NO
0.69645,YES
0.13515,NO
0.6152,YES
0.129,NO
0.19795,NO
0.11815,NO
0.12985,NO
0.05235,NO
0.22155000000000002,YES
0.0508,NO
0.32330000000000003,YES
0.03195,NO
0.27735,YES
0.14885,NO
0.12565,NO
0.24175000000000002,NO
0.13975,NO
0.586,YES
0.20345000000000002,NO
0.64815,YES
0.05755,NO
0.04525,NO
0.0514,YES
0.2783,YES
0.23255,YES
0.0771,YES
0.047,NO
0.0277,NO
0.10185,YES
0.09855,NO
0.0563,YES
0.0709,NO
0.4344,NO
0.44655,NO
0.43615000000000004,NO
0.0849,NO
0.2133,YES
0.0824,NO
0.23725000000000002,YES
0.0754,NO
0.23265,YES
0.0603,NO
0.08065,NO
0.08055,NO
0.0509,NO
0.076,YES
0.0593,NO
0.06035,YES
0.06005,NO
0.051500000000000004,NO
0.28700000000000003,YES
0.5742499999999999,YES
0.5912,YES
0.28964999999999996,YES
0.04905,NO
0.0396,NO
0.30585,YES
0.1018,NO
0.31195,YES
0.0771,NO
0.0724,NO
0.0518,NO
0.0351,NO
0.09125,NO
0.55685,YES
0.0886,NO
0.6963999999999999,YES
0.0446,NO
0.6396999999999999,YES
0.09384999999999999,NO
0.08305,NO
0.15925,NO
0.0774,NO
0.28395000000000004,YES
0.1249,NO
0.27725,YES
0.044500000000000005,NO
0.0197,NO
0.06905,NO
0.1054,NO
0.0338,NO
0.04785,NO
0.04815,NO
0.02175,NO
0.1296,NO
0.06455,NO
0.03925,NO
0.0526,NO
0.7112499999999999,YES
0.6684,YES
0.6969,YES
0.0383,NO
0.03555,NO
0.03985,NO
0.02655,NO
0.07755,NO
0.0385,NO
0.02315,NO
0.03725,NO
0.0507,NO
0.02705,NO
0.08425,NO
0.02705,NO
0.10525,NO
0.56195,YES
0.6445,YES
0.1376,NO
0.08265,NO
0.0407,NO
0.03115,NO
0.6645,YES
0.56245,YES
0.0484,NO
0.07595,NO
0.02665,NO
0.0892,NO
0.08305,NO
0.0752,NO
0.0781,NO
0.65375,YES
0.02985,NO
0.59075,YES
0.0168,NO
0.68675,YES
0.04385,NO
0.05815,NO
0.0209,NO
0.0677,NO
0.0474,NO
0.07035,NO
0.04105,NO
0.0447,NO
0.0208,NO
0.00655,NO
0.42014999999999997,YES
0.5493,YES
0.54895,YES
0.42469999999999997,YES
0.0249,NO
0.00695,NO
0.45994999999999997,YES
0.05545,NO
0.42945,YES
0.0498,NO
0.10385,NO
0.0913,NO
0.09525,NO
0.0102,NO
0.51115,YES
0.0099,NO
0.5818000000000001,YES
0.05195,NO
0.54635,YES
0.0213,NO
0.01935,NO
0.0614,NO
0.01865,NO
0.42795,YES
0.0404,NO
0.41595,YES
0.6729,YES
0.5132,YES
0.17365,NO
0.07775,NO
0.0453,NO
0.0535,NO
0.613,YES
0.7092,YES
0.05555,NO
0.05085,NO
0.048499999999999995,NO
0.0529,NO
0.08705,NO
0.06865,NO
0.066,NO
0.5569,YES
0.0383,NO
0.6621,YES
0.01485,NO
0.67035,YES
0.01935,NO
0.03105,NO
0.038,NO
0.0633,NO
0.0363,NO
0.096,NO
0.0564,NO
0.04065,NO
0.0619,NO
0.03295,NO
0.04955,NO
0.1084,NO
0.04705,NO
0.0613,NO
0.03985,NO
0.04345,NO
0.09605,NO
0.10595,YES
0.04225,NO
0.09815,YES
0.15550000000000003,NO
0.1665,NO
0.1602,NO
0.0707,NO
0.04915,NO
0.0829,NO
0.06665,NO
0.1036,NO
0.07595,NO
0.06135,YES
0.0662,YES
0.07905,YES
0.09635,YES
0.0689,NO
0.048499999999999995,YES
0.059500000000000004,NO
0.6806,YES
0.5244,YES
0.14115,NO
0.0792,NO
0.0325,NO
0.0339,NO
0.5826,YES
0.72495,YES
0.04735,NO
0.05395,NO
0.03225,NO
0.05475,NO
0.08325,NO
0.0736,NO
0.07315,NO
0.56305,YES
0.0264,NO
0.68955,YES
0.01645,NO
0.67885,YES
0.031,NO
0.02385,NO
0.02285,NO
0.0637,NO
0.03405,NO
0.07135,NO
0.0402,NO
0.03845,NO
0.0711,NO
0.03065,NO
0.0742,NO
0.0889,NO
0.05125,NO
0.07725,NO
0.07645,NO
0.0549,NO
0.08765,NO
0.57035,YES
0.067,NO
0.6209,YES
0.1619,NO
0.15925,NO
0.1488,NO
0.04035,NO
0.0486,NO
0.0431,NO
0.04075,NO
0.1143,NO
0.0402,NO
0.5286,YES
0.5325,YES
0.5418499999999999,YES
0.6165499999999999,YES
0.09685,NO
0.53755,YES
0.0526,NO
