NONETRACED_SUM_MULTI_VSM_MEDIAN.csv,Associated
0.7645500000000001,NO
1.74765,NO
1.8631,NO
0.8180999999999999,NO
0.82065,NO
1.72165,NO
0.7880999999999999,NO
2.0211,NO
0.739,NO
1.6662000000000001,NO
1.1533,NO
1.611,NO
2.10565,NO
0.9851,NO
2.2161000000000004,YES
2.0818499999999998,NO
1.9145999999999999,YES
1.81285,NO
0.5904,NO
2.18165,YES
2.27455,YES
1.7533999999999998,YES
2.6846,YES
1.84165,NO
0.7046999999999999,NO
2.6338,YES
1.80285,NO
1.9935500000000002,YES
1.0761500000000002,NO
1.8819,NO
2.1641500000000002,NO
0.8797,NO
1.00185,NO
2.1623,YES
1.0577,NO
2.2975000000000003,YES
0.97485,NO
2.04685,YES
1.65495,NO
2.34585,NO
2.44935,NO
1.19185,NO
2.3275,YES
2.26945,NO
1.9556,YES
1.1673,NO
0.48505,NO
1.88405,YES
1.29095,NO
1.0606499999999999,NO
2.32885,YES
1.2803,NO
0.4547,NO
2.38535,YES
0.96485,NO
1.9279499999999998,YES
0.6409,NO
1.3976000000000002,NO
1.43535,NO
0.5546,NO
0.68195,NO
1.44545,NO
0.64055,NO
1.7903,NO
0.5501,NO
1.4261,NO
1.0627,NO
1.38915,NO
1.93915,NO
0.88545,NO
1.9836500000000001,YES
1.8984,NO
1.7234500000000001,YES
0.6493,NO
0.20645000000000002,NO
0.6398,YES
0.93725,YES
0.7143,YES
0.80025,YES
0.6305999999999999,NO
0.23459999999999998,NO
0.8245,YES
0.59615,NO
0.534,YES
0.39380000000000004,NO
0.71545,NO
0.85225,NO
0.43015,NO
0.38285,NO
0.85955,YES
0.40525,NO
0.8574,YES
0.4043,NO
0.80235,YES
0.4419,NO
0.7619999999999999,NO
0.6909,NO
0.3622,NO
0.70355,YES
0.6527000000000001,NO
0.5988500000000001,YES
1.40155,YES
0.3182,YES
1.1791,NO
1.0306,NO
0.7485999999999999,NO
1.2380499999999999,NO
1.0808,YES
0.85225,YES
1.20305,NO
0.7706500000000001,NO
0.86595,NO
0.5226,NO
1.06185,NO
1.1873500000000001,NO
0.5668000000000001,NO
0.6195,YES
0.9561,NO
1.01445,YES
0.80965,NO
0.9187,YES
0.7804500000000001,NO
0.665,NO
1.03925,NO
0.9932000000000001,NO
0.5761999999999999,NO
1.1503,NO
1.01505,NO
0.92255,NO
1.424,NO
0.5396,NO
2.0862000000000003,YES
1.5477,YES
1.2204,YES
2.6322,YES
1.52645,NO
0.53985,NO
2.86295,YES
1.1119999999999999,NO
2.0962,YES
0.7431,NO
1.82395,NO
1.8377000000000001,NO
0.8418,NO
0.7744000000000001,NO
1.6723999999999999,YES
0.7487499999999999,NO
1.9705499999999998,YES
0.7256,NO
1.60415,YES
1.1554,NO
1.6015,NO
2.10595,NO
0.9776499999999999,NO
2.23615,YES
2.0898,NO
2.0708,YES
1.53485,NO
0.4953,NO
1.9093,YES
1.766,YES
1.3572499999999998,YES
2.2251,YES
1.5691499999999998,NO
0.6624,NO
2.1814,YES
1.4355,NO
1.67455,YES
0.87515,NO
1.55055,NO
1.7403499999999998,NO
0.72035,NO
0.8529,NO
1.6842000000000001,YES
0.9235,NO
1.7662,YES
0.9021,NO
1.55715,YES
1.342,NO
1.8785,NO
2.00575,NO
0.98845,NO
1.96435,YES
1.8780000000000001,NO
1.6261999999999999,YES
1.2595999999999998,NO
0.4612,NO
1.90545,YES
1.35705,YES
1.1115499999999998,YES
2.17215,YES
1.35065,NO
0.5418499999999999,NO
2.11715,YES
1.02325,NO
1.74165,YES
0.6594,NO
1.27685,NO
1.3981,NO
0.47669999999999996,NO
0.78555,NO
1.44445,YES
0.8028,NO
1.74365,YES
0.6981,NO
1.43495,YES
1.0705,NO
1.4412,NO
1.88695,NO
0.8614499999999999,NO
1.8808,YES
1.8264,NO
1.55435,YES
1.29345,NO
0.50985,NO
2.00175,YES
1.4271500000000001,YES
1.1366,YES
2.5088500000000002,YES
1.4076999999999997,NO
0.4778,NO
2.7547,YES
1.0110999999999999,NO
2.0313,YES
0.6814,NO
1.71335,NO
1.676,NO
0.7558499999999999,NO
0.71285,NO
1.56185,YES
0.6749499999999999,NO
1.8969,YES
0.6396000000000001,NO
1.5237,YES
1.0767,NO
1.4674,NO
2.01575,NO
0.9149999999999999,NO
2.13955,YES
1.9850999999999999,NO
2.03795,YES
1.06,NO
0.37045,NO
1.04085,YES
1.56545,YES
1.2084,YES
1.33365,YES
1.0352999999999999,NO
0.3971,NO
1.3122,YES
1.07985,NO
0.8991,YES
0.67225,NO
1.0992,NO
1.33925,NO
0.63005,NO
0.6627,NO
1.3791499999999999,YES
0.6846,NO
1.3985500000000002,YES
0.6034,NO
1.33715,YES
0.8683500000000001,NO
1.3651499999999999,NO
1.2206,NO
0.64425,NO
1.1651,YES
1.1243999999999998,NO
0.9679,YES
1.2358,NO
0.4359,NO
1.61575,YES
1.8326,YES
1.55455,YES
1.9808000000000001,YES
1.25225,NO
0.44770000000000004,NO
1.89995,YES
1.1535000000000002,NO
1.5290000000000001,YES
0.7126,NO
1.2095500000000001,NO
1.4351,NO
0.49110000000000004,NO
0.7459499999999999,NO
1.7721,YES
0.75335,NO
2.1466000000000003,YES
0.60395,NO
1.863,YES
1.0779,NO
1.56055,NO
1.7694999999999999,NO
0.81145,NO
1.7108,YES
1.66045,NO
1.4033,YES
0.98685,NO
0.3359,NO
0.9922,NO
1.1173499999999998,NO
0.7659499999999999,NO
1.21505,NO
0.9743,NO
0.40045,NO
1.4301000000000001,NO
0.7578,NO
0.84205,NO
0.52725,NO
1.3597,YES
1.3822999999999999,YES
0.88645,YES
0.5145500000000001,NO
0.9951,NO
0.5631999999999999,NO
0.8987999999999999,NO
0.63,NO
0.85485,NO
0.58765,NO
0.9901,NO
0.9496,NO
0.52915,NO
1.09265,NO
0.9351,NO
1.08435,NO
0.84895,YES
0.43474999999999997,YES
0.8229500000000001,NO
0.81405,NO
0.5501499999999999,NO
0.7879,NO
0.9596,YES
0.4304,YES
0.7473,NO
0.6305999999999999,NO
0.50945,NO
0.45425,NO
0.70865,NO
0.8617000000000001,NO
0.39395,NO
0.74265,YES
0.70125,NO
0.6734,YES
0.59745,NO
0.7572,YES
0.6350499999999999,NO
0.519,NO
0.75165,NO
0.71035,NO
0.41415,NO
0.7563,NO
0.6837000000000001,NO
0.5902,NO
1.2256,NO
0.39795,NO
1.4521,YES
1.8538,YES
1.5292000000000001,YES
1.8126,YES
1.246,NO
0.4293,NO
1.8123,YES
1.04035,NO
1.31745,YES
0.6813499999999999,NO
1.35325,NO
1.5678,NO
0.70505,NO
0.6593,NO
1.7295,YES
0.6748500000000001,NO
1.94665,YES
0.6817000000000001,NO
1.7337500000000001,YES
0.8915,NO
1.4204999999999999,NO
1.4994999999999998,NO
0.7161,NO
1.5799499999999997,YES
1.4478,NO
1.31555,YES
1.4617,YES
0.28085,YES
1.1045,NO
0.9699,NO
0.6765,NO
1.09105,NO
1.0219500000000001,YES
0.9391,YES
1.0044,NO
0.7122999999999999,NO
0.73565,NO
0.4966,NO
0.90215,NO
1.0738500000000002,NO
0.46915,NO
0.65065,YES
0.8831,NO
1.1531,YES
0.751,NO
0.9816,YES
0.73415,NO
0.5740000000000001,NO
0.94255,NO
0.8894,NO
0.49365,NO
1.0453000000000001,NO
0.9023,NO
0.77715,NO
1.00155,NO
0.31889999999999996,NO
0.9205,NO
1.1300000000000001,NO
0.78405,NO
1.1398499999999998,NO
0.91795,NO
0.44115,NO
1.13815,NO
1.0079,YES
0.7646000000000001,NO
0.66635,YES
0.9824,NO
1.1747999999999998,NO
0.5596,NO
0.6063999999999999,NO
1.0008,NO
0.6941499999999999,NO
0.93495,NO
0.62215,NO
0.93175,NO
0.8021,YES
1.1976,YES
1.08675,YES
0.6604500000000001,YES
1.004,NO
0.98495,YES
0.85045,NO
1.3462,YES
0.24245,YES
0.85995,NO
0.81935,NO
0.5490999999999999,NO
0.7984000000000001,NO
0.8359,YES
0.9216,YES
0.7179,NO
0.59585,NO
0.51025,NO
0.42000000000000004,NO
0.7112,NO
0.89195,NO
0.3901,NO
0.59355,YES
0.7139,NO
1.1362999999999999,YES
0.5731499999999999,NO
0.9229,YES
0.6135,NO
0.4405,NO
0.75365,NO
0.67045,NO
0.38795,NO
0.7896000000000001,NO
0.6709,NO
0.57065,NO
1.1847999999999999,NO
0.35864999999999997,NO
1.1211,NO
1.20715,NO
0.85255,NO
1.3772,NO
1.1058999999999999,NO
0.54855,NO
1.31645,NO
1.06745,YES
0.94075,NO
0.78955,YES
1.11155,NO
1.3046,NO
0.5935,NO
0.66415,NO
1.10405,NO
0.7695000000000001,NO
0.99475,NO
0.77165,NO
0.9706,NO
0.86575,YES
1.2921,YES
1.20485,YES
0.7985,YES
1.2357500000000001,NO
1.15,YES
0.9784999999999999,NO
