UPPERTRACED_RFSMOTE_MULTI_VSM_MAX.csv,Associated
0.3897,YES
0.3612,YES
0.2791,YES
0.33,YES
0.4,NO
0.1753,YES
0.84,NO
0.67,NO
0.99,NO
0.92,YES
0.3647,YES
0.2531,YES
0.1331,YES
0.87,NO
0.45,NO
1.0,YES
0.75,NO
1.0,YES
0.1459,NO
0.82,NO
0.82,NO
0.2375,NO
0.1453,NO
0.2245,YES
0.141,NO
0.2623,YES
0.142,NO
0.2555,YES
0.38,NO
1.0,NO
1.0,NO
0.11,NO
0.1461,YES
1.0,NO
0.59,YES
0.96,NO
0.0745,NO
0.2381,NO
0.19,NO
0.52,NO
0.1997,NO
0.84,NO
0.91,NO
0.43,NO
0.1989,YES
0.32,NO
0.2447,YES
0.83,NO
0.85,NO
0.2033,NO
0.0533,NO
1.0,NO
0.055999999999999994,NO
0.98,NO
0.64,NO
0.64,NO
0.1879,YES
0.1445,YES
0.1901,YES
0.33,YES
0.4,NO
0.1657,YES
0.84,NO
0.96,NO
0.1339,NO
0.22399999999999998,NO
0.1967,NO
0.52,NO
0.2079,NO
0.84,NO
0.91,NO
0.43,NO
0.3428,YES
0.32,NO
0.1736,YES
0.83,NO
0.85,NO
0.0647,NO
0.204,NO
1.0,NO
0.1655,NO
0.98,NO
0.64,NO
0.64,NO
0.4042,YES
0.3296,YES
0.4941,YES
0.33,YES
0.4,NO
0.2673,YES
0.84,NO
0.96,NO
0.0769,NO
0.1953,NO
0.2342,NO
0.52,NO
0.1823,NO
0.84,NO
0.91,NO
0.43,NO
0.3579,YES
0.32,NO
0.2083,YES
0.83,NO
0.85,NO
0.2007,NO
0.0498,NO
1.0,NO
0.0515,NO
0.98,NO
0.64,NO
0.64,NO
0.4038,YES
0.3494,YES
0.2799,YES
0.33,YES
0.4,NO
0.2003,YES
0.84,NO
0.96,NO
0.0714,NO
0.10800000000000001,NO
0.2886,NO
0.52,NO
0.0855,NO
0.84,NO
0.91,NO
0.43,NO
0.4397,YES
0.32,NO
0.2347,YES
0.83,NO
0.85,NO
0.2045,NO
0.0849,NO
1.0,NO
0.0824,NO
0.98,NO
0.64,NO
0.64,NO
0.3372,YES
0.3303,YES
0.314,YES
0.33,YES
0.4,NO
0.1128,YES
0.84,NO
0.94,NO
0.11,NO
0.5095,YES
0.1431,YES
0.1227,YES
0.2847,YES
1.0,NO
0.26,NO
0.3266,YES
0.81,NO
0.3289,YES
0.12,NO
1.0,NO
1.0,NO
0.1474,NO
0.38,NO
0.75,YES
0.38,NO
0.2369,YES
0.43,NO
0.95,YES
0.84,NO
0.64,NO
0.3025,NO
0.12,NO
0.3399,YES
0.2516,NO
0.2081,YES
0.97,NO
0.98,NO
0.47,YES
0.2156,NO
0.1535,NO
0.4159,YES
1.0,NO
0.27,NO
0.5448,YES
0.191,NO
0.4381,YES
0.85,NO
1.0,NO
1.0,NO
0.88,NO
0.66,NO
1.0,NO
0.98,NO
0.3673,NO
0.1451,NO
0.34,NO
0.1991,NO
1.0,NO
0.47,NO
0.1917,NO
0.3794,YES
0.3359,NO
0.2874,YES
0.67,NO
0.99,NO
0.92,YES
0.2794,YES
0.2232,YES
0.2213,YES
0.87,NO
0.45,NO
1.0,YES
0.75,NO
1.0,YES
0.12,NO
0.82,NO
0.82,NO
0.2048,NO
0.13,NO
0.1795,YES
0.13,NO
0.27,YES
0.1224,NO
0.1913,YES
0.38,NO
1.0,NO
1.0,NO
0.1155,NO
0.243,YES
1.0,NO
0.59,YES
0.75,NO
0.92,NO
0.3881,YES
1.0,NO
0.1649,NO
0.4197,YES
0.78,NO
0.42,NO
0.4738,YES
0.66,NO
0.493,YES
1.0,NO
1.0,NO
0.87,NO
1.0,NO
0.1775,NO
0.69,NO
0.1654,NO
1.0,NO
0.0902,NO
0.59,NO
0.2218,NO
0.1764,NO
0.72,NO
0.21600000000000003,NO
0.402,YES
0.72,NO
0.3239,YES
0.67,NO
0.99,NO
0.92,YES
0.1967,YES
0.1251,YES
0.0526,YES
0.87,NO
0.45,NO
1.0,YES
0.75,NO
1.0,YES
0.12,NO
0.82,NO
0.82,NO
0.1785,NO
0.13,NO
0.1652,YES
0.13,NO
0.1533,YES
0.1347,NO
0.1212,YES
0.38,NO
1.0,NO
1.0,NO
0.11,NO
0.0672,YES
1.0,NO
0.59,YES
0.3024,YES
0.98,YES
0.62,NO
0.1548,NO
0.91,NO
0.44,NO
0.2394,YES
0.3693,YES
0.51,NO
0.64,NO
0.26,NO
0.11,NO
0.9,NO
0.91,NO
0.1446,NO
0.0844,YES
0.48,NO
0.2419,YES
0.026000000000000002,NO
0.2985,YES
0.75,NO
0.72,NO
0.0927,NO
0.8,NO
0.1193,NO
0.2177,NO
0.91,NO
0.39,NO
0.94,NO
0.11,NO
0.3068,YES
0.1154,YES
0.0802,YES
0.3166,YES
1.0,NO
0.26,NO
0.5456,YES
0.81,NO
0.3771,YES
0.12,NO
1.0,NO
1.0,NO
0.2024,NO
0.38,NO
0.75,YES
0.38,NO
0.3002,YES
0.43,NO
0.95,YES
0.84,NO
0.64,NO
0.3023,NO
0.1177,NO
0.2966,YES
0.2621,NO
0.3631,YES
0.94,NO
0.11,NO
0.4277,YES
0.2214,YES
0.2007,YES
0.2467,YES
1.0,NO
0.26,NO
0.3035,YES
0.81,NO
0.2922,YES
0.12,NO
1.0,NO
1.0,NO
0.1744,NO
0.38,NO
0.75,YES
0.38,NO
0.2267,YES
0.43,NO
0.95,YES
0.84,NO
0.64,NO
0.3004,NO
0.1322,NO
0.3039,YES
0.2341,NO
0.2137,YES
0.94,NO
0.11,NO
0.526,YES
0.1623,YES
0.1996,YES
0.3297,YES
1.0,NO
0.26,NO
0.3372,YES
0.81,NO
0.3901,YES
0.12,NO
1.0,NO
1.0,NO
0.14,NO
0.38,NO
0.75,YES
0.38,NO
0.3422,YES
0.43,NO
0.95,YES
0.84,NO
0.64,NO
0.3619,NO
0.1715,NO
0.3452,YES
0.3259,NO
0.258,YES
0.94,NO
0.11,NO
0.3094,YES
0.1091,YES
0.0665,YES
0.2941,YES
1.0,NO
0.26,NO
0.5229,YES
0.81,NO
0.3604,YES
0.12,NO
1.0,NO
1.0,NO
0.1497,NO
0.38,NO
0.75,YES
0.38,NO
0.3066,YES
0.43,NO
0.95,YES
0.84,NO
0.64,NO
0.3135,NO
0.1095,NO
0.302,YES
0.2369,NO
0.4263,YES
0.67,NO
0.99,NO
0.92,YES
0.3566,YES
0.2651,YES
0.1542,YES
0.87,NO
0.45,NO
1.0,YES
0.75,NO
1.0,YES
0.1418,NO
0.82,NO
0.82,NO
0.2523,NO
0.1698,NO
0.2266,YES
0.1648,NO
0.2745,YES
0.1508,NO
0.2653,YES
0.38,NO
1.0,NO
1.0,NO
0.11,NO
0.152,YES
1.0,NO
0.59,YES
0.67,NO
0.99,NO
0.92,YES
0.3285,YES
0.3624,YES
0.2593,YES
0.87,NO
0.45,NO
1.0,YES
0.75,NO
1.0,YES
0.1342,NO
0.82,NO
0.82,NO
0.11,NO
0.1825,NO
0.2937,YES
0.1772,NO
0.5728,YES
0.0892,NO
0.4594,YES
0.38,NO
1.0,NO
1.0,NO
0.1348,NO
0.2479,YES
1.0,NO
0.59,YES
0.81,NO
0.97,NO
0.44,NO
0.99,NO
0.24,NO
0.48,NO
1.0,NO
0.11,NO
0.2592,NO
0.1291,NO
0.09,NO
0.67,NO
0.4225,YES
0.3368,YES
0.3938,YES
0.62,NO
0.85,NO
0.39,NO
0.43,NO
0.1551,NO
0.18,NO
0.73,NO
0.9,NO
0.59,NO
0.64,NO
0.27,NO
1.0,NO
0.85,NO
0.1239,YES
0.98,YES
0.62,NO
0.1653,NO
0.91,NO
0.44,NO
0.32899999999999996,YES
0.1249,YES
0.51,NO
0.64,NO
0.26,NO
0.1784,NO
0.9,NO
0.91,NO
0.1562,NO
0.3075,YES
0.48,NO
0.1815,YES
0.0336,NO
0.3735,YES
0.75,NO
0.72,NO
0.07,NO
0.8,NO
0.0948,NO
0.1407,NO
0.91,NO
0.39,NO
0.67,NO
0.99,NO
0.92,YES
0.2886,YES
0.2879,YES
0.1294,YES
0.87,NO
0.45,NO
1.0,YES
0.75,NO
1.0,YES
0.12,NO
0.82,NO
0.82,NO
0.1805,NO
0.13,NO
0.2123,YES
0.13,NO
0.3536,YES
0.1039,NO
0.2827,YES
0.38,NO
1.0,NO
1.0,NO
0.11,NO
0.1359,YES
1.0,NO
0.59,YES
0.3458,YES
0.98,YES
0.62,NO
0.1555,NO
0.91,NO
0.44,NO
0.226,YES
0.4184,YES
0.51,NO
0.64,NO
0.26,NO
0.11,NO
0.9,NO
0.91,NO
0.132,NO
0.1138,YES
0.48,NO
0.3242,YES
0.0297,NO
0.3407,YES
0.75,NO
0.72,NO
0.076,NO
0.8,NO
0.0726,NO
0.192,NO
0.91,NO
0.39,NO
0.96,NO
0.0659,NO
0.0991,NO
0.2168,NO
0.52,NO
0.1226,NO
0.84,NO
0.91,NO
0.43,NO
0.2119,YES
0.32,NO
0.1963,YES
0.83,NO
0.85,NO
0.2504,NO
0.1414,NO
1.0,NO
0.1658,NO
0.98,NO
0.64,NO
0.64,NO
0.1227,YES
0.1324,YES
0.1581,YES
0.33,YES
0.4,NO
0.09699999999999999,YES
0.84,NO
0.3612,YES
0.98,YES
0.62,NO
0.1584,NO
0.91,NO
0.44,NO
0.1652,YES
0.4499,YES
0.51,NO
0.64,NO
0.26,NO
0.11,NO
0.9,NO
0.91,NO
0.1463,NO
0.1261,YES
0.48,NO
0.3791,YES
0.0329,NO
0.3577,YES
0.75,NO
0.72,NO
0.07,NO
0.8,NO
0.07,NO
0.1427,NO
0.91,NO
0.39,NO
0.96,NO
0.0613,NO
0.1484,NO
0.1778,NO
0.52,NO
0.1545,NO
0.84,NO
0.91,NO
0.43,NO
0.1807,YES
0.32,NO
0.2818,YES
0.83,NO
0.85,NO
0.2176,NO
0.0807,NO
1.0,NO
0.0862,NO
0.98,NO
0.64,NO
0.64,NO
0.0972,YES
0.105,YES
0.1237,YES
0.33,YES
0.4,NO
0.1151,YES
0.84,NO
