UPPERTRACED_RFNONE_MULTI_VSM_MAX.csv,Associated
0.26,NO
0.29,NO
0.1689,NO
0.2,NO
0.55,NO
0.24,NO
0.3,NO
0.35,NO
0.34,NO
0.3897,YES
0.44,YES
0.2791,YES
0.2894,YES
0.2226,NO
0.48,YES
0.39,NO
0.17,NO
0.32,NO
0.72,YES
0.41,YES
0.26,YES
0.3,YES
0.18,NO
0.15,NO
0.75,YES
0.2598,NO
0.81,YES
0.51,NO
0.27,NO
0.34,NO
0.31,NO
0.52,NO
0.25,YES
0.18,NO
0.4,YES
0.142,NO
0.41,YES
0.2049,NO
0.76,NO
0.92,NO
0.55,NO
0.29,YES
0.93,NO
0.16,YES
0.22,NO
0.2,NO
0.2381,NO
0.43,NO
0.16,NO
0.31,NO
0.32,NO
0.7,NO
0.1999,NO
0.44,YES
0.2045,NO
0.27,YES
0.26,NO
0.29,NO
0.2033,NO
0.2,NO
0.55,NO
0.24,NO
0.3,NO
0.35,NO
0.34,NO
0.25,YES
0.44,YES
0.25,YES
0.3108,YES
0.2405,NO
0.48,YES
0.39,NO
0.22,NO
0.2,NO
0.22399999999999998,NO
0.43,NO
0.16,NO
0.31,NO
0.32,NO
0.7,NO
0.2198,NO
0.44,YES
0.2344,NO
0.27,YES
0.26,NO
0.29,NO
0.0647,NO
0.204,NO
0.55,NO
0.24,NO
0.31,NO
0.35,NO
0.34,NO
0.4042,YES
0.44,YES
0.4941,YES
0.2,YES
0.193,NO
0.48,YES
0.39,NO
0.22,NO
0.2,NO
0.1953,NO
0.43,NO
0.2047,NO
0.31,NO
0.32,NO
0.7,NO
0.1751,NO
0.44,YES
0.1828,NO
0.27,YES
0.26,NO
0.29,NO
0.2007,NO
0.2,NO
0.55,NO
0.24,NO
0.3,NO
0.35,NO
0.34,NO
0.4038,YES
0.44,YES
0.2799,YES
0.2675,YES
0.2206,NO
0.48,YES
0.39,NO
0.22,NO
0.2,NO
0.11,NO
0.43,NO
0.16,NO
0.31,NO
0.32,NO
0.7,NO
0.15,NO
0.44,YES
0.0607,NO
0.27,YES
0.26,NO
0.29,NO
0.2045,NO
0.2,NO
0.55,NO
0.24,NO
0.3,NO
0.35,NO
0.34,NO
0.3372,YES
0.44,YES
0.314,YES
0.2,YES
0.19,NO
0.48,YES
0.39,NO
0.47,NO
0.4,NO
0.5095,YES
0.4,YES
0.18,YES
0.2847,YES
0.52,NO
0.45,NO
0.44,YES
0.21,NO
0.3289,YES
0.44,NO
0.78,NO
0.94,NO
0.6,NO
0.28,NO
0.49,YES
0.27,NO
0.31,YES
0.2129,NO
0.31,YES
0.34,NO
0.35,NO
0.31,NO
0.26,NO
0.47,YES
0.29,NO
0.27,YES
0.38,NO
0.1547,NO
0.3595,YES
0.2156,NO
0.1535,NO
0.4159,YES
0.1827,NO
0.2,NO
0.5448,YES
0.191,NO
0.4381,YES
0.1528,NO
0.94,NO
0.93,NO
0.2648,NO
0.171,NO
0.36,NO
0.1398,NO
0.3673,NO
0.1451,NO
0.2637,NO
0.1991,NO
0.78,NO
0.3767,NO
0.1917,NO
0.3794,YES
0.3359,NO
0.2874,YES
0.17,NO
0.32,NO
0.72,YES
0.41,YES
0.26,YES
0.3,YES
0.18,NO
0.15,NO
0.75,YES
0.2328,NO
0.81,YES
0.51,NO
0.27,NO
0.34,NO
0.31,NO
0.52,NO
0.25,YES
0.18,NO
0.4,YES
0.1224,NO
0.41,YES
0.2397,NO
0.76,NO
0.92,NO
0.55,NO
0.29,YES
0.93,NO
0.198,YES
0.1636,NO
0.1646,NO
0.3881,YES
0.54,NO
0.1649,NO
0.4197,YES
0.1681,NO
0.29,NO
0.4738,YES
0.159,NO
0.493,YES
0.44,NO
0.61,NO
0.1542,NO
0.3,NO
0.1775,NO
0.2106,NO
0.1654,NO
0.69,NO
0.0902,NO
0.2663,NO
0.2218,NO
0.1764,NO
0.48,NO
0.21600000000000003,NO
0.402,YES
0.49,NO
0.3239,YES
0.17,NO
0.32,NO
0.72,YES
0.41,YES
0.26,YES
0.3,YES
0.18,NO
0.15,NO
0.75,YES
0.15,NO
0.81,YES
0.51,NO
0.27,NO
0.34,NO
0.31,NO
0.52,NO
0.25,YES
0.18,NO
0.4,YES
0.1347,NO
0.41,YES
0.14,NO
0.76,NO
0.92,NO
0.55,NO
0.29,YES
0.93,NO
0.16,YES
0.35,YES
0.36,YES
0.3634,NO
0.22,NO
0.59,NO
0.29,NO
0.46,YES
0.3693,YES
0.61,NO
0.5,NO
0.1517,NO
0.65,NO
0.45,NO
0.26,NO
0.1446,NO
0.13,YES
0.44,NO
0.2419,YES
0.026000000000000002,NO
0.2985,YES
0.29,NO
0.15,NO
0.22,NO
0.47,NO
0.37,NO
0.22,NO
0.48,NO
0.26,NO
0.47,NO
0.4,NO
0.41,YES
0.4,YES
0.18,YES
0.3166,YES
0.52,NO
0.45,NO
0.5456,YES
0.21,NO
0.3771,YES
0.44,NO
0.78,NO
0.94,NO
0.6,NO
0.28,NO
0.49,YES
0.27,NO
0.31,YES
0.13,NO
0.31,YES
0.34,NO
0.35,NO
0.31,NO
0.26,NO
0.47,YES
0.29,NO
0.3631,YES
0.47,NO
0.4,NO
0.4277,YES
0.4,YES
0.2007,YES
0.25,YES
0.52,NO
0.45,NO
0.44,YES
0.21,NO
0.2922,YES
0.44,NO
0.78,NO
0.94,NO
0.6,NO
0.28,NO
0.49,YES
0.27,NO
0.31,YES
0.1968,NO
0.31,YES
0.34,NO
0.35,NO
0.31,NO
0.26,NO
0.47,YES
0.29,NO
0.27,YES
0.47,NO
0.4,NO
0.526,YES
0.4,YES
0.1996,YES
0.3297,YES
0.52,NO
0.45,NO
0.44,YES
0.21,NO
0.3901,YES
0.44,NO
0.78,NO
0.94,NO
0.6,NO
0.28,NO
0.49,YES
0.27,NO
0.3422,YES
0.1773,NO
0.31,YES
0.34,NO
0.35,NO
0.3619,NO
0.26,NO
0.47,YES
0.3259,NO
0.27,YES
0.47,NO
0.4,NO
0.41,YES
0.4,YES
0.18,YES
0.2941,YES
0.52,NO
0.45,NO
0.5229,YES
0.21,NO
0.3604,YES
0.44,NO
0.78,NO
0.94,NO
0.6,NO
0.28,NO
0.49,YES
0.27,NO
0.31,YES
0.13,NO
0.31,YES
0.34,NO
0.35,NO
0.3135,NO
0.26,NO
0.47,YES
0.29,NO
0.4263,YES
0.17,NO
0.32,NO
0.72,YES
0.41,YES
0.2651,YES
0.3,YES
0.18,NO
0.15,NO
0.75,YES
0.1971,NO
0.81,YES
0.51,NO
0.27,NO
0.34,NO
0.31,NO
0.52,NO
0.25,YES
0.18,NO
0.4,YES
0.1508,NO
0.41,YES
0.14,NO
0.76,NO
0.92,NO
0.55,NO
0.29,YES
0.93,NO
0.16,YES
0.17,NO
0.32,NO
0.72,YES
0.41,YES
0.3624,YES
0.3,YES
0.18,NO
0.15,NO
0.75,YES
0.1836,NO
0.81,YES
0.51,NO
0.27,NO
0.34,NO
0.31,NO
0.52,NO
0.2937,YES
0.18,NO
0.5728,YES
0.11,NO
0.4594,YES
0.1677,NO
0.76,NO
0.92,NO
0.55,NO
0.29,YES
0.93,NO
0.2345,YES
0.19,NO
0.3,NO
0.1381,NO
0.2108,NO
0.1,NO
0.2,NO
0.1,NO
0.0435,NO
0.2592,NO
0.1291,NO
0.11,NO
0.1052,NO
0.4225,YES
0.3368,YES
0.3938,YES
0.0766,NO
0.0711,NO
0.0797,NO
0.0531,NO
0.1551,NO
0.15,NO
0.0463,NO
0.0745,NO
0.19,NO
0.0541,NO
0.1685,NO
0.38,NO
0.74,NO
0.35,YES
0.36,YES
0.2752,NO
0.22,NO
0.59,NO
0.29,NO
0.46,YES
0.1249,YES
0.61,NO
0.5,NO
0.0533,NO
0.65,NO
0.45,NO
0.26,NO
0.1562,NO
0.3075,YES
0.44,NO
0.19,YES
0.0336,NO
0.3735,YES
0.29,NO
0.15,NO
0.22,NO
0.47,NO
0.37,NO
0.22,NO
0.48,NO
0.26,NO
0.17,NO
0.32,NO
0.72,YES
0.41,YES
0.2879,YES
0.3,YES
0.18,NO
0.15,NO
0.75,YES
0.15,NO
0.81,YES
0.51,NO
0.27,NO
0.34,NO
0.31,NO
0.52,NO
0.25,YES
0.18,NO
0.4,YES
0.11,NO
0.41,YES
0.14,NO
0.76,NO
0.92,NO
0.55,NO
0.29,YES
0.93,NO
0.16,YES
0.35,YES
0.36,YES
0.3473,NO
0.22,NO
0.59,NO
0.29,NO
0.46,YES
0.4184,YES
0.61,NO
0.5,NO
0.09699999999999999,NO
0.65,NO
0.45,NO
0.26,NO
0.132,NO
0.13,YES
0.44,NO
0.3242,YES
0.0297,NO
0.3407,YES
0.29,NO
0.15,NO
0.22,NO
0.47,NO
0.37,NO
0.22,NO
0.48,NO
0.26,NO
0.22,NO
0.2,NO
0.11,NO
0.43,NO
0.16,NO
0.31,NO
0.32,NO
0.7,NO
0.1921,NO
0.44,YES
0.0845,NO
0.27,YES
0.26,NO
0.29,NO
0.2504,NO
0.2,NO
0.55,NO
0.24,NO
0.3,NO
0.35,NO
0.34,NO
0.25,YES
0.44,YES
0.25,YES
0.2,YES
0.19,NO
0.48,YES
0.39,NO
0.3612,YES
0.36,YES
0.2823,NO
0.22,NO
0.59,NO
0.29,NO
0.46,YES
0.4499,YES
0.61,NO
0.5,NO
0.0645,NO
0.65,NO
0.45,NO
0.26,NO
0.1463,NO
0.13,YES
0.44,NO
0.3791,YES
0.0329,NO
0.3577,YES
0.29,NO
0.15,NO
0.22,NO
0.47,NO
0.37,NO
0.22,NO
0.48,NO
0.26,NO
0.22,NO
0.2,NO
0.1484,NO
0.43,NO
0.16,NO
0.31,NO
0.32,NO
0.7,NO
0.1753,NO
0.44,YES
0.134,NO
0.2818,YES
0.26,NO
0.29,NO
0.2176,NO
0.2,NO
0.55,NO
0.24,NO
0.3,NO
0.35,NO
0.34,NO
0.25,YES
0.44,YES
0.25,YES
0.2731,YES
0.1937,NO
0.48,YES
0.39,NO
