UPPERTRACED_SUM_MULTI_VSM_MEDIAN.csv,Associated
0.4163,NO
0.5892,NO
0.3122,NO
0.71505,NO
1.32935,YES
1.67725,YES
1.3944500000000002,YES
0.86185,YES
0.7577999999999999,NO
1.068,YES
0.54,NO
0.68315,NO
0.25,NO
0.73435,NO
0.98955,NO
0.63525,NO
0.89025,NO
0.7323999999999999,NO
0.26744999999999997,NO
0.6878,NO
1.6358,YES
0.62685,NO
0.85405,YES
0.55385,NO
0.76315,NO
0.1388,NO
0.50345,NO
0.8171,NO
0.47104999999999997,NO
0.68855,NO
0.26485,NO
0.80655,NO
1.4375,YES
1.7698,YES
1.54645,YES
0.7956,YES
0.73405,NO
1.1188,YES
0.55975,NO
0.70765,NO
0.22149999999999997,NO
0.72,NO
1.0083,NO
0.6658,NO
0.87745,NO
0.7496499999999999,NO
0.2793,NO
0.66545,NO
1.6433499999999999,YES
0.6010500000000001,NO
0.8714,YES
0.5999,NO
0.82845,NO
0.20679999999999998,NO
0.42634999999999995,NO
0.8215,NO
0.41405,NO
0.5939,NO
0.295,NO
0.7356,NO
1.4373,YES
1.7797,YES
1.4393500000000001,YES
0.8402000000000001,YES
0.7478499999999999,NO
1.0853,YES
0.5318499999999999,NO
0.67205,NO
0.21875,NO
0.67635,NO
1.0355,NO
0.6348,NO
0.82905,NO
0.6957,NO
0.24569999999999997,NO
0.6489499999999999,NO
1.68425,YES
0.54,NO
0.8845999999999999,YES
0.5932,NO
0.8288000000000001,NO
0.2087,NO
0.44389999999999996,NO
0.8025,NO
0.4295,NO
0.5822999999999999,NO
0.2845,NO
0.7414999999999999,NO
1.4040000000000001,YES
1.77015,YES
1.4564000000000001,YES
0.7693,YES
0.7062999999999999,NO
1.04155,YES
0.52295,NO
1.1507,NO
0.4484,NO
2.17215,YES
1.1706,YES
0.9766,YES
2.6264,YES
1.3605,NO
0.4625,NO
2.67235,YES
0.7293499999999999,NO
2.12215,YES
0.55175,NO
1.4498499999999999,NO
1.4022999999999999,NO
0.56515,NO
0.65125,NO
1.3447,YES
0.5924999999999999,NO
1.7557,YES
0.7582000000000001,NO
1.2762499999999999,YES
0.9218999999999999,NO
1.1601000000000001,NO
1.8902999999999999,NO
0.83785,NO
2.3087,YES
1.9222,NO
1.9195,YES
0.44720000000000004,NO
0.2269,NO
0.6133,YES
0.38425,NO
0.30245,NO
1.00405,YES
0.4909,NO
0.18565,NO
1.1886,YES
0.3196,NO
0.75715,YES
0.24095,NO
0.61005,NO
0.61995,NO
0.31484999999999996,NO
0.26485000000000003,NO
0.5126,NO
0.20900000000000002,NO
0.5621,NO
0.1852,NO
0.46975,NO
0.34035,NO
0.43945,NO
0.6308,NO
0.32805,NO
0.81925,YES
0.6919500000000001,NO
0.7307000000000001,YES
0.7089000000000001,NO
0.21764999999999998,NO
0.8793000000000001,YES
1.6939499999999998,YES
1.4712999999999998,YES
1.0762,YES
0.7484999999999999,NO
0.18769999999999998,NO
0.972,YES
0.7355499999999999,NO
0.7769499999999999,YES
0.42695,NO
0.7138,NO
0.9686,NO
0.39665,NO
0.3738,NO
1.44345,YES
0.3531,NO
1.7316,YES
0.3755,NO
1.545,YES
0.63395,NO
1.02965,NO
0.96705,NO
0.42765000000000003,NO
0.9738,YES
0.8718,NO
0.7141,YES
0.37834999999999996,NO
0.22205000000000003,NO
0.76725,YES
0.3428,NO
0.31245,NO
0.83955,YES
0.40650000000000003,NO
0.20650000000000002,NO
1.0347,YES
0.23495,NO
0.9033,YES
0.20115,NO
0.5911,NO
0.42945,NO
0.24895,NO
0.2031,NO
0.42685,NO
0.19290000000000002,NO
0.6663,NO
0.15655,NO
0.45435,NO
0.35435,NO
0.3535,NO
0.71885,NO
0.3459,NO
0.7493000000000001,YES
0.6928500000000001,NO
0.8027000000000001,YES
0.69235,NO
0.20865,NO
0.7827500000000001,YES
1.6525999999999998,YES
1.42225,YES
0.99185,YES
0.7062999999999999,NO
0.16889999999999997,NO
0.89225,YES
0.67675,NO
0.66825,YES
0.4219,NO
0.68105,NO
0.9522,NO
0.3835,NO
0.38260000000000005,NO
1.4363,YES
0.3617,NO
1.67325,YES
0.38165000000000004,NO
1.50995,YES
0.5216,NO
0.9598,NO
0.8552000000000001,NO
0.3874,NO
0.8858999999999999,YES
0.7927500000000001,NO
0.64695,YES
1.21895,YES
0.27685,YES
0.6267,NO
0.4236,NO
0.26585,NO
0.3893,NO
0.8039000000000001,YES
0.9245,YES
0.2543,NO
0.27035,NO
0.2202,NO
0.20885,NO
0.3802,NO
0.56195,NO
0.18075000000000002,NO
0.7211,YES
0.35969999999999996,NO
1.1533000000000002,YES
0.14755000000000001,NO
0.97715,YES
0.2319,NO
0.21689999999999998,NO
0.3888,NO
0.2573,NO
0.21055000000000001,NO
0.46595,NO
0.3572,NO
0.23845,NO
1.1392,NO
0.45945,NO
2.0708,YES
1.1567500000000002,YES
0.95535,YES
2.64235,YES
1.2920500000000001,NO
0.4431,NO
2.78185,YES
0.7275499999999999,NO
2.14625,YES
0.53705,NO
1.4954,NO
1.42085,NO
0.59265,NO
0.64815,NO
1.3514,YES
0.5873999999999999,NO
1.78735,YES
0.6928000000000001,NO
1.3086499999999999,YES
0.9259999999999999,NO
1.1672,NO
1.8902,NO
0.8367,NO
2.28705,YES
1.9274499999999999,NO
1.9969999999999999,YES
1.15615,NO
0.44955,NO
2.13125,YES
1.20975,YES
1.0156,YES
2.6073999999999997,YES
1.35825,NO
0.4675,NO
2.6607999999999996,YES
0.77495,NO
2.1038,YES
0.5532,NO
1.45715,NO
1.4156499999999999,NO
0.57865,NO
0.65355,NO
1.37105,YES
0.59285,NO
1.7506000000000002,YES
0.7501500000000001,NO
1.2889,YES
0.96505,NO
1.2124000000000001,NO
1.88925,NO
0.8439500000000001,NO
2.2906999999999997,YES
1.91345,NO
1.9223,YES
1.16435,NO
0.4808,NO
2.1804,YES
1.1802000000000001,YES
1.01505,YES
2.6489,YES
1.36215,NO
0.49035,NO
2.67765,YES
0.73575,NO
2.15275,YES
0.5499,NO
1.4174499999999999,NO
1.3705999999999998,NO
0.5229,NO
0.70785,NO
1.37915,YES
0.6475,NO
1.8083500000000001,YES
0.7404000000000001,NO
1.3358999999999999,YES
0.94605,NO
1.1851500000000001,NO
1.92,NO
0.8636,NO
2.31135,YES
1.95935,NO
1.94445,YES
1.1327,NO
0.46245,NO
2.0721,YES
1.1536000000000002,YES
0.9485,YES
2.6311,YES
1.28185,NO
0.43705,NO
2.7704999999999997,YES
0.7308,NO
2.1379,YES
0.5428000000000001,NO
1.4862499999999998,NO
1.39065,NO
0.5663,NO
0.6585,NO
1.3466,YES
0.5995499999999999,NO
1.79055,YES
0.6837000000000001,NO
1.31755,YES
0.9221999999999999,NO
1.1607500000000002,NO
1.8958,NO
0.8326,NO
2.2897499999999997,YES
1.91485,NO
2.0286,YES
0.72655,NO
0.24469999999999997,NO
0.8069500000000001,YES
1.7325499999999998,YES
1.4922499999999999,YES
1.04265,YES
0.73385,NO
0.19169999999999998,NO
0.9339,YES
0.7177,NO
0.70285,YES
0.4431,NO
0.71995,NO
1.0021,NO
0.4204,NO
0.43590000000000007,NO
1.4669999999999999,YES
0.4134,NO
1.7338500000000001,YES
0.38970000000000005,NO
1.5819999999999999,YES
0.5744,NO
1.00475,NO
0.90085,NO
0.4208,NO
0.9282999999999999,YES
0.8331500000000001,NO
0.67545,YES
0.7290500000000001,NO
0.25095,NO
0.8825500000000001,YES
1.7185,YES
1.5409,YES
1.0952,YES
0.7359,NO
0.20359999999999998,NO
0.9779,YES
0.71095,NO
0.7985,YES
0.43929999999999997,NO
0.66795,NO
0.91735,NO
0.32935000000000003,NO
0.44225000000000003,NO
1.5005499999999998,YES
0.41960000000000003,NO
1.883,YES
0.3589,NO
1.67905,YES
0.59795,NO
0.99715,NO
0.96955,NO
0.4373,NO
0.97625,YES
0.88875,NO
0.73235,YES
0.42014999999999997,NO
0.1708,NO
0.37975,NO
0.48865,NO
0.2525,NO
0.44530000000000003,NO
0.45675,NO
0.13095,NO
0.74935,NO
0.31525,NO
0.27215,NO
0.24315,NO
1.0067,YES
0.91795,YES
0.8180999999999999,YES
0.19395,NO
0.3871,NO
0.1903,NO
0.2254,NO
0.30965,NO
0.26325,NO
0.15185,NO
0.38625,NO
0.3128,NO
0.20074999999999998,NO
0.40724999999999995,NO
0.3163,NO
0.57955,NO
1.1297,YES
0.39725,YES
0.5826,NO
0.42885,NO
0.23359999999999997,NO
0.34515,NO
0.8487,YES
0.8023,YES
0.2325,NO
0.3084,NO
0.171,NO
0.26455,NO
0.3567,NO
0.55715,NO
0.18655,NO
0.8326499999999999,YES
0.34204999999999997,NO
1.1231,YES
0.15135,NO
1.01465,YES
0.2569,NO
0.22405,NO
0.36334999999999995,NO
0.26205,NO
0.1983,NO
0.42745,NO
0.32325000000000004,NO
0.23335,NO
0.6898000000000001,NO
0.206,NO
0.8157000000000001,YES
1.69855,YES
1.50365,YES
1.03025,YES
0.71175,NO
0.17095,NO
0.9319999999999999,YES
0.6746,NO
0.716,YES
0.422,NO
0.6944,NO
0.9518500000000001,NO
0.3845,NO
0.3612,NO
1.4598499999999999,YES
0.34090000000000004,NO
1.7734,YES
0.36625,NO
1.5907,YES
0.5354,NO
0.94345,NO
0.8817,NO
0.38855,NO
0.9202499999999999,YES
0.81425,NO
0.6710499999999999,YES
1.24065,YES
0.26594999999999996,YES
0.61865,NO
0.42395,NO
0.2382,NO
0.3675,NO
0.7972,YES
0.94905,YES
0.23965000000000003,NO
0.2833,NO
0.19285,NO
0.22825,NO
0.3607,NO
0.5506,NO
0.17445,NO
0.7357999999999999,YES
0.3505,NO
1.19445,YES
0.1494,NO
0.99825,YES
0.2324,NO
0.19695,NO
0.38044999999999995,NO
0.25765,NO
0.1872,NO
0.45309999999999995,NO
0.3386,NO
0.2293,NO
0.6976,NO
0.216,NO
0.6718999999999999,NO
0.9996,NO
0.6105,NO
0.8476,NO
0.7053,NO
0.26255,NO
0.6739499999999999,NO
1.57035,YES
0.5519000000000001,NO
0.8654,YES
0.6078,NO
0.8579000000000001,NO
0.23165000000000002,NO
0.47214999999999996,NO
0.7999,NO
0.47119999999999995,NO
0.6002,NO
0.303,NO
0.7415499999999999,NO
1.29675,YES
1.6712,YES
1.3784500000000002,YES
0.8028000000000001,YES
0.7064499999999999,NO
1.03365,YES
0.53295,NO
1.24835,YES
0.27714999999999995,YES
0.58615,NO
0.4254,NO
0.2254,NO
0.3479,NO
0.7668,YES
0.9648,YES
0.23145000000000002,NO
0.2864,NO
0.1766,NO
0.2301,NO
0.3569,NO
0.55555,NO
0.1816,NO
0.7419499999999999,YES
0.33859999999999996,NO
1.2219000000000002,YES
0.151,NO
1.00675,YES
0.24405,NO
0.18975,NO
0.36529999999999996,NO
0.25805,NO
0.18495,NO
0.42845,NO
0.3224,NO
0.22710000000000002,NO
0.7068000000000001,NO
0.2137,NO
0.69655,NO
0.9801,NO
0.6147,NO
0.86355,NO
0.7419,NO
0.27399999999999997,NO
0.66555,NO
1.5547499999999999,YES
0.5766500000000001,NO
0.90815,YES
0.6092,NO
0.84565,NO
0.21525,NO
0.44179999999999997,NO
0.79935,NO
0.4314,NO
0.5742999999999999,NO
0.3137,NO
0.7058,NO
1.284,YES
1.6575,YES
1.36125,YES
0.843,YES
0.7343999999999999,NO
1.0427,YES
0.52605,NO
