UPPERTRACED_RFSMOTE_RAW_VSM_MAX.csv,Associated
0.85,NO
0.2381,NO
0.37,NO
0.1547,NO
0.1997,NO
0.72,NO
0.46,NO
0.7,NO
0.1989,YES
0.2045,NO
0.2447,YES
0.2519,NO
0.2036,NO
0.21,NO
0.17,NO
0.61,NO
0.15,NO
0.1113,NO
0.93,NO
0.7,NO
0.1879,YES
0.1445,YES
0.1901,YES
0.67,YES
0.71,NO
0.1657,YES
0.19,NO
0.0949,NO
0.85,NO
0.22399999999999998,NO
0.37,NO
0.1436,NO
0.2079,NO
0.72,NO
0.46,NO
0.7,NO
0.3428,YES
0.2344,NO
0.21,YES
0.19,NO
0.0735,NO
0.21,NO
0.204,NO
0.61,NO
0.1655,NO
0.31,NO
0.93,NO
0.7,NO
0.4042,YES
0.3296,YES
0.4941,YES
0.67,YES
0.71,NO
0.2673,YES
0.19,NO
0.1439,NO
0.85,NO
0.1953,NO
0.37,NO
0.2047,NO
0.19,NO
0.72,NO
0.46,NO
0.7,NO
0.3579,YES
0.1828,NO
0.21,YES
0.2252,NO
0.2041,NO
0.21,NO
0.17,NO
0.61,NO
0.15,NO
0.1207,NO
0.93,NO
0.7,NO
0.4038,YES
0.3494,YES
0.2799,YES
0.67,YES
0.71,NO
0.2003,YES
0.19,NO
0.0727,NO
0.85,NO
0.14,NO
0.37,NO
0.1427,NO
0.19,NO
0.72,NO
0.46,NO
0.7,NO
0.4397,YES
0.18,NO
0.2347,YES
0.2118,NO
0.2048,NO
0.21,NO
0.17,NO
0.61,NO
0.15,NO
0.0975,NO
0.93,NO
0.7,NO
0.3372,YES
0.3303,YES
0.314,YES
0.67,YES
0.71,NO
0.1128,YES
0.19,NO
0.1069,NO
0.77,NO
0.5095,YES
0.1431,YES
0.13,YES
0.2847,YES
0.55,NO
0.85,NO
0.3266,YES
0.19,NO
1.0,YES
0.24,NO
0.81,NO
0.84,NO
0.1474,NO
0.0902,NO
0.78,YES
0.09,NO
0.99,YES
0.2129,NO
0.8,YES
0.13,NO
0.72,NO
0.82,NO
0.14,NO
0.83,YES
0.96,NO
1.0,YES
0.1799,NO
0.1547,NO
0.3595,YES
0.28,NO
0.94,NO
0.4159,YES
0.65,NO
0.1097,NO
0.5448,YES
0.75,NO
0.63,YES
0.16,NO
0.7,NO
0.95,NO
0.96,NO
0.95,NO
0.46,NO
0.1398,NO
0.9,NO
0.1451,NO
0.2637,NO
0.95,NO
0.1784,NO
0.3767,NO
0.89,NO
0.73,YES
0.55,NO
0.5,YES
0.0798,NO
0.5,NO
0.2475,YES
0.2794,YES
1.0,YES
0.58,YES
0.1233,NO
0.81,NO
0.85,YES
0.2328,NO
0.52,YES
0.12,NO
0.2365,NO
0.66,NO
0.23,NO
0.29,NO
1.0,YES
0.36,NO
0.27,YES
0.27,NO
0.1913,YES
0.2397,NO
0.82,NO
0.88,NO
0.1155,NO
0.243,YES
0.37,NO
0.47,YES
0.1636,NO
0.1646,NO
1.0,YES
0.96,NO
0.94,NO
1.0,YES
0.1681,NO
0.153,NO
0.4738,YES
0.16,NO
1.0,YES
0.1456,NO
0.32,NO
0.1542,NO
0.93,NO
0.1775,NO
0.2106,NO
0.1654,NO
1.0,NO
0.0902,NO
0.2663,NO
0.92,NO
0.33,NO
0.65,NO
0.72,NO
0.9,YES
0.93,NO
1.0,YES
0.0467,NO
0.5,NO
0.21,YES
0.1967,YES
1.0,YES
0.58,YES
0.0389,NO
0.81,NO
0.85,YES
0.1152,NO
0.52,YES
0.12,NO
0.19,NO
0.66,NO
0.23,NO
0.29,NO
1.0,YES
0.36,NO
0.1533,YES
0.27,NO
0.1212,YES
0.02,NO
0.82,NO
0.88,NO
0.11,NO
0.18,YES
0.37,NO
0.47,YES
0.3024,YES
0.26,YES
0.3634,NO
0.96,NO
0.1459,NO
0.92,NO
0.2394,YES
0.83,YES
0.1404,NO
0.47,NO
0.1517,NO
0.067,NO
0.53,NO
0.16,NO
0.1446,NO
0.13,YES
0.9,NO
0.2419,YES
0.026000000000000002,NO
0.95,YES
0.51,NO
0.11,NO
0.97,NO
0.2,NO
0.1193,NO
0.97,NO
0.75,NO
0.0996,NO
0.0839,NO
0.77,NO
0.3068,YES
0.1154,YES
0.13,YES
0.3166,YES
0.55,NO
0.85,NO
0.5456,YES
0.19,NO
1.0,YES
0.24,NO
0.81,NO
0.84,NO
0.2024,NO
0.09,NO
0.78,YES
0.09,NO
0.99,YES
0.0821,NO
0.8,YES
0.1353,NO
0.72,NO
0.82,NO
0.14,NO
0.83,YES
0.96,NO
1.0,YES
0.1178,NO
0.77,NO
0.4277,YES
0.2214,YES
0.2007,YES
0.2467,YES
0.55,NO
0.85,NO
0.3035,YES
0.19,NO
1.0,YES
0.24,NO
0.81,NO
0.84,NO
0.1744,NO
0.0948,NO
0.78,YES
0.09,NO
0.99,YES
0.1968,NO
0.8,YES
0.2134,NO
0.72,NO
0.82,NO
0.14,NO
0.83,YES
0.96,NO
1.0,YES
0.1342,NO
0.77,NO
0.526,YES
0.1623,YES
0.1996,YES
0.3297,YES
0.55,NO
0.85,NO
0.3372,YES
0.19,NO
1.0,YES
0.24,NO
0.81,NO
0.84,NO
0.11,NO
0.2034,NO
0.78,YES
0.1975,NO
0.99,YES
0.1773,NO
0.8,YES
0.1754,NO
0.72,NO
0.82,NO
0.1715,NO
0.83,YES
0.96,NO
1.0,YES
0.0709,NO
0.77,NO
0.3094,YES
0.1091,YES
0.13,YES
0.2941,YES
0.55,NO
0.85,NO
0.5229,YES
0.19,NO
1.0,YES
0.24,NO
0.81,NO
0.84,NO
0.1497,NO
0.1047,NO
0.78,YES
0.1016,NO
0.99,YES
0.0639,NO
0.8,YES
0.13,NO
0.72,NO
0.82,NO
0.14,NO
0.83,YES
0.96,NO
1.0,YES
0.1151,NO
0.5,NO
0.21,YES
0.3566,YES
1.0,YES
0.58,YES
0.094,NO
0.81,NO
0.85,YES
0.1971,NO
0.52,YES
0.1418,NO
0.2488,NO
0.66,NO
0.2523,NO
0.29,NO
1.0,YES
0.36,NO
0.2745,YES
0.27,NO
0.2653,YES
0.1206,NO
0.82,NO
0.88,NO
0.11,NO
0.18,YES
0.37,NO
0.47,YES
0.1201,NO
0.5,NO
0.254,YES
0.3285,YES
1.0,YES
0.58,YES
0.0981,NO
0.81,NO
0.85,YES
0.1836,NO
0.52,YES
0.1342,NO
0.19,NO
0.66,NO
0.23,NO
0.29,NO
1.0,YES
0.36,NO
0.5728,YES
0.27,NO
0.4594,YES
0.1677,NO
0.82,NO
0.88,NO
0.1348,NO
0.2479,YES
0.37,NO
0.47,YES
1.0,NO
0.11,NO
0.43,NO
0.8,NO
0.38,NO
1.0,NO
0.72,NO
0.0435,NO
1.0,NO
0.96,NO
0.18,NO
0.48,NO
0.4225,YES
0.83,YES
1.0,YES
0.11,NO
0.0711,NO
0.0797,NO
1.0,NO
0.96,NO
0.73,NO
0.05,NO
0.0745,NO
1.0,NO
0.98,NO
0.22,NO
0.38,NO
0.95,NO
0.1239,YES
0.289,YES
0.2752,NO
0.96,NO
0.0814,NO
0.92,NO
0.32899999999999996,YES
0.83,YES
0.0968,NO
0.47,NO
0.0533,NO
0.1784,NO
0.53,NO
0.1504,NO
0.1562,NO
0.3075,YES
0.9,NO
0.1815,YES
0.0336,NO
0.95,YES
0.51,NO
0.1163,NO
0.97,NO
0.2,NO
0.0948,NO
0.97,NO
0.75,NO
0.0894,NO
0.0416,NO
0.5,NO
0.21,YES
0.2886,YES
1.0,YES
0.58,YES
0.0498,NO
0.81,NO
0.85,YES
0.1109,NO
0.52,YES
0.12,NO
0.1977,NO
0.66,NO
0.23,NO
0.29,NO
1.0,YES
0.36,NO
0.3536,YES
0.27,NO
0.2827,YES
0.0426,NO
0.82,NO
0.88,NO
0.11,NO
0.18,YES
0.37,NO
0.47,YES
0.3458,YES
0.26,YES
0.3473,NO
0.96,NO
0.0906,NO
0.92,NO
0.226,YES
0.83,YES
0.1111,NO
0.47,NO
0.09699999999999999,NO
0.1058,NO
0.53,NO
0.1373,NO
0.132,NO
0.13,YES
0.9,NO
0.3242,YES
0.0297,NO
0.95,YES
0.51,NO
0.11,NO
0.97,NO
0.2,NO
0.0726,NO
0.97,NO
0.75,NO
0.0813,NO
0.1238,NO
0.85,NO
0.14,NO
0.37,NO
0.0941,NO
0.19,NO
0.72,NO
0.46,NO
0.7,NO
0.2119,YES
0.18,NO
0.21,YES
0.24100000000000002,NO
0.263,NO
0.2504,NO
0.17,NO
0.61,NO
0.1658,NO
0.1333,NO
0.93,NO
0.7,NO
0.1227,YES
0.1324,YES
0.1581,YES
0.67,YES
0.71,NO
0.09699999999999999,YES
0.19,NO
0.3612,YES
0.26,YES
0.2823,NO
0.96,NO
0.065,NO
0.92,NO
0.1652,YES
0.83,YES
0.0947,NO
0.47,NO
0.0645,NO
0.1095,NO
0.53,NO
0.1472,NO
0.1463,NO
0.13,YES
0.9,NO
0.3791,YES
0.0329,NO
0.95,YES
0.51,NO
0.11,NO
0.97,NO
0.2,NO
0.0681,NO
0.97,NO
0.75,NO
0.0769,NO
0.1422,NO
0.85,NO
0.1484,NO
0.37,NO
0.1025,NO
0.19,NO
0.72,NO
0.46,NO
0.7,NO
0.1807,YES
0.18,NO
0.2818,YES
0.2438,NO
0.2385,NO
0.2176,NO
0.17,NO
0.61,NO
0.15,NO
0.0815,NO
0.93,NO
0.7,NO
0.0972,YES
0.105,YES
0.1237,YES
0.67,YES
0.71,NO
0.1151,YES
0.19,NO
