LOWERTRACED_SUM_RAW_VSM_MAX.csv,Associated
0.3479,NO
0.9384,YES
1.3754,YES
1.3754,YES
0.9384,YES
0.3479,NO
0.3479,NO
0.9384,YES
0.6719,NO
0.9384,YES
0.6719,NO
0.4093,NO
0.4093,NO
0.4093,NO
0.3479,NO
1.3754,YES
0.3479,NO
1.3754,YES
0.3479,NO
1.3754,YES
0.6719,NO
0.6719,NO
0.6719,NO
0.6719,NO
0.9384,YES
0.6719,NO
0.9384,YES
0.2403,NO
0.2403,NO
1.7153,YES
1.8176,YES
1.8176,YES
1.7153,YES
0.2403,NO
0.2403,NO
1.7153,YES
0.6447,NO
1.7153,YES
0.6447,NO
0.1617,NO
0.1617,NO
0.1617,NO
0.2403,NO
1.8176,YES
0.2403,NO
1.8176,YES
0.2403,NO
1.8176,YES
0.6447,NO
0.6447,NO
0.6447,NO
0.6447,NO
1.7153,YES
0.6447,NO
1.7153,YES
0.3672,NO
0.3672,NO
1.0378,NO
0.6689,NO
0.6689,NO
1.0378,NO
0.3672,NO
0.3672,NO
1.0378,NO
0.3592,NO
1.0378,NO
0.3592,NO
0.7945,YES
0.7945,YES
0.7945,YES
0.3672,NO
0.6689,NO
0.3672,NO
0.6689,NO
0.3672,NO
0.6689,NO
0.3592,NO
0.3592,NO
0.3592,NO
0.3592,NO
1.0378,NO
0.3592,NO
1.0378,NO
0.7281,YES
0.7281,YES
0.6472,NO
0.5157,NO
0.5157,NO
0.6472,NO
0.7281,YES
0.7281,YES
0.6472,NO
0.4197,NO
0.6472,NO
0.4197,NO
0.3037,NO
0.3037,NO
0.3037,NO
0.7281,YES
0.5157,NO
0.7281,YES
0.5157,NO
0.7281,YES
0.5157,NO
0.4197,NO
0.4197,NO
0.4197,NO
0.4197,NO
0.6472,NO
0.4197,NO
0.6472,NO
0.3024,NO
0.3024,NO
1.5286,YES
1.8784,YES
1.8784,YES
1.5286,YES
0.3024,NO
0.3024,NO
1.5286,YES
0.4518,NO
1.5286,YES
0.4518,NO
0.42700000000000005,NO
0.42700000000000005,NO
0.42700000000000005,NO
0.3024,NO
1.8784,YES
0.3024,NO
1.8784,YES
0.3024,NO
1.8784,YES
0.4518,NO
0.4518,NO
0.4518,NO
0.4518,NO
1.5286,YES
0.4518,NO
1.5286,YES
1.0054,YES
1.0054,YES
0.9068,NO
0.5474,NO
0.5474,NO
0.9068,NO
1.0054,YES
1.0054,YES
0.9068,NO
0.4341,NO
0.9068,NO
0.4341,NO
0.3522,NO
0.3522,NO
0.3522,NO
1.0054,YES
0.5474,NO
1.0054,YES
0.5474,NO
1.0054,YES
0.5474,NO
0.4341,NO
0.4341,NO
0.4341,NO
0.4341,NO
0.9068,NO
0.4341,NO
0.9068,NO
0.4365,NO
0.4365,NO
0.8387,NO
0.6938,NO
0.6938,NO
0.8387,NO
0.4365,NO
0.4365,NO
0.8387,NO
0.7976,YES
0.8387,NO
0.7976,YES
0.41100000000000003,NO
0.41100000000000003,NO
0.41100000000000003,NO
0.4365,NO
0.6938,NO
0.4365,NO
0.6938,NO
0.4365,NO
0.6938,NO
0.7976,YES
0.7976,YES
0.7976,YES
0.7976,YES
0.8387,NO
0.7976,YES
0.8387,NO
1.0315,YES
1.0315,YES
0.614,NO
0.502,NO
0.502,NO
0.614,NO
1.0315,YES
1.0315,YES
0.614,NO
0.361,NO
0.614,NO
0.361,NO
0.2838,NO
0.2838,NO
0.2838,NO
1.0315,YES
0.502,NO
1.0315,YES
0.502,NO
1.0315,YES
0.502,NO
0.361,NO
0.361,NO
0.361,NO
0.361,NO
0.614,NO
0.361,NO
0.614,NO
0.5584,NO
0.5584,NO
1.0972,NO
0.6682,NO
0.6682,NO
1.0972,NO
0.5584,NO
0.5584,NO
1.0972,NO
0.8602,YES
1.0972,NO
0.8602,YES
0.4174,NO
0.4174,NO
0.4174,NO
0.5584,NO
0.6682,NO
0.5584,NO
0.6682,NO
0.5584,NO
0.6682,NO
0.8602,YES
0.8602,YES
0.8602,YES
0.8602,YES
1.0972,NO
0.8602,YES
1.0972,NO
