UPPERTRACED_RFUNDER_MULTI_VSM_MEDIAN.csv,Associated
0.5128,NO
0.48945,NO
0.44894999999999996,YES
0.42724999999999996,YES
0.45004999999999995,YES
0.33540000000000003,YES
0.37024999999999997,NO
0.43784999999999996,YES
0.5265500000000001,NO
0.30245,NO
0.34695000000000004,NO
0.242,NO
0.47835,NO
0.40180000000000005,NO
0.45894999999999997,NO
0.42195,NO
0.45335000000000003,NO
0.3599,NO
0.5264,YES
0.2972,NO
0.4168,YES
0.51155,NO
0.5167499999999999,NO
0.03235,NO
0.542,NO
0.56135,NO
0.5427500000000001,NO
0.59,NO
0.46545000000000003,NO
0.58095,NO
0.5570999999999999,YES
0.5198,YES
0.60205,YES
0.26915,YES
0.34650000000000003,NO
0.48865,YES
0.5463,NO
0.32695,NO
0.31845,NO
0.22765000000000002,NO
0.4971,NO
0.43235,NO
0.44615,NO
0.4392,NO
0.4652,NO
0.33755,NO
0.5339499999999999,YES
0.2714,NO
0.43415000000000004,YES
0.5576,NO
0.58205,NO
0.10035,NO
0.4649,NO
0.56575,NO
0.48575,NO
0.49535,NO
0.49560000000000004,NO
0.51,NO
0.5569,YES
0.5297,YES
0.49495,YES
0.31375,YES
0.3603,NO
0.45515,YES
0.5184,NO
0.29135,NO
0.31570000000000004,NO
0.184,NO
0.5243,NO
0.40135,NO
0.39775,NO
0.38525,NO
0.43160000000000004,NO
0.32105,NO
0.57485,YES
0.21034999999999998,NO
0.44735,YES
0.5509,NO
0.5824,NO
0.10225,NO
0.48245,NO
0.54675,NO
0.5012,NO
0.48375,NO
0.48510000000000003,NO
0.5159,NO
0.5236,YES
0.52015,YES
0.512,YES
0.24285,YES
0.31875,NO
0.4114,YES
0.5095000000000001,NO
0.48845,NO
0.41755000000000003,NO
0.60975,YES
0.23155,YES
0.21134999999999998,YES
0.49734999999999996,YES
0.60185,NO
0.53325,NO
0.5183,YES
0.5137,NO
0.51945,YES
0.47795,NO
0.56655,NO
0.5698,NO
0.5537,NO
0.5351,NO
0.54465,YES
0.5137499999999999,NO
0.47345,YES
0.43645,NO
0.56105,YES
0.47855,NO
0.48,NO
0.50625,NO
0.47,NO
0.52495,YES
0.4808,NO
0.45904999999999996,YES
0.49495,NO
0.10735,NO
0.63975,YES
0.2078,NO
0.08175,NO
0.64795,YES
0.57635,NO
0.27985,NO
0.7123999999999999,YES
0.0955,NO
0.65905,YES
0.1214,NO
0.6532,NO
0.66015,NO
0.2374,NO
0.1005,NO
0.5945,NO
0.3549,NO
0.18865,NO
0.14255,NO
0.13185,NO
0.14455,NO
0.4842,NO
0.64835,NO
0.10085000000000001,NO
0.6297,YES
0.63295,NO
0.5837,YES
0.3199,NO
0.2832,NO
0.59375,YES
0.4947,YES
0.4666,YES
0.46565,YES
0.31665,NO
0.2237,NO
0.60995,YES
0.3764,NO
0.6204,YES
0.5247499999999999,NO
0.56325,NO
0.54305,NO
0.5224,NO
0.4828,NO
0.44475,YES
0.4771,NO
0.49,YES
0.5162,NO
0.45065,YES
0.40985,NO
0.55055,NO
0.64175,NO
0.5277499999999999,NO
0.4765,YES
0.59295,NO
0.349,YES
0.2868,NO
0.1123,NO
0.63405,YES
0.5131,NO
0.09244999999999999,NO
0.64985,YES
0.08405,NO
0.3365,NO
0.6769000000000001,YES
0.0795,NO
0.6865,YES
0.3778,NO
0.6022,NO
0.0971,NO
0.40885,NO
0.15375,NO
0.1653,NO
0.1577,NO
0.6778500000000001,NO
0.0451,NO
0.17315,NO
0.1609,NO
0.1432,NO
0.69505,NO
0.11300000000000002,NO
0.666,YES
0.6792,NO
0.60195,YES
0.30335,NO
0.2742,NO
0.4972,YES
0.45335,YES
0.41755,YES
0.3813,YES
0.27445,NO
0.2049,NO
0.5302,YES
0.3176,NO
0.5117,YES
0.5196999999999999,NO
0.5305,NO
0.5266500000000001,NO
0.50925,NO
0.49160000000000004,NO
0.4376,YES
0.4857,NO
0.43165,YES
0.52235,NO
0.41559999999999997,YES
0.2975,NO
0.4807,NO
0.5299,NO
0.4875,NO
0.3886,YES
0.5139,NO
0.28185,YES
0.5062,YES
0.2741,YES
0.5067,NO
0.48739999999999994,NO
0.5479499999999999,NO
0.5053,NO
0.41469999999999996,YES
0.58465,YES
0.5152,NO
0.4829,NO
0.27585000000000004,NO
0.4535,NO
0.58155,NO
0.37,NO
0.0873,NO
0.2122,YES
0.4725,NO
0.47595,YES
0.033,NO
0.50425,YES
0.49384999999999996,NO
0.366,NO
0.45135000000000003,NO
0.52795,NO
0.41964999999999997,NO
0.51885,NO
0.5549999999999999,NO
0.5297999999999999,NO
0.47695,NO
0.42860000000000004,NO
0.5084,YES
0.2177,YES
0.1901,YES
0.5133,YES
0.5334,NO
0.51385,NO
0.6277999999999999,YES
0.5119,NO
0.54355,YES
0.46325,NO
0.6121000000000001,NO
0.58835,NO
0.5811999999999999,NO
0.532,NO
0.55135,YES
0.5086499999999999,NO
0.5051,YES
0.37105,NO
0.59345,YES
0.48264999999999997,NO
0.4871,NO
0.50615,NO
0.46885,NO
0.5033,YES
0.48605,NO
0.53655,YES
0.4939,NO
0.4187,NO
0.56885,YES
0.2707,YES
0.25034999999999996,YES
0.47835,YES
0.5996,NO
0.53825,NO
0.50675,YES
0.5593,NO
0.5011,YES
0.4794,NO
0.57385,NO
0.5831500000000001,NO
0.5671999999999999,NO
0.5374,NO
0.571,YES
0.5141,NO
0.46835,YES
0.4284,NO
0.5737,YES
0.5216999999999999,NO
0.5323,NO
0.5052,NO
0.47609999999999997,NO
0.50695,YES
0.47204999999999997,NO
0.46185,YES
0.5021,NO
0.44995,NO
0.618,YES
0.24115,YES
0.2498,YES
0.5198499999999999,YES
0.6034999999999999,NO
0.5610999999999999,NO
0.5236,YES
0.5201,NO
0.5500499999999999,YES
0.47609999999999997,NO
0.53415,NO
0.5381,NO
0.51145,NO
0.5917,NO
0.5791,YES
0.56875,NO
0.5261,YES
0.41865,NO
0.6207,YES
0.5026999999999999,NO
0.50505,NO
0.5359499999999999,NO
0.49574999999999997,NO
0.5276,YES
0.51795,NO
0.484,YES
0.47045,NO
0.43160000000000004,NO
0.5097,YES
0.21455000000000002,YES
0.18325,YES
0.50205,YES
0.5232,NO
0.5078,NO
0.6164499999999999,YES
0.51515,NO
0.5352,YES
0.469,NO
0.60295,NO
0.55815,NO
0.55485,NO
0.54235,NO
0.54655,YES
0.5207999999999999,NO
0.5083,YES
0.36195,NO
0.6023499999999999,YES
0.47885,NO
0.48065,NO
0.5117499999999999,NO
0.46475,NO
0.506,YES
0.47345,NO
0.5681499999999999,YES
0.33755,NO
0.31025,NO
0.5214,YES
0.5333,YES
0.48755,YES
0.4321,YES
0.302,NO
0.2277,NO
0.57185,YES
0.35855000000000004,NO
0.5463,YES
0.5408999999999999,NO
0.5694,NO
0.57655,NO
0.54615,NO
0.5449,NO
0.4683,YES
0.5374,NO
0.49224999999999997,YES
0.5304,NO
0.48765,YES
0.3503,NO
0.52565,NO
0.57555,NO
0.5208999999999999,NO
0.431,YES
0.5543,NO
0.31035,YES
0.34005,NO
0.3165,NO
0.597,YES
0.51925,YES
0.5362,YES
0.48464999999999997,YES
0.30405,NO
0.2396,NO
0.61585,YES
0.3518,NO
0.64195,YES
0.5371,NO
0.5174,NO
0.4918,NO
0.4551,NO
0.55125,NO
0.50185,YES
0.5436,NO
0.6414,YES
0.49960000000000004,NO
0.5847,YES
0.37384999999999996,NO
0.51805,NO
0.64425,NO
0.5374,NO
0.47895,YES
0.6099,NO
0.36724999999999997,YES
0.4395,NO
0.2447,NO
0.19905,NO
0.5753999999999999,NO
0.2438,NO
0.35785,NO
0.53815,NO
0.12175,NO
0.5696,NO
0.11455,NO
0.44925,NO
0.24760000000000001,NO
0.65125,YES
0.6084,YES
0.6369,YES
0.1483,NO
0.05555,NO
0.04985,NO
0.16655,NO
0.08255,NO
0.1685,NO
0.26815,NO
0.057249999999999995,NO
0.3557,NO
0.04705,NO
0.12425,NO
0.33705,NO
0.60525,NO
0.41695,YES
0.39449999999999996,YES
0.4626,NO
0.49265,NO
0.5156999999999999,NO
0.46115,NO
0.45949999999999996,YES
0.46245,YES
0.4934,NO
0.52095,NO
0.22665000000000002,NO
0.5092,NO
0.5580499999999999,NO
0.36519999999999997,NO
0.0931,NO
0.32375,YES
0.45485,NO
0.44575,YES
0.0368,NO
0.54175,YES
0.51885,NO
0.37315,NO
0.4259,NO
0.5327000000000001,NO
0.4074,NO
0.48034999999999994,NO
0.52105,NO
0.5246999999999999,NO
0.3008,NO
0.27155,NO
0.53015,YES
0.49929999999999997,YES
0.49895,YES
0.41969999999999996,YES
0.2799,NO
0.20695000000000002,NO
0.56995,YES
0.31545,NO
0.55945,YES
0.5197999999999999,NO
0.54385,NO
0.5263,NO
0.51025,NO
0.4702,NO
0.46114999999999995,YES
0.46490000000000004,NO
0.5318,YES
0.50695,NO
0.49634999999999996,YES
0.31129999999999997,NO
0.46435,NO
0.5564,NO
0.48865,NO
0.42295,YES
0.5354,NO
0.30595,YES
0.5279,YES
0.2632,YES
0.49865000000000004,NO
0.48774999999999996,NO
0.5203,NO
0.4835,NO
0.408,YES
0.6092,YES
0.50055,NO
0.49585,NO
0.2485,NO
0.4729,NO
0.5620499999999999,NO
0.35864999999999997,NO
0.081,NO
0.22690000000000002,YES
0.4633,NO
0.5171,YES
0.03485,NO
0.52535,YES
0.49434999999999996,NO
0.34605,NO
0.443,NO
0.5283,NO
0.3963,NO
0.506,NO
0.5364,NO
0.52065,NO
0.3169,NO
0.31295,NO
0.17955,NO
0.4884,NO
0.37705,NO
0.4163,NO
0.39485,NO
0.44845,NO
0.34604999999999997,NO
0.46094999999999997,YES
0.22225,NO
0.42815000000000003,YES
0.5655,NO
0.6114999999999999,NO
0.1252,NO
0.5107,NO
0.54415,NO
0.5429,NO
0.50165,NO
0.5036,NO
0.51595,NO
0.41635,YES
0.42119999999999996,YES
0.43405,YES
0.27635,YES
0.3189,NO
0.40349999999999997,YES
0.5195000000000001,NO
0.5356,YES
0.2744,YES
0.46615,NO
0.48919999999999997,NO
0.5075,NO
0.4639,NO
0.3776,YES
0.62495,YES
0.49235,NO
0.49895,NO
0.23225,NO
0.47475,NO
0.55825,NO
0.3636,NO
0.08815,NO
0.23305,YES
0.45139999999999997,NO
0.54455,YES
0.036449999999999996,NO
0.5338499999999999,YES
0.506,NO
0.33885,NO
0.42785,NO
0.5287000000000001,NO
0.39405,NO
0.48134999999999994,NO
0.5202,NO
0.51845,NO
0.3261,NO
0.31065000000000004,NO
0.2042,NO
0.4689,NO
0.38125000000000003,NO
0.43224999999999997,NO
0.43145,NO
0.45990000000000003,NO
0.33765,NO
0.44534999999999997,YES
0.247,NO
0.4709,YES
0.5669,NO
0.59925,NO
0.1088,NO
0.48035,NO
0.5436,NO
0.5031,NO
0.47575,NO
0.5143,NO
0.4802,NO
0.40359999999999996,YES
0.4075,YES
0.41685,YES
0.31655,YES
0.34685,NO
0.41255,YES
0.5126000000000001,NO
