LOWERTRACED_MAX_RAW_VSM_MAX.csv,Associated
0.1256,NO
0.3686,YES
0.1256,NO
0.3735,YES
0.1256,NO
0.1565,NO
0.1565,NO
0.1565,NO
0.1565,NO
0.1407,NO
0.1565,NO
0.1256,NO
0.1025,NO
0.1025,NO
0.3362,YES
0.4092,YES
0.4092,YES
0.3362,YES
0.1025,NO
0.1025,NO
0.3362,YES
0.1495,NO
0.3362,YES
0.1495,NO
0.2227,NO
0.2227,NO
0.2227,NO
0.1025,NO
0.4092,YES
0.1025,NO
0.4092,YES
0.1039,NO
0.4092,YES
0.1495,NO
0.1495,NO
0.1495,NO
0.1495,NO
0.3362,YES
0.1495,NO
0.3362,YES
0.4242,YES
0.4242,YES
0.3473,NO
0.1636,NO
0.1636,NO
0.1736,NO
0.4242,YES
0.4242,YES
0.1736,NO
0.1422,NO
0.1736,NO
0.1422,NO
0.1792,NO
0.1792,NO
0.1792,NO
0.4242,YES
0.1636,NO
0.4242,YES
0.1636,NO
0.4242,YES
0.1636,NO
0.1422,NO
0.1422,NO
0.1422,NO
0.1422,NO
0.192,NO
0.1422,NO
0.1736,NO
0.1552,NO
0.1552,NO
0.1396,NO
0.2168,NO
0.1671,NO
0.1396,NO
0.1552,NO
0.1552,NO
0.1921,NO
0.2884,YES
0.1396,NO
0.2884,YES
0.24100000000000002,NO
0.263,NO
0.2504,NO
0.1552,NO
0.1671,NO
0.1658,NO
0.1671,NO
0.2072,NO
0.1671,NO
0.2884,YES
0.2884,YES
0.2884,YES
0.2884,YES
0.1396,NO
0.2884,YES
0.1396,NO
0.434,YES
0.434,YES
0.2823,NO
0.1584,NO
0.1295,NO
0.1295,NO
0.434,YES
0.4499,YES
0.1295,NO
0.1269,NO
0.1295,NO
0.1269,NO
0.1665,NO
0.1472,NO
0.1463,NO
0.434,YES
0.1295,NO
0.434,YES
0.1295,NO
0.434,YES
0.1295,NO
0.1269,NO
0.1269,NO
0.1274,NO
0.1269,NO
0.1427,NO
0.1269,NO
0.1295,NO
0.2143,NO
0.2143,NO
0.233,NO
0.1778,NO
0.1705,NO
0.233,NO
0.2143,NO
0.2143,NO
0.233,NO
0.3754,YES
0.233,NO
0.3754,YES
0.2438,NO
0.2385,NO
0.2176,NO
0.2143,NO
0.1705,NO
0.2143,NO
0.1705,NO
0.2286,NO
0.1705,NO
0.3754,YES
0.3754,YES
0.3754,YES
0.3754,YES
0.233,NO
0.3754,YES
0.233,NO
