NONETRACED_RFNONE_MULTI_VSM_MEDIAN.csv,Associated
0.10060000000000001,NO
0.085,NO
0.44189999999999996,YES
0.4497,YES
0.35495,YES
0.13875,YES
0.12029999999999999,NO
0.13015,YES
0.0584,NO
0.06135,NO
0.0357,NO
0.064,NO
0.19430000000000003,NO
0.32635000000000003,NO
0.11775,NO
0.04025,NO
0.0466,NO
0.08105,NO
0.52485,YES
0.17035,NO
0.28735,YES
0.2059,NO
0.2874,NO
0.18225,NO
0.15245,NO
0.09675,NO
0.0912,NO
0.10375000000000001,NO
0.0901,NO
0.1109,NO
0.5136,YES
0.47014999999999996,YES
0.352,YES
0.10285,YES
0.12375,NO
0.1264,YES
0.0545,NO
0.058449999999999995,NO
0.02255,NO
0.26975,YES
0.10655,YES
0.09635,YES
0.48734999999999995,YES
0.13185,NO
0.15325,NO
0.5333,YES
0.0637,NO
0.18945,YES
0.05295,NO
0.11655,NO
0.1198,NO
0.0837,NO
0.0701,NO
0.07465,YES
0.09875,NO
0.13845,YES
0.10645,NO
0.09104999999999999,YES
0.10355,NO
0.045,NO
0.17124999999999999,NO
0.06,NO
0.19995,YES
0.14079999999999998,NO
0.12405000000000001,YES
0.10495,NO
0.09735,NO
0.29475,YES
0.1328,NO
0.08175,NO
0.58795,YES
0.09135,NO
0.05485,NO
0.6174,YES
0.1255,NO
0.48405,YES
0.0914,NO
0.17820000000000003,NO
0.27515,NO
0.15739999999999998,NO
0.10550000000000001,NO
0.11949999999999998,NO
0.08990000000000001,NO
0.21865,NO
0.09255000000000001,NO
0.13185,NO
0.10955,NO
0.1442,NO
0.31335,NO
0.10085000000000001,NO
0.4347,YES
0.24795,NO
0.2387,YES
0.1199,NO
0.0332,NO
0.14375,YES
0.3197,YES
0.1816,YES
0.27065,YES
0.08665,NO
0.0737,NO
0.38495,YES
0.1864,NO
0.1604,YES
0.21975,NO
0.13324999999999998,NO
0.21805000000000002,NO
0.2324,NO
0.0228,NO
0.24975,YES
0.0371,NO
0.16,YES
0.0712,NO
0.21065,YES
0.13985,NO
0.35555000000000003,NO
0.20675,NO
0.05775,NO
0.1615,YES
0.12795,NO
0.184,YES
0.1668,NO
0.0923,NO
0.36405,YES
0.1181,NO
0.08245,NO
0.56485,YES
0.25905,NO
0.0815,NO
0.5569,YES
0.14450000000000002,NO
0.4615,YES
0.0728,NO
0.1672,NO
0.0921,NO
0.07885,NO
0.11374999999999999,NO
0.1253,NO
0.1127,NO
0.19285000000000002,NO
0.0751,NO
0.14815,NO
0.1659,NO
0.1132,NO
0.26005,NO
0.10800000000000001,NO
0.341,YES
0.2742,NO
0.36195,YES
0.038349999999999995,NO
0.0092,NO
0.0322,YES
0.11835000000000001,YES
0.17254999999999998,YES
0.0313,YES
0.029449999999999997,NO
0.0049,NO
0.0602,YES
0.0676,NO
0.0217,YES
0.1047,NO
0.1705,NO
0.11165,NO
0.10425,NO
0.0316,NO
0.0926,YES
0.0307,NO
0.11165,YES
0.09234999999999999,NO
0.0806,YES
0.0325,NO
0.0407,NO
0.0349,NO
0.0425,NO
0.0336,YES
0.0189,NO
0.041850000000000005,YES
0.36119999999999997,YES
0.0441,YES
0.1817,NO
0.0774,NO
0.07795,NO
0.0853,NO
0.1247,YES
0.19965,YES
0.1152,NO
0.0979,NO
0.07585,NO
0.1535,NO
0.13655,NO
0.1,NO
0.1323,NO
0.0772,YES
0.0625,NO
0.30595,YES
0.038000000000000006,NO
0.17425,YES
0.10385,NO
0.106,NO
0.04635,NO
0.06795000000000001,NO
0.06465,NO
0.10885,NO
0.075,NO
0.0498,NO
0.07195,NO
0.0786,NO
0.46340000000000003,YES
0.0577,YES
0.0601,YES
0.4983,YES
0.0634,NO
0.03385,NO
0.6277999999999999,YES
0.0469,NO
0.45355,YES
0.07825,NO
0.18710000000000002,NO
0.09835,NO
0.1162,NO
0.047,NO
0.07635,YES
0.058649999999999994,NO
0.16010000000000002,YES
0.05605,NO
0.15844999999999998,YES
0.06765,NO
0.057100000000000005,NO
0.31115000000000004,NO
0.05885,NO
0.5333,YES
0.25605,NO
0.37655,YES
0.0789,NO
0.0237,NO
0.24385,YES
0.13570000000000002,YES
0.11034999999999999,YES
0.15835,YES
0.1096,NO
0.22325,NO
0.29674999999999996,YES
0.13929999999999998,NO
0.1761,YES
0.0544,NO
0.15385000000000001,NO
0.09815,NO
0.1072,NO
0.0474,NO
0.076,YES
0.0941,NO
0.27335,YES
0.1084,NO
0.11370000000000001,YES
0.1517,NO
0.12229999999999999,NO
0.1902,NO
0.0661,NO
0.20695,YES
0.12705,NO
0.12685,YES
0.0671,NO
0.05495,NO
0.29300000000000004,YES
0.08615,YES
0.14479999999999998,YES
0.44984999999999997,YES
0.12349999999999998,NO
0.0961,NO
0.5086,YES
0.08510000000000001,NO
0.21005000000000001,YES
0.0561,NO
0.16415,NO
0.0731,NO
0.03145,NO
0.1067,NO
0.1091,YES
0.10875,NO
0.2061,YES
0.10365,NO
0.1607,YES
0.2127,NO
0.06505,NO
0.18595,NO
0.08575,NO
0.2476,YES
0.24295,NO
0.174,YES
0.09045,NO
0.0466,NO
0.4147,YES
0.17454999999999998,YES
0.04825,YES
0.50205,YES
0.0632,NO
0.032799999999999996,NO
0.57645,YES
0.05015,NO
0.43520000000000003,YES
0.07400000000000001,NO
0.15794999999999998,NO
0.07314999999999999,NO
0.08485,NO
0.05235,NO
0.07155,YES
0.055799999999999995,NO
0.1583,YES
0.03695,NO
0.16235,YES
0.11885000000000001,NO
0.06565,NO
0.33175,NO
0.05475,NO
0.511,YES
0.35345,NO
0.40815,YES
0.05755,NO
0.06025,NO
0.0514,YES
0.2283,YES
0.16255,YES
0.1071,YES
0.057,NO
0.0327,NO
0.11184999999999999,YES
0.18355,NO
0.0563,YES
0.0809,NO
0.1844,NO
0.27155,NO
0.20615,NO
0.1499,NO
0.1583,YES
0.1374,NO
0.16725,YES
0.08539999999999999,NO
0.18764999999999998,YES
0.09029999999999999,NO
0.11565,NO
0.15055000000000002,NO
0.0959,NO
0.096,YES
0.0593,NO
0.06535,YES
0.06005,NO
0.07150000000000001,NO
0.162,YES
0.34425,YES
0.2262,YES
0.16965,YES
0.04905,NO
0.0396,NO
0.15585000000000002,YES
0.1018,NO
0.17695,YES
0.07210000000000001,NO
0.07740000000000001,NO
0.0868,NO
0.0351,NO
0.10625,NO
0.16685,YES
0.0886,NO
0.38639999999999997,YES
0.0796,NO
0.36970000000000003,YES
0.08885,NO
0.10305,NO
0.15925,NO
0.0974,NO
0.13895000000000002,YES
0.1149,NO
0.15725,YES
0.18450000000000003,NO
0.0197,NO
0.07905,NO
0.2054,NO
0.0338,NO
0.10285,NO
0.10314999999999999,NO
0.02175,NO
0.2246,NO
0.07454999999999999,NO
0.19425,NO
0.0576,NO
0.37625,YES
0.3284,YES
0.2619,YES
0.0433,NO
0.10555,NO
0.11485,NO
0.03155,NO
0.14255,NO
0.0535,NO
0.02815,NO
0.04725,NO
0.0507,NO
0.04705,NO
0.14425,NO
0.03705,NO
0.23025,NO
0.09695000000000001,YES
0.1945,YES
0.1526,NO
0.09265,NO
0.0507,NO
0.04115,NO
0.2395,YES
0.09745000000000001,YES
0.0484,NO
0.09595000000000001,NO
0.02665,NO
0.0942,NO
0.17804999999999999,NO
0.0852,NO
0.1031,NO
0.19874999999999998,YES
0.02985,NO
0.15075,YES
0.0218,NO
0.25675000000000003,YES
0.04385,NO
0.06315,NO
0.030899999999999997,NO
0.0977,NO
0.0474,NO
0.07035,NO
0.04105,NO
0.0547,NO
0.0208,NO
0.00655,NO
0.13015000000000002,YES
0.3893,YES
0.18895,YES
0.23470000000000002,YES
0.0649,NO
0.00695,NO
0.12495,YES
0.13045,NO
0.08945,YES
0.0748,NO
0.10385,NO
0.1363,NO
0.13025,NO
0.020200000000000003,NO
0.16115,YES
0.0199,NO
0.40180000000000005,YES
0.05695,NO
0.24135,YES
0.0213,NO
0.07935,NO
0.0864,NO
0.01865,NO
0.07295,YES
0.0404,NO
0.05595,YES
0.4229,YES
0.0132,YES
0.17865,NO
0.08275,NO
0.1053,NO
0.0535,NO
0.183,YES
0.36419999999999997,YES
0.05555,NO
0.06085,NO
0.1535,NO
0.0529,NO
0.12205,NO
0.13865,NO
0.14100000000000001,NO
0.1669,YES
0.0433,NO
0.42710000000000004,YES
0.01485,NO
0.19035,YES
0.02935,NO
0.03605,NO
0.043,NO
0.1133,NO
0.0363,NO
0.106,NO
0.10139999999999999,NO
0.05065,NO
0.10189999999999999,NO
0.03295,NO
0.04955,NO
0.1084,NO
0.06205,NO
0.0613,NO
0.054849999999999996,NO
0.07345,NO
0.10604999999999999,NO
0.18095,YES
0.14725,NO
0.12815,YES
0.15550000000000003,NO
0.2515,NO
0.1802,NO
0.1157,NO
0.06915,NO
0.1829,NO
0.07165,NO
0.1236,NO
0.08595,NO
0.24135,YES
0.2212,YES
0.10405,YES
0.18135,YES
0.0789,NO
0.048499999999999995,YES
0.0645,NO
0.5056,YES
0.07440000000000001,YES
0.18115,NO
0.0792,NO
0.0575,NO
0.0389,NO
0.1076,YES
0.37495,YES
0.05235,NO
0.06895,NO
0.03225,NO
0.05475,NO
0.12825,NO
0.0936,NO
0.09815000000000002,NO
0.14305,YES
0.0414,NO
0.44455,YES
0.02145,NO
0.25885,YES
0.176,NO
0.02385,NO
0.02285,NO
0.10370000000000001,NO
0.03405,NO
0.08635,NO
0.0552,NO
0.043449999999999996,NO
0.1061,NO
0.03065,NO
0.0742,NO
0.1139,NO
0.056249999999999994,NO
0.08725,NO
0.07645,NO
0.1599,NO
0.15265,NO
0.13035,YES
0.067,NO
0.2909,YES
0.1669,NO
0.39925,NO
0.2238,NO
0.08535,NO
0.0486,NO
0.1281,NO
0.04575,NO
0.18430000000000002,NO
0.0402,NO
0.0786,YES
0.0875,YES
0.06185,YES
0.24155,YES
0.11185,NO
0.06755,YES
0.0526,NO
