UPPERTRACED_RFSMOTE_RAW_LSA_MEDIAN.csv,Associated
0.06035,NO
0.0956,NO
0.07500000000000001,NO
0.2369,YES
0.1747,YES
0.39995,YES
0.38375000000000004,YES
0.12029999999999999,NO
0.10015,YES
0.4184,NO
0.03635,NO
0.07070000000000001,NO
0.14400000000000002,NO
0.1643,NO
0.07135,NO
0.04275,NO
0.03025,NO
0.0266,NO
0.07105,NO
0.26985,YES
0.03035,NO
0.11735,YES
0.1359,NO
0.1024,NO
0.13224999999999998,NO
0.17745,NO
0.05175,NO
0.17620000000000002,NO
0.04875,NO
0.0851,NO
0.0809,NO
0.2036,YES
0.16515,YES
0.41700000000000004,YES
0.31285,YES
0.07875,NO
0.0564,YES
0.4095,NO
0.05345,NO
0.02255,NO
0.25475,YES
0.13655,YES
0.12635000000000002,YES
0.14235,YES
0.11185,NO
0.05325,NO
0.1633,YES
0.44370000000000004,NO
0.16445,YES
0.09795,NO
0.10655,NO
0.0748,NO
0.0737,NO
0.0451,NO
0.04965,YES
0.04375,NO
0.11845,YES
0.28145,NO
0.08605,YES
0.06355,NO
0.04,NO
0.16125,NO
0.06,NO
0.16995,YES
0.1258,NO
0.10405,YES
0.09495,NO
0.07735,NO
0.50475,YES
0.1228,NO
0.07675,NO
0.20795,YES
0.09135,NO
0.05485,NO
0.2724,YES
0.14550000000000002,NO
0.21905,YES
0.4364,NO
0.1832,NO
0.25015,NO
0.1324,NO
0.1155,NO
0.6094999999999999,NO
0.3299,NO
0.21865,NO
0.15755000000000002,NO
0.16185,NO
0.09955,NO
0.2192,NO
0.18835,NO
0.12585000000000002,NO
0.1897,YES
0.16795,NO
0.6436999999999999,YES
0.0399,NO
0.0182,NO
0.12375,YES
0.1397,YES
0.1116,YES
0.11065,YES
0.06165,NO
0.0287,NO
0.13995,YES
0.1164,NO
0.1304,YES
0.05475,NO
0.11825,NO
0.10305,NO
0.1024,NO
0.0228,NO
0.08975,YES
0.0371,NO
0.275,YES
0.0612,NO
0.09565,YES
0.11985,NO
0.10555,NO
0.14675,NO
0.05775,NO
0.1215,YES
0.09795,NO
0.099,YES
0.0818,NO
0.0823,NO
0.19405,YES
0.1031,NO
0.08245,NO
0.20985,YES
0.08405,NO
0.0765,NO
0.4769,YES
0.0895,NO
0.2465,YES
0.0728,NO
0.2122,NO
0.0821,NO
0.31385,NO
0.08875,NO
0.1053,NO
0.0827,NO
0.42785,NO
0.2101,NO
0.44315,NO
0.1109,NO
0.0882,NO
0.19505,NO
0.10800000000000001,NO
0.201,YES
0.1792,NO
0.23195000000000002,YES
0.02335,NO
0.0092,NO
0.0272,YES
0.09835,YES
0.06255,YES
0.0263,YES
0.01945,NO
0.009899999999999999,NO
0.0602,YES
0.0576,NO
0.0217,YES
0.0497,NO
0.0855,NO
0.08665,NO
0.08925,NO
0.0316,NO
0.0826,YES
0.045700000000000005,NO
0.21665,YES
0.06735,NO
0.0606,YES
0.0075,NO
0.0357,NO
0.0349,NO
0.0175,NO
0.0336,YES
0.0189,NO
0.03185,YES
0.1512,YES
0.0241,YES
0.1817,NO
0.5224,NO
0.07295,NO
0.1653,NO
0.1197,YES
0.18465,YES
0.0702,NO
0.0379,NO
0.19085000000000002,NO
0.0335,NO
0.10655,NO
0.12,NO
0.0723,NO
0.0422,YES
0.0475,NO
0.53095,YES
0.013000000000000001,NO
0.28925,YES
0.01885,NO
0.051,NO
0.04635,NO
0.06295,NO
0.05965,NO
0.10885,NO
0.325,NO
0.0498,NO
0.04195,NO
0.0336,NO
0.1534,YES
0.1227,YES
0.1051,YES
0.1583,YES
0.0434,NO
0.03385,NO
0.2728,YES
0.4419,NO
0.18855,YES
0.08324999999999999,NO
0.1521,NO
0.09335,NO
0.1012,NO
0.042,NO
0.05635,YES
0.03865,NO
0.1501,YES
0.21605,NO
0.11845,YES
0.06765,NO
0.0471,NO
0.16115000000000002,NO
0.05885,NO
0.1483,YES
0.13105,NO
0.18155,YES
0.0589,NO
0.0237,NO
0.21385,YES
0.17570000000000002,YES
0.16535,YES
0.12335,YES
0.1096,NO
0.05825,NO
0.15175,YES
0.4893,NO
0.1461,YES
0.09939999999999999,NO
0.11385,NO
0.08815,NO
0.0872,NO
0.0474,NO
0.076,YES
0.0441,NO
0.11335,YES
0.2734,NO
0.09870000000000001,YES
0.1067,NO
0.0923,NO
0.1602,NO
0.0661,NO
0.15195,YES
0.11705,NO
0.10685,YES
0.0671,NO
0.05495,NO
0.263,YES
0.14615,YES
0.1648,YES
0.16485,YES
0.11349999999999999,NO
0.0811,NO
0.1686,YES
0.4501,NO
0.19505,YES
0.09609999999999999,NO
0.07415,NO
0.0431,NO
0.03145,NO
0.1017,NO
0.0841,YES
0.09875,NO
0.1711,YES
0.26365,NO
0.1457,YES
0.0877,NO
0.06505,NO
0.19095,NO
0.08575,NO
0.1726,YES
0.16295,NO
0.129,YES
0.03545,NO
0.0366,NO
0.1547,YES
0.11955,YES
0.09825,YES
0.14705,YES
0.0332,NO
0.0278,NO
0.26145,YES
0.44515000000000005,NO
0.1802,YES
0.089,NO
0.14295,NO
0.06315,NO
0.07485,NO
0.05235,NO
0.05155,YES
0.0508,NO
0.1533,YES
0.20695,NO
0.12735,YES
0.06385,NO
0.04065,NO
0.16675,NO
0.05475,NO
0.151,YES
0.11845,NO
0.21315,YES
0.05755,NO
0.04525,NO
0.0514,YES
0.1783,YES
0.13255,YES
0.0771,YES
0.047,NO
0.0327,NO
0.10185,YES
0.09855,NO
0.0563,YES
0.0709,NO
0.1244,NO
0.13655,NO
0.12615,NO
0.0849,NO
0.1133,YES
0.0974,NO
0.27725,YES
0.0754,NO
0.13265,YES
0.0603,NO
0.08065,NO
0.08055,NO
0.0509,NO
0.076,YES
0.0593,NO
0.06035,YES
0.06005,NO
0.051500000000000004,NO
0.127,YES
0.16425,YES
0.1812,YES
0.12965,YES
0.04905,NO
0.0446,NO
0.14585,YES
0.0918,NO
0.15195,YES
0.0671,NO
0.0724,NO
0.0518,NO
0.0351,NO
0.09125,NO
0.14685,YES
0.1036,NO
0.4264,YES
0.0446,NO
0.2297,YES
0.08385,NO
0.07305,NO
0.14925,NO
0.0674,NO
0.12395,YES
0.1149,NO
0.11725,YES
0.5095000000000001,NO
0.029699999999999997,NO
0.53905,NO
0.3454,NO
0.3038,NO
0.04785,NO
0.04815,NO
0.02175,NO
0.1296,NO
0.06455,NO
0.04425,NO
0.4426,NO
0.7112499999999999,YES
0.1684,YES
0.2019,YES
0.4883,NO
0.03555,NO
0.06484999999999999,NO
0.51155,NO
0.07755,NO
0.0385,NO
0.02315,NO
0.21725,NO
0.25070000000000003,NO
0.02705,NO
0.08425,NO
0.02705,NO
0.33525,NO
0.06195,YES
0.1445,YES
0.1376,NO
0.52765,NO
0.0407,NO
0.12115,NO
0.16449999999999998,YES
0.06245,YES
0.0484,NO
0.07595,NO
0.14165,NO
0.0892,NO
0.08305,NO
0.1152,NO
0.0781,NO
0.15375,YES
0.02985,NO
0.50075,YES
0.0168,NO
0.32675,YES
0.04385,NO
0.05815,NO
0.0209,NO
0.0677,NO
0.0474,NO
0.07035,NO
0.29105000000000003,NO
0.0447,NO
0.0208,NO
0.00655,NO
0.06015,YES
0.1443,YES
0.14395,YES
0.0647,YES
0.0249,NO
0.011949999999999999,NO
0.09995,YES
0.05545,NO
0.06945,YES
0.0498,NO
0.09885,NO
0.0863,NO
0.09025,NO
0.0102,NO
0.10615,YES
0.0249,NO
0.3168,YES
0.05195,NO
0.14135,YES
0.0213,NO
0.01935,NO
0.0614,NO
0.01865,NO
0.06795,YES
0.0404,NO
0.05595,YES
0.1729,YES
0.0132,YES
0.17365,NO
0.52275,NO
0.0453,NO
0.1435,NO
0.113,YES
0.2092,YES
0.05555,NO
0.05085,NO
0.1635,NO
0.0529,NO
0.08705,NO
0.10865,NO
0.066,NO
0.0569,YES
0.0383,NO
0.5720999999999999,YES
0.01485,NO
0.31035,YES
0.01935,NO
0.03105,NO
0.038,NO
0.0633,NO
0.0363,NO
0.096,NO
0.3064,NO
0.04065,NO
0.0619,NO
0.06795000000000001,NO
0.13955,NO
0.1284,NO
0.04705,NO
0.0613,NO
0.03985,NO
0.04345,NO
0.09605,NO
0.15595,YES
0.04225,NO
0.09815,YES
0.15050000000000002,NO
0.1315,NO
0.1552,NO
0.2057,NO
0.04915,NO
0.2179,NO
0.06665,NO
0.1036,NO
0.08095000000000001,NO
0.09635,YES
0.0662,YES
0.33905,YES
0.34635,YES
0.0789,NO
0.048499999999999995,YES
0.4195,NO
0.1806,YES
0.0244,YES
0.14115,NO
0.5242,NO
0.0325,NO
0.1239,NO
0.0826,YES
0.22495,YES
0.04735,NO
0.05395,NO
0.14725,NO
0.05475,NO
0.08325,NO
0.1136,NO
0.07315,NO
0.06305,YES
0.0264,NO
0.59955,YES
0.01645,NO
0.31885,YES
0.031,NO
0.02385,NO
0.02285,NO
0.0637,NO
0.03405,NO
0.07135,NO
0.2902,NO
0.03845,NO
0.0711,NO
0.06565,NO
0.1642,NO
0.10890000000000001,NO
0.05125,NO
0.07725,NO
0.07645,NO
0.0549,NO
0.08765,NO
0.14035,YES
0.067,NO
0.1409,YES
0.15189999999999998,NO
0.11925,NO
0.13879999999999998,NO
0.17535,NO
0.0486,NO
0.1781,NO
0.04075,NO
0.1143,NO
0.0452,NO
0.08360000000000001,YES
0.0525,YES
0.32185,YES
0.38655,YES
0.10685,NO
0.05755,YES
0.41259999999999997,NO
