UPPERTRACED_SUM_RAW_VSM_MAX.csv,Associated
0.6384,YES
0.3915,NO
0.5925,NO
0.8355,NO
0.3213,NO
0.3724,NO
1.2748,YES
0.3544,NO
1.4934,YES
0.3394,NO
1.3609,YES
0.5192,NO
0.8882,NO
0.7947,NO
0.3894,NO
0.8236,YES
0.753,NO
0.6101,YES
0.6173,NO
0.21,NO
0.6053,NO
0.8473,NO
0.5523,NO
0.7529,NO
0.6441,NO
0.2424,NO
0.5653,NO
1.3632,YES
0.5039,NO
0.7357,YES
0.4838,NO
0.6990000000000001,NO
0.2033,NO
0.4065,NO
0.7209,NO
0.3947,NO
0.5254,NO
0.2256,NO
0.6442,NO
1.1571,YES
1.4897,YES
1.2146,YES
0.6809999999999999,YES
0.619,NO
0.9318,YES
0.4713,NO
0.6173,NO
0.21,NO
0.6053,NO
0.8473,NO
0.5523,NO
0.7529,NO
0.6441,NO
0.2424,NO
0.5653,NO
1.3632,YES
0.5039,NO
0.7357,YES
0.4838,NO
0.6990000000000001,NO
0.141,NO
0.4065,NO
0.7209,NO
0.3947,NO
0.5254,NO
0.2246,NO
0.6442,NO
1.1571,YES
1.4897,YES
1.2146,YES
0.6809999999999999,YES
0.619,NO
0.9318,YES
0.4713,NO
0.6173,NO
0.21,NO
0.6053,NO
0.8473,NO
0.5523,NO
0.7529,NO
0.6441,NO
0.2424,NO
0.5653,NO
1.3632,YES
0.5039,NO
0.7357,YES
0.4838,NO
0.6990000000000001,NO
0.2007,NO
0.4065,NO
0.7209,NO
0.3947,NO
0.5254,NO
0.2246,NO
0.6442,NO
1.1571,YES
1.4897,YES
1.2146,YES
0.6809999999999999,YES
0.619,NO
0.9318,YES
0.4713,NO
0.6173,NO
0.21,NO
0.6053,NO
0.8473,NO
0.5523,NO
0.7529,NO
0.6441,NO
0.2424,NO
0.5653,NO
1.3632,YES
0.5039,NO
0.7357,YES
0.4838,NO
0.6990000000000001,NO
0.2045,NO
0.4065,NO
0.7209,NO
0.3947,NO
0.5254,NO
0.2246,NO
0.6442,NO
1.1571,YES
1.4897,YES
1.2146,YES
0.6809999999999999,YES
0.619,NO
0.9318,YES
0.4713,NO
1.0666,NO
0.4624,NO
1.8048,YES
1.0682,YES
0.9028,YES
2.3147,YES
1.2029,NO
0.4474,NO
2.3372,YES
0.6917,NO
1.841,YES
0.528,NO
1.2881,NO
1.2738,NO
0.5214,NO
0.6246,NO
1.2447,YES
0.573,NO
1.5526,YES
0.6657,NO
1.1683,YES
0.8516,NO
1.0872,NO
1.6442,NO
0.7792,NO
2.004,YES
1.6959,NO
1.713,YES
0.3441,NO
0.1572,NO
0.4128,YES
0.2714,NO
0.2257,NO
0.7391,YES
0.3822,NO
0.1403,NO
0.8472,YES
0.2243,NO
0.5069,YES
0.1707,NO
0.4248,NO
0.4364,NO
0.2648,NO
0.184,NO
0.3854,NO
0.1478,NO
0.3673,NO
0.1451,NO
0.3267,NO
0.2393,NO
0.3378,NO
0.4208,NO
0.2316,NO
0.5892,YES
0.4942,NO
0.5509,YES
0.6586,NO
0.23600000000000002,NO
0.7365,YES
1.4553,YES
1.2802,YES
0.9255,YES
0.6747,NO
0.2041,NO
0.8053,YES
0.6137,NO
0.6384,YES
0.3915,NO
0.5925,NO
0.8355,NO
0.3213,NO
0.3724,NO
1.2748,YES
0.3544,NO
1.4934,YES
0.3394,NO
1.3609,YES
0.5192,NO
0.8882,NO
0.7947,NO
0.3894,NO
0.8236,YES
0.753,NO
0.6101,YES
0.2895,NO
0.1646,NO
0.5385,YES
0.2518,NO
0.2296,NO
0.5893,YES
0.3128,NO
0.153,NO
0.7406,YES
0.1625,NO
0.6137,YES
0.1456,NO
0.4536,NO
0.3397,NO
0.1892,NO
0.1775,NO
0.312,NO
0.1654,NO
0.4622,NO
0.1229,NO
0.3117,NO
0.2417,NO
0.2614,NO
0.494,NO
0.2367,NO
0.5161,YES
0.4849,NO
0.5993,YES
0.6586,NO
0.23600000000000002,NO
0.7365,YES
1.4553,YES
1.2802,YES
0.9255,YES
0.6747,NO
0.2041,NO
0.8053,YES
0.6137,NO
0.6384,YES
0.3915,NO
0.5925,NO
0.8355,NO
0.3213,NO
0.3724,NO
1.2748,YES
0.3544,NO
1.4934,YES
0.3394,NO
1.3609,YES
0.5192,NO
0.8882,NO
0.7947,NO
0.3894,NO
0.8236,YES
0.753,NO
0.6101,YES
0.9949,YES
0.2614,YES
0.4344,NO
0.3455,NO
0.2075,NO
0.3165,NO
0.6497,YES
0.6998,YES
0.1996,NO
0.2431,NO
0.1638,NO
0.1917,NO
0.2802,NO
0.4677,NO
0.1446,NO
0.6449,YES
0.3149,NO
0.963,YES
0.155,NO
0.779,YES
0.2256,NO
0.1832,NO
0.3421,NO
0.2088,NO
0.1697,NO
0.3553,NO
0.2879,NO
0.2037,NO
1.0666,NO
0.4624,NO
1.8048,YES
1.0682,YES
0.9028,YES
2.3147,YES
1.2029,NO
0.4474,NO
2.3372,YES
0.6917,NO
1.841,YES
0.528,NO
1.2881,NO
1.2738,NO
0.5214,NO
0.6246,NO
1.2447,YES
0.573,NO
1.5526,YES
0.6657,NO
1.1683,YES
0.8516,NO
1.0872,NO
1.6442,NO
0.7792,NO
2.004,YES
1.6959,NO
1.713,YES
1.0666,NO
0.4624,NO
1.8048,YES
1.0682,YES
0.9028,YES
2.3147,YES
1.2029,NO
0.4474,NO
2.3372,YES
0.6917,NO
1.841,YES
0.528,NO
1.2881,NO
1.2738,NO
0.5214,NO
0.6246,NO
1.2447,YES
0.573,NO
1.5526,YES
0.6657,NO
1.1683,YES
0.8516,NO
1.0872,NO
1.6442,NO
0.7792,NO
2.004,YES
1.6959,NO
1.713,YES
1.0666,NO
0.4624,NO
1.8048,YES
1.0682,YES
0.9028,YES
2.3147,YES
1.2029,NO
0.4474,NO
2.3372,YES
0.6917,NO
1.841,YES
0.528,NO
1.2881,NO
1.2738,NO
0.5214,NO
0.6246,NO
1.2447,YES
0.573,NO
1.5526,YES
0.6657,NO
1.1683,YES
0.8516,NO
1.0872,NO
1.6442,NO
0.7792,NO
2.004,YES
1.6959,NO
1.713,YES
1.0666,NO
0.4624,NO
1.8048,YES
1.0682,YES
0.9028,YES
2.3147,YES
1.2029,NO
0.4474,NO
2.3372,YES
0.6917,NO
1.841,YES
0.528,NO
1.2881,NO
1.2738,NO
0.5214,NO
0.6246,NO
1.2447,YES
0.573,NO
1.5526,YES
0.6657,NO
1.1683,YES
0.8516,NO
1.0872,NO
1.6442,NO
0.7792,NO
2.004,YES
1.6959,NO
1.713,YES
0.6586,NO
0.23600000000000002,NO
0.7365,YES
1.4553,YES
1.2802,YES
0.9255,YES
0.6747,NO
0.2041,NO
0.8053,YES
0.6137,NO
0.6384,YES
0.3915,NO
0.5925,NO
0.8355,NO
0.3213,NO
0.3724,NO
1.2748,YES
0.3544,NO
1.4934,YES
0.3394,NO
1.3609,YES
0.5192,NO
0.8882,NO
0.7947,NO
0.3894,NO
0.8236,YES
0.753,NO
0.6101,YES
0.6586,NO
0.23600000000000002,NO
0.7365,YES
1.4553,YES
1.2802,YES
0.9255,YES
0.6747,NO
0.2041,NO
0.8053,YES
0.6137,NO
0.6384,YES
0.3915,NO
0.5925,NO
0.8355,NO
0.3213,NO
0.3724,NO
1.2748,YES
0.3544,NO
1.4934,YES
0.3394,NO
1.3609,YES
0.5192,NO
0.8882,NO
0.7947,NO
0.3894,NO
0.8236,YES
0.753,NO
0.6101,YES
0.3607,NO
0.1586,NO
0.3022,NO
0.3675,NO
0.2194,NO
0.3803,NO
0.3903,NO
0.1209,NO
0.5804,NO
0.2482,NO
0.2322,NO
0.1941,NO
0.7385,YES
0.6972,YES
0.5817,YES
0.1627,NO
0.33899999999999997,NO
0.158,NO
0.2016,NO
0.2315,NO
0.2249,NO
0.1384,NO
0.3367,NO
0.2585,NO
0.1789,NO
0.3133,NO
0.2829,NO
0.4495,NO
0.9949,YES
0.289,YES
0.4344,NO
0.3455,NO
0.2075,NO
0.3165,NO
0.6497,YES
0.6998,YES
0.1996,NO
0.2431,NO
0.1638,NO
0.1917,NO
0.2802,NO
0.4677,NO
0.1562,NO
0.6449,YES
0.3149,NO
0.963,YES
0.155,NO
0.779,YES
0.2256,NO
0.1832,NO
0.3421,NO
0.2088,NO
0.1697,NO
0.3553,NO
0.2879,NO
0.2037,NO
0.6586,NO
0.23600000000000002,NO
0.7365,YES
1.4553,YES
1.2802,YES
0.9255,YES
0.6747,NO
0.2041,NO
0.8053,YES
0.6137,NO
0.6384,YES
0.3915,NO
0.5925,NO
0.8355,NO
0.3213,NO
0.3724,NO
1.2748,YES
0.3544,NO
1.4934,YES
0.3394,NO
1.3609,YES
0.5192,NO
0.8882,NO
0.7947,NO
0.3894,NO
0.8236,YES
0.753,NO
0.6101,YES
0.9949,YES
0.2614,YES
0.4344,NO
0.3455,NO
0.2075,NO
0.3165,NO
0.6497,YES
0.6998,YES
0.1996,NO
0.2431,NO
0.1638,NO
0.1917,NO
0.2802,NO
0.4677,NO
0.132,NO
0.6449,YES
0.3149,NO
0.963,YES
0.155,NO
0.779,YES
0.2256,NO
0.1832,NO
0.3421,NO
0.2088,NO
0.1697,NO
0.3553,NO
0.2879,NO
0.2037,NO
0.6173,NO
0.21,NO
0.6053,NO
0.8473,NO
0.5523,NO
0.7529,NO
0.6441,NO
0.2424,NO
0.5653,NO
1.3632,YES
0.5039,NO
0.7357,YES
0.4838,NO
0.6990000000000001,NO
0.2504,NO
0.4065,NO
0.7209,NO
0.3947,NO
0.5254,NO
0.2246,NO
0.6442,NO
1.1571,YES
1.4897,YES
1.2146,YES
0.6809999999999999,YES
0.619,NO
0.9318,YES
0.4713,NO
0.9949,YES
0.2614,YES
0.4344,NO
0.3455,NO
0.2075,NO
0.3165,NO
0.6497,YES
0.6998,YES
0.1996,NO
0.2431,NO
0.1638,NO
0.1917,NO
0.2802,NO
0.4677,NO
0.1463,NO
0.6449,YES
0.3149,NO
0.963,YES
0.155,NO
0.779,YES
0.2256,NO
0.1832,NO
0.3421,NO
0.2088,NO
0.1697,NO
0.3553,NO
0.2879,NO
0.2037,NO
0.6173,NO
0.21,NO
0.6053,NO
0.8473,NO
0.5523,NO
0.7529,NO
0.6441,NO
0.2424,NO
0.5653,NO
1.3632,YES
0.5039,NO
0.7357,YES
0.4838,NO
0.6990000000000001,NO
0.2176,NO
0.4065,NO
0.7209,NO
0.3947,NO
0.5254,NO
0.2286,NO
0.6442,NO
1.1571,YES
1.4897,YES
1.2146,YES
0.6809999999999999,YES
0.619,NO
0.9318,YES
0.4713,NO
