LOWERTRACED_RFUNDER_RAW_LSA_MAX.csv,Associated
0.1636,NO
0.1646,NO
0.66,YES
0.1762,NO
0.1649,NO
0.66,YES
0.1681,NO
0.153,NO
0.66,YES
0.159,NO
0.66,YES
0.1456,NO
0.2244,NO
0.1542,NO
0.1277,NO
0.1775,NO
0.2106,NO
0.1654,NO
0.3557,NO
0.12,NO
0.2663,NO
0.2218,NO
0.1764,NO
0.3901,NO
0.21600000000000003,NO
0.66,YES
0.3584,NO
0.66,YES
0.21,NO
0.21,NO
0.41,YES
0.1967,YES
0.1251,YES
0.41,YES
0.21,NO
0.21,NO
0.41,YES
0.1152,NO
0.41,YES
0.0994,NO
0.171,NO
0.1733,NO
0.1785,NO
0.21,NO
0.1652,YES
0.21,NO
0.1533,YES
0.21,NO
0.1212,YES
0.015,NO
0.0714,NO
0.0698,NO
0.035,NO
0.41,YES
0.0378,NO
0.41,YES
0.3024,YES
0.14,YES
0.47,NO
0.95,NO
0.95,NO
0.47,NO
0.2394,YES
0.3693,YES
0.47,NO
0.0758,NO
0.47,NO
0.067,NO
0.2131,NO
0.19,NO
0.19,NO
0.14,YES
0.95,NO
0.2419,YES
0.95,NO
0.2985,YES
0.95,NO
0.102,NO
0.0927,NO
0.1259,NO
0.1193,NO
0.47,NO
0.15,NO
0.47,NO
0.28,NO
0.28,NO
1.0,YES
0.1154,YES
0.0802,YES
1.0,YES
0.28,NO
0.28,NO
1.0,YES
0.24,NO
1.0,YES
0.24,NO
0.3042,NO
0.1867,NO
0.2024,NO
0.28,NO
0.1127,YES
0.28,NO
0.3002,YES
0.28,NO
0.1969,YES
0.24,NO
0.24,NO
0.3023,NO
0.24,NO
1.0,YES
0.2621,NO
1.0,YES
0.1178,NO
0.0474,NO
0.98,YES
0.94,YES
0.94,YES
0.98,YES
0.2192,NO
0.1165,NO
0.98,YES
0.1886,NO
0.98,YES
0.1088,NO
0.2277,NO
0.1763,NO
0.1744,NO
0.0948,NO
0.94,YES
0.0882,NO
0.94,YES
0.1968,NO
0.94,YES
0.2134,NO
0.1846,NO
0.3004,NO
0.1322,NO
0.98,YES
0.2341,NO
0.98,YES
0.39,NO
0.39,NO
0.86,YES
0.1623,YES
0.1996,YES
0.86,YES
0.39,NO
0.39,NO
0.86,YES
0.1102,NO
0.86,YES
0.1022,NO
0.16,NO
0.16,NO
0.16,NO
0.39,NO
0.1682,YES
0.39,NO
0.3422,YES
0.39,NO
0.2514,YES
0.1754,NO
0.1301,NO
0.3619,NO
0.1715,NO
0.86,YES
0.3259,NO
0.86,YES
0.18,NO
0.18,NO
0.94,YES
0.1091,YES
0.0665,YES
0.94,YES
0.18,NO
0.18,NO
0.94,YES
0.1003,NO
0.94,YES
0.08800000000000001,NO
0.2859,NO
0.1263,NO
0.1497,NO
0.18,NO
0.1031,YES
0.18,NO
0.3066,YES
0.18,NO
0.2147,YES
0.1277,NO
0.0813,NO
0.3135,NO
0.1095,NO
0.94,YES
0.2369,NO
0.94,YES
0.1151,NO
0.0905,NO
1.0,YES
0.3566,YES
0.2651,YES
1.0,YES
0.094,NO
0.0554,NO
1.0,YES
0.73,NO
1.0,YES
0.73,NO
0.2488,NO
0.2731,NO
0.2523,NO
0.1698,NO
0.2266,YES
0.1648,NO
0.2745,YES
0.1508,NO
0.2653,YES
0.73,NO
0.73,NO
0.73,NO
0.73,NO
1.0,YES
0.73,NO
1.0,YES
0.1201,NO
0.10300000000000001,NO
0.87,YES
0.85,YES
0.85,YES
0.87,YES
0.0981,NO
0.0792,NO
0.87,YES
0.1836,NO
0.87,YES
0.1342,NO
0.1448,NO
0.1036,NO
0.0702,NO
0.1825,NO
0.85,YES
0.1772,NO
0.85,YES
0.0892,NO
0.85,YES
0.1677,NO
0.1461,NO
0.2985,NO
0.1348,NO
0.87,YES
0.2298,NO
0.87,YES
0.2,NO
0.2,NO
0.88,NO
0.2108,NO
0.09,NO
0.88,NO
0.2,NO
0.2,NO
0.88,NO
0.1291,NO
0.88,NO
0.1052,NO
0.4225,YES
0.3368,YES
0.3938,YES
0.2,NO
0.09,NO
0.2,NO
0.09,NO
0.2,NO
0.09,NO
0.0463,NO
0.0745,NO
0.1014,NO
0.0541,NO
0.88,NO
0.0541,NO
0.88,NO
0.1239,YES
0.289,YES
0.59,NO
0.71,NO
0.71,NO
0.59,NO
0.32899999999999996,YES
0.1249,YES
0.59,NO
0.1519,NO
0.59,NO
0.1784,NO
0.1661,NO
0.1504,NO
0.1562,NO
0.3075,YES
0.71,NO
0.1815,YES
0.71,NO
0.3735,YES
0.71,NO
0.1163,NO
0.0418,NO
0.1354,NO
0.0948,NO
0.59,NO
0.0821,NO
0.59,NO
0.0416,NO
0.0131,NO
0.98,YES
0.55,YES
0.55,YES
0.98,YES
0.0498,NO
0.0139,NO
0.98,YES
0.26,NO
0.98,YES
0.26,NO
0.1977,NO
0.1726,NO
0.1805,NO
0.0204,NO
0.55,YES
0.0198,NO
0.55,YES
0.1039,NO
0.55,YES
0.26,NO
0.26,NO
0.26,NO
0.26,NO
0.98,YES
0.26,NO
0.98,YES
0.3458,YES
0.0264,YES
0.53,NO
0.9,NO
0.9,NO
0.53,NO
0.226,YES
0.4184,YES
0.53,NO
0.1017,NO
0.53,NO
0.1058,NO
0.1741,NO
0.1373,NO
0.132,NO
0.1138,YES
0.9,NO
0.3242,YES
0.9,NO
0.3407,YES
0.9,NO
0.0621,NO
0.076,NO
0.1266,NO
0.0726,NO
0.53,NO
0.1128,NO
0.53,NO
0.1238,NO
0.0659,NO
0.99,NO
0.2168,NO
0.0941,NO
0.99,NO
0.0797,NO
0.0869,NO
0.99,NO
0.67,YES
0.99,NO
0.67,YES
0.24100000000000002,NO
0.263,NO
0.2504,NO
0.1414,NO
0.0983,NO
0.1658,NO
0.1333,NO
0.2072,NO
0.1519,NO
0.67,YES
0.67,YES
0.67,YES
0.67,YES
0.99,NO
0.67,YES
0.99,NO
0.3612,YES
0.0488,YES
0.58,NO
0.77,NO
0.77,NO
0.58,NO
0.1652,YES
0.4499,YES
0.58,NO
0.1079,NO
0.58,NO
0.1095,NO
0.1665,NO
0.1472,NO
0.1463,NO
0.1261,YES
0.77,NO
0.3791,YES
0.77,NO
0.3577,YES
0.77,NO
0.0477,NO
0.0457,NO
0.1274,NO
0.0681,NO
0.58,NO
0.0804,NO
0.58,NO
0.1422,NO
0.0613,NO
1.0,NO
0.94,NO
0.94,NO
1.0,NO
0.1529,NO
0.1098,NO
1.0,NO
0.77,YES
1.0,NO
0.77,YES
0.38,NO
0.38,NO
0.38,NO
0.0807,NO
0.94,NO
0.0862,NO
0.94,NO
0.2286,NO
0.94,NO
0.77,YES
0.77,YES
0.77,YES
0.77,YES
1.0,NO
0.77,YES
1.0,NO
