LOWERTRACED_RFUNDER_MULTI_VSM_MEDIAN.csv,Associated
0.1567,NO
0.0286,NO
0.5959,YES
0.0278,NO
0.66045,YES
0.07085,NO
0.6074999999999999,YES
0.0261,NO
0.03385,NO
0.07195,NO
0.0247,NO
0.50575,YES
0.0482,NO
0.48714999999999997,YES
0.0772,NO
0.0366,NO
0.09875,NO
0.1291,NO
0.09885,NO
0.08505,NO
0.0842,NO
0.06125,NO
0.0729,NO
0.7014,YES
0.07885,NO
0.6452,YES
0.09935,NO
0.0878,NO
0.08445,NO
0.027000000000000003,NO
0.07345,NO
0.02735,NO
0.0541,NO
0.10095,NO
0.06465,NO
0.69485,YES
0.6806,YES
0.6395500000000001,YES
0.6447,YES
0.1113,NO
0.58765,YES
0.04895,NO
0.04925,NO
0.0387,NO
0.28345,YES
0.37735,YES
0.32155,YES
0.29655,YES
0.04425,NO
0.0302,NO
0.33340000000000003,YES
0.1299,NO
0.28300000000000003,YES
0.07295,NO
0.1126,NO
0.12855,NO
0.11875,NO
0.07265,NO
0.30725,YES
0.0705,NO
0.32615,YES
0.071,NO
0.32275,YES
0.10245,NO
0.1103,NO
0.1114,NO
0.0516,NO
0.30305000000000004,YES
0.0558,NO
0.2963,YES
0.07075,NO
0.03725,NO
0.11905,NO
0.095,NO
0.07735,NO
0.09985,NO
0.08265,NO
0.0768,NO
0.09995,NO
0.59945,YES
0.10225,NO
0.62235,YES
0.12595,NO
0.1018,NO
0.10165,NO
0.02665,NO
0.0525,NO
0.027999999999999997,NO
0.05565,NO
0.1128,NO
0.04945,NO
0.59395,YES
0.57225,YES
0.59505,YES
0.6554,YES
0.12025,NO
0.58285,YES
0.06655,NO
0.04745,NO
0.06695,NO
0.12199999999999998,NO
0.09835,NO
0.0718,NO
0.11395,NO
0.06695,NO
0.04835,NO
0.11989999999999999,NO
0.6714,YES
0.1272,NO
0.5868,YES
0.06655,NO
0.03675,NO
0.03235,NO
0.102,NO
0.06635,NO
0.08275,NO
0.155,NO
0.06545,NO
0.14095,NO
0.7021,YES
0.6648000000000001,YES
0.74705,YES
0.58915,YES
0.1065,NO
0.63365,YES
0.0963,NO
0.07195,NO
0.03845,NO
0.16765000000000002,NO
0.1571,NO
0.14235,NO
0.16115000000000002,NO
0.0842,NO
0.0602,NO
0.15755000000000002,NO
0.6789499999999999,YES
0.1614,NO
0.60415,YES
0.1126,NO
0.10205,NO
0.10035,NO
0.0249,NO
0.11074999999999999,NO
0.02575,NO
0.10035,NO
0.0956,NO
0.11000000000000001,NO
0.7019,YES
0.6747,YES
0.63995,YES
0.63375,YES
0.18030000000000002,NO
0.60015,YES
0.12840000000000001,NO
0.03635,NO
0.0357,NO
0.059000000000000004,NO
0.34430000000000005,NO
0.27135,NO
0.04775,NO
0.03025,NO
0.0266,NO
0.07605,NO
0.71985,YES
0.03535,NO
0.61735,YES
0.1059,NO
0.1024,NO
0.10225,NO
0.04245,NO
0.25175000000000003,NO
0.0412,NO
0.24875000000000003,NO
0.0851,NO
0.27590000000000003,NO
0.6686,YES
0.66515,YES
0.657,YES
0.56285,YES
0.07375000000000001,NO
0.5564,YES
0.0545,NO
0.05345,NO
0.02255,NO
0.75475,YES
0.07155,YES
0.06135,YES
0.64235,YES
0.11185,NO
0.05325,NO
0.6633,YES
0.0537,NO
0.66445,YES
0.057949999999999995,NO
0.16655,NO
0.1348,NO
0.13369999999999999,NO
0.0451,NO
0.04965,YES
0.04375,NO
0.11845,YES
0.10645,NO
0.06605,YES
0.06855,NO
0.045,NO
0.15625,NO
0.065,NO
0.66995,YES
0.1308,NO
0.60405,YES
0.08995,NO
0.07735,NO
0.67975,YES
0.6078,NO
0.57675,NO
0.70795,YES
0.09135,NO
0.05485,NO
0.7724,YES
0.0955,NO
0.71905,YES
0.0764,NO
0.1632,NO
0.16015,NO
0.1324,NO
0.0855,NO
0.6094999999999999,NO
0.0699,NO
0.68365,NO
0.07255,NO
0.63185,NO
0.09955,NO
0.0892,NO
0.18835,NO
0.09585,NO
0.6897,YES
0.16795,NO
0.6436999999999999,YES
0.0399,NO
0.0182,NO
0.61875,YES
0.6196999999999999,YES
0.5916,YES
0.60565,YES
0.06165,NO
0.0237,NO
0.63495,YES
0.6164000000000001,NO
0.6254,YES
0.55475,NO
0.11825,NO
0.10305,NO
0.1024,NO
0.0228,NO
0.56975,YES
0.0221,NO
0.615,YES
0.0612,NO
0.57565,YES
0.61985,NO
0.60555,NO
0.6467499999999999,NO
0.55775,NO
0.6165,YES
0.59795,NO
0.594,YES
0.0818,NO
0.0823,NO
0.6940500000000001,YES
0.0881,NO
0.08245,NO
0.70985,YES
0.08405,NO
0.0765,NO
0.7369,YES
0.0795,NO
0.7464999999999999,YES
0.0728,NO
0.1122,NO
0.0771,NO
0.06385,NO
0.08875,NO
0.1053,NO
0.0827,NO
0.17785,NO
0.0451,NO
0.13315,NO
0.1109,NO
0.0882,NO
0.19505,NO
0.10800000000000001,NO
0.7010000000000001,YES
0.1792,NO
0.66195,YES
0.02335,NO
0.0092,NO
0.0272,YES
0.11335,YES
0.07755,YES
0.0263,YES
0.01945,NO
0.0049,NO
0.0602,YES
0.0576,NO
0.0217,YES
0.0497,NO
0.0855,NO
0.08665,NO
0.08925,NO
0.0316,NO
0.0976,YES
0.0307,NO
0.09165,YES
0.06735,NO
0.0756,YES
0.0075,NO
0.0357,NO
0.0349,NO
0.0175,NO
0.0336,YES
0.0189,NO
0.03185,YES
0.6512,YES
0.5241,YES
0.1817,NO
0.0774,NO
0.07295,NO
0.0753,NO
0.6197,YES
0.68465,YES
0.0702,NO
0.0379,NO
0.07585,NO
0.0335,NO
0.10655,NO
0.08,NO
0.0723,NO
0.5422,YES
0.0475,NO
0.62095,YES
0.013000000000000001,NO
0.64925,YES
0.01885,NO
0.051,NO
0.04635,NO
0.06295,NO
0.05965,NO
0.10885,NO
0.075,NO
0.0498,NO
0.04195,NO
0.0336,NO
0.6534,YES
0.0577,YES
0.0401,YES
0.6583,YES
0.0434,NO
0.03385,NO
0.7727999999999999,YES
0.2019,NO
0.68855,YES
0.19325,NO
0.1521,NO
0.09335,NO
0.1012,NO
0.042,NO
0.05635,YES
0.03865,NO
0.1501,YES
0.04105,NO
0.09845,YES
0.22265000000000001,NO
0.2021,NO
0.30615000000000003,NO
0.21384999999999998,NO
0.6483,YES
0.28605,NO
0.68155,YES
0.0589,NO
0.0237,NO
0.69385,YES
0.6057,YES
0.59535,YES
0.6033499999999999,YES
0.1096,NO
0.05825,NO
0.63175,YES
0.0943,NO
0.6261,YES
0.0544,NO
0.36385,NO
0.33815,NO
0.3372,NO
0.0474,NO
0.571,YES
0.0441,NO
0.60835,YES
0.0984,NO
0.5737,YES
0.1067,NO
0.0923,NO
0.1502,NO
0.0661,NO
0.63195,YES
0.11705,NO
0.58685,YES
0.0671,NO
0.05495,NO
0.763,YES
0.08115,YES
0.0998,YES
0.6648499999999999,YES
0.11349999999999999,NO
0.0811,NO
0.6686,YES
0.0551,NO
0.69505,YES
0.0511,NO
0.07415,NO
0.0431,NO
0.03145,NO
0.1017,NO
0.0841,YES
0.09875,NO
0.1711,YES
0.08865,NO
0.1257,YES
0.0877,NO
0.06505,NO
0.18095,NO
0.08575,NO
0.6726,YES
0.16295,NO
0.629,YES
0.03545,NO
0.0366,NO
0.6547000000000001,YES
0.46954999999999997,YES
0.44825,YES
0.64705,YES
0.0332,NO
0.0278,NO
0.76145,YES
0.05015,NO
0.6802,YES
0.044000000000000004,NO
0.14295,NO
0.06315,NO
0.07485,NO
0.05235,NO
0.46654999999999996,YES
0.0508,NO
0.5683,YES
0.03195,NO
0.52235,YES
0.06385,NO
0.04065,NO
0.15675,NO
0.05475,NO
0.651,YES
0.11845,NO
0.71315,YES
0.05755,NO
0.04525,NO
0.0514,YES
0.4183,YES
0.37255,YES
0.0771,YES
0.047,NO
0.0277,NO
0.10185,YES
0.09855,NO
0.0563,YES
0.0709,NO
0.1394,NO
0.15155000000000002,NO
0.14115,NO
0.0849,NO
0.3533,YES
0.0824,NO
0.37725,YES
0.0754,NO
0.37265,YES
0.0603,NO
0.08065,NO
0.08055,NO
0.0509,NO
0.076,YES
0.0593,NO
0.06035,YES
0.06005,NO
0.051500000000000004,NO
0.257,YES
0.64425,YES
0.6612,YES
0.25965,YES
0.04905,NO
0.0396,NO
0.27585000000000004,YES
0.09680000000000001,NO
0.28195000000000003,YES
0.07210000000000001,NO
0.0724,NO
0.0518,NO
0.0351,NO
0.09125,NO
0.62685,YES
0.0886,NO
0.7664,YES
0.0446,NO
0.7097,YES
0.08885,NO
0.07805000000000001,NO
0.15425,NO
0.0724,NO
0.25395,YES
0.1199,NO
0.24725,YES
0.044500000000000005,NO
0.0197,NO
0.06905,NO
0.1054,NO
0.0338,NO
0.04785,NO
0.04815,NO
0.02175,NO
0.1296,NO
0.06455,NO
0.03925,NO
0.0526,NO
0.7112499999999999,YES
0.6684,YES
0.6969,YES
0.0383,NO
0.03555,NO
0.03985,NO
0.02655,NO
0.07755,NO
0.0385,NO
0.02315,NO
0.03725,NO
0.0507,NO
0.02705,NO
0.08425,NO
0.02705,NO
0.10525,NO
0.56195,YES
0.6445,YES
0.1376,NO
0.08265,NO
0.0407,NO
0.03115,NO
0.6645,YES
0.56245,YES
0.0484,NO
0.07595,NO
0.02665,NO
0.0892,NO
0.08305,NO
0.0752,NO
0.0781,NO
0.65375,YES
0.02985,NO
0.59075,YES
0.0168,NO
0.68675,YES
0.04385,NO
0.05815,NO
0.0209,NO
0.0677,NO
0.0474,NO
0.07035,NO
0.04105,NO
0.0447,NO
0.0208,NO
0.00655,NO
0.48014999999999997,YES
0.6243,YES
0.62395,YES
0.48469999999999996,YES
0.0249,NO
0.00695,NO
0.51995,YES
0.05545,NO
0.48945,YES
0.0498,NO
0.13885,NO
0.1263,NO
0.13025,NO
0.0102,NO
0.58615,YES
0.0099,NO
0.6568,YES
0.05195,NO
0.62135,YES
0.0213,NO
0.01935,NO
0.0614,NO
0.01865,NO
0.48795,YES
0.0404,NO
0.47595,YES
0.6729,YES
0.5132,YES
0.17365,NO
0.07775,NO
0.0453,NO
0.0535,NO
0.613,YES
0.7092,YES
0.05555,NO
0.05085,NO
0.048499999999999995,NO
0.0529,NO
0.08705,NO
0.06865,NO
0.066,NO
0.5569,YES
0.0383,NO
0.6621,YES
0.01485,NO
0.67035,YES
0.01935,NO
0.03105,NO
0.038,NO
0.0633,NO
0.0363,NO
0.096,NO
0.0564,NO
0.04065,NO
0.0619,NO
0.03295,NO
0.04955,NO
0.1084,NO
0.04705,NO
0.0613,NO
0.03985,NO
0.04345,NO
0.09605,NO
0.10595,YES
0.04225,NO
0.09815,YES
0.12050000000000001,NO
0.1315,NO
0.1252,NO
0.0707,NO
0.04915,NO
0.0829,NO
0.06665,NO
0.1036,NO
0.07595,NO
0.06135,YES
0.0662,YES
0.07905,YES
0.09635,YES
0.0689,NO
0.048499999999999995,YES
0.059500000000000004,NO
0.6806,YES
0.5244,YES
0.14115,NO
0.0792,NO
0.0325,NO
0.0339,NO
0.5826,YES
0.72495,YES
0.04735,NO
0.05395,NO
0.03225,NO
0.05475,NO
0.08325,NO
0.0736,NO
0.07315,NO
0.56305,YES
0.0264,NO
0.68955,YES
0.01645,NO
0.67885,YES
0.031,NO
0.02385,NO
0.02285,NO
0.0637,NO
0.03405,NO
0.07135,NO
0.0402,NO
0.03845,NO
0.0711,NO
0.03065,NO
0.0742,NO
0.0889,NO
0.05125,NO
0.07725,NO
0.07645,NO
0.0549,NO
0.08765,NO
0.59035,YES
0.067,NO
0.6409,YES
0.1219,NO
0.11925,NO
0.1088,NO
0.04035,NO
0.0486,NO
0.0431,NO
0.04075,NO
0.1143,NO
0.0402,NO
0.5486,YES
0.5525,YES
0.56185,YES
0.63655,YES
0.09685,NO
0.55755,YES
0.0526,NO
