NONETRACED_RFUNDER_MULTI_VSM_MEDIAN.csv,Associated
0.51005,NO
0.10800000000000001,NO
0.536,YES
0.5442,NO
0.36195,YES
0.04335,NO
0.0142,NO
0.0572,YES
0.14835,YES
0.16754999999999998,YES
0.0313,YES
0.03945,NO
0.0049,NO
0.0602,YES
0.0726,NO
0.046700000000000005,YES
0.09970000000000001,NO
0.2555,NO
0.09665,NO
0.09425,NO
0.0316,NO
0.10260000000000001,YES
0.0307,NO
0.16665,YES
0.07734999999999999,NO
0.11560000000000001,YES
0.0625,NO
0.045700000000000005,NO
0.0349,NO
0.0325,NO
0.0586,YES
0.0189,NO
0.07185,YES
0.2962,YES
0.0291,YES
0.1817,NO
0.0774,NO
0.08795,NO
0.0753,NO
0.1197,YES
0.21465,YES
0.0852,NO
0.1029,NO
0.08085,NO
0.1285,NO
0.17655,NO
0.185,NO
0.1573,NO
0.18719999999999998,YES
0.0575,NO
0.28095000000000003,YES
0.023,NO
0.15925,YES
0.07885,NO
0.131,NO
0.04635,NO
0.06795000000000001,NO
0.05965,NO
0.10885,NO
0.075,NO
0.0498,NO
0.10195,NO
0.0986,NO
0.46840000000000004,YES
0.0577,YES
0.06509999999999999,YES
0.6583,YES
0.1384,NO
0.038849999999999996,NO
0.7727999999999999,YES
0.0469,NO
0.46855,YES
0.08825,NO
0.3321,NO
0.22835,NO
0.1812,NO
0.052000000000000005,NO
0.13635,YES
0.04865,NO
0.30010000000000003,YES
0.05605,NO
0.16344999999999998,YES
0.06765,NO
0.08710000000000001,NO
0.58115,NO
0.05885,NO
0.3983,YES
0.39105,NO
0.39154999999999995,YES
0.0689,NO
0.0237,NO
0.31385,YES
0.1557,YES
0.16035,YES
0.40335000000000004,YES
0.1096,NO
0.32825000000000004,NO
0.55175,YES
0.23929999999999998,NO
0.18610000000000002,YES
0.0844,NO
0.18385,NO
0.08815,NO
0.1522,NO
0.0474,NO
0.076,YES
0.1291,NO
0.20335,YES
0.1034,NO
0.11370000000000001,YES
0.2217,NO
0.23729999999999998,NO
0.36019999999999996,NO
0.0661,NO
0.40195000000000003,YES
0.22705,NO
0.13185,YES
0.0671,NO
0.05495,NO
0.43300000000000005,YES
0.08115,YES
0.1298,YES
0.59485,YES
0.1285,NO
0.1111,NO
0.5386,YES
0.1301,NO
0.34504999999999997,YES
0.0511,NO
0.22915,NO
0.0581,NO
0.04645,NO
0.1067,NO
0.0891,YES
0.10875,NO
0.35109999999999997,YES
0.13365,NO
0.1557,YES
0.2827,NO
0.11005,NO
0.41595,NO
0.08575,NO
0.4026,YES
0.35295,NO
0.279,YES
0.16545,NO
0.0616,NO
0.43470000000000003,YES
0.13955,YES
0.04825,YES
0.60705,YES
0.0832,NO
0.0528,NO
0.68145,YES
0.05515,NO
0.3852,YES
0.07400000000000001,NO
0.32794999999999996,NO
0.19815,NO
0.14485,NO
0.06235,NO
0.11155,YES
0.0658,NO
0.3433,YES
0.03695,NO
0.17735,YES
0.07885,NO
0.09565,NO
0.45675,NO
0.05475,NO
0.346,YES
0.36845,NO
0.43815000000000004,YES
0.06755,NO
0.06025,NO
0.0514,YES
0.3383,YES
0.25255,YES
0.1071,YES
0.052,NO
0.0377,NO
0.10185,YES
0.23355,NO
0.0563,YES
0.1609,NO
0.2644,NO
0.24655,NO
0.23115000000000002,NO
0.2049,NO
0.2183,YES
0.2024,NO
0.26725,YES
0.08539999999999999,NO
0.23265,YES
0.1503,NO
0.14565,NO
0.12054999999999999,NO
0.19090000000000001,NO
0.091,YES
0.0593,NO
0.06535,YES
0.06005,NO
0.061500000000000006,NO
0.197,YES
0.38425,YES
0.36119999999999997,YES
0.39965,YES
0.04905,NO
0.049600000000000005,NO
0.33085,YES
0.12680000000000002,NO
0.22195,YES
0.0671,NO
0.0724,NO
0.1168,NO
0.0501,NO
0.11624999999999999,NO
0.31685,YES
0.0936,NO
0.49139999999999995,YES
0.2496,NO
0.41969999999999996,YES
0.10385,NO
0.12805,NO
0.14925,NO
0.0824,NO
0.13895000000000002,YES
0.1149,NO
0.19224999999999998,YES
0.24450000000000002,NO
0.0247,NO
0.11405,NO
0.2754,NO
0.048799999999999996,NO
0.12284999999999999,NO
0.14315,NO
0.03175,NO
0.3246,NO
0.06955,NO
0.17925000000000002,NO
0.0676,NO
0.32125,YES
0.3434,YES
0.2919,YES
0.0533,NO
0.10055,NO
0.13485,NO
0.02655,NO
0.18755,NO
0.0435,NO
0.02315,NO
0.05225,NO
0.0507,NO
0.07205,NO
0.15425,NO
0.02705,NO
0.33025,NO
0.11195,YES
0.2095,YES
0.1626,NO
0.11765,NO
0.0907,NO
0.05115,NO
0.2995,YES
0.08245,YES
0.0484,NO
0.23595,NO
0.02665,NO
0.0892,NO
0.24805,NO
0.0902,NO
0.0881,NO
0.30374999999999996,YES
0.02985,NO
0.23075,YES
0.0368,NO
0.29175,YES
0.05885,NO
0.06815,NO
0.0359,NO
0.0927,NO
0.0474,NO
0.07035,NO
0.07605,NO
0.0697,NO
0.0208,NO
0.00655,NO
0.15015,YES
0.3993,YES
0.37395,YES
0.29969999999999997,YES
0.0499,NO
0.011949999999999999,NO
0.17495,YES
0.12545,NO
0.11445,YES
0.0948,NO
0.14884999999999998,NO
0.1513,NO
0.12025,NO
0.0302,NO
0.29615,YES
0.0499,NO
0.3718,YES
0.05195,NO
0.38634999999999997,YES
0.0263,NO
0.14435,NO
0.1014,NO
0.01865,NO
0.07295,YES
0.0804,NO
0.05595,YES
0.3779,YES
0.0132,YES
0.18365,NO
0.08275,NO
0.1003,NO
0.0535,NO
0.198,YES
0.2692,YES
0.05555,NO
0.08085,NO
0.13849999999999998,NO
0.0529,NO
0.15705000000000002,NO
0.13365,NO
0.111,NO
0.19190000000000002,YES
0.0433,NO
0.4021,YES
0.01485,NO
0.18535000000000001,YES
0.01935,NO
0.07105,NO
0.038,NO
0.0683,NO
0.0363,NO
0.106,NO
0.09140000000000001,NO
0.05065,NO
0.0969,NO
0.03295,NO
0.054549999999999994,NO
0.1084,NO
0.06205,NO
0.0613,NO
0.044849999999999994,NO
0.05845,NO
0.10604999999999999,NO
0.20095000000000002,YES
0.13725,NO
0.25315,YES
0.20550000000000002,NO
0.3015,NO
0.2102,NO
0.2157,NO
0.05915,NO
0.2129,NO
0.07665,NO
0.15360000000000001,NO
0.08095000000000001,NO
0.20135000000000003,YES
0.2712,YES
0.11405,YES
0.26635000000000003,YES
0.07390000000000001,NO
0.048499999999999995,YES
0.0695,NO
0.4806,YES
0.029400000000000003,YES
0.19615,NO
0.08420000000000001,NO
0.0825,NO
0.0539,NO
0.1376,YES
0.36495,YES
0.04735,NO
0.11395,NO
0.03225,NO
0.05975,NO
0.16825,NO
0.1086,NO
0.09815000000000002,NO
0.22805,YES
0.0564,NO
0.44955,YES
0.05145,NO
0.29385,YES
0.201,NO
0.02385,NO
0.02785,NO
0.1087,NO
0.039049999999999994,NO
0.11635,NO
0.1152,NO
0.05845,NO
0.1711,NO
0.03565,NO
0.0792,NO
0.12390000000000001,NO
0.056249999999999994,NO
0.08725,NO
0.07645,NO
0.19490000000000002,NO
0.10265,NO
0.18035,YES
0.067,NO
0.44589999999999996,YES
0.2369,NO
0.36424999999999996,NO
0.20879999999999999,NO
0.30535,NO
0.0486,NO
0.1781,NO
0.04075,NO
0.1593,NO
0.0402,NO
0.08360000000000001,YES
0.1575,YES
0.07685,YES
0.36655000000000004,YES
0.12685000000000002,NO
0.05755,YES
0.0526,NO
