LOWERTRACED_MAX_MULTI_VSM_MAX.csv,Associated
0.9027,YES
0.4965,NO
0.9027,YES
0.4965,NO
0.5231,NO
0.5231,NO
0.5231,NO
0.171,NO
0.6395,NO
0.1398,NO
0.6395,NO
0.1451,NO
0.6395,NO
0.4965,NO
0.4965,NO
0.4965,NO
0.4965,NO
0.9027,YES
0.4965,NO
0.9027,YES
0.3014,NO
0.3014,NO
0.6693,YES
0.6773,YES
0.6773,YES
0.6693,YES
0.3014,NO
0.3014,NO
0.6693,YES
0.6231,NO
0.6693,YES
0.6231,NO
0.4651,NO
0.4651,NO
0.4651,NO
0.3014,NO
0.6773,YES
0.3014,NO
0.6773,YES
0.3014,NO
0.6773,YES
0.6231,NO
0.6231,NO
0.6231,NO
0.6231,NO
0.6693,YES
0.6231,NO
0.6693,YES
0.1636,NO
0.1646,NO
0.8554,YES
0.5554,NO
0.5554,NO
0.8554,YES
0.1681,NO
0.153,NO
0.8554,YES
0.5177,NO
0.8554,YES
0.5177,NO
0.2898,NO
0.2898,NO
0.2898,NO
0.1775,NO
0.5554,NO
0.1654,NO
0.5554,NO
0.0902,NO
0.5554,NO
0.5177,NO
0.5177,NO
0.5177,NO
0.5177,NO
0.8554,YES
0.5177,NO
0.8554,YES
0.1186,NO
0.1186,NO
0.2445,YES
0.3685,YES
0.3685,YES
0.2445,YES
0.1186,NO
0.1186,NO
0.2445,YES
0.1827,NO
0.2445,YES
0.1827,NO
0.3002,NO
0.3002,NO
0.3002,NO
0.1186,NO
0.3685,YES
0.1186,NO
0.3685,YES
0.1347,NO
0.3685,YES
0.1827,NO
0.1827,NO
0.1827,NO
0.1827,NO
0.2445,YES
0.1827,NO
0.2445,YES
0.6735,YES
0.6735,YES
0.3634,NO
0.3389,NO
0.3389,NO
0.3389,NO
0.6735,YES
0.6735,YES
0.3389,NO
0.2808,NO
0.3389,NO
0.2808,NO
0.4228,NO
0.4228,NO
0.4228,NO
0.6735,YES
0.3389,NO
0.6735,YES
0.3389,NO
0.6735,YES
0.3389,NO
0.2808,NO
0.2808,NO
0.2808,NO
0.2808,NO
0.3389,NO
0.2808,NO
0.3389,NO
0.0865,NO
0.0865,NO
0.9043,YES
0.5502,YES
0.5502,YES
0.9043,YES
0.0868,NO
0.0865,NO
0.9043,YES
0.4779,NO
0.9043,YES
0.4779,NO
0.5037,NO
0.5037,NO
0.5037,NO
0.0865,NO
0.5502,YES
0.0865,NO
0.5502,YES
0.0865,NO
0.5502,YES
0.4779,NO
0.4779,NO
0.4779,NO
0.4779,NO
0.9043,YES
0.4779,NO
0.9043,YES
0.3341,NO
0.3341,NO
0.6385,YES
0.6385,YES
0.6385,YES
0.6385,YES
0.3341,NO
0.3341,NO
0.6385,YES
0.5579999999999999,NO
0.6385,YES
0.5579999999999999,NO
0.3865,NO
0.3865,NO
0.3865,NO
0.3341,NO
0.6385,YES
0.3341,NO
0.6385,YES
0.3341,NO
0.6385,YES
0.5579999999999999,NO
0.5579999999999999,NO
0.5579999999999999,NO
0.5579999999999999,NO
0.6385,YES
0.5579999999999999,NO
0.6385,YES
0.1845,NO
0.1845,NO
0.728,YES
0.5239,YES
0.5239,YES
0.728,YES
0.22699999999999998,NO
0.1845,NO
0.728,YES
0.5289,NO
0.728,YES
0.5289,NO
0.2127,NO
0.2127,NO
0.2127,NO
0.2034,NO
0.5239,YES
0.1975,NO
0.5239,YES
0.1845,NO
0.5239,YES
0.5289,NO
0.5289,NO
0.5289,NO
0.5289,NO
0.728,YES
0.5289,NO
0.728,YES
0.0709,NO
0.0732,NO
0.9648,YES
0.5636,YES
0.5636,YES
0.9648,YES
0.0664,NO
0.0556,NO
0.9648,YES
0.4462,NO
0.9648,YES
0.4462,NO
0.4412,NO
0.4412,NO
0.4412,NO
0.1047,NO
0.5636,YES
0.1016,NO
0.5636,YES
0.0639,NO
0.5636,YES
0.4462,NO
0.4462,NO
0.4462,NO
0.4462,NO
0.9648,YES
0.4462,NO
0.9648,YES
0.1995,NO
0.1995,NO
0.44299999999999995,YES
0.5962,YES
0.5962,YES
0.44299999999999995,YES
0.1995,NO
0.1995,NO
0.44299999999999995,YES
0.415,NO
0.44299999999999995,YES
0.415,NO
0.3575,NO
0.3575,NO
0.3575,NO
0.1995,NO
0.5962,YES
0.1995,NO
0.5962,YES
0.1995,NO
0.5962,YES
0.415,NO
0.415,NO
0.415,NO
0.415,NO
0.44299999999999995,YES
0.415,NO
0.44299999999999995,YES
0.1414,NO
0.1414,NO
0.6109,YES
0.8013,YES
0.8013,YES
0.6109,YES
0.1414,NO
0.1414,NO
0.6109,YES
0.3984,NO
0.6109,YES
0.3984,NO
0.1612,NO
0.1612,NO
0.1612,NO
0.1825,NO
0.8013,YES
0.1772,NO
0.8013,YES
0.1414,NO
0.8013,YES
0.3984,NO
0.3984,NO
0.3984,NO
0.3984,NO
0.6109,YES
0.3984,NO
0.6109,YES
0.1963,NO
0.1963,NO
0.3341,NO
0.2904,NO
0.2904,NO
0.3341,NO
0.1963,NO
0.1963,NO
0.3341,NO
0.2363,NO
0.3341,NO
0.2363,NO
0.7691,YES
0.7691,YES
0.7691,YES
0.1963,NO
0.2904,NO
0.1963,NO
0.2904,NO
0.1963,NO
0.2904,NO
0.2363,NO
0.2363,NO
0.2363,NO
0.2363,NO
0.3341,NO
0.2363,NO
0.3341,NO
0.6856,YES
0.6856,YES
0.2752,NO
0.1989,NO
0.1989,NO
0.1989,NO
0.6856,YES
0.6856,YES
0.1989,NO
0.2608,NO
0.1989,NO
0.2608,NO
0.2592,NO
0.2592,NO
0.2592,NO
0.6856,YES
0.1989,NO
0.6856,YES
0.1989,NO
0.6856,YES
0.1989,NO
0.2608,NO
0.2608,NO
0.2608,NO
0.2608,NO
0.1989,NO
0.2608,NO
0.1989,NO
0.1526,NO
0.1526,NO
0.6207,YES
0.7669,YES
0.7669,YES
0.6207,YES
0.1526,NO
0.1526,NO
0.6207,YES
0.2467,NO
0.6207,YES
0.2467,NO
0.3934,NO
0.3934,NO
0.3934,NO
0.1526,NO
0.7669,YES
0.1526,NO
0.7669,YES
0.1526,NO
0.7669,YES
0.2467,NO
0.2467,NO
0.2467,NO
0.2467,NO
0.6207,YES
0.2467,NO
0.6207,YES
0.7969,YES
0.7969,YES
0.3473,NO
0.275,NO
0.275,NO
0.295,NO
0.7969,YES
0.7969,YES
0.295,NO
0.2321,NO
0.295,NO
0.2321,NO
0.3062,NO
0.3062,NO
0.3062,NO
0.7969,YES
0.275,NO
0.7969,YES
0.275,NO
0.7969,YES
0.275,NO
0.2321,NO
0.2321,NO
0.2321,NO
0.2321,NO
0.295,NO
0.2321,NO
0.295,NO
0.2582,NO
0.2582,NO
0.2269,NO
0.282,NO
0.282,NO
0.2269,NO
0.2582,NO
0.2582,NO
0.2269,NO
0.5249,YES
0.2269,NO
0.5249,YES
0.3627,NO
0.3627,NO
0.3627,NO
0.2582,NO
0.282,NO
0.2582,NO
0.282,NO
0.2582,NO
0.282,NO
0.5249,YES
0.5249,YES
0.5249,YES
0.5249,YES
0.2269,NO
0.5249,YES
0.2269,NO
0.8165,YES
0.8165,YES
0.2823,NO
0.2067,NO
0.2067,NO
0.2067,NO
0.8165,YES
0.8165,YES
0.2067,NO
0.2015,NO
0.2067,NO
0.2015,NO
0.2341,NO
0.2341,NO
0.2341,NO
0.8165,YES
0.2067,NO
0.8165,YES
0.2067,NO
0.8165,YES
0.2067,NO
0.2015,NO
0.2015,NO
0.2015,NO
0.2015,NO
0.2067,NO
0.2015,NO
0.2067,NO
0.3765,NO
0.3765,NO
0.414,NO
0.2888,NO
0.2888,NO
0.414,NO
0.3765,NO
0.3765,NO
0.414,NO
0.6992,YES
0.414,NO
0.6992,YES
0.3705,NO
0.3705,NO
0.3705,NO
0.3765,NO
0.2888,NO
0.3765,NO
0.2888,NO
0.3765,NO
0.2888,NO
0.6992,YES
0.6992,YES
0.6992,YES
0.6992,YES
0.414,NO
0.6992,YES
0.414,NO
