LOWERTRACED_SUM_MULTI_VSM_MAX.csv,Associated
1.9788,YES
1.9788,YES
1.9788,YES
2.417,NO
1.9788,YES
2.417,NO
0.3967,NO
0.3967,NO
2.3972,NO
1.2436,NO
1.2436,NO
2.3972,NO
0.3967,NO
0.3967,NO
2.3972,NO
2.8689999999999998,YES
2.3972,NO
2.8689999999999998,YES
0.1331,NO
0.1303,NO
0.1303,NO
0.3967,NO
1.2436,NO
0.3967,NO
1.2436,NO
0.3967,NO
1.2436,NO
2.8689999999999998,YES
2.8689999999999998,YES
2.8689999999999998,YES
2.8689999999999998,YES
2.3972,NO
2.8689999999999998,YES
2.3972,NO
0.8141,NO
0.8141,NO
2.1697,NO
1.4338,NO
1.4338,NO
2.1697,NO
0.8141,NO
0.8141,NO
2.1697,NO
2.955,YES
2.1697,NO
2.955,YES
0.7196,NO
0.7196,NO
0.7196,NO
0.8141,NO
1.4338,NO
0.8141,NO
1.4338,NO
0.8141,NO
1.4338,NO
2.955,YES
2.955,YES
2.955,YES
2.955,YES
2.1697,NO
2.955,YES
2.1697,NO
0.6447,NO
0.6447,NO
1.2495,NO
1.3948,NO
1.3948,NO
1.2495,NO
0.6447,NO
0.6447,NO
1.2495,NO
2.8939999999999997,YES
1.2495,NO
2.8939999999999997,YES
0.6656,NO
0.6656,NO
0.6656,NO
0.6447,NO
1.3948,NO
0.6447,NO
1.3948,NO
0.6447,NO
1.3948,NO
2.8939999999999997,YES
2.8939999999999997,YES
2.8939999999999997,YES
2.8939999999999997,YES
1.2495,NO
2.8939999999999997,YES
1.2495,NO
0.7737,NO
0.7737,NO
4.0663,YES
1.6111,YES
1.6111,YES
4.0663,YES
0.7737,NO
0.7737,NO
4.0663,YES
1.084,NO
4.0663,YES
1.084,NO
0.7031,NO
0.7031,NO
0.7031,NO
0.7737,NO
1.6111,YES
0.7737,NO
1.6111,YES
0.7737,NO
1.6111,YES
1.084,NO
1.084,NO
1.084,NO
1.084,NO
4.0663,YES
1.084,NO
4.0663,YES
0.2643,NO
0.2643,NO
4.7236,YES
1.7847,NO
1.7847,NO
4.7236,YES
0.2643,NO
0.2643,NO
4.7236,YES
1.0046,NO
4.7236,YES
1.0046,NO
0.8798,NO
0.8798,NO
0.8798,NO
0.2643,NO
1.7847,NO
0.2643,NO
1.7847,NO
0.2643,NO
1.7847,NO
1.0046,NO
1.0046,NO
1.0046,NO
1.0046,NO
4.7236,YES
1.0046,NO
4.7236,YES
0.7889,NO
0.7889,NO
4.1643,YES
2.9306,YES
2.9306,YES
4.1643,YES
0.7889,NO
0.7889,NO
4.1643,YES
2.2917,NO
4.1643,YES
2.2917,NO
0.8959,NO
0.8959,NO
0.8959,NO
0.7889,NO
2.9306,YES
0.7889,NO
2.9306,YES
0.7889,NO
2.9306,YES
2.2917,NO
2.2917,NO
2.2917,NO
2.2917,NO
4.1643,YES
2.2917,NO
4.1643,YES
0.1636,NO
0.1646,NO
4.5017,YES
1.3743,NO
1.3743,NO
4.5017,YES
0.1681,NO
0.153,NO
4.5017,YES
0.9904,NO
4.5017,YES
0.9904,NO
0.4148,NO
0.4148,NO
0.4148,NO
0.1775,NO
1.3743,NO
0.1654,NO
1.3743,NO
0.0902,NO
1.3743,NO
0.9904,NO
0.9904,NO
0.9904,NO
0.9904,NO
4.5017,YES
0.9904,NO
4.5017,YES
0.3518,NO
0.3518,NO
0.8999,YES
1.5874,YES
1.5874,YES
0.8999,YES
0.3518,NO
0.3518,NO
0.8999,YES
0.4869,NO
0.8999,YES
0.4869,NO
0.573,NO
0.573,NO
0.573,NO
0.3518,NO
1.5874,YES
0.3518,NO
1.5874,YES
0.3518,NO
1.5874,YES
0.4869,NO
0.4869,NO
0.4869,NO
0.4869,NO
0.8999,YES
0.4869,NO
0.8999,YES
1.5273,YES
1.5273,YES
1.7655,NO
0.7985,NO
0.7985,NO
1.7655,NO
1.5273,YES
1.5273,YES
1.7655,NO
0.7842,NO
1.7655,NO
0.7842,NO
0.8256,NO
0.8256,NO
0.8256,NO
1.5273,YES
0.7985,NO
1.5273,YES
0.7985,NO
1.5273,YES
0.7985,NO
0.7842,NO
0.7842,NO
0.7842,NO
0.7842,NO
1.7655,NO
0.7842,NO
1.7655,NO
0.2519,NO
0.2519,NO
5.1543,YES
1.6071,YES
1.6071,YES
5.1543,YES
0.2519,NO
0.2519,NO
5.1543,YES
0.996,NO
5.1543,YES
0.996,NO
0.9237,NO
0.9237,NO
0.9237,NO
0.2519,NO
1.6071,YES
0.2519,NO
1.6071,YES
0.2519,NO
1.6071,YES
0.996,NO
0.996,NO
0.996,NO
0.996,NO
5.1543,YES
0.996,NO
5.1543,YES
0.8217,NO
0.8217,NO
3.6363,YES
1.9636,YES
1.9636,YES
3.6363,YES
0.8217,NO
0.8217,NO
3.6363,YES
1.8498,NO
3.6363,YES
1.8498,NO
0.7112,NO
0.7112,NO
0.7112,NO
0.8217,NO
1.9636,YES
0.8217,NO
1.9636,YES
0.8217,NO
1.9636,YES
1.8498,NO
1.8498,NO
1.8498,NO
1.8498,NO
3.6363,YES
1.8498,NO
3.6363,YES
0.4731,NO
0.4731,NO
3.9477,YES
1.5449,YES
1.5449,YES
3.9477,YES
0.4731,NO
0.4731,NO
3.9477,YES
1.2173,NO
3.9477,YES
1.2173,NO
0.3227,NO
0.3227,NO
0.3227,NO
0.4731,NO
1.5449,YES
0.4731,NO
1.5449,YES
0.4731,NO
1.5449,YES
1.2173,NO
1.2173,NO
1.2173,NO
1.2173,NO
3.9477,YES
1.2173,NO
3.9477,YES
0.1086,NO
0.1086,NO
5.1118,YES
1.5133,YES
1.5133,YES
5.1118,YES
0.1086,NO
0.1086,NO
5.1118,YES
0.8398,NO
5.1118,YES
0.8398,NO
0.7901,NO
0.7901,NO
0.7901,NO
0.1086,NO
1.5133,YES
0.1086,NO
1.5133,YES
0.1086,NO
1.5133,YES
0.8398,NO
0.8398,NO
0.8398,NO
0.8398,NO
5.1118,YES
0.8398,NO
5.1118,YES
0.5388,NO
0.5388,NO
1.5106,YES
2.4913,YES
2.4913,YES
1.5106,YES
0.5388,NO
0.5388,NO
1.5106,YES
1.135,NO
1.5106,YES
1.135,NO
0.7144,NO
0.7144,NO
0.7144,NO
0.5388,NO
2.4913,YES
0.5388,NO
2.4913,YES
0.5388,NO
2.4913,YES
1.135,NO
1.135,NO
1.135,NO
1.135,NO
1.5106,YES
1.135,NO
1.5106,YES
0.3232,NO
0.3232,NO
3.0667,YES
3.3769,YES
3.3769,YES
3.0667,YES
0.3232,NO
0.3232,NO
3.0667,YES
1.0805,NO
3.0667,YES
1.0805,NO
0.2185,NO
0.2185,NO
0.2185,NO
0.3232,NO
3.3769,YES
0.3232,NO
3.3769,YES
0.3232,NO
3.3769,YES
1.0805,NO
1.0805,NO
1.0805,NO
1.0805,NO
3.0667,YES
1.0805,NO
3.0667,YES
0.5775,NO
0.5775,NO
1.7098,NO
1.0763,NO
1.0763,NO
1.7098,NO
0.5775,NO
0.5775,NO
1.7098,NO
0.5087,NO
1.7098,NO
0.5087,NO
1.4859,YES
1.4859,YES
1.4859,YES
0.5775,NO
1.0763,NO
0.5775,NO
1.0763,NO
0.5775,NO
1.0763,NO
0.5087,NO
0.5087,NO
0.5087,NO
0.5087,NO
1.7098,NO
0.5087,NO
1.7098,NO
1.3002,YES
1.3002,YES
0.9275,NO
0.7695,NO
0.7695,NO
0.9275,NO
1.3002,YES
1.3002,YES
0.9275,NO
0.6299,NO
0.9275,NO
0.6299,NO
0.5029,NO
0.5029,NO
0.5029,NO
1.3002,YES
0.7695,NO
1.3002,YES
0.7695,NO
1.3002,YES
0.7695,NO
0.6299,NO
0.6299,NO
0.6299,NO
0.6299,NO
0.9275,NO
0.6299,NO
0.9275,NO
0.4476,NO
0.4476,NO
2.6928,YES
3.4987,YES
3.4987,YES
2.6928,YES
0.4476,NO
0.4476,NO
2.6928,YES
0.6942,NO
2.6928,YES
0.6942,NO
0.7499,NO
0.7499,NO
0.7499,NO
0.4476,NO
3.4987,YES
0.4476,NO
3.4987,YES
0.4476,NO
3.4987,YES
0.6942,NO
0.6942,NO
0.6942,NO
0.6942,NO
2.6928,YES
0.6942,NO
2.6928,YES
1.8556,YES
1.8556,YES
1.4474,NO
0.833,NO
0.833,NO
1.4474,NO
1.8556,YES
1.8556,YES
1.4474,NO
0.6588,NO
1.4474,NO
0.6588,NO
0.6,NO
0.6,NO
0.6,NO
1.8556,YES
0.833,NO
1.8556,YES
0.833,NO
1.8556,YES
0.833,NO
0.6588,NO
0.6588,NO
0.6588,NO
0.6588,NO
1.4474,NO
0.6588,NO
1.4474,NO
0.7162,NO
0.7162,NO
1.311,NO
1.1262,NO
1.1262,NO
1.311,NO
0.7162,NO
0.7162,NO
1.311,NO
1.3867,YES
1.311,NO
1.3867,YES
0.7178,NO
0.7178,NO
0.7178,NO
0.7162,NO
1.1262,NO
0.7162,NO
1.1262,NO
0.7162,NO
1.1262,NO
1.3867,YES
1.3867,YES
1.3867,YES
1.3867,YES
1.311,NO
1.3867,YES
1.311,NO
1.9078,YES
1.9078,YES
0.861,NO
0.742,NO
0.742,NO
0.861,NO
1.9078,YES
1.9078,YES
0.861,NO
0.5124,NO
0.861,NO
0.5124,NO
0.46299999999999997,NO
0.46299999999999997,NO
0.46299999999999997,NO
1.9078,YES
0.742,NO
1.9078,YES
0.742,NO
1.9078,YES
0.742,NO
0.5124,NO
0.5124,NO
0.5124,NO
0.5124,NO
0.861,NO
0.5124,NO
0.861,NO
0.9603,NO
0.9603,NO
1.8288,NO
1.075,NO
1.075,NO
1.8288,NO
0.9603,NO
0.9603,NO
1.8288,NO
1.5121,YES
1.8288,NO
1.5121,YES
0.7306,NO
0.7306,NO
0.7306,NO
0.9603,NO
1.075,NO
0.9603,NO
1.075,NO
0.9603,NO
1.075,NO
1.5121,YES
1.5121,YES
1.5121,YES
1.5121,YES
1.8288,NO
1.5121,YES
1.8288,NO
