LOWERTRACED_SUM_SINGLE_VSM_MAX.csv,Associated
0.8305,NO
0.8305,NO
0.8305,NO
0.6336,NO
0.723,NO
0.6336,NO
0.723,NO
0.6336,NO
0.723,NO
2.1914,YES
2.1914,YES
2.1914,YES
2.1914,YES
2.0569,NO
2.1914,YES
2.0569,NO
0.3642,NO
0.3642,NO
2.491,NO
1.2565,NO
1.2565,NO
2.491,NO
0.3642,NO
0.3642,NO
2.491,NO
3.0958,YES
2.491,NO
3.0958,YES
0.1331,NO
0.0932,NO
0.0932,NO
0.3642,NO
1.2565,NO
0.3642,NO
1.2565,NO
0.3642,NO
1.2565,NO
3.0958,YES
3.0958,YES
3.0958,YES
3.0958,YES
2.491,NO
3.0958,YES
2.491,NO
0.4852,NO
0.4852,NO
1.4922,NO
0.9111,NO
0.9111,NO
1.4922,NO
0.4852,NO
0.4852,NO
1.4922,NO
3.142,YES
1.4922,NO
3.142,YES
0.5595,NO
0.5595,NO
0.5595,NO
0.4852,NO
0.9111,NO
0.4852,NO
0.9111,NO
0.4852,NO
0.9111,NO
3.142,YES
3.142,YES
3.142,YES
3.142,YES
1.4922,NO
3.142,YES
1.4922,NO
0.397,NO
0.397,NO
0.6249,NO
1.0411,NO
1.0411,NO
0.6249,NO
0.397,NO
0.397,NO
0.6249,NO
2.9388,YES
0.6249,NO
2.9388,YES
0.5439,NO
0.5439,NO
0.5439,NO
0.397,NO
1.0411,NO
0.397,NO
1.0411,NO
0.397,NO
1.0411,NO
2.9388,YES
2.9388,YES
2.9388,YES
2.9388,YES
0.6249,NO
2.9388,YES
0.6249,NO
0.5687,NO
0.5687,NO
5.6788,YES
1.5667,YES
1.5667,YES
5.6788,YES
0.5687,NO
0.5687,NO
5.6788,YES
0.8590000000000001,NO
5.6788,YES
0.8590000000000001,NO
0.7398,NO
0.7398,NO
0.7398,NO
0.5687,NO
1.5667,YES
0.5687,NO
1.5667,YES
0.5687,NO
1.5667,YES
0.8590000000000001,NO
0.8590000000000001,NO
0.8590000000000001,NO
0.8590000000000001,NO
5.6788,YES
0.8590000000000001,NO
5.6788,YES
0.1799,NO
0.1547,NO
5.0674,YES
1.694,NO
1.694,NO
5.0674,YES
0.1827,NO
0.1097,NO
5.0674,YES
0.8425,NO
5.0674,YES
0.8425,NO
0.8787,NO
0.8787,NO
0.8787,NO
0.171,NO
1.694,NO
0.1398,NO
1.694,NO
0.1451,NO
1.694,NO
0.8425,NO
0.8425,NO
0.8425,NO
0.8425,NO
5.0674,YES
0.8425,NO
5.0674,YES
0.2015,NO
0.2015,NO
5.7010000000000005,YES
3.9733,YES
3.9733,YES
5.7010000000000005,YES
0.2015,NO
0.2015,NO
5.7010000000000005,YES
3.0595,NO
5.7010000000000005,YES
3.0595,NO
0.9671,NO
0.9671,NO
0.9671,NO
0.2015,NO
3.9733,YES
0.2015,NO
3.9733,YES
0.2015,NO
3.9733,YES
3.0595,NO
3.0595,NO
3.0595,NO
3.0595,NO
5.7010000000000005,YES
3.0595,NO
5.7010000000000005,YES
0.1636,NO
0.1646,NO
5.2563,YES
1.5939,NO
1.5939,NO
5.2563,YES
0.1681,NO
0.153,NO
5.2563,YES
1.1472,NO
5.2563,YES
1.1472,NO
0.4792,NO
0.4792,NO
0.4792,NO
0.1775,NO
1.5939,NO
0.1654,NO
1.5939,NO
0.0902,NO
1.5939,NO
1.1472,NO
1.1472,NO
1.1472,NO
1.1472,NO
5.2563,YES
1.1472,NO
5.2563,YES
0.6504,NO
0.6504,NO
1.7647,YES
4.2047,YES
4.2047,YES
1.7647,YES
0.6504,NO
0.6504,NO
1.7647,YES
0.9232,NO
1.7647,YES
0.9232,NO
1.4887,NO
1.4887,NO
1.4887,NO
0.6504,NO
4.2047,YES
0.6504,NO
4.2047,YES
0.6504,NO
4.2047,YES
0.9232,NO
0.9232,NO
0.9232,NO
0.9232,NO
1.7647,YES
0.9232,NO
1.7647,YES
2.2559,YES
2.2559,YES
2.5511,NO
1.1246,NO
1.1246,NO
2.5511,NO
2.2559,YES
2.2559,YES
2.5511,NO
1.1191,NO
2.5511,NO
1.1191,NO
1.2133,NO
1.2133,NO
1.2133,NO
2.2559,YES
1.1246,NO
2.2559,YES
1.1246,NO
2.2559,YES
1.1246,NO
1.1191,NO
1.1191,NO
1.1191,NO
1.1191,NO
2.5511,NO
1.1191,NO
2.5511,NO
0.0839,NO
0.0672,NO
5.5756,YES
1.4691,YES
1.4691,YES
5.5756,YES
0.0868,NO
0.0677,NO
5.5756,YES
0.8244,NO
5.5756,YES
0.8244,NO
0.9279,NO
0.9279,NO
0.9279,NO
0.084,NO
1.4691,YES
0.0773,NO
1.4691,YES
0.0821,NO
1.4691,YES
0.8244,NO
0.8244,NO
0.8244,NO
0.8244,NO
5.5756,YES
0.8244,NO
5.5756,YES
0.2475,NO
0.2475,NO
4.9031,YES
1.9072,YES
1.9072,YES
4.9031,YES
0.2475,NO
0.2475,NO
4.9031,YES
2.2279,NO
4.9031,YES
2.2279,NO
0.5761,NO
0.5761,NO
0.5761,NO
0.2475,NO
1.9072,YES
0.2475,NO
1.9072,YES
0.2475,NO
1.9072,YES
2.2279,NO
2.2279,NO
2.2279,NO
2.2279,NO
4.9031,YES
2.2279,NO
4.9031,YES
0.2416,NO
0.2416,NO
5.1486,YES
1.6222,YES
1.6222,YES
5.1486,YES
0.2416,NO
0.2416,NO
5.1486,YES
1.2676,NO
5.1486,YES
1.2676,NO
0.1728,NO
0.1728,NO
0.1728,NO
0.2416,NO
1.6222,YES
0.2416,NO
1.6222,YES
0.2416,NO
1.6222,YES
1.2676,NO
1.2676,NO
1.2676,NO
1.2676,NO
5.1486,YES
1.2676,NO
5.1486,YES
0.0709,NO
0.0732,NO
5.2377,YES
1.4461,YES
1.4461,YES
5.2377,YES
0.0664,NO
0.0556,NO
5.2377,YES
0.7586,NO
5.2377,YES
0.7586,NO
0.7769,NO
0.7769,NO
0.7769,NO
0.1047,NO
1.4461,YES
0.1016,NO
1.4461,YES
0.0639,NO
1.4461,YES
0.7586,NO
0.7586,NO
0.7586,NO
0.7586,NO
5.2377,YES
0.7586,NO
5.2377,YES
0.3168,NO
0.3168,NO
1.2837,YES
3.9484,YES
3.9484,YES
1.2837,YES
0.3168,NO
0.3168,NO
1.2837,YES
1.3168,NO
1.2837,YES
1.3168,NO
0.9737,NO
0.9737,NO
0.9737,NO
0.3168,NO
3.9484,YES
0.3168,NO
3.9484,YES
0.3168,NO
3.9484,YES
1.3168,NO
1.3168,NO
1.3168,NO
1.3168,NO
1.2837,YES
1.3168,NO
1.2837,YES
0.2035,NO
0.2035,NO
3.5827,YES
4.1537,YES
4.1537,YES
3.5827,YES
0.2035,NO
0.2035,NO
3.5827,YES
1.1443,NO
3.5827,YES
1.1443,NO
0.1448,NO
0.1397,NO
0.1397,NO
0.2035,NO
4.1537,YES
0.2035,NO
4.1537,YES
0.2035,NO
4.1537,YES
1.1443,NO
1.1443,NO
1.1443,NO
1.1443,NO
3.5827,YES
1.1443,NO
3.5827,YES
0.7508,NO
0.7508,NO
2.2232,NO
1.3995,NO
1.3995,NO
2.2232,NO
0.7508,NO
0.7508,NO
2.2232,NO
0.6615,NO
2.2232,NO
0.6615,NO
1.932,YES
1.932,YES
1.932,YES
0.7508,NO
1.3995,NO
0.7508,NO
1.3995,NO
0.7508,NO
1.3995,NO
0.6615,NO
0.6615,NO
0.6615,NO
0.6615,NO
2.2232,NO
0.6615,NO
2.2232,NO
1.7983,YES
1.7983,YES
0.8499,NO
0.777,NO
0.777,NO
0.8499,NO
1.7983,YES
1.7983,YES
0.8499,NO
0.6442,NO
0.8499,NO
0.6442,NO
0.6207,NO
0.6207,NO
0.6207,NO
1.7983,YES
0.777,NO
1.7983,YES
0.777,NO
1.7983,YES
0.777,NO
0.6442,NO
0.6442,NO
0.6442,NO
0.6442,NO
0.8499,NO
0.6442,NO
0.8499,NO
0.1505,NO
0.1505,NO
2.8861,YES
4.4838,YES
4.4838,YES
2.8861,YES
0.1505,NO
0.1505,NO
2.8861,YES
0.3505,NO
2.8861,YES
0.3505,NO
0.7946,NO
0.7946,NO
0.7946,NO
0.1505,NO
4.4838,YES
0.1505,NO
4.4838,YES
0.1505,NO
4.4838,YES
0.3505,NO
0.3505,NO
0.3505,NO
0.3505,NO
2.8861,YES
0.3505,NO
2.8861,YES
2.29,YES
2.29,YES
1.5187,NO
0.8183,NO
0.8183,NO
1.5187,NO
2.29,YES
2.29,YES
1.5187,NO
0.6444,NO
1.5187,NO
0.6444,NO
0.6813,NO
0.6813,NO
0.6813,NO
2.29,YES
0.8183,NO
2.29,YES
0.8183,NO
2.29,YES
0.8183,NO
0.6444,NO
0.6444,NO
0.6444,NO
0.6444,NO
1.5187,NO
0.6444,NO
1.5187,NO
0.6927,NO
0.6927,NO
0.6484,NO
0.973,NO
0.973,NO
0.6484,NO
0.6927,NO
0.6927,NO
0.6484,NO
2.0839,YES
0.6484,NO
2.0839,YES
1.1076,NO
1.1076,NO
1.1076,NO
0.6927,NO
0.973,NO
0.6927,NO
0.973,NO
0.6927,NO
0.973,NO
2.0839,YES
2.0839,YES
2.0839,YES
2.0839,YES
0.6484,NO
2.0839,YES
0.6484,NO
2.315,YES
2.315,YES
0.8618,NO
0.7762,NO
0.7762,NO
0.8618,NO
2.315,YES
2.315,YES
0.8618,NO
0.5181,NO
0.8618,NO
0.5181,NO
0.5206,NO
0.5206,NO
0.5206,NO
2.315,YES
0.7762,NO
2.315,YES
0.7762,NO
2.315,YES
0.7762,NO
0.5181,NO
0.5181,NO
0.5181,NO
0.5181,NO
0.8618,NO
0.5181,NO
0.8618,NO
0.9487,NO
0.9487,NO
1.4704,NO
0.6329,NO
0.6329,NO
1.4704,NO
0.9487,NO
0.9487,NO
1.4704,NO
1.6828,YES
1.4704,NO
1.6828,YES
0.7956,NO
0.7956,NO
0.7956,NO
0.9487,NO
0.6329,NO
0.9487,NO
0.6329,NO
0.9487,NO
0.6329,NO
1.6828,YES
1.6828,YES
1.6828,YES
1.6828,YES
1.4704,NO
1.6828,YES
1.4704,NO
