UPPERTRACED_SUM_SINGLE_VSM_MEDIAN.csv,Associated
1.21385,YES
0.5699,NO
0.40055,NO
0.35819999999999996,NO
0.5753,NO
0.93955,NO
0.6785000000000001,NO
0.71375,NO
0.6451,NO
0.26084999999999997,NO
0.5169,NO
1.64985,YES
0.6960000000000001,NO
1.26905,YES
0.3335,NO
0.50235,NO
0.27144999999999997,NO
0.32949999999999996,NO
0.98255,NO
0.30235,NO
0.6056,NO
0.36110000000000003,NO
0.6958500000000001,NO
1.6616,YES
1.71375,YES
1.65275,YES
1.3836,YES
0.5916,NO
1.18035,YES
0.5419999999999999,NO
0.36495,NO
0.35545,NO
0.5316500000000001,NO
0.96675,NO
0.6475000000000001,NO
0.66535,NO
0.59115,NO
0.22725,NO
0.5004,NO
1.69075,YES
0.63495,NO
1.2822500000000001,YES
0.3268,NO
0.5027,NO
0.27335,NO
0.34704999999999997,NO
0.96355,NO
0.3178,NO
0.594,NO
0.3506,NO
0.70175,NO
1.6283,YES
1.7042,YES
1.6698,YES
1.3127,YES
0.55005,NO
1.1366,YES
0.5331,NO
0.60875,NO
0.86205,NO
2.42475,YES
0.72535,YES
0.9474,YES
2.9202,YES
1.23595,NO
0.44155,NO
2.7571,YES
0.296,NO
3.0107,YES
0.4238,NO
1.2490999999999999,NO
0.8891,NO
0.86375,NO
0.44765,NO
1.5986,YES
0.3691,NO
2.03945,YES
1.1138,NO
1.2299,YES
0.95895,NO
0.7626000000000001,NO
2.04935,NO
1.2123000000000002,NO
2.82405,YES
2.1339,NO
2.6486,YES
0.3056,NO
0.3912,NO
0.61565,YES
0.23055,NO
0.268,NO
1.1333,YES
0.4851,NO
0.18580000000000002,NO
1.25875,YES
0.2028,NO
0.9966499999999999,YES
0.2259,NO
0.5868500000000001,NO
0.5559499999999999,NO
0.42569999999999997,NO
0.20885,NO
0.6344000000000001,NO
0.14140000000000003,NO
0.60975,NO
0.2286,NO
0.45245,NO
0.3497,NO
0.33089999999999997,NO
0.6544,NO
0.4476,NO
0.98075,YES
0.75915,NO
0.9882500000000001,YES
0.287,NO
0.33975,NO
0.6848000000000001,YES
1.9183999999999999,YES
1.9635,YES
0.8624,YES
0.517,NO
0.11599999999999999,NO
0.8114500000000001,YES
0.4573,NO
0.9021,YES
0.3512,NO
0.37339999999999995,NO
0.51725,NO
0.5754,NO
0.19940000000000002,NO
2.2629,YES
0.18050000000000002,NO
2.0942499999999997,YES
0.50985,NO
1.81025,YES
0.63345,NO
0.7665000000000001,NO
0.9114,NO
0.46145,NO
0.8211999999999999,YES
0.70465,NO
0.7435999999999999,YES
0.21839999999999998,NO
0.3702,NO
0.8549500000000001,YES
0.17375000000000002,NO
0.28125,NO
0.88155,YES
0.34705,NO
0.20629999999999998,NO
1.07755,YES
0.1019,NO
1.2232,YES
0.15075,NO
0.58515,NO
0.2552,NO
0.36145,NO
0.12409999999999999,NO
0.4272,NO
0.1191,NO
0.7551000000000001,NO
0.19895,NO
0.4286,NO
0.36445,NO
0.2308,NO
0.7750999999999999,NO
0.47250000000000003,NO
0.8482000000000001,YES
0.7536,NO
1.09905,YES
0.27044999999999997,NO
0.33075,NO
0.58825,YES
1.8770499999999999,YES
1.91445,YES
0.77805,YES
0.4748,NO
0.0972,NO
0.7317000000000001,YES
0.39849999999999997,NO
0.7934000000000001,YES
0.34615,NO
0.34065,NO
0.50085,NO
0.5622499999999999,NO
0.2082,NO
2.25575,YES
0.18910000000000002,NO
2.0359,YES
0.516,NO
1.7752,YES
0.5210999999999999,NO
0.69665,NO
0.7995500000000001,NO
0.4212,NO
0.7333,YES
0.6256,NO
0.67645,YES
1.16815,YES
0.5704,YES
0.50495,NO
0.14484999999999998,NO
0.10844999999999999,NO
0.12205,NO
0.8542500000000001,YES
1.1652500000000001,YES
0.08549999999999999,NO
0.07055,NO
0.1301,NO
0.11655,NO
0.1307,NO
0.2529,NO
0.2467,NO
0.7821,YES
0.10695,NO
1.22805,YES
0.0568,NO
1.56365,YES
0.0561,NO
0.17765,NO
0.1955,NO
0.10455,NO
0.14145,NO
0.25545,NO
0.1431,NO
0.1261,NO
0.5972500000000001,NO
0.8731,NO
2.3234,YES
0.7115,YES
0.92615,YES
2.93615,YES
1.1675000000000002,NO
0.42214999999999997,NO
2.8666,YES
0.2942,NO
3.0347999999999997,YES
0.4091,NO
1.2946499999999999,NO
0.9076500000000001,NO
0.89125,NO
0.44455,NO
1.6053,YES
0.364,NO
2.0711,YES
1.0484,NO
1.2623,YES
0.96305,NO
0.7697,NO
2.04925,NO
1.2111500000000002,NO
2.8024,YES
2.1391500000000003,NO
2.7261,YES
0.6142,NO
0.8632,NO
2.38385,YES
0.7645000000000001,YES
0.9863999999999999,YES
2.9012,YES
1.2337,NO
0.44655,NO
2.7455499999999997,YES
0.3416,NO
2.99235,YES
0.42525,NO
1.2564,NO
0.90245,NO
0.8772500000000001,NO
0.44995,NO
1.6249500000000001,YES
0.36944999999999995,NO
2.03435,YES
1.10575,NO
1.24255,YES
1.0021,NO
0.8149,NO
2.0483,NO
1.2184000000000001,NO
2.80605,YES
2.12515,NO
2.6514,YES
0.6224000000000001,NO
0.89445,NO
2.433,YES
0.73495,YES
0.98585,YES
2.9427,YES
1.2376,NO
0.4694,NO
2.7624,YES
0.3024,NO
3.0413,YES
0.42195,NO
1.2167,NO
0.8574,NO
0.8215,NO
0.50425,NO
1.6330500000000001,YES
0.4241,NO
2.0921,YES
1.096,NO
1.28955,YES
0.9831,NO
0.78765,NO
2.07905,NO
1.23805,NO
2.8267,YES
2.17105,NO
2.67355,YES
0.59075,NO
0.8761,NO
2.3247,YES
0.70835,YES
0.9193,YES
2.9249,YES
1.1573,NO
0.41609999999999997,NO
2.85525,YES
0.29745,NO
3.02645,YES
0.41485,NO
1.2854999999999999,NO
0.8774500000000001,NO
0.8649,NO
0.4549,NO
1.6005,YES
0.37615,NO
2.0743,YES
1.0393,NO
1.2712,YES
0.9592499999999999,NO
0.76325,NO
2.05485,NO
1.2070500000000002,NO
2.8051,YES
2.1265500000000004,NO
2.7577000000000003,YES
0.30465,NO
0.3668,NO
0.61245,YES
1.9569999999999999,YES
1.98445,YES
0.8288500000000001,YES
0.50235,NO
0.12,NO
0.7733500000000001,YES
0.43945,NO
0.8280000000000001,YES
0.36735,NO
0.37955,NO
0.5507500000000001,NO
0.59915,NO
0.2615,NO
2.2864500000000003,YES
0.24080000000000001,NO
2.0965,YES
0.52405,NO
1.8472499999999998,YES
0.5739,NO
0.7416,NO
0.8452000000000001,NO
0.4546,NO
0.7757,YES
0.666,NO
0.70495,YES
0.30715,NO
0.37305,NO
0.68805,YES
1.94295,YES
2.0331,YES
0.8814,YES
0.5044,NO
0.1319,NO
0.8173500000000001,YES
0.4327,NO
0.9236500000000001,YES
0.36355,NO
0.32755,NO
0.466,NO
0.5081,NO
0.26785000000000003,NO
2.3200000000000003,YES
0.247,NO
2.24565,YES
0.49324999999999997,NO
1.9443,YES
0.5974499999999999,NO
0.734,NO
0.9139,NO
0.4711,NO
0.82365,YES
0.7216,NO
0.7618499999999999,YES
0.2842,NO
0.33765,NO
0.30705000000000005,NO
0.41025,NO
0.213,NO
0.36565000000000003,NO
0.45714999999999995,NO
0.12159999999999999,NO
0.75125,NO
0.20465,NO
0.3047,NO
0.2535,NO
1.17205,YES
1.1513,YES
1.19565,YES
0.1296,NO
0.43210000000000004,NO
0.1251,NO
0.20584999999999998,NO
0.4476,NO
0.18835000000000002,NO
0.1306,NO
0.27755,NO
0.26415,NO
0.24655,NO
0.33235,NO
0.2367,NO
0.7558999999999999,NO
1.0789,YES
0.6908,YES
0.46085,NO
0.1501,NO
0.07619999999999999,NO
0.0779,NO
0.89905,YES
1.04305,YES
0.06369999999999999,NO
0.1086,NO
0.0809,NO
0.17225000000000001,NO
0.1072,NO
0.2481,NO
0.2525,NO
0.89365,YES
0.0893,NO
1.1978499999999999,YES
0.0606,NO
1.60115,YES
0.0811,NO
0.18480000000000002,NO
0.17005,NO
0.1093,NO
0.12919999999999998,NO
0.21695,NO
0.10915,NO
0.121,NO
0.26789999999999997,NO
0.3281,NO
0.6212000000000001,YES
1.923,YES
1.9958500000000001,YES
0.81645,YES
0.48024999999999995,NO
0.09924999999999999,NO
0.7714500000000001,YES
0.39635,NO
0.8411500000000001,YES
0.34625,NO
0.354,NO
0.5005000000000001,NO
0.56325,NO
0.18680000000000002,NO
2.2793,YES
0.1683,NO
2.13605,YES
0.5006,NO
1.85595,YES
0.5348999999999999,NO
0.6803,NO
0.8260500000000001,NO
0.42235,NO
0.7676499999999999,YES
0.6471,NO
0.70055,YES
1.18985,YES
0.5595,YES
0.4969,NO
0.1452,NO
0.0808,NO
0.10025,NO
0.84755,YES
1.1898,YES
0.07085,NO
0.08349999999999999,NO
0.10275,NO
0.13595000000000002,NO
0.11120000000000001,NO
0.24155,NO
0.2404,NO
0.7968,YES
0.09775,NO
1.2691999999999999,YES
0.05865,NO
1.58475,YES
0.0566,NO
0.1577,NO
0.18715,NO
0.1049,NO
0.1181,NO
0.2426,NO
0.1245,NO
0.11695,NO
0.3905,NO
0.35269999999999996,NO
0.5272,NO
0.93085,NO
0.6232000000000001,NO
0.6839000000000001,NO
0.6007499999999999,NO
0.24409999999999998,NO
0.5254,NO
1.57685,YES
0.64685,NO
1.26305,YES
0.34140000000000004,NO
0.5318,NO
0.2963,NO
0.37529999999999997,NO
0.9609500000000001,NO
0.35950000000000004,NO
0.6119,NO
0.3691,NO
0.7018,NO
1.52105,YES
1.60525,YES
1.59185,YES
1.3461999999999998,YES
0.5502,NO
1.1287,YES
0.5431,NO
1.1975500000000001,YES
0.5707,YES
0.4644,NO
0.14665,NO
0.068,NO
0.08065,NO
0.81715,YES
1.2055500000000001,YES
0.06265,NO
0.0866,NO
0.0865,NO
0.1378,NO
0.10740000000000001,NO
0.2465,NO
0.24755,NO
0.80295,YES
0.08585000000000001,NO
1.29665,YES
0.06025,NO
1.59325,YES
0.06825,NO
0.15050000000000002,NO
0.17200000000000001,NO
0.1053,NO
0.11585,NO
0.21795,NO
0.1083,NO
0.11475,NO
0.3997,NO
0.3504,NO
0.5518500000000001,NO
0.91135,NO
0.6274000000000001,NO
0.6998500000000001,NO
0.63735,NO
0.25555,NO
0.517,NO
1.56125,YES
0.6716,NO
1.3058,YES
0.3428,NO
0.51955,NO
0.2799,NO
0.34495,NO
0.9604,NO
0.3197,NO
0.586,NO
0.3798,NO
0.66605,NO
1.5083,YES
1.59155,YES
1.5746499999999999,YES
1.3863999999999999,YES
0.57815,NO
1.13775,YES
0.5362,NO
