LOWERTRACED_RFUNDER_MULTI_LSA_MAX.csv,Associated
0.6464646464646465,YES
0.686868686868687,YES
0.2237,NO
0.1065,NO
0.686868686868687,YES
0.4343434343434344,NO
0.686868686868687,YES
0.4343434343434344,NO
0.2131,NO
0.1496,NO
0.1474,NO
0.0902,NO
0.6464646464646465,YES
0.0875,NO
0.6464646464646465,YES
0.2129,NO
0.6464646464646465,YES
0.4343434343434344,NO
0.4343434343434344,NO
0.4343434343434344,NO
0.4343434343434344,NO
0.686868686868687,YES
0.4343434343434344,NO
0.686868686868687,YES
0.1799,NO
0.1547,NO
0.4141414141414141,YES
0.2156,NO
0.1535,NO
0.4159,YES
0.1827,NO
0.1097,NO
0.5448,YES
0.191,NO
0.4381,YES
0.1528,NO
0.3264,NO
0.3203,NO
0.2648,NO
0.171,NO
0.21899999999999997,NO
0.1398,NO
0.3673,NO
0.1451,NO
0.2637,NO
0.1991,NO
0.1784,NO
0.3767,NO
0.1917,NO
0.4141414141414141,YES
0.3359,NO
0.4141414141414141,YES
0.5252525252525253,NO
0.5252525252525253,NO
1.0,YES
0.2794,YES
0.2232,YES
1.0,YES
0.5252525252525253,NO
0.5252525252525253,NO
1.0,YES
0.2328,NO
1.0,YES
0.1095,NO
0.2365,NO
0.2061,NO
0.2048,NO
0.5252525252525253,NO
0.1795,YES
0.5252525252525253,NO
0.27,YES
0.5252525252525253,NO
0.1913,YES
0.2397,NO
0.2111,NO
0.2935,NO
0.1155,NO
1.0,YES
0.1959,NO
1.0,YES
0.20202020202020204,NO
0.20202020202020204,NO
0.3881,YES
0.1762,NO
0.1649,NO
0.4197,YES
0.20202020202020204,NO
0.20202020202020204,NO
0.4738,YES
0.159,NO
0.493,YES
0.1456,NO
0.2244,NO
0.1542,NO
0.1277,NO
0.20202020202020204,NO
0.2106,NO
0.20202020202020204,NO
0.3557,NO
0.20202020202020204,NO
0.2663,NO
0.2218,NO
0.1764,NO
0.3901,NO
0.21600000000000003,NO
0.402,YES
0.3584,NO
0.3239,YES
0.12121212121212123,NO
0.12121212121212123,NO
0.0544,YES
0.1967,YES
0.19191919191919196,YES
0.0526,YES
0.12121212121212123,NO
0.12121212121212123,NO
0.1204,YES
0.1152,NO
0.0434,YES
0.0994,NO
0.171,NO
0.1733,NO
0.1785,NO
0.12121212121212123,NO
0.19191919191919196,YES
0.12121212121212123,NO
0.19191919191919196,YES
0.1347,NO
0.19191919191919196,YES
0.015,NO
0.0714,NO
0.0698,NO
0.035,NO
0.0672,YES
0.0378,NO
0.0637,YES
0.3024,YES
0.21212121212121213,YES
0.5050505050505051,NO
0.8484848484848485,NO
0.8484848484848485,NO
0.5050505050505051,NO
0.2394,YES
0.3693,YES
0.5050505050505051,NO
0.0758,NO
0.5050505050505051,NO
0.067,NO
0.2131,NO
0.16,NO
0.1446,NO
0.21212121212121213,YES
0.8484848484848485,NO
0.2419,YES
0.8484848484848485,NO
0.2985,YES
0.8484848484848485,NO
0.102,NO
0.0927,NO
0.1259,NO
0.1193,NO
0.5050505050505051,NO
0.15,NO
0.5050505050505051,NO
0.09090909090909093,NO
0.09090909090909093,NO
0.5858585858585859,YES
0.1154,YES
0.0802,YES
0.5858585858585859,YES
0.09090909090909093,NO
0.09090909090909093,NO
0.5858585858585859,YES
0.0938,NO
0.5858585858585859,YES
0.0765,NO
0.3042,NO
0.1867,NO
0.2024,NO
0.09090909090909093,NO
0.1127,YES
0.09090909090909093,NO
0.3002,YES
0.09090909090909093,NO
0.1969,YES
0.1353,NO
0.0942,NO
0.3023,NO
0.1177,NO
0.5858585858585859,YES
0.2621,NO
0.5858585858585859,YES
0.1178,NO
0.0474,NO
0.7676767676767677,YES
0.9191919191919192,YES
0.9191919191919192,YES
0.7676767676767677,YES
0.2192,NO
0.1165,NO
0.7676767676767677,YES
0.1886,NO
0.7676767676767677,YES
0.1088,NO
0.2277,NO
0.1763,NO
0.1744,NO
0.0948,NO
0.9191919191919192,YES
0.0882,NO
0.9191919191919192,YES
0.1968,NO
0.9191919191919192,YES
0.2134,NO
0.1846,NO
0.3004,NO
0.1322,NO
0.7676767676767677,YES
0.2341,NO
0.7676767676767677,YES
0.1342,NO
0.1099,NO
0.526,YES
0.1623,YES
0.1996,YES
0.3297,YES
0.22699999999999998,NO
0.1622,NO
0.3372,YES
0.30303030303030304,NO
0.3901,YES
0.30303030303030304,NO
0.1483,NO
0.0862,NO
0.0629,NO
0.2034,NO
0.1682,YES
0.1975,NO
0.3422,YES
0.1773,NO
0.2514,YES
0.30303030303030304,NO
0.30303030303030304,NO
0.3619,NO
0.30303030303030304,NO
0.3452,YES
0.3259,NO
0.258,YES
0.0709,NO
0.0732,NO
0.3094,YES
0.1091,YES
0.07070707070707072,YES
0.2941,YES
0.07070707070707072,NO
0.07070707070707072,NO
0.5229,YES
0.7171717171717171,NO
0.3604,YES
0.7171717171717171,NO
0.2859,NO
0.1263,NO
0.1497,NO
0.1047,NO
0.1031,YES
0.1016,NO
0.3066,YES
0.07070707070707072,NO
0.2147,YES
0.7171717171717171,NO
0.7171717171717171,NO
0.7171717171717171,NO
0.7171717171717171,NO
0.302,YES
0.7171717171717171,NO
0.4263,YES
0.2929292929292929,NO
0.2929292929292929,NO
0.1028,YES
0.3566,YES
0.2651,YES
0.1542,YES
0.2929292929292929,NO
0.2929292929292929,NO
0.2037,YES
0.1971,NO
0.1126,YES
0.1418,NO
0.2488,NO
0.2731,NO
0.2523,NO
0.2929292929292929,NO
0.2266,YES
0.2929292929292929,NO
0.2745,YES
0.2929292929292929,NO
0.2653,YES
0.1206,NO
0.1613,NO
0.1611,NO
0.1018,NO
0.152,YES
0.1186,NO
0.1207,YES
0.1201,NO
0.10300000000000001,NO
0.254,YES
0.3285,YES
0.3624,YES
0.2593,YES
0.0981,NO
0.0792,NO
0.2917,YES
0.1836,NO
0.3039,YES
0.1342,NO
0.1448,NO
0.1036,NO
0.0702,NO
0.1825,NO
0.2937,YES
0.1772,NO
0.5728,YES
0.0892,NO
0.4594,YES
0.1677,NO
0.1461,NO
0.2985,NO
0.1348,NO
0.2479,YES
0.2298,NO
0.2345,YES
0.23232323232323235,NO
0.23232323232323235,NO
0.1381,NO
0.2108,NO
0.0676,NO
0.0957,NO
0.23232323232323235,NO
0.23232323232323235,NO
0.2592,NO
0.1291,NO
0.0785,NO
0.1052,NO
0.4225,YES
0.3368,YES
0.3938,YES
0.23232323232323235,NO
0.0711,NO
0.23232323232323235,NO
0.0531,NO
0.23232323232323235,NO
0.077,NO
0.0463,NO
0.0745,NO
0.1014,NO
0.0541,NO
0.1685,NO
0.0541,NO
0.2105,NO
0.1239,YES
0.289,YES
0.2752,NO
0.1653,NO
0.0814,NO
0.0623,NO
0.32899999999999996,YES
0.1249,YES
0.0968,NO
0.1519,NO
0.0533,NO
0.1784,NO
0.1661,NO
0.1504,NO
0.1562,NO
0.3075,YES
0.0597,NO
0.1815,YES
0.040404040404040414,NO
0.3735,YES
0.0877,NO
0.1163,NO
0.0418,NO
0.1354,NO
0.0948,NO
0.1407,NO
0.0821,NO
0.0894,NO
0.0416,NO
0.0131,NO
0.7070707070707071,YES
0.2886,YES
0.2879,YES
0.7070707070707071,YES
0.0498,NO
0.0139,NO
0.7070707070707071,YES
0.1109,NO
0.7070707070707071,YES
0.0996,NO
0.1977,NO
0.1726,NO
0.1805,NO
0.0204,NO
0.2123,YES
0.0198,NO
0.3536,YES
0.1039,NO
0.2827,YES
0.0426,NO
0.0387,NO
0.1228,NO
0.0373,NO
0.7070707070707071,YES
0.0808,NO
0.7070707070707071,YES
0.3458,YES
0.2828282828282829,YES
0.5454545454545455,NO
0.5050505050505051,NO
0.5050505050505051,NO
0.5454545454545455,NO
0.2828282828282829,YES
0.4184,YES
0.5454545454545455,NO
0.1017,NO
0.5454545454545455,NO
0.1058,NO
0.1741,NO
0.1373,NO
0.132,NO
0.2828282828282829,YES
0.5050505050505051,NO
0.3242,YES
0.5050505050505051,NO
0.3407,YES
0.5050505050505051,NO
0.0621,NO
0.076,NO
0.1266,NO
0.0726,NO
0.5454545454545455,NO
0.1128,NO
0.5454545454545455,NO
0.1238,NO
0.0659,NO
0.0991,NO
0.2168,NO
0.0941,NO
0.1226,NO
0.0797,NO
0.0869,NO
0.1921,NO
0.2119,YES
0.0845,NO
0.1963,YES
0.24100000000000002,NO
0.263,NO
0.2504,NO
0.1414,NO
0.0983,NO
0.1658,NO
0.1333,NO
0.2072,NO
0.1519,NO
0.1227,YES
0.1324,YES
0.1581,YES
0.1927,YES
0.1378,NO
0.09699999999999999,YES
0.11900000000000001,NO
0.3612,YES
0.05050505050505051,YES
0.2823,NO
0.1584,NO
0.065,NO
0.0678,NO
0.1652,YES
0.4499,YES
0.0947,NO
0.1079,NO
0.0645,NO
0.1095,NO
0.1665,NO
0.1472,NO
0.1463,NO
0.1261,YES
0.0528,NO
0.3791,YES
0.0329,NO
0.3577,YES
0.062,NO
0.10101010101010102,NO
0.10101010101010102,NO
0.1274,NO
0.10101010101010102,NO
0.1427,NO
0.10101010101010102,NO
0.0769,NO
0.1422,NO
0.0613,NO
0.5757575757575757,NO
0.8888888888888891,NO
0.8888888888888891,NO
0.5757575757575757,NO
0.1529,NO
0.1098,NO
0.5757575757575757,NO
0.1807,YES
0.5757575757575757,NO
0.2818,YES
0.2438,NO
0.2385,NO
0.2176,NO
0.0807,NO
0.8888888888888891,NO
0.0862,NO
0.8888888888888891,NO
0.2286,NO
0.8888888888888891,NO
0.0972,YES
0.105,YES
0.1237,YES
0.2731,YES
0.5757575757575757,NO
0.1151,YES
0.5757575757575757,NO
