NONETRACED_SUM_RAW_VSM_MAX.csv,Associated
0.5984,NO
0.7444,YES
0.3835,NO
0.6382,NO
0.7638,NO
0.2893,NO
0.392,NO
0.8685,YES
0.40299999999999997,NO
0.9740000000000001,YES
0.3484,NO
0.8657,YES
0.5595,NO
0.8137,NO
0.8726,NO
0.4311,NO
0.8563,YES
0.8348,NO
0.7051,YES
0.5456,NO
0.2041,NO
0.5393,NO
0.583,NO
0.434,NO
0.6687,NO
0.5342,NO
0.2421,NO
0.7246,NO
0.4195,NO
0.4727,NO
0.2935,NO
0.6299,YES
0.6743,YES
0.3938,YES
0.2988,NO
0.5562,NO
0.3263,NO
0.5166,NO
0.3321,NO
0.4853,NO
0.3529,NO
0.5604,NO
0.5348,NO
0.3093,NO
0.5829,NO
0.5351,NO
0.5537,NO
0.4692,YES
0.289,YES
0.426,NO
0.4504,NO
0.3272,NO
0.4778,NO
0.4688,YES
0.2305,YES
0.44799999999999995,NO
0.3504,NO
0.3225,NO
0.2375,NO
0.3886,NO
0.4756,NO
0.2065,NO
0.34299999999999997,YES
0.4204,NO
0.3461,YES
0.3789,NO
0.3735,YES
0.3776,NO
0.2997,NO
0.4536,NO
0.4131,NO
0.2419,NO
0.4316,NO
0.4093,NO
0.3526,NO
0.6769,NO
0.2512,NO
0.7634,YES
0.91,YES
0.7408,YES
0.9433,YES
0.6801,NO
0.2751,NO
0.9232,YES
0.5637,NO
0.6862,YES
0.3773,NO
0.6913,NO
0.8079,NO
0.361,NO
0.3899,NO
0.8678,YES
0.40299999999999997,NO
0.9332,YES
0.3802,NO
0.8474,YES
0.5036,NO
0.775,NO
0.7908,NO
0.4103,NO
0.8225,YES
0.7729,NO
0.6933,YES
0.7014,YES
0.1825,YES
0.5429999999999999,NO
0.5293,NO
0.3889,NO
0.6106,NO
0.5267,YES
0.4184,YES
0.5666,NO
0.4051,NO
0.4211,NO
0.2799,NO
0.4801,NO
0.5804,NO
0.2523,NO
0.3517,YES
0.5047,NO
0.5365,YES
0.4556,NO
0.4484,YES
0.4398,NO
0.3437,NO
0.5386,NO
0.5026,NO
0.2893,NO
0.5564,NO
0.5075,NO
0.445,NO
0.5442,NO
0.1904,NO
0.5157,NO
0.5868,NO
0.4361,NO
0.6285,NO
0.5123,NO
0.2505,NO
0.6081,NO
0.5132,YES
0.4364,NO
0.3353,YES
0.5009,NO
0.5972,NO
0.266,NO
0.325,NO
0.5525,NO
0.3652,NO
0.5144,NO
0.3164,NO
0.5024,NO
0.4318,YES
0.64,YES
0.5836,YES
0.3369,YES
0.5496,NO
0.5474,YES
0.4693,NO
0.6416,YES
0.1552,YES
0.44299999999999995,NO
0.4564,NO
0.3324,NO
0.4832,NO
0.4519,YES
0.4499,YES
0.4369,NO
0.3469,NO
0.3222,NO
0.2397,NO
0.3913,NO
0.4918,NO
0.2089,NO
0.3185,YES
0.4293,NO
0.5118,YES
0.37,NO
0.4134,YES
0.3755,NO
0.2821,NO
0.4558,NO
0.39899999999999997,NO
0.2381,NO
0.4478,NO
0.406,NO
0.3484,NO
0.6267,NO
0.2136,NO
0.5992,NO
0.6347,NO
0.4692,NO
0.7324,NO
0.5848,NO
0.298,NO
0.6968,NO
0.551,YES
0.5088,NO
0.3756,YES
0.5628,NO
0.6655,NO
0.2929,NO
0.3691,NO
0.6032,NO
0.4214,NO
0.5575,NO
0.3831,NO
0.5405,NO
0.4708,YES
0.6931,YES
0.6488,YES
0.3851,YES
0.6457,NO
0.6221,YES
0.5339,NO
