LOWERTRACED_SUM_RAW_VSM_MEDIAN.csv,Associated
0.29765,NO
0.84935,YES
0.33925,NO
0.29865,NO
0.6727,NO
0.5448500000000001,NO
0.5146,NO
0.6589999999999999,NO
0.34625,NO
0.32330000000000003,NO
0.6468499999999999,NO
1.04485,YES
0.6527999999999999,NO
0.98865,YES
0.2822,NO
0.27065,NO
0.2673,NO
0.28905000000000003,NO
0.4892,NO
0.2894,NO
0.46985,NO
0.363,NO
0.4804,NO
1.0383,YES
1.0240500000000001,YES
0.9830000000000001,YES
0.9881500000000001,YES
0.6852499999999999,NO
0.9311,YES
0.6229,NO
0.20315,NO
0.1926,NO
0.5343,YES
0.86975,YES
0.81395,YES
0.5474,YES
0.19815,NO
0.1841,NO
0.58425,YES
0.5678,NO
0.53385,YES
0.51085,NO
0.29975,NO
0.3157,NO
0.3059,NO
0.22655000000000003,NO
0.79965,YES
0.2244,NO
0.81855,YES
0.2249,NO
0.81515,YES
0.54035,NO
0.5482,NO
0.5493,NO
0.4895,NO
0.5539000000000001,YES
0.4937,NO
0.54715,YES
0.3324,NO
0.2989,NO
0.8145,NO
0.48214999999999997,NO
0.4645,NO
0.7953,NO
0.3443,NO
0.33845,NO
0.7954,NO
0.64605,YES
0.7977,NO
0.6689499999999999,YES
0.3603,NO
0.33615,NO
0.336,NO
0.2883,NO
0.43965,NO
0.28964999999999996,NO
0.44279999999999997,NO
0.37445,NO
0.4366,NO
0.64055,YES
0.61885,YES
0.6416499999999999,YES
0.702,YES
0.8157,NO
0.62945,YES
0.762,NO
0.18594999999999998,NO
0.20544999999999997,NO
0.8025,NO
0.47454999999999997,NO
0.44799999999999995,NO
0.79445,NO
0.20544999999999997,NO
0.18685,NO
0.8004,NO
0.94025,YES
0.8077,NO
0.85565,YES
0.1254,NO
0.09559999999999999,NO
0.0912,NO
0.2405,NO
0.44255,NO
0.22125,NO
0.5312,NO
0.20394999999999996,NO
0.51715,NO
0.97095,YES
0.9336500000000001,YES
1.0159,YES
0.858,YES
0.787,NO
0.9025000000000001,YES
0.7768,NO
0.31465,NO
0.28115,NO
0.7313500000000001,NO
0.5408000000000001,NO
0.52605,NO
0.72485,NO
0.32689999999999997,NO
0.3029,NO
0.7212500000000001,NO
0.96925,YES
0.7251000000000001,NO
0.89445,YES
0.31855,NO
0.308,NO
0.3063,NO
0.2676,NO
0.49445,NO
0.26845,NO
0.48405000000000004,NO
0.3383,NO
0.4937,NO
0.9922,YES
0.965,YES
0.93025,YES
0.92405,YES
0.744,NO
0.89045,YES
0.6921,NO
0.23675,NO
0.2361,NO
0.45799999999999996,NO
0.55825,NO
0.48529999999999995,NO
0.44675,NO
0.23065,NO
0.22699999999999998,NO
0.47505,NO
0.99495,YES
0.43434999999999996,NO
0.89245,YES
0.29835,NO
0.29485,NO
0.2947,NO
0.24285,NO
0.4657,NO
0.24159999999999998,NO
0.4627,NO
0.2855,NO
0.48985,NO
0.9437,YES
0.94025,YES
0.9321,YES
0.83795,YES
0.47275,NO
0.8315,YES
0.45349999999999996,NO
0.28605,NO
0.25515,NO
1.36195,YES
0.5395,YES
0.5293,YES
1.24955,YES
0.34445000000000003,NO
0.28585,NO
1.2705,YES
0.3719,NO
1.27165,YES
0.37615,NO
0.3084,NO
0.27665,NO
0.27555,NO
0.2777,NO
0.5176,YES
0.27635,NO
0.5864,YES
0.33905,NO
0.534,YES
0.38675,NO
0.36319999999999997,NO
0.47445,NO
0.3832,NO
1.27715,YES
0.44899999999999995,NO
1.21125,YES
0.19540000000000002,NO
0.18280000000000002,NO
1.4510500000000002,YES
0.6191,NO
0.58805,NO
1.4792500000000002,YES
0.1968,NO
0.1603,NO
1.5437,YES
0.39890000000000003,NO
1.49035,YES
0.3798,NO
0.40915,NO
0.4061,NO
0.37834999999999996,NO
0.19095,NO
0.6208,NO
0.17535,NO
0.69495,NO
0.178,NO
0.64315,NO
0.40295000000000003,NO
0.3926,NO
0.49175,NO
0.39925,NO
1.461,YES
0.47135,NO
1.415,YES
0.2763,NO
0.2546,NO
1.25545,YES
0.9371,YES
0.909,YES
1.2423499999999998,YES
0.29805,NO
0.2601,NO
1.27165,YES
0.7411000000000001,NO
1.2621,YES
0.67945,NO
0.36819999999999997,NO
0.353,NO
0.35235,NO
0.2592,NO
0.88715,YES
0.2585,NO
0.9324,YES
0.2976,NO
0.89305,YES
0.74455,NO
0.7302500000000001,NO
0.77145,NO
0.68245,NO
1.2531999999999999,YES
0.72265,NO
1.2307,YES
0.12945,NO
0.12995,NO
1.40995,YES
0.49695,NO
0.49129999999999996,NO
1.42575,YES
0.13169999999999998,NO
0.12415,NO
1.4527999999999999,YES
0.37935,NO
1.4624,YES
0.37265000000000004,NO
0.24205,NO
0.20695,NO
0.19369999999999998,NO
0.1364,NO
0.51415,NO
0.13035,NO
0.5867,NO
0.09275,NO
0.542,NO
0.41075,NO
0.38805,NO
0.4949,NO
0.40785000000000005,NO
1.4169,YES
0.47905,NO
1.37785,YES
0.1506,NO
0.13645000000000002,NO
0.3439,YES
0.5604,YES
0.5246,YES
0.34299999999999997,YES
0.1467,NO
0.13215,NO
0.37689999999999996,YES
0.23175,NO
0.3384,YES
0.22385,NO
0.25485,NO
0.256,NO
0.2586,NO
0.15885,NO
0.5446500000000001,YES
0.15795,NO
0.5387,YES
0.1946,NO
0.5226500000000001,YES
0.18165,NO
0.20985,NO
0.20905,NO
0.19165,NO
0.3503,YES
0.19305,NO
0.34854999999999997,YES
0.57195,YES
0.44485,YES
0.7145,NO
0.3425,NO
0.33805,NO
0.6081000000000001,NO
0.54045,YES
0.6054,YES
0.6030000000000001,NO
0.2863,NO
0.60865,NO
0.28190000000000004,NO
0.33895,NO
0.3124,NO
0.30469999999999997,NO
0.46295000000000003,YES
0.3126,NO
0.5417000000000001,YES
0.2781,NO
0.5700000000000001,YES
0.28395,NO
0.2994,NO
0.29475,NO
0.31135,NO
0.30805,NO
0.64165,NO
0.3234,NO
0.5826,NO
0.14429999999999998,NO
0.13595,NO
1.5322,YES
0.52465,YES
0.50705,YES
1.5371000000000001,YES
0.14575,NO
0.1362,NO
1.6516,YES
0.34815,NO
1.56735,YES
0.3395,NO
0.40900000000000003,NO
0.35025,NO
0.35810000000000003,NO
0.14435,NO
0.5233,YES
0.141,NO
0.61705,YES
0.1434,NO
0.5654,YES
0.3689,NO
0.34835000000000005,NO
0.4524,NO
0.36010000000000003,NO
1.5271,YES
0.4323,NO
1.5603500000000001,YES
0.3035,NO
0.2683,NO
1.2137,YES
0.6666500000000001,YES
0.6563000000000001,YES
1.1232,YES
0.3542,NO
0.30285,NO
1.1516,YES
0.6087,NO
1.14595,YES
0.5688,NO
0.3177,NO
0.29200000000000004,NO
0.29105000000000003,NO
0.29200000000000004,NO
0.63195,YES
0.2887,NO
0.6693,YES
0.343,NO
0.63465,YES
0.6211,NO
0.6067,NO
0.6646,NO
0.5805,NO
1.1518,YES
0.63145,NO
1.1067,YES
0.22465000000000002,NO
0.2125,NO
1.3405999999999998,YES
0.5326,YES
0.55125,YES
1.2424499999999998,YES
0.27105,NO
0.23865,NO
1.2462,YES
0.41159999999999997,NO
1.2726499999999998,YES
0.40759999999999996,NO
0.181,NO
0.14995,NO
0.1383,NO
0.25925,NO
0.53555,YES
0.2563,NO
0.62255,YES
0.2462,NO
0.57715,YES
0.4442,NO
0.42155,NO
0.53745,NO
0.44225,NO
1.2502,YES
0.51945,NO
1.2066,YES
0.10200000000000001,NO
0.10314999999999999,NO
1.5229000000000001,YES
0.4981,YES
0.4768,YES
1.51525,YES
0.09975,NO
0.09434999999999999,NO
1.62965,YES
0.3124,NO
1.5484,YES
0.30624999999999997,NO
0.3665,NO
0.2867,NO
0.2984,NO
0.1189,NO
0.4951,YES
0.11735,NO
0.59685,YES
0.0985,NO
0.5509,YES
0.3261,NO
0.3029,NO
0.419,NO
0.317,NO
1.5192,YES
0.3807,NO
1.58135,YES
0.23149999999999998,NO
0.2192,NO
0.5206,YES
0.866,YES
0.8202499999999999,YES
0.5463,YES
0.22094999999999998,NO
0.20165,NO
0.5710500000000001,YES
0.4345,NO
0.5255,YES
0.40685000000000004,NO
0.32905,NO
0.3412,NO
0.3308,NO
0.25885,NO
0.8009999999999999,YES
0.25634999999999997,NO
0.82495,YES
0.24935,NO
0.8203499999999999,YES
0.39625000000000005,NO
0.4166,NO
0.41650000000000004,NO
0.38685,NO
0.5452,YES
0.39525000000000005,NO
0.52955,YES
0.1802,NO
0.17165000000000002,NO
0.98465,YES
1.07305,YES
1.09,YES
0.9873000000000001,YES
0.16920000000000002,NO
0.15975,NO
1.0035,YES
0.41415,NO
1.0096,YES
0.38945,NO
0.15325,NO
0.13265,NO
0.11595,NO
0.2114,NO
1.05565,YES
0.20875,NO
1.1952,YES
0.16475,NO
1.1385,YES
0.4062,NO
0.39540000000000003,NO
0.4716,NO
0.38975000000000004,NO
0.9816,YES
0.43725,NO
0.9749,YES
0.22810000000000002,NO
0.2033,NO
0.58795,NO
0.43985,NO
0.36825,NO
0.56675,NO
0.23175,NO
0.20535,NO
0.6485000000000001,NO
0.24415,NO
0.55815,NO
0.23220000000000002,NO
0.6085,YES
0.56565,YES
0.59415,YES
0.22190000000000001,NO
0.37,NO
0.22345,NO
0.36100000000000004,NO
0.26115,NO
0.37295,NO
0.20275,NO
0.21685000000000001,NO
0.2303,NO
0.20665,NO
0.6031500000000001,NO
0.20665,NO
0.62415,NO
0.426,YES
0.50855,YES
0.4612,NO
0.3405,NO
0.29855000000000004,NO
0.35475,NO
0.52855,YES
0.4265,YES
0.372,NO
0.2858,NO
0.35025,NO
0.29905000000000004,NO
0.2349,NO
0.22705000000000003,NO
0.22995000000000002,NO
0.5178,YES
0.2877,NO
0.4548,YES
0.27465,NO
0.5508,YES
0.3017,NO
0.268,NO
0.23075,NO
0.27755,NO
0.25725,NO
0.39395,NO
0.2509,NO
0.3683,NO
0.172,NO
0.15775,NO
0.82445,YES
1.0835000000000001,YES
1.08315,YES
0.829,YES
0.1761,NO
0.15815,NO
0.86425,YES
0.28135,NO
0.83375,YES
0.2757,NO
0.31235,NO
0.2998,NO
0.30375,NO
0.1614,NO
1.04535,YES
0.1611,NO
1.116,YES
0.20315,NO
1.0805500000000001,YES
0.24719999999999998,NO
0.24525,NO
0.2873,NO
0.24455,NO
0.8322499999999999,YES
0.2663,NO
0.8202499999999999,YES
0.6756,YES
0.5159,YES
0.62705,NO
0.35145,NO
0.319,NO
0.5069,NO
0.6157,YES
0.7119,YES
0.50895,NO
0.26789999999999997,NO
0.5019,NO
0.26995,NO
0.26315,NO
0.24475000000000002,NO
0.2421,NO
0.5596,YES
0.312,NO
0.6648000000000001,YES
0.28855,NO
0.67305,YES
0.29305,NO
0.2481,NO
0.25505,NO
0.28035,NO
0.25334999999999996,NO
0.5494,NO
0.27344999999999997,NO
0.49405000000000004,NO
0.28015,NO
0.2512,NO
0.4689,NO
0.4553,NO
0.39394999999999997,NO
0.48065,NO
0.2581,NO
0.2617,NO
0.5154,NO
0.50475,YES
0.4616,NO
0.49695,YES
0.326,NO
0.337,NO
0.3307,NO
0.28895,NO
0.39605,NO
0.30115000000000003,NO
0.41355,NO
0.32184999999999997,NO
0.42285,NO
0.46015,YES
0.46499999999999997,YES
0.47785,YES
0.49515,YES
0.48825,NO
0.4473,YES
0.47885,NO
0.69635,YES
0.54015,YES
0.44815,NO
0.3302,NO
0.2835,NO
0.3409,NO
0.59835,YES
0.7407,YES
0.35435,NO
0.23445,NO
0.33925,NO
0.23525,NO
0.22515000000000002,NO
0.2155,NO
0.21505000000000002,NO
0.5788,YES
0.2774,NO
0.7053,YES
0.26745,NO
0.6946000000000001,YES
0.28200000000000003,NO
0.20435,NO
0.20335,NO
0.2442,NO
0.21455,NO
0.37834999999999996,NO
0.2207,NO
0.34545,NO
0.3503,NO
0.30985,NO
0.6228,NO
0.42300000000000004,NO
0.38535,NO
0.62585,NO
0.35565,NO
0.3341,NO
0.63625,NO
0.52045,YES
0.6155999999999999,NO
0.571,YES
0.3306,NO
0.32794999999999996,NO
0.3175,NO
0.31955,NO
0.3827,NO
0.32230000000000003,NO
0.37485,NO
0.3935,NO
0.3743,NO
0.47869999999999996,YES
0.4826,YES
0.49195,YES
0.56665,YES
0.64545,NO
0.48765,YES
0.6012,NO
