UPPERTRACED_RFUNDER_SINGLE_VSM_MEDIAN.csv,Associated
0.55535,NO
0.0956,NO
0.5,NO
0.6019,YES
0.4647,YES
0.39995,YES
0.55375,YES
0.4003,NO
0.56515,YES
0.3934,NO
0.19135,NO
0.1207,NO
0.239,NO
0.6193,NO
0.46635000000000004,NO
0.27775,NO
0.41025,NO
0.0266,NO
0.28605,NO
0.60985,YES
0.40535,NO
0.50235,YES
0.2259,NO
0.2324,NO
0.10225,NO
0.06745000000000001,NO
0.53675,NO
0.0462,NO
0.54375,NO
0.0851,NO
0.5059,NO
0.5686,YES
0.45514999999999994,YES
0.41700000000000004,YES
0.48285,YES
0.35875,NO
0.5214,YES
0.3845,NO
0.15844999999999998,NO
0.39255,NO
0.7297499999999999,YES
0.47655000000000003,YES
0.43135,YES
0.52235,YES
0.61185,NO
0.07825,NO
0.5932999999999999,YES
0.32870000000000005,NO
0.59445,YES
0.06795,NO
0.60655,NO
0.4848,NO
0.4387,NO
0.0551,NO
0.44465,YES
0.07875,NO
0.57345,YES
0.60145,NO
0.5560499999999999,YES
0.44355,NO
0.38,NO
0.45625,NO
0.47,NO
0.45994999999999997,YES
0.2808,NO
0.53405,YES
0.08995,NO
0.14735,NO
0.19974999999999998,YES
0.1078,NO
0.13175,NO
0.46295,YES
0.41635,NO
0.05485,NO
0.4174,YES
0.0955,NO
0.67405,YES
0.0764,NO
0.6582,NO
0.34514999999999996,NO
0.1324,NO
0.09050000000000001,NO
0.5945,NO
0.0699,NO
0.18365,NO
0.13255,NO
0.14185,NO
0.09955,NO
0.0892,NO
0.35835,NO
0.24585,NO
0.6797,YES
0.55295,NO
0.5037,YES
0.0399,NO
0.0332,NO
0.62375,YES
0.42969999999999997,YES
0.5566,YES
0.43065,YES
0.19165000000000001,NO
0.0237,NO
0.63495,YES
0.1164,NO
0.5404,YES
0.06975,NO
0.25825,NO
0.29305000000000003,NO
0.3274,NO
0.0228,NO
0.5197499999999999,YES
0.0221,NO
0.605,YES
0.3212,NO
0.57065,YES
0.39985000000000004,NO
0.54055,NO
0.64175,NO
0.11775,NO
0.5115000000000001,YES
0.59795,NO
0.589,YES
0.0868,NO
0.0823,NO
0.22405,YES
0.0881,NO
0.08245,NO
0.25485,YES
0.08405,NO
0.0865,NO
0.6669,YES
0.0795,NO
0.39149999999999996,YES
0.0728,NO
0.5622,NO
0.1871,NO
0.06385,NO
0.08875,NO
0.1403,NO
0.0827,NO
0.59785,NO
0.1101,NO
0.13315,NO
0.1109,NO
0.0882,NO
0.64505,NO
0.398,NO
0.29600000000000004,YES
0.6392,NO
0.16695000000000002,YES
0.02335,NO
0.0242,NO
0.5272,YES
0.38835,YES
0.50755,YES
0.3463,YES
0.14945,NO
0.0049,NO
0.5552,YES
0.0576,NO
0.4317,YES
0.06470000000000001,NO
0.22550000000000003,NO
0.27665,NO
0.31425000000000003,NO
0.0316,NO
0.5126,YES
0.0307,NO
0.54665,YES
0.32735000000000003,NO
0.5356,YES
0.28750000000000003,NO
0.4707,NO
0.5299,NO
0.0775,NO
0.42360000000000003,YES
0.5189,NO
0.52185,YES
0.4062,YES
0.5191,YES
0.2717,NO
0.0924,NO
0.07295,NO
0.0753,NO
0.6197,YES
0.18965,YES
0.0702,NO
0.3529,NO
0.07585,NO
0.0335,NO
0.10655,NO
0.08,NO
0.07730000000000001,NO
0.5422,YES
0.0475,NO
0.39095,YES
0.018000000000000002,NO
0.54925,YES
0.01885,NO
0.051,NO
0.04635,NO
0.06295,NO
0.05965,NO
0.10885,NO
0.075,NO
0.0498,NO
0.14695,NO
0.4036,NO
0.6284,YES
0.4627,YES
0.4101,YES
0.5383,YES
0.5434,NO
0.05885,NO
0.7028,YES
0.3269,NO
0.6185499999999999,YES
0.05325,NO
0.6521,NO
0.50335,NO
0.4662,NO
0.052000000000000005,NO
0.45135000000000003,YES
0.07365,NO
0.6051,YES
0.53605,NO
0.58845,YES
0.44765,NO
0.3871,NO
0.45615,NO
0.46885,NO
0.43829999999999997,YES
0.28605,NO
0.61155,YES
0.1639,NO
0.3937,NO
0.68885,YES
0.5157,YES
0.47035,YES
0.50335,YES
0.6096,NO
0.08325,NO
0.58175,YES
0.3743,NO
0.5761000000000001,YES
0.06939999999999999,NO
0.61385,NO
0.49815,NO
0.4522,NO
0.0574,NO
0.47100000000000003,YES
0.0791,NO
0.56835,YES
0.5934,NO
0.5687,YES
0.4867,NO
0.4323,NO
0.4552,NO
0.47609999999999997,NO
0.44194999999999995,YES
0.27205,NO
0.53685,YES
0.1721,NO
0.42495,NO
0.738,YES
0.48615,YES
0.4698,YES
0.5448500000000001,YES
0.6134999999999999,NO
0.1061,NO
0.5986,YES
0.3351,NO
0.62505,YES
0.06609999999999999,NO
0.5741499999999999,NO
0.45309999999999995,NO
0.39644999999999997,NO
0.1117,NO
0.4791,YES
0.13375,NO
0.6261,YES
0.58365,NO
0.6157,YES
0.4677,NO
0.40505,NO
0.48595,NO
0.49574999999999997,NO
0.4626,YES
0.31795,NO
0.5589999999999999,YES
0.14045,NO
0.4066,NO
0.6296999999999999,YES
0.45955,YES
0.40325,YES
0.52705,YES
0.5332,NO
0.0528,NO
0.69145,YES
0.33015000000000005,NO
0.6102,YES
0.059000000000000004,NO
0.64295,NO
0.47314999999999996,NO
0.43984999999999996,NO
0.06235,NO
0.44655,YES
0.0858,NO
0.6083000000000001,YES
0.52695,NO
0.59735,YES
0.44385,NO
0.38065000000000004,NO
0.46175,NO
0.46475,NO
0.44099999999999995,YES
0.27344999999999997,NO
0.64315,YES
0.05755,NO
0.06025,NO
0.5514,YES
0.46829999999999994,YES
0.57755,YES
0.3971,YES
0.177,NO
0.0277,NO
0.59685,YES
0.09855,NO
0.4663,YES
0.0859,NO
0.2644,NO
0.32655,NO
0.35115,NO
0.0849,NO
0.5433,YES
0.0824,NO
0.60725,YES
0.33540000000000003,NO
0.60765,YES
0.34030000000000005,NO
0.5156499999999999,NO
0.57555,NO
0.1109,NO
0.466,YES
0.5593,NO
0.55035,YES
0.06005,NO
0.0665,NO
0.627,YES
0.45425,YES
0.6262,YES
0.44965,YES
0.17905000000000001,NO
0.0396,NO
0.64085,YES
0.0918,NO
0.56195,YES
0.0821,NO
0.21240000000000003,NO
0.24180000000000001,NO
0.2601,NO
0.09125,NO
0.57685,YES
0.0886,NO
0.7564,YES
0.3046,NO
0.7047,YES
0.36385,NO
0.50805,NO
0.64425,NO
0.1274,NO
0.51395,YES
0.6149,NO
0.60725,YES
0.05450000000000001,NO
0.0197,NO
0.09405,NO
0.1054,NO
0.25880000000000003,NO
0.04785,NO
0.18815,NO
0.02675,NO
0.2596,NO
0.14955000000000002,NO
0.33925,NO
0.0526,NO
0.21625,YES
0.3134,YES
0.3419,YES
0.0383,NO
0.12055,NO
0.03985,NO
0.02655,NO
0.36255,NO
0.058499999999999996,NO
0.02315,NO
0.03725,NO
0.0557,NO
0.17204999999999998,NO
0.08425,NO
0.03205,NO
0.19524999999999998,NO
0.31695,YES
0.6395,YES
0.2276,NO
0.09765,NO
0.0407,NO
0.03115,NO
0.6645,YES
0.06745,YES
0.0484,NO
0.39095,NO
0.02665,NO
0.0892,NO
0.08305,NO
0.0752,NO
0.08310000000000001,NO
0.65375,YES
0.02985,NO
0.36075,YES
0.0218,NO
0.58675,YES
0.04385,NO
0.05815,NO
0.0209,NO
0.0677,NO
0.0474,NO
0.07035,NO
0.04105,NO
0.0447,NO
0.0208,NO
0.02155,NO
0.56015,YES
0.4343,YES
0.58895,YES
0.3847,YES
0.1549,NO
0.00695,NO
0.59495,YES
0.05545,NO
0.47945,YES
0.0648,NO
0.23885,NO
0.2763,NO
0.31525000000000003,NO
0.0102,NO
0.53615,YES
0.0099,NO
0.6468,YES
0.31195,NO
0.61635,YES
0.3013,NO
0.45435,NO
0.5564,NO
0.07865,NO
0.45795,YES
0.5404,NO
0.5459499999999999,YES
0.4279,YES
0.5082,YES
0.26365,NO
0.09275,NO
0.0453,NO
0.0535,NO
0.613,YES
0.2142,YES
0.05555,NO
0.36585,NO
0.048499999999999995,NO
0.0529,NO
0.08705,NO
0.06865,NO
0.07100000000000001,NO
0.5569,YES
0.0383,NO
0.43210000000000004,YES
0.01985,NO
0.57035,YES
0.01935,NO
0.03105,NO
0.038,NO
0.0633,NO
0.0363,NO
0.096,NO
0.0564,NO
0.04065,NO
0.21689999999999998,NO
0.11795,NO
0.23454999999999998,NO
0.5833999999999999,NO
0.44205,NO
0.2963,NO
0.41985,NO
0.04345,NO
0.31105,NO
0.49595,YES
0.41725,NO
0.48315,YES
0.2405,NO
0.2615,NO
0.1252,NO
0.09570000000000001,NO
0.53415,NO
0.0879,NO
0.56165,NO
0.1036,NO
0.50595,NO
0.46135000000000004,YES
0.35619999999999996,YES
0.33905,YES
0.51635,YES
0.3589,NO
0.5135000000000001,YES
0.3945,NO
0.4356,YES
0.5194,YES
0.23115,NO
0.0942,NO
0.0325,NO
0.0339,NO
0.5826,YES
0.22995000000000002,YES
0.04735,NO
0.36895,NO
0.03225,NO
0.05475,NO
0.08325,NO
0.0736,NO
0.07815000000000001,NO
0.56305,YES
0.0264,NO
0.45955,YES
0.02145,NO
0.5788500000000001,YES
0.031,NO
0.02385,NO
0.02285,NO
0.0637,NO
0.03405,NO
0.07135,NO
0.0402,NO
0.03845,NO
0.2261,NO
0.11565,NO
0.2592,NO
0.5639,NO
0.44625000000000004,NO
0.31224999999999997,NO
0.45645,NO
0.0549,NO
0.30265,NO
0.48035,YES
0.442,NO
0.5259,YES
0.2419,NO
0.24925,NO
0.1088,NO
0.06534999999999999,NO
0.5336,NO
0.0481,NO
0.53575,NO
0.1143,NO
0.4702,NO
0.4486,YES
0.34249999999999997,YES
0.32185,YES
0.55655,YES
0.38684999999999997,NO
0.5225500000000001,YES
0.3876,NO
