NONETRACED_RFSMOTE_MULTI_VSM_MEDIAN.csv,Associated
0.15935,NO
0.11280000000000001,NO
0.46445000000000003,NO
0.07200000000000001,NO
0.17345,NO
0.25735,NO
0.0791,NO
0.12595,NO
0.18964999999999999,NO
0.30485,YES
0.2456,YES
0.23955,YES
0.3097,YES
0.20129999999999998,NO
0.12265000000000001,YES
0.04895,NO
0.04925,NO
0.0387,NO
0.20845,YES
0.21235,YES
0.28654999999999997,YES
0.17654999999999998,YES
0.04425,NO
0.1502,NO
0.1584,YES
0.20989999999999998,NO
0.053,YES
0.11795,NO
0.38260000000000005,NO
0.14355,NO
0.36375,NO
0.21765,NO
0.25725,YES
0.3105,NO
0.22114999999999999,YES
0.16099999999999998,NO
0.24275000000000002,YES
0.19245,NO
0.14529999999999998,NO
0.3064,NO
0.12160000000000001,NO
0.37305,YES
0.0758,NO
0.0663,YES
0.35574999999999996,NO
0.057249999999999995,NO
0.12905,NO
0.32999999999999996,NO
0.07735,NO
0.26985000000000003,NO
0.08265,NO
0.43679999999999997,NO
0.11995,NO
0.21944999999999998,YES
0.10725,NO
0.26735,YES
0.31095,NO
0.2768,NO
0.26665,NO
0.26665,NO
0.0525,NO
0.048,NO
0.060649999999999996,NO
0.1878,NO
0.04945,NO
0.23895,YES
0.12725,YES
0.38505,YES
0.1804,YES
0.33025,NO
0.17785,YES
0.07155,NO
0.48745,NO
0.08195,NO
0.492,NO
0.15835,NO
0.18680000000000002,NO
0.28895,NO
0.28695,NO
0.04835,NO
0.1449,NO
0.2864,YES
0.2722,NO
0.1618,YES
0.06655,NO
0.42175,NO
0.04235,NO
0.187,NO
0.26135,NO
0.19275,NO
0.405,NO
0.07544999999999999,NO
0.36095,NO
0.3071,YES
0.25980000000000003,YES
0.35705,YES
0.26915,YES
0.3015,NO
0.23864999999999997,YES
0.0863,NO
0.17695,NO
0.03845,NO
0.42265,NO
0.2471,NO
0.30235,NO
0.35115,NO
0.2342,NO
0.2852,NO
0.15255000000000002,NO
0.23895,YES
0.10139999999999999,NO
0.16415000000000002,YES
0.3226,NO
0.16705,NO
0.20534999999999998,NO
0.0349,NO
0.11574999999999999,NO
0.24575,NO
0.19035000000000002,NO
0.1106,NO
0.14500000000000002,NO
0.3319,YES
0.2347,YES
0.22494999999999998,YES
0.17375000000000002,YES
0.2253,NO
0.16015000000000001,YES
0.0584,NO
0.36135,NO
0.10570000000000002,NO
0.454,NO
0.32430000000000003,NO
0.43635,NO
0.17775000000000002,NO
0.19525,NO
0.0616,NO
0.07105,NO
0.32985,YES
0.06035,NO
0.16735,YES
0.45589999999999997,NO
0.2874,NO
0.32225,NO
0.15245,NO
0.21175,NO
0.2062,NO
0.15375,NO
0.1251,NO
0.2009,NO
0.2736,YES
0.27515,YES
0.272,YES
0.26785,YES
0.06875,NO
0.1514,YES
0.0495,NO
0.058449999999999995,NO
0.02255,NO
0.33975,YES
0.15155000000000002,YES
0.18635000000000002,YES
0.55235,YES
0.11185,NO
0.34325,NO
0.4383,YES
0.1237,NO
0.18445,YES
0.06294999999999999,NO
0.27155,NO
0.18980000000000002,NO
0.17370000000000002,NO
0.1651,NO
0.04965,YES
0.11875,NO
0.15845,YES
0.11645,NO
0.06605,YES
0.23854999999999998,NO
0.195,NO
0.15625,NO
0.06,NO
0.23495,YES
0.14079999999999998,NO
0.13405,YES
0.15995,NO
0.18235,NO
0.35975,YES
0.1978,NO
0.12175,NO
0.49795,YES
0.16135,NO
0.14985,NO
0.4074,YES
0.1005,NO
0.34904999999999997,YES
0.1714,NO
0.1832,NO
0.27015,NO
0.46240000000000003,NO
0.1705,NO
0.3145,NO
0.0699,NO
0.23365000000000002,NO
0.28755,NO
0.32184999999999997,NO
0.11455,NO
0.4242,NO
0.40335,NO
0.09585,NO
0.3247,YES
0.47295,NO
0.2137,YES
0.06989999999999999,NO
0.023200000000000002,NO
0.32375,YES
0.24469999999999997,YES
0.16160000000000002,YES
0.28564999999999996,YES
0.06665,NO
0.1587,NO
0.35495,YES
0.20140000000000002,NO
0.4004,YES
0.51975,NO
0.17325,NO
0.29305000000000003,NO
0.2674,NO
0.0228,NO
0.41475,YES
0.5021,NO
0.445,YES
0.0612,NO
0.27065,YES
0.15485,NO
0.22555,NO
0.55175,NO
0.14275000000000002,NO
0.4265,YES
0.21794999999999998,NO
0.219,YES
0.0818,NO
0.0823,NO
0.27905,YES
0.1031,NO
0.08245,NO
0.47985,YES
0.13905,NO
0.0765,NO
0.3069,YES
0.5795,NO
0.34650000000000003,YES
0.0728,NO
0.1522,NO
0.1471,NO
0.09885000000000001,NO
0.32875,NO
0.1553,NO
0.16770000000000002,NO
0.20285,NO
0.0801,NO
0.34314999999999996,NO
0.21589999999999998,NO
0.17320000000000002,NO
0.30505,NO
0.10800000000000001,NO
0.326,YES
0.2992,NO
0.21695,YES
0.10335,NO
0.0142,NO
0.3972,YES
0.54835,YES
0.27254999999999996,YES
0.0263,YES
0.16945,NO
0.0049,NO
0.0602,YES
0.0826,NO
0.051699999999999996,YES
0.5447,NO
0.1655,NO
0.12165000000000001,NO
0.08925,NO
0.056600000000000004,NO
0.12260000000000001,YES
0.045700000000000005,NO
0.31165,YES
0.10235,NO
0.22560000000000002,YES
0.0075,NO
0.045700000000000005,NO
0.0399,NO
0.21250000000000002,NO
0.08360000000000001,YES
0.028900000000000002,NO
0.06185,YES
0.2562,YES
0.0591,YES
0.1817,NO
0.0774,NO
0.12795,NO
0.0753,NO
0.1197,YES
0.20465,YES
0.0952,NO
0.20790000000000003,NO
0.07585,NO
0.1085,NO
0.26155,NO
0.395,NO
0.2023,NO
0.0572,YES
0.0475,NO
0.19095,YES
0.013000000000000001,NO
0.18925,YES
0.038849999999999996,NO
0.11099999999999999,NO
0.04635,NO
0.06295,NO
0.08465,NO
0.10885,NO
0.075,NO
0.0498,NO
0.28695,NO
0.06359999999999999,NO
0.46840000000000004,YES
0.3127,YES
0.1701,YES
0.3333,YES
0.1734,NO
0.04385,NO
0.3978,YES
0.0469,NO
0.29855,YES
0.07825,NO
0.1971,NO
0.11835000000000001,NO
0.4212,NO
0.047,NO
0.10635,YES
0.06365,NO
0.19010000000000002,YES
0.051050000000000005,NO
0.17345,YES
0.06765,NO
0.057100000000000005,NO
0.36615,NO
0.05885,NO
0.3133,YES
0.27605,NO
0.24655,YES
0.1689,NO
0.0237,NO
0.25885,YES
0.4007,YES
0.22535,YES
0.36335,YES
0.1096,NO
0.30325,NO
0.36675,YES
0.2643,NO
0.1911,YES
0.3544,NO
0.22385,NO
0.12815000000000001,NO
0.3272,NO
0.052399999999999995,NO
0.301,YES
0.1941,NO
0.24835000000000002,YES
0.0984,NO
0.10370000000000001,YES
0.2817,NO
0.1273,NO
0.3502,NO
0.0661,NO
0.30195,YES
0.20705,NO
0.16685,YES
0.0671,NO
0.05495,NO
0.358,YES
0.10115,YES
0.17980000000000002,YES
0.58485,YES
0.15849999999999997,NO
0.08610000000000001,NO
0.28859999999999997,YES
0.3151,NO
0.23005,YES
0.1061,NO
0.38415,NO
0.1281,NO
0.03145,NO
0.2067,NO
0.09409999999999999,YES
0.18375000000000002,NO
0.1861,YES
0.14865,NO
0.37570000000000003,YES
0.2677,NO
0.17004999999999998,NO
0.20595,NO
0.08575,NO
0.2026,YES
0.24295,NO
0.14400000000000002,YES
0.14545,NO
0.0466,NO
0.3347,YES
0.30455,YES
0.29325,YES
0.31705,YES
0.10819999999999999,NO
0.0278,NO
0.34645000000000004,YES
0.05015,NO
0.2702,YES
0.119,NO
0.17295,NO
0.08315,NO
0.42984999999999995,NO
0.06235,NO
0.07655,YES
0.1108,NO
0.1933,YES
0.04695,NO
0.13235,YES
0.06385,NO
0.08065,NO
0.27675,NO
0.05475,NO
0.276,YES
0.22344999999999998,NO
0.27815,YES
0.05755,NO
0.09025,NO
0.0514,YES
0.23829999999999998,YES
0.27754999999999996,YES
0.0921,YES
0.047,NO
0.1177,NO
0.10185,YES
0.49355000000000004,NO
0.0563,YES
0.34090000000000004,NO
0.5294,NO
0.27155,NO
0.25115,NO
0.27990000000000004,NO
0.2283,YES
0.1074,NO
0.24725000000000003,YES
0.37039999999999995,NO
0.25765,YES
0.2953,NO
0.17065,NO
0.37055,NO
0.4859,NO
0.14600000000000002,YES
0.0593,NO
0.06035,YES
0.06005,NO
0.051500000000000004,NO
0.177,YES
0.23425,YES
0.2412,YES
0.30965,YES
0.04905,NO
0.0396,NO
0.20585,YES
0.2518,NO
0.18695,YES
0.0671,NO
0.0724,NO
0.1318,NO
0.1101,NO
0.16125,NO
0.16685,YES
0.1186,NO
0.4064,YES
0.4796,NO
0.2747,YES
0.19385,NO
0.08805,NO
0.16425,NO
0.0874,NO
0.31395,YES
0.2299,NO
0.22725,YES
0.2745,NO
0.0197,NO
0.35905,NO
0.3154,NO
0.0738,NO
0.33785,NO
0.33314999999999995,NO
0.07175000000000001,NO
0.1846,NO
0.08954999999999999,NO
0.30425,NO
0.0726,NO
0.33125,YES
0.25839999999999996,YES
0.2269,YES
0.14329999999999998,NO
0.53055,NO
0.27485,NO
0.02655,NO
0.44755,NO
0.0385,NO
0.16315000000000002,NO
0.23225,NO
0.0507,NO
0.28705,NO
0.20425,NO
0.042050000000000004,NO
0.19524999999999998,NO
0.12195,YES
0.1445,YES
0.5025999999999999,NO
0.11265,NO
0.0807,NO
0.08115,NO
0.37449999999999994,YES
0.06245,YES
0.15839999999999999,NO
0.48095000000000004,NO
0.02665,NO
0.0892,NO
0.15805,NO
0.1052,NO
0.0781,NO
0.35375,YES
0.04485,NO
0.17575000000000002,YES
0.0518,NO
0.23175,YES
0.32885,NO
0.05815,NO
0.0209,NO
0.1227,NO
0.052399999999999995,NO
0.22535,NO
0.45104999999999995,NO
0.2097,NO
0.0208,NO
0.041550000000000004,NO
0.44015,YES
0.24430000000000002,YES
0.24895,YES
0.4597,YES
0.0249,NO
0.00695,NO
0.19495,YES
0.55545,NO
0.11945,YES
0.4048,NO
0.20384999999999998,NO
0.18630000000000002,NO
0.24525,NO
0.1652,NO
0.15115,YES
0.12490000000000001,NO
0.2518,YES
0.05195,NO
0.26635,YES
0.0263,NO
0.19935,NO
0.2814,NO
0.028650000000000002,NO
0.31795,YES
0.10039999999999999,NO
0.07095,YES
0.2529,YES
0.19319999999999998,YES
0.17365,NO
0.07775,NO
0.2803,NO
0.0535,NO
0.543,YES
0.2192,YES
0.05555,NO
0.24085,NO
0.1435,NO
0.0529,NO
0.24205,NO
0.08365,NO
0.176,NO
0.1469,YES
0.0683,NO
0.2521,YES
0.17985,NO
0.19535,YES
0.12434999999999999,NO
0.22605,NO
0.038,NO
0.0633,NO
0.0563,NO
0.096,NO
0.0864,NO
0.11565,NO
0.0819,NO
0.03295,NO
0.06955,NO
0.1084,NO
0.057050000000000003,NO
0.0613,NO
0.04985,NO
0.27845,NO
0.09605,NO
0.13095,YES
0.14225000000000002,NO
0.41815,YES
0.1405,NO
0.5665,NO
0.13520000000000001,NO
0.3407,NO
0.04915,NO
0.2979,NO
0.06665,NO
0.29359999999999997,NO
0.07595,NO
0.19135000000000002,YES
0.2512,YES
0.5640499999999999,YES
0.55135,YES
0.1139,NO
0.048499999999999995,YES
0.059500000000000004,NO
0.2606,YES
0.10940000000000001,YES
0.47115,NO
0.0792,NO
0.1525,NO
0.0389,NO
0.2026,YES
0.23495000000000002,YES
0.09235,NO
0.058949999999999995,NO
0.03725,NO
0.06975,NO
0.11825000000000001,NO
0.2386,NO
0.25315,NO
0.15805,YES
0.39139999999999997,NO
0.30455,YES
0.07145,NO
0.18385,YES
0.44099999999999995,NO
0.13885,NO
0.02785,NO
0.06870000000000001,NO
0.06405,NO
0.16635,NO
0.4502,NO
0.14345,NO
0.30110000000000003,NO
0.055650000000000005,NO
0.0742,NO
0.3039,NO
0.12125,NO
0.16725,NO
0.07645,NO
0.2749,NO
0.08765,NO
0.17035,YES
0.07200000000000001,NO
0.5259,YES
0.5219,NO
0.47924999999999995,NO
0.25379999999999997,NO
0.36535,NO
0.0486,NO
0.1131,NO
0.04075,NO
0.20429999999999998,NO
0.0402,NO
0.2236,YES
0.1925,YES
0.09685,YES
0.32655,YES
0.35185,NO
0.06255,YES
0.0526,NO
