NONETRACED_RFSMOTE_SINGLE_LSA_MEDIAN.csv,Associated
0.05681489361702127,NO
0.2409627659574468,NO
0.03638829787234042,NO
0.16673297872340426,NO
0.0956,NO
0.13382978723404254,NO
0.23381489361702126,YES
0.1747,YES
0.24633297872340426,YES
0.3039627659574468,YES
0.1528531914893617,NO
0.15334148936170214,YES
0.0584,NO
0.04698829787234043,NO
0.18463617021276602,NO
0.07527659574468086,NO
0.17621489361702128,NO
0.12454148936170212,NO
0.11721808510638299,NO
0.22173936170212766,NO
0.10106808510638299,NO
0.12424148936170212,NO
0.2836797872340425,YES
0.06226489361702127,NO
0.17054148936170213,YES
0.13781489361702126,NO
0.1024,NO
0.11288829787234042,NO
0.07436489361702128,NO
0.07302659574468084,NO
0.09439148936170214,NO
0.0913031914893617,NO
0.13829148936170213,NO
0.48015531914893617,NO
0.2111531914893617,YES
0.1757882978723404,YES
0.305936170212766,YES
0.09476489361702128,YES
0.13257978723404257,NO
0.0564,YES
0.12396808510638299,NO
0.07472659574468085,NO
0.02255,NO
0.2760265957446808,YES
0.07155,YES
0.06135,YES
0.20617978723404257,YES
0.19695638297872342,NO
0.05325,NO
0.1633,YES
0.05933829787234043,NO
0.17508829787234043,YES
0.06358829787234042,NO
0.10655,NO
0.0748,NO
0.0737,NO
0.09829148936170212,NO
0.08156489361702127,YES
0.06502659574468085,NO
0.11845,YES
0.10645,NO
0.06605,YES
0.06355,NO
0.04,NO
0.15125,NO
0.07063829787234042,NO
0.20186489361702126,YES
0.14707659574468085,NO
0.1466031914893617,YES
0.08995,NO
0.13054148936170212,NO
0.17975,YES
0.12907659574468086,NO
0.09802659574468085,NO
0.22922659574468085,YES
0.11262659574468085,NO
0.05485,NO
0.2724,YES
0.0955,NO
0.3147946808510638,YES
0.0764,NO
0.24830638297872343,NO
0.2133414893617021,NO
0.1430382978723404,NO
0.14932978723404255,NO
0.13077659574468084,NO
0.08053829787234043,NO
0.20492659574468086,NO
0.2002095744680851,NO
0.15312659574468085,NO
0.1421031914893617,NO
0.0892,NO
0.2309031914893617,NO
0.10648829787234043,NO
0.20033829787234042,YES
0.35943936170212765,NO
0.49476382978723404,YES
0.13564468085106385,NO
0.03947659574468085,NO
0.15566489361702127,YES
0.1503382978723404,YES
0.12223829787234043,YES
0.11065,YES
0.23186276595744681,NO
0.09816808510638299,NO
0.1931414893617021,YES
0.12703829787234042,NO
0.1304,YES
0.07602659574468085,NO
0.1288882978723404,NO
0.177518085106383,NO
0.1449531914893617,NO
0.0228,NO
0.1748563829787234,YES
0.0221,NO
0.14563829787234042,YES
0.12502978723404254,NO
0.10628829787234043,YES
0.13048829787234043,NO
0.21193297872340428,NO
0.1573882978723404,NO
0.08966489361702128,NO
0.14277659574468085,YES
0.16177978723404254,NO
0.12027659574468086,YES
0.0818,NO
0.0823,NO
0.19405,YES
0.09873829787234042,NO
0.19947127659574465,NO
0.20985,YES
0.11596489361702128,NO
0.0765,NO
0.2581765957446808,YES
0.0795,NO
0.7464999999999999,YES
0.0728,NO
0.1547531914893617,NO
0.18348297872340424,NO
0.17023297872340426,NO
0.11002659574468085,NO
0.12657659574468086,NO
0.1252531914893617,NO
0.18848829787234042,NO
0.18339787234042554,NO
0.1437882978723404,NO
0.17472978723404253,NO
0.22649787234042554,NO
0.269518085106383,NO
0.13991489361702128,NO
0.29674468085106387,YES
0.1792,NO
0.5768436170212766,YES
0.1084563829787234,NO
0.0517531914893617,NO
0.05911489361702127,YES
0.1302648936170213,YES
0.09446489361702126,YES
0.10076808510638299,YES
0.01945,NO
0.036814893617021276,NO
0.11339148936170212,YES
0.0576,NO
0.07489148936170213,YES
0.0497,NO
0.14932978723404255,NO
0.18239468085106386,NO
0.15307978723404253,NO
0.0741531914893617,NO
0.0826,YES
0.0732531914893617,NO
0.10856489361702126,YES
0.08862659574468085,NO
0.08187659574468086,YES
0.14579787234042554,NO
0.0357,NO
0.056176595744680854,NO
0.13452127659574467,NO
0.17189787234042553,YES
0.167836170212766,NO
0.180786170212766,YES
0.300136170212766,YES
0.0241,YES
0.1817,NO
0.0774,NO
0.07295,NO
0.09657659574468086,NO
0.13033829787234041,YES
0.18465,YES
0.0702,NO
0.05917659574468086,NO
0.07585,NO
0.0335,NO
0.10655,NO
0.17574468085106384,NO
0.0723,NO
0.0422,YES
0.11132978723404255,NO
0.12095,YES
0.013000000000000001,NO
0.14925,YES
0.01885,NO
0.051,NO
0.04635,NO
0.06295,NO
0.05965,NO
0.10885,NO
0.075,NO
0.0498,NO
0.04195,NO
0.0336,NO
0.1534,YES
0.07897659574468086,YES
0.06137659574468085,YES
0.17957659574468085,YES
0.07531489361702128,NO
0.055126595744680845,NO
0.3366297872340425,YES
0.0469,NO
0.18855,YES
0.03825,NO
0.17337659574468087,NO
0.2210095744680851,NO
0.15439148936170213,NO
0.042,NO
0.130818085106383,YES
0.03865,NO
0.20329148936170213,YES
0.10487978723404255,NO
0.11972659574468085,YES
0.1527563829787234,NO
0.14284468085106383,NO
0.21497978723404254,NO
0.18650957446808508,NO
0.1483,YES
0.13105,NO
0.2985712765957447,YES
0.09081489361702128,NO
0.0237,NO
0.21385,YES
0.1107,YES
0.10035,YES
0.272286170212766,YES
0.26917446808510637,NO
0.06888829787234042,NO
0.15175,YES
0.0943,NO
0.1461,YES
0.0544,NO
0.11385,NO
0.10942659574468086,NO
0.10847659574468085,NO
0.06867659574468085,NO
0.10791489361702128,YES
0.0441,NO
0.11335,YES
0.0984,NO
0.0787,YES
0.1067,NO
0.0923,NO
0.1502,NO
0.0661,NO
0.17322659574468086,YES
0.13832659574468084,NO
0.10685,YES
0.0671,NO
0.05495,NO
0.27363829787234045,YES
0.08115,YES
0.0998,YES
0.22867978723404253,YES
0.12413829787234042,NO
0.0811,NO
0.18987659574468085,YES
0.06573829787234042,NO
0.19505,YES
0.06173829787234043,NO
0.07415,NO
0.0431,NO
0.03145,NO
0.12297659574468085,NO
0.10537659574468085,YES
0.10938829787234043,NO
0.1711,YES
0.13120319148936171,NO
0.1257,YES
0.0877,NO
0.06505,NO
0.18095,NO
0.08575,NO
0.1726,YES
0.21614148936170213,NO
0.15027659574468086,YES
0.03545,NO
0.0366,NO
0.16533829787234042,YES
0.07582659574468086,YES
0.054526595744680856,YES
0.21087978723404255,YES
0.06511489361702127,NO
0.0278,NO
0.26145,YES
0.05015,NO
0.33977446808510636,YES
0.044000000000000004,NO
0.14295,NO
0.06315,NO
0.09612659574468085,NO
0.08426489361702127,NO
0.07282659574468085,YES
0.0508,NO
0.21712978723404253,YES
0.19152446808510637,NO
0.12862659574468085,YES
0.06385,NO
0.04065,NO
0.1993031914893617,NO
0.08666489361702127,NO
0.151,YES
0.11845,NO
0.21315,YES
0.07882659574468084,NO
0.07716489361702128,NO
0.13650638297872342,YES
0.21021489361702125,YES
0.15382659574468086,YES
0.48135531914893614,YES
0.07891489361702128,NO
0.05961489361702127,NO
0.11248829787234042,YES
0.09855,NO
0.130768085106383,YES
0.0709,NO
0.15631489361702128,NO
0.13655,NO
0.20061808510638302,NO
0.09553829787234043,NO
0.14521489361702128,YES
0.09303829787234043,NO
0.15852659574468086,YES
0.09667659574468085,NO
0.16456489361702126,YES
0.17732127659574468,NO
0.13384148936170212,NO
0.10182659574468085,NO
0.199836170212766,NO
0.13982978723404255,YES
0.08057659574468085,NO
0.12417978723404255,YES
0.07068829787234042,NO
0.051500000000000004,NO
0.1695531914893617,YES
0.18552659574468086,YES
0.1918382978723404,YES
0.16156489361702125,YES
0.04905,NO
0.0396,NO
0.19904148936170213,YES
0.0918,NO
0.226418085106383,YES
0.0671,NO
0.146868085106383,NO
0.0518,NO
0.0351,NO
0.09125,NO
0.2532329787234043,YES
0.0886,NO
0.3076765957446808,YES
0.10842978723404255,NO
0.25097659574468084,YES
0.08385,NO
0.10496489361702127,NO
0.14925,NO
0.21633617021276602,NO
0.13458829787234042,YES
0.12553829787234042,NO
0.13852659574468085,YES
0.05513829787234043,NO
0.0197,NO
0.06905,NO
0.1054,NO
0.0338,NO
0.04785,NO
0.12261808510638299,NO
0.05366489361702127,NO
0.1296,NO
0.1071031914893617,NO
0.03925,NO
0.08451489361702128,NO
0.21125,YES
0.32797446808510633,YES
0.1969,YES
0.0383,NO
0.15257127659574465,NO
0.03985,NO
0.02655,NO
0.10946489361702127,NO
0.049138297872340427,NO
0.033788297872340424,NO
0.09044148936170213,NO
0.07197659574468085,NO
0.02705,NO
0.08425,NO
0.02705,NO
0.10525,NO
0.07258829787234042,YES
0.1445,YES
0.1376,NO
0.08265,NO
0.0407,NO
0.05242659574468085,NO
0.16449999999999998,YES
0.06245,YES
0.0484,NO
0.08658829787234043,NO
0.02665,NO
0.0892,NO
0.09368829787234043,NO
0.08583829787234043,NO
0.0781,NO
0.17502659574468085,YES
0.16814787234042555,NO
0.09075,YES
0.0168,NO
0.18675,YES
0.04385,NO
0.05815,NO
0.0209,NO
0.0677,NO
0.0474,NO
0.07035,NO
0.04105,NO
0.0447,NO
0.0208,NO
0.07037978723404255,NO
0.08142659574468085,YES
0.16557659574468087,YES
0.16522659574468085,YES
0.10725319148936169,YES
0.12064468085106383,NO
0.028226595744680852,NO
0.09995,YES
0.05545,NO
0.06945,YES
0.0498,NO
0.15204148936170211,NO
0.18204468085106384,NO
0.12216489361702126,NO
0.020838297872340428,NO
0.10615,YES
0.031176595744680853,NO
0.251268085106383,YES
0.07322659574468085,NO
0.19454148936170212,YES
0.042576595744680854,NO
0.01935,NO
0.19969787234042555,NO
0.08247978723404255,NO
0.08922659574468085,YES
0.0404,NO
0.07722659574468085,YES
0.19417659574468085,YES
0.0132,YES
0.17365,NO
0.07775,NO
0.0453,NO
0.07477659574468085,NO
0.12363829787234043,YES
0.2092,YES
0.05555,NO
0.07212659574468085,NO
0.048499999999999995,NO
0.0529,NO
0.08705,NO
0.08992659574468086,NO
0.066,NO
0.07817659574468085,YES
0.1659595744680851,NO
0.1621,YES
0.01485,NO
0.17035,YES
0.01935,NO
0.03105,NO
0.038,NO
0.0633,NO
0.0363,NO
0.096,NO
0.0564,NO
0.04065,NO
0.08317659574468085,NO
0.10741808510638298,NO
0.08146489361702128,NO
0.12967659574468085,NO
0.0896031914893617,NO
0.24215106382978724,NO
0.03985,NO
0.11791808510638299,NO
0.1386031914893617,NO
0.10595,YES
0.15927127659574467,NO
0.09815,YES
0.194968085106383,NO
0.280436170212766,NO
0.17839148936170213,NO
0.0707,NO
0.11297978723404255,NO
0.09353829787234043,NO
0.08792659574468085,NO
0.13551489361702126,NO
0.10786489361702128,NO
0.1039031914893617,YES
0.09811489361702128,YES
0.15351808510638298,YES
0.1814563829787234,YES
0.09017659574468086,NO
0.10169148936170212,YES
0.12332978723404256,NO
0.2657063829787234,YES
0.0244,YES
0.14115,NO
0.0792,NO
0.0325,NO
0.055176595744680854,NO
0.10387659574468086,YES
0.22495,YES
0.04735,NO
0.06458829787234042,NO
0.03225,NO
0.05475,NO
0.08325,NO
0.09487659574468085,NO
0.07315,NO
0.06305,YES
0.03703829787234043,NO
0.2001882978723404,YES
0.01645,NO
0.17885,YES
0.031,NO
0.02385,NO
0.02285,NO
0.0637,NO
0.03405,NO
0.07135,NO
0.061476595744680854,NO
0.03845,NO
0.18812127659574468,NO
0.041288297872340424,NO
0.09547659574468086,NO
0.0889,NO
0.08316489361702127,NO
0.49214361702127657,NO
0.08708829787234043,NO
0.12936808510638298,NO
0.08765,NO
0.09035,YES
0.07763829787234043,NO
0.1409,YES
0.1219,NO
0.11925,NO
0.1088,NO
0.050988297872340424,NO
0.0911531914893617,NO
0.10692978723404255,NO
0.06202659574468085,NO
0.1143,NO
0.0402,NO
0.0486,YES
0.0525,YES
0.06185,YES
0.24293297872340425,YES
0.09685,NO
0.27031595744680853,YES
0.0526,NO
