UPPERTRACED_RFUNDER_SINGLE_LSA_MAX.csv,Associated
0.1421,NO
0.4397,YES
0.0607,NO
0.2347,YES
0.2118,NO
0.2048,NO
0.2045,NO
0.0849,NO
0.1035,NO
0.0824,NO
0.0975,NO
0.1702,NO
0.1518,NO
0.3372,YES
0.3303,YES
0.314,YES
0.1257,YES
0.1375,NO
0.4556962025316455,YES
0.099,NO
0.7974683544303797,NO
0.10126582278481013,NO
0.5095,YES
0.17721518987341772,YES
0.1227,YES
0.2847,YES
0.2237,NO
0.8101265822784809,NO
0.3266,YES
0.17721518987341772,NO
0.3289,YES
0.1059,NO
0.2131,NO
0.1496,NO
0.1474,NO
0.10126582278481013,NO
0.27848101265822783,YES
0.10126582278481013,NO
0.7341772151898733,YES
0.2129,NO
0.5949367088607594,YES
0.5316455696202531,NO
0.5949367088607594,NO
0.3025,NO
0.12658227848101264,NO
0.3399,YES
0.2516,NO
0.2081,YES
0.1799,NO
0.1547,NO
0.3595,YES
0.2156,NO
0.1535,NO
0.4159,YES
0.1827,NO
0.1097,NO
0.5448,YES
0.191,NO
0.4381,YES
0.1528,NO
0.3264,NO
0.3203,NO
0.6329113924050632,NO
0.430379746835443,NO
0.21899999999999997,NO
0.1398,NO
0.3673,NO
0.1451,NO
0.2637,NO
0.1991,NO
0.1784,NO
0.3767,NO
0.5949367088607594,NO
0.3794,YES
0.3359,NO
0.2874,YES
0.3924050632911392,NO
0.16455696202531644,NO
0.2475,YES
0.2794,YES
0.2232,YES
0.2213,YES
0.1233,NO
0.050632911392405056,NO
0.2799,YES
0.2328,NO
0.2608,YES
0.1095,NO
0.2365,NO
0.2061,NO
0.2048,NO
0.20253164556962025,NO
0.1795,YES
0.18987341772151894,NO
0.27,YES
0.12658227848101264,NO
0.1913,YES
0.2397,NO
0.2111,NO
0.2935,NO
0.1155,NO
0.243,YES
0.1959,NO
0.198,YES
0.1636,NO
0.1646,NO
0.3881,YES
0.1762,NO
0.1649,NO
0.4197,YES
0.1681,NO
0.153,NO
0.6708860759493671,YES
0.159,NO
0.493,YES
0.1456,NO
0.2244,NO
0.1542,NO
0.1277,NO
0.1775,NO
0.2106,NO
0.1654,NO
0.3557,NO
0.0902,NO
0.2663,NO
0.2911392405063291,NO
0.620253164556962,NO
0.3901,NO
0.21600000000000003,NO
1.0,YES
0.4810126582278481,NO
0.3239,YES
0.3924050632911392,NO
0.16455696202531644,NO
0.0544,YES
0.1967,YES
0.1251,YES
0.0526,YES
0.0389,NO
0.050632911392405056,NO
0.1204,YES
0.1152,NO
0.050632911392405056,YES
0.10126582278481013,NO
0.171,NO
0.17721518987341772,NO
0.1785,NO
0.20253164556962025,NO
0.1652,YES
0.18987341772151894,NO
0.1533,YES
0.1347,NO
0.12658227848101264,YES
0.10126582278481013,NO
0.10126582278481013,NO
0.10126582278481013,NO
0.037974683544303785,NO
0.11392405063291138,YES
0.037974683544303785,NO
0.11392405063291138,YES
0.3024,YES
0.10126582278481013,YES
0.3670886075949367,NO
0.1548,NO
0.6582278481012658,NO
0.1506,NO
0.2394,YES
0.3693,YES
0.1404,NO
0.0758,NO
0.430379746835443,NO
0.067,NO
0.2131,NO
0.16,NO
0.1446,NO
0.0844,YES
0.13924050632911392,NO
0.2419,YES
0.20253164556962025,NO
0.2985,YES
0.12658227848101264,NO
0.102,NO
0.6835443037974683,NO
0.18987341772151894,NO
0.1193,NO
0.2177,NO
0.15,NO
0.0996,NO
0.7974683544303797,NO
0.10126582278481013,NO
0.3068,YES
0.17721518987341772,YES
0.08860759493670886,YES
0.3166,YES
0.10126582278481013,NO
0.8101265822784809,NO
0.5456,YES
0.17721518987341772,NO
0.3771,YES
0.0765,NO
0.3042,NO
0.1867,NO
0.2024,NO
0.10126582278481013,NO
0.27848101265822783,YES
0.10126582278481013,NO
0.7341772151898733,YES
0.0821,NO
0.5949367088607594,YES
0.5316455696202531,NO
0.5949367088607594,NO
0.3023,NO
0.12658227848101264,NO
0.2966,YES
0.2621,NO
0.3631,YES
0.7974683544303797,NO
0.10126582278481013,NO
0.4277,YES
0.2214,YES
0.2007,YES
0.2467,YES
0.2192,NO
0.8101265822784809,NO
0.3035,YES
0.1886,NO
0.2922,YES
0.1088,NO
0.2277,NO
0.1763,NO
0.1744,NO
0.10126582278481013,NO
0.27848101265822783,YES
0.10126582278481013,NO
0.7341772151898733,YES
0.1968,NO
0.5949367088607594,YES
0.5316455696202531,NO
0.5949367088607594,NO
0.3004,NO
0.1322,NO
0.3039,YES
0.2341,NO
0.2137,YES
0.7974683544303797,NO
0.1099,NO
0.526,YES
0.17721518987341772,YES
0.1996,YES
0.3297,YES
0.22699999999999998,NO
0.8101265822784809,NO
0.3372,YES
0.17721518987341772,NO
0.3901,YES
0.1022,NO
0.1483,NO
0.10126582278481013,NO
0.10126582278481013,NO
0.2034,NO
0.27848101265822783,YES
0.1975,NO
0.7341772151898733,YES
0.1773,NO
0.5949367088607594,YES
0.5316455696202531,NO
0.5949367088607594,NO
0.3619,NO
0.1715,NO
0.3452,YES
0.3259,NO
0.258,YES
0.7974683544303797,NO
0.10126582278481013,NO
0.3094,YES
0.17721518987341772,YES
0.08860759493670886,YES
0.2941,YES
0.10126582278481013,NO
0.8101265822784809,NO
0.5229,YES
0.17721518987341772,NO
0.3604,YES
0.08800000000000001,NO
0.2859,NO
0.1263,NO
0.1497,NO
0.1047,NO
0.27848101265822783,YES
0.1016,NO
0.7341772151898733,YES
0.0639,NO
0.5949367088607594,YES
0.5316455696202531,NO
0.5949367088607594,NO
0.3135,NO
0.12658227848101264,NO
0.302,YES
0.2369,NO
0.4263,YES
0.3924050632911392,NO
0.16455696202531644,NO
0.1028,YES
0.3566,YES
0.2651,YES
0.1542,YES
0.094,NO
0.0554,NO
0.2037,YES
0.1971,NO
0.1126,YES
0.1418,NO
0.2488,NO
0.2731,NO
0.2523,NO
0.20253164556962025,NO
0.2266,YES
0.18987341772151894,NO
0.2745,YES
0.1508,NO
0.2653,YES
0.1206,NO
0.1613,NO
0.1611,NO
0.1018,NO
0.152,YES
0.1186,NO
0.1207,YES
0.3924050632911392,NO
0.16455696202531644,NO
0.254,YES
0.3285,YES
0.3624,YES
0.2593,YES
0.0981,NO
0.0792,NO
0.2917,YES
0.1836,NO
0.3039,YES
0.1342,NO
0.1448,NO
0.17721518987341772,NO
0.12658227848101264,NO
0.20253164556962025,NO
0.2937,YES
0.18987341772151894,NO
0.5728,YES
0.12658227848101264,NO
0.4594,YES
0.1677,NO
0.1461,NO
0.2985,NO
0.1348,NO
0.2479,YES
0.2298,NO
0.2345,YES
0.08900000000000001,NO
0.5063291139240506,NO
0.1381,NO
0.2108,NO
0.0676,NO
0.0957,NO
0.0963,NO
0.0435,NO
0.2592,NO
0.1291,NO
0.0785,NO
0.1052,NO
0.4225,YES
0.3368,YES
0.3938,YES
0.08860759493670886,NO
0.0711,NO
0.0797,NO
0.0531,NO
0.8101265822784809,NO
0.26582278481012656,NO
0.0463,NO
0.0745,NO
0.1014,NO
0.0541,NO
0.1685,NO
0.0541,NO
0.2105,NO
0.1239,YES
0.289,YES
0.3670886075949367,NO
0.1653,NO
0.6582278481012658,NO
0.0623,NO
0.32899999999999996,YES
0.1249,YES
0.0968,NO
0.1519,NO
0.430379746835443,NO
0.1784,NO
0.1661,NO
0.1504,NO
0.1562,NO
0.3075,YES
0.13924050632911392,NO
0.1815,YES
0.20253164556962025,NO
0.3735,YES
0.12658227848101264,NO
0.1163,NO
0.6835443037974683,NO
0.18987341772151894,NO
0.0948,NO
0.1407,NO
0.0821,NO
0.0894,NO
0.3924050632911392,NO
0.16455696202531644,NO
0.1203,YES
0.2886,YES
0.2879,YES
0.1294,YES
0.0498,NO
0.050632911392405056,NO
0.1999,YES
0.1109,NO
0.1389,YES
0.10126582278481013,NO
0.1977,NO
0.17721518987341772,NO
0.1805,NO
0.20253164556962025,NO
0.2123,YES
0.18987341772151894,NO
0.3536,YES
0.12658227848101264,NO
0.2827,YES
0.10126582278481013,NO
0.10126582278481013,NO
0.1228,NO
0.037974683544303785,NO
0.1359,YES
0.0808,NO
0.11392405063291138,YES
0.3458,YES
0.10126582278481013,YES
0.3670886075949367,NO
0.1555,NO
0.6582278481012658,NO
0.107,NO
0.226,YES
0.4184,YES
0.1111,NO
0.1017,NO
0.430379746835443,NO
0.1058,NO
0.1741,NO
0.1373,NO
0.132,NO
0.1138,YES
0.13924050632911392,NO
0.3242,YES
0.20253164556962025,NO
0.3407,YES
0.12658227848101264,NO
0.0621,NO
0.6835443037974683,NO
0.18987341772151894,NO
0.0726,NO
0.192,NO
0.1128,NO
0.0813,NO
0.1238,NO
0.0659,NO
0.0991,NO
0.2168,NO
0.18987341772151894,NO
0.1226,NO
0.3670886075949367,NO
0.0869,NO
0.1921,NO
0.22784810126582275,YES
0.0845,NO
0.1963,YES
0.24100000000000002,NO
0.263,NO
0.2504,NO
0.1414,NO
0.10126582278481013,NO
0.1658,NO
0.1333,NO
0.2072,NO
0.1519,NO
0.1227,YES
0.1324,YES
0.1581,YES
0.1927,YES
0.1378,NO
0.4556962025316455,YES
0.11900000000000001,NO
0.3612,YES
0.10126582278481013,YES
0.3670886075949367,NO
0.1584,NO
0.6582278481012658,NO
0.0678,NO
0.1652,YES
0.4499,YES
0.0947,NO
0.1079,NO
0.430379746835443,NO
0.1095,NO
0.1665,NO
0.1472,NO
0.1463,NO
0.1261,YES
0.13924050632911392,NO
0.3791,YES
0.20253164556962025,NO
0.3577,YES
0.12658227848101264,NO
0.0477,NO
0.6835443037974683,NO
0.18987341772151894,NO
0.0681,NO
0.1427,NO
0.0804,NO
0.0769,NO
0.1422,NO
0.0613,NO
0.1484,NO
0.1778,NO
0.18987341772151894,NO
0.1545,NO
0.3670886075949367,NO
0.1098,NO
0.1753,NO
0.22784810126582275,YES
0.134,NO
0.2818,YES
0.2438,NO
0.2385,NO
0.2176,NO
0.0807,NO
0.10126582278481013,NO
0.0862,NO
0.0815,NO
0.2286,NO
0.0804,NO
0.0972,YES
0.105,YES
0.1237,YES
0.2731,YES
0.1937,NO
0.4556962025316455,YES
0.1052,NO
