NONETRACED_SUM_SINGLE_VSM_MEDIAN.csv,Associated
2.0152,YES
2.05455,YES
1.6873999999999998,YES
1.0191,NO
0.33705,NO
1.68075,YES
0.5759,NO
1.70145,YES
0.6119,NO
1.0261500000000001,NO
1.0971,NO
1.1084,NO
0.41950000000000004,NO
2.628,YES
0.41495,NO
2.50635,YES
1.0087,NO
2.0167,YES
0.8554,NO
1.0078,NO
1.4676,NO
0.8828,NO
1.5914,YES
1.33105,NO
1.58675,YES
0.78425,NO
0.6678999999999999,NO
0.98495,NO
1.39855,NO
1.1354000000000002,NO
1.22405,NO
1.05125,NO
0.5733,NO
1.05605,NO
1.61725,YES
1.1629,NO
1.36205,YES
0.7566999999999999,NO
0.8998,NO
0.7783,NO
0.53625,NO
1.54715,NO
0.6051,NO
1.1429,NO
1.06405,NO
1.04865,NO
1.7201,YES
1.8200500000000002,YES
1.8118,YES
1.5262,YES
1.15645,NO
1.3614,YES
1.0981,NO
0.64835,NO
0.7753,NO
0.93365,YES
2.2983000000000002,YES
2.08155,YES
1.3397000000000001,YES
1.0453999999999999,NO
0.36,NO
1.35205,YES
1.4089,NO
1.2637,YES
1.1572500000000001,NO
0.9599000000000001,NO
1.2026,NO
1.15305,NO
0.5364,NO
2.6357,YES
0.493,NO
2.1288,YES
0.93765,NO
1.92195,YES
1.5158,NO
1.7545000000000002,NO
1.7514999999999998,NO
1.2634,NO
1.21105,YES
1.3039,NO
1.33175,YES
0.7424,NO
0.6716,NO
1.12795,NO
1.0258,NO
0.876,NO
1.369,NO
1.0293999999999999,NO
0.57115,NO
1.3106,NO
1.0432,YES
1.34575,NO
1.11005,YES
0.9953,NO
1.0152999999999999,NO
0.9520000000000001,NO
0.4612,NO
1.2765,NO
0.5252,NO
1.0567,NO
1.10435,NO
0.8513,NO
1.1969,YES
1.2469,YES
1.4853500000000002,YES
1.4151,YES
1.3052,NO
1.26845,YES
1.31825,NO
0.65455,NO
0.8099999999999999,NO
1.4568500000000002,NO
1.28915,NO
1.1814,NO
1.7629,NO
1.1187,NO
0.44335,NO
1.5408,NO
1.47825,YES
1.8275,NO
1.1296,YES
0.71715,NO
0.7769999999999999,NO
0.5546,NO
0.6561,NO
1.7787499999999998,NO
0.58045,NO
1.72725,NO
0.82135,NO
1.418,NO
1.8048,YES
1.78975,YES
2.3458500000000004,YES
1.5102,YES
1.5743,NO
1.9004,YES
1.5277,NO
0.71375,NO
0.64405,NO
0.9647,NO
1.32495,NO
1.08745,NO
1.2415500000000002,NO
1.00325,NO
0.51405,NO
1.1041,NO
1.55835,YES
1.1852,NO
1.27715,YES
0.8042,NO
0.92345,NO
0.8059000000000001,NO
0.46945,NO
1.48095,NO
0.5197,NO
1.0995,NO
0.95775,NO
0.98935,NO
1.69215,YES
1.77125,YES
1.78365,YES
1.4841,YES
1.15595,NO
1.36125,YES
1.1394,NO
0.5252,NO
0.56255,NO
0.6269,NO
1.3194000000000001,NO
1.0017,NO
0.8030999999999999,NO
0.7944,NO
0.34745000000000004,NO
0.7538499999999999,NO
1.53125,YES
0.7376,NO
1.17205,YES
0.63235,NO
0.8007500000000001,NO
0.6980999999999999,NO
0.46675,NO
1.34785,NO
0.44655,NO
0.92665,NO
0.7537499999999999,NO
0.9561,NO
1.5107000000000002,YES
1.633,YES
1.5314999999999999,YES
1.1777,YES
0.73815,NO
1.0244,YES
0.8004999999999999,NO
0.91165,NO
0.9995499999999999,NO
2.6197,YES
1.07385,YES
1.21895,YES
2.92375,YES
1.53895,NO
0.64325,NO
2.753,YES
0.5176,NO
3.0652,YES
0.6157999999999999,NO
1.4788,NO
1.27215,NO
1.1397,NO
0.6191,NO
2.0002,YES
0.63645,NO
2.3521,YES
1.42615,NO
1.53485,YES
1.1761,NO
1.0698,NO
2.382,NO
1.4152500000000001,NO
2.7798,YES
2.3928,NO
2.64005,YES
0.76505,NO
1.0038,NO
2.2350499999999998,YES
1.1292499999999999,NO
1.25655,NO
2.81115,YES
1.353,NO
0.45525,NO
2.8483,YES
0.61175,NO
2.92655,YES
0.65525,NO
1.5618,NO
1.4089,NO
1.2367000000000001,NO
0.5378,NO
2.1371,NO
0.46055,NO
2.3722000000000003,NO
0.9849,NO
1.66835,NO
1.1697,NO
1.113,NO
2.28335,NO
1.3899,NO
2.55505,YES
2.2840499999999997,NO
2.62345,YES
1.1,NO
1.2921,NO
2.6788,YES
2.5442,YES
2.52,YES
3.3796,YES
1.88895,NO
0.6694,NO
3.2565,YES
1.70445,NO
3.4818999999999996,YES
1.4739,NO
1.82,NO
1.81565,NO
1.6195,NO
0.7322000000000001,NO
3.62595,YES
0.7105999999999999,NO
3.4778000000000002,YES
1.50085,NO
2.7016500000000003,YES
2.32815,NO
2.39515,NO
3.42135,NO
2.25755,NO
3.0895,YES
3.0297,NO
3.1970000000000005,YES
0.7253499999999999,NO
0.9934000000000001,NO
2.31695,YES
1.0768,NO
1.2524499999999998,NO
2.8224,YES
1.30815,NO
0.47775,NO
2.75515,YES
0.6711,NO
3.0358,YES
0.6738999999999999,NO
1.3584,NO
1.1352499999999999,NO
0.9804499999999999,NO
0.54335,NO
2.07195,NO
0.47735,NO
2.3829,NO
0.9097000000000001,NO
1.6463,NO
1.29435,NO
1.18445,NO
2.42625,NO
1.4607,NO
2.5847,YES
2.3933999999999997,NO
2.632,YES
0.79915,NO
0.8362999999999999,NO
1.0885999999999998,YES
2.0876,YES
1.9731999999999998,YES
1.4429,YES
1.1677,NO
0.45705,NO
1.5826500000000001,YES
0.8493499999999999,NO
1.3595000000000002,YES
0.8669,NO
1.2302,NO
1.47025,NO
1.4303000000000001,NO
0.58585,NO
2.6846500000000004,YES
0.6096999999999999,NO
2.2494,YES
1.2043,NO
1.9601,YES
0.9773499999999999,NO
1.2619500000000001,NO
1.4047999999999998,NO
1.0217500000000002,NO
1.3114000000000001,YES
1.19055,NO
1.5193999999999999,YES
1.5619,YES
0.82975,YES
1.488,NO
1.06715,NO
0.9802,NO
1.51705,NO
1.37995,YES
1.3765,YES
1.5376,NO
0.68355,NO
1.5011999999999999,NO
0.74825,NO
1.2152999999999998,NO
1.25435,NO
1.2321,NO
0.7114,YES
1.44825,NO
1.3325999999999998,YES
1.21545,NO
1.9912999999999998,YES
0.9318000000000001,NO
0.95545,NO
1.0686499999999999,NO
1.3404500000000001,NO
1.0736999999999999,NO
1.51925,NO
1.2664,NO
1.57975,NO
0.73375,NO
1.0256,NO
2.2585,YES
1.05455,YES
1.2014500000000001,YES
2.8652,YES
1.34955,NO
0.46305,NO
3.0282,YES
0.5764,NO
3.02635,YES
0.63905,NO
1.6883499999999998,NO
1.3967,NO
1.3077,NO
0.47714999999999996,NO
2.04945,YES
0.4063,NO
2.2944,YES
0.983,NO
1.5614,YES
1.1801,NO
1.09805,NO
2.29005,NO
1.4147500000000002,NO
2.6127,YES
2.30785,NO
2.8871,YES
0.8704999999999999,NO
0.94675,NO
2.2102,YES
1.57815,YES
1.5709499999999998,YES
2.62825,YES
1.4564,NO
0.6172,NO
2.48065,YES
1.19205,NO
2.7187,YES
1.0563,NO
1.384,NO
1.25125,NO
1.1506999999999998,NO
0.52505,NO
2.2656,YES
0.5502,NO
2.245,YES
1.26535,NO
1.61715,YES
1.70225,NO
1.68765,NO
2.54865,NO
1.7096500000000001,NO
2.4766999999999997,YES
2.3141,NO
2.4561,YES
0.74895,NO
0.9327000000000001,NO
2.4282999999999997,YES
1.03985,YES
1.2418,YES
2.7340999999999998,YES
1.3372499999999998,NO
0.5298499999999999,NO
2.52365,YES
0.64905,NO
2.9317,YES
0.63675,NO
1.1198,NO
0.9537,NO
0.7565999999999999,NO
0.6251,NO
2.00265,YES
0.59125,NO
2.3770000000000002,YES
1.0227,NO
1.63645,YES
1.2774999999999999,NO
1.1611,NO
2.43555,NO
1.4167,NO
2.5339,YES
2.39025,NO
2.4281,YES
0.66635,NO
0.9574499999999999,NO
2.12515,YES
0.99155,YES
1.1358,YES
2.6568,YES
1.23535,NO
0.4224,NO
2.8188999999999997,YES
0.53855,NO
2.8389,YES
0.5881500000000001,NO
1.54195,NO
1.2321,NO
1.1621000000000001,NO
0.4527,NO
1.91575,YES
0.38830000000000003,NO
2.17945,YES
0.89245,NO
1.48665,YES
1.1079999999999999,NO
1.0173,NO
2.15985,NO
1.3123500000000001,NO
2.43715,YES
2.1511500000000003,NO
2.7443,YES
0.6188,NO
0.74215,NO
0.819,YES
2.1196,YES
1.9737,YES
1.182,YES
0.9561000000000001,NO
0.32865,NO
1.25745,YES
1.02315,NO
1.10845,YES
0.9311499999999999,NO
0.9565499999999999,NO
1.19285,NO
1.1741,NO
0.535,NO
2.5038500000000004,YES
0.49565000000000003,NO
2.05985,YES
0.9021,NO
1.8634,YES
1.0921,NO
1.3575,NO
1.3613499999999998,NO
1.0017,NO
1.06395,YES
1.06595,NO
1.2061499999999998,YES
0.6891,NO
0.83435,NO
1.7663,YES
1.9907,YES
2.1323499999999997,YES
2.15765,YES
1.1279000000000001,NO
0.41140000000000004,NO
2.0265,YES
0.8414,NO
2.3044,YES
0.74475,NO
0.907,NO
0.9270499999999999,NO
0.8300500000000001,NO
0.55565,NO
2.82375,YES
0.5383,NO
2.92205,YES
0.91115,NO
2.3297,YES
1.2777,NO
1.32885,NO
2.109,NO
1.2342,NO
1.9799499999999999,YES
1.8983,NO
1.94595,YES
0.8142,NO
0.8358500000000001,NO
1.1335,NO
1.1946999999999999,NO
1.021,NO
1.4075499999999999,NO
1.1505999999999998,NO
0.541,NO
1.74375,NO
0.61695,NO
1.3758,NO
0.6906,NO
1.63505,YES
1.5923500000000002,YES
1.6381000000000001,YES
0.48125,NO
1.55675,NO
0.5434000000000001,NO
1.2739,NO
1.2127000000000001,NO
1.01365,NO
0.7709,NO
0.93005,NO
1.179,NO
0.92945,NO
1.3338999999999999,NO
1.08375,NO
1.7475,NO
0.70485,YES
0.9099499999999999,YES
0.7604500000000001,NO
0.68535,NO
0.53855,NO
0.5924,NO
1.1412499999999999,YES
0.5741,YES
0.61125,NO
0.4451,NO
0.5454,NO
0.505,NO
0.56415,NO
0.69335,NO
0.6649,NO
0.89865,YES
0.7708,NO
0.7402500000000001,YES
0.6095,NO
1.3772,YES
0.5636000000000001,NO
0.5543,NO
0.57565,NO
0.64635,NO
0.56195,NO
0.6436000000000001,NO
0.55365,NO
0.6533,NO
0.58645,NO
0.72705,NO
1.3758,YES
2.043,YES
2.1204,YES
1.7607,YES
1.019,NO
0.30870000000000003,NO
1.80005,YES
0.57185,NO
1.81295,YES
0.5961,NO
1.1023999999999998,NO
1.1444,NO
1.1674,NO
0.3769,NO
2.72945,YES
0.3503,NO
2.61025,YES
0.9407000000000001,NO
2.1341,YES
0.87875,NO
1.0154,NO
1.5300999999999998,NO
0.92275,NO
1.63215,YES
1.393,NO
1.7026,YES
1.42025,YES
0.5452,YES
1.07115,NO
0.7253499999999999,NO
0.6369,NO
0.9342,NO
1.0147,YES
1.31255,YES
0.89195,NO
0.43685,NO
0.9101,NO
0.50315,NO
0.70985,NO
0.7963,NO
0.7840499999999999,NO
0.6221,YES
0.93275,NO
1.3181999999999998,YES
0.7919,NO
1.7563,YES
0.60995,NO
0.5893,NO
0.6919000000000001,NO
0.83745,NO
0.6508,NO
1.00405,NO
0.7814,NO
0.9240999999999999,NO
0.7123499999999999,NO
0.59365,NO
0.6101,NO
1.0959,NO
0.83445,NO
0.8181,NO
0.83525,NO
0.4991,NO
0.9138499999999999,NO
1.08,YES
0.71655,NO
1.0922,YES
0.87055,NO
1.08295,NO
0.9881,NO
0.52695,NO
1.24465,NO
0.63485,NO
0.8792,NO
0.9532,NO
0.8532,NO
1.0169,YES
1.2019,YES
1.1218000000000001,YES
1.14465,YES
0.73795,NO
0.8406,YES
0.9121,NO
1.3503,YES
0.45894999999999997,YES
0.78195,NO
0.6261000000000001,NO
0.5218,NO
0.5927,NO
0.82855,YES
1.2844,YES
0.57715,NO
0.37274999999999997,NO
0.5703,NO
0.42610000000000003,NO
0.5086,NO
0.63315,NO
0.63715,NO
0.59395,YES
0.74285,NO
1.3172000000000001,YES
0.59055,NO
1.63495,YES
0.5186,NO
0.4475,NO
0.548,NO
0.5872499999999999,NO
0.4819,NO
0.6777500000000001,NO
0.5104,NO
0.6154,NO
0.77295,NO
0.582,NO
0.8259000000000001,NO
0.84895,NO
0.6849000000000001,NO
1.0502,NO
0.9179,NO
0.5936999999999999,NO
1.0098,NO
0.8224,YES
0.9497500000000001,NO
0.99985,YES
0.8287,NO
0.93585,NO
0.8694000000000001,NO
0.5011,NO
1.0454,NO
0.6242500000000001,NO
0.7941499999999999,NO
1.1477000000000002,NO
0.6798500000000001,NO
0.8673,YES
0.96925,YES
1.0553000000000001,YES
1.1584999999999999,YES
1.02265,NO
0.9164,YES
0.985,NO
