LOWERTRACED_RFSMOTE_SINGLE_LSA_MEDIAN.csv,Associated
0.28385,NO
0.38005,NO
0.0842,NO
0.06125,NO
0.3679,NO
0.2014,YES
0.37385,NO
0.1452,YES
0.11435,NO
0.1028,NO
0.09945,NO
0.027000000000000003,NO
0.25845,NO
0.02735,NO
0.2391,NO
0.10095,NO
0.24964999999999998,NO
0.19485,YES
0.1806,YES
0.13955,YES
0.1447,YES
0.4063,NO
0.08765,YES
0.34395,NO
0.10425000000000001,NO
0.0937,NO
0.08845,YES
0.19235000000000002,YES
0.13655,YES
0.10155,YES
0.09925,NO
0.0852,NO
0.13840000000000002,YES
0.14989999999999998,NO
0.088,YES
0.09295,NO
0.1126,NO
0.12855,NO
0.11875,NO
0.12765,NO
0.12225,YES
0.1255,NO
0.14115,YES
0.126,NO
0.13775,YES
0.12245,NO
0.1303,NO
0.1314,NO
0.0716,NO
0.10805000000000001,YES
0.0758,NO
0.1013,YES
0.07075,NO
0.03725,NO
0.12905,NO
0.115,NO
0.09735,NO
0.10984999999999999,NO
0.08265,NO
0.0768,NO
0.10994999999999999,NO
0.10445,YES
0.11224999999999999,NO
0.12735,YES
0.12595,NO
0.1018,NO
0.10165,NO
0.02665,NO
0.0725,NO
0.027999999999999997,NO
0.07565,NO
0.1128,NO
0.06945,NO
0.09895000000000001,YES
0.07725,YES
0.10005,YES
0.16040000000000001,YES
0.13025,NO
0.08785,YES
0.07654999999999999,NO
0.04745,NO
0.06695,NO
0.192,NO
0.09835,NO
0.0718,NO
0.18395,NO
0.06695,NO
0.04835,NO
0.1899,NO
0.1764,YES
0.1972,NO
0.0918,YES
0.06655,NO
0.03675,NO
0.03235,NO
0.102,NO
0.06635,NO
0.08275,NO
0.155,NO
0.06545,NO
0.14095,NO
0.2071,YES
0.1698,YES
0.25205,YES
0.09415,YES
0.1765,NO
0.13865,YES
0.1663,NO
0.07195,NO
0.03845,NO
0.09765,NO
0.1621,NO
0.14734999999999998,NO
0.09115,NO
0.0842,NO
0.0602,NO
0.08755,NO
0.20895,YES
0.0914,NO
0.13415,YES
0.1126,NO
0.10205,NO
0.10035,NO
0.0249,NO
0.11574999999999999,NO
0.02575,NO
0.10535,NO
0.0956,NO
0.115,NO
0.2319,YES
0.2047,YES
0.16995,YES
0.16375,YES
0.1103,NO
0.13015,YES
0.0584,NO
0.08135,NO
0.0807,NO
0.07900000000000001,NO
0.1443,NO
0.07135,NO
0.06775,NO
0.07525,NO
0.0716,NO
0.09605,NO
0.25984999999999997,YES
0.055349999999999996,NO
0.15735,YES
0.15089999999999998,NO
0.1474,NO
0.14725,NO
0.08745,NO
0.05175,NO
0.0862,NO
0.04875,NO
0.1301,NO
0.0759,NO
0.2086,YES
0.20515,YES
0.197,YES
0.10285,YES
0.09375,NO
0.0964,YES
0.07450000000000001,NO
0.05345,NO
0.02255,NO
0.49474999999999997,YES
0.39655,YES
0.38635,YES
0.38234999999999997,YES
0.11185,NO
0.05325,NO
0.4033,YES
0.2337,NO
0.40445,YES
0.23795,NO
0.26655,NO
0.2348,NO
0.23370000000000002,NO
0.0451,NO
0.37465000000000004,YES
0.04375,NO
0.44345,YES
0.10645,NO
0.39105,YES
0.24855,NO
0.225,NO
0.33625,NO
0.245,NO
0.40995,YES
0.31079999999999997,NO
0.34404999999999997,YES
0.08995,NO
0.07735,NO
0.58975,YES
0.1228,NO
0.09175,NO
0.61795,YES
0.09135,NO
0.05485,NO
0.6823999999999999,YES
0.5955,NO
0.62905,YES
0.5764,NO
0.32320000000000004,NO
0.32015,NO
0.2924,NO
0.0855,NO
0.12449999999999999,NO
0.0699,NO
0.19865,NO
0.07255,NO
0.14684999999999998,NO
0.59955,NO
0.5892,NO
0.68835,NO
0.59585,NO
0.5997,YES
0.66795,NO
0.5537,YES
0.059899999999999995,NO
0.0382,NO
0.58875,YES
0.2547,YES
0.22660000000000002,YES
0.57565,YES
0.08165,NO
0.0437,NO
0.60495,YES
0.5614,NO
0.5954,YES
0.49975,NO
0.12825,NO
0.11305,NO
0.1124,NO
0.042800000000000005,NO
0.20475,YES
0.0421,NO
0.25,YES
0.0812,NO
0.21065,YES
0.56485,NO
0.55055,NO
0.59175,NO
0.50275,NO
0.5865,YES
0.54295,NO
0.5640000000000001,YES
0.0818,NO
0.0823,NO
0.20905,YES
0.1081,NO
0.10245,NO
0.22485,YES
0.08405,NO
0.0765,NO
0.2519,YES
0.1195,NO
0.2615,YES
0.11280000000000001,NO
0.2822,NO
0.24710000000000001,NO
0.23385,NO
0.08875,NO
0.1253,NO
0.0827,NO
0.19785,NO
0.0451,NO
0.15314999999999998,NO
0.1509,NO
0.1282,NO
0.23505,NO
0.14800000000000002,NO
0.21600000000000003,YES
0.2192,NO
0.17695,YES
0.02335,NO
0.0092,NO
0.0272,YES
0.16835,YES
0.13255,YES
0.0263,YES
0.01945,NO
0.0049,NO
0.0602,YES
0.15760000000000002,NO
0.0217,YES
0.1497,NO
0.22050000000000003,NO
0.22165,NO
0.22425,NO
0.0316,NO
0.1526,YES
0.0307,NO
0.14665,YES
0.06735,NO
0.1306,YES
0.10750000000000001,NO
0.13570000000000002,NO
0.13490000000000002,NO
0.11750000000000001,NO
0.0336,YES
0.1189,NO
0.03185,YES
0.3962,YES
0.2691,YES
0.2867,NO
0.2474,NO
0.24295,NO
0.18030000000000002,NO
0.3647,YES
0.42965,YES
0.1752,NO
0.3729,NO
0.18085,NO
0.36850000000000005,NO
0.60655,NO
0.58,NO
0.5723,NO
0.2872,YES
0.21750000000000003,NO
0.36595,YES
0.18300000000000002,NO
0.39425,YES
0.18885000000000002,NO
0.386,NO
0.38135,NO
0.39795,NO
0.39465,NO
0.21384999999999998,NO
0.41000000000000003,NO
0.1548,NO
0.04195,NO
0.0336,NO
0.5984,YES
0.3177,YES
0.30010000000000003,YES
0.6033,YES
0.0434,NO
0.03385,NO
0.7178,YES
0.2819,NO
0.6335500000000001,YES
0.27325,NO
0.1521,NO
0.09335,NO
0.1012,NO
0.042,NO
0.31635,YES
0.03865,NO
0.4101,YES
0.04105,NO
0.35845,YES
0.30265,NO
0.2821,NO
0.38615,NO
0.29385,NO
0.5932999999999999,YES
0.36605,NO
0.6265499999999999,YES
0.0639,NO
0.0287,NO
0.36385,YES
0.2907,YES
0.28035,YES
0.27335,YES
0.11460000000000001,NO
0.06325,NO
0.30174999999999996,YES
0.1743,NO
0.29610000000000003,YES
0.1344,NO
0.15885,NO
0.13315,NO
0.13219999999999998,NO
0.052399999999999995,NO
0.256,YES
0.0491,NO
0.29335,YES
0.1034,NO
0.2587,YES
0.1867,NO
0.1723,NO
0.23020000000000002,NO
0.1461,NO
0.30195,YES
0.19705,NO
0.25685,YES
0.0671,NO
0.05495,NO
0.318,YES
0.13115,YES
0.1498,YES
0.21985,YES
0.11349999999999999,NO
0.0811,NO
0.2236,YES
0.0551,NO
0.25005,YES
0.0511,NO
0.12915,NO
0.09809999999999999,NO
0.08645,NO
0.1017,NO
0.1341,YES
0.09875,NO
0.22110000000000002,YES
0.08865,NO
0.17570000000000002,YES
0.0877,NO
0.06505,NO
0.18095,NO
0.08575,NO
0.2276,YES
0.16295,NO
0.184,YES
0.03545,NO
0.0366,NO
0.1847,YES
0.11455,YES
0.09325,YES
0.17704999999999999,YES
0.0332,NO
0.0278,NO
0.29145,YES
0.11515,NO
0.2102,YES
0.10900000000000001,NO
0.64295,NO
0.56315,NO
0.57485,NO
0.05235,NO
0.11155,YES
0.0508,NO
0.2133,YES
0.03195,NO
0.16735,YES
0.12885000000000002,NO
0.10565,NO
0.22175,NO
0.11975,NO
0.181,YES
0.18345,NO
0.24315,YES
0.05755,NO
0.04525,NO
0.0714,YES
0.5083,YES
0.46255,YES
0.0971,YES
0.047,NO
0.0277,NO
0.12185,YES
0.10355,NO
0.0763,YES
0.07590000000000001,NO
0.1244,NO
0.13655,NO
0.12615,NO
0.0849,NO
0.4433,YES
0.0824,NO
0.46725000000000005,YES
0.0754,NO
0.46265,YES
0.0653,NO
0.08565,NO
0.08555,NO
0.0559,NO
0.096,YES
0.0643,NO
0.08035,YES
0.06005,NO
0.051500000000000004,NO
0.147,YES
0.48925,YES
0.5062,YES
0.14964999999999998,YES
0.04905,NO
0.0396,NO
0.16585,YES
0.1018,NO
0.17195,YES
0.0771,NO
0.0724,NO
0.0518,NO
0.0351,NO
0.09125,NO
0.47185,YES
0.0886,NO
0.6113999999999999,YES
0.0446,NO
0.5547,YES
0.09384999999999999,NO
0.08305,NO
0.15925,NO
0.0774,NO
0.14395,YES
0.1249,NO
0.13724999999999998,YES
0.5445,NO
0.5197,NO
0.07905,NO
0.4104,NO
0.3388,NO
0.05785,NO
0.54815,NO
0.52175,NO
0.1396,NO
0.34954999999999997,NO
0.04925,NO
0.33759999999999996,NO
0.21125,YES
0.1684,YES
0.1969,YES
0.5383,NO
0.34055,NO
0.5398499999999999,NO
0.33155,NO
0.57755,NO
0.34349999999999997,NO
0.30815,NO
0.32225,NO
0.3357,NO
0.31205,NO
0.09425,NO
0.31205,NO
0.11524999999999999,NO
0.06195,YES
0.1445,YES
0.1476,NO
0.36765,NO
0.3257,NO
0.04115,NO
0.16449999999999998,YES
0.06245,YES
0.0584,NO
0.07595,NO
0.03665,NO
0.0892,NO
0.08305,NO
0.0752,NO
0.0781,NO
0.15375,YES
0.31484999999999996,NO
0.09075,YES
0.30179999999999996,NO
0.18675,YES
0.32885,NO
0.05815,NO
0.0209,NO
0.0677,NO
0.0474,NO
0.08034999999999999,NO
0.04105,NO
0.0547,NO
0.0208,NO
0.00655,NO
0.32015,YES
0.18430000000000002,YES
0.18395,YES
0.3247,YES
0.0249,NO
0.00695,NO
0.35995,YES
0.06545,NO
0.32945,YES
0.0598,NO
0.09885,NO
0.0863,NO
0.09025,NO
0.0102,NO
0.14615,YES
0.0099,NO
0.21680000000000002,YES
0.05195,NO
0.18135,YES
0.0313,NO
0.02935,NO
0.0714,NO
0.028650000000000002,NO
0.32795,YES
0.0504,NO
0.31595,YES
0.2679,YES
0.1082,YES
0.32365,NO
0.13275,NO
0.1003,NO
0.2035,NO
0.20800000000000002,YES
0.3042,YES
0.20555,NO
0.05085,NO
0.19849999999999998,NO
0.0529,NO
0.5620499999999999,NO
0.54365,NO
0.5409999999999999,NO
0.1519,YES
0.0933,NO
0.2571,YES
0.06985,NO
0.26535,YES
0.07435,NO
0.03105,NO
0.038,NO
0.0633,NO
0.0363,NO
0.246,NO
0.0564,NO
0.19065,NO
0.0619,NO
0.03295,NO
0.16954999999999998,NO
0.1284,NO
0.06705,NO
0.1813,NO
0.03985,NO
0.04345,NO
0.21605,NO
0.11095000000000001,YES
0.16225,NO
0.10315,YES
0.1655,NO
0.1765,NO
0.17020000000000002,NO
0.0707,NO
0.06915,NO
0.0829,NO
0.08665,NO
0.1036,NO
0.09595000000000001,NO
0.06635,YES
0.0712,YES
0.08405,YES
0.10135000000000001,YES
0.1889,NO
0.05349999999999999,YES
0.1795,NO
0.2856,YES
0.1294,YES
0.26615,NO
0.2992,NO
0.2525,NO
0.15889999999999999,NO
0.1876,YES
0.32995,YES
0.17235,NO
0.06394999999999999,NO
0.15725,NO
0.06475,NO
0.50825,NO
0.4986,NO
0.49815,NO
0.16804999999999998,YES
0.2464,NO
0.29455,YES
0.23645,NO
0.28385,YES
0.251,NO
0.03385,NO
0.03285,NO
0.0737,NO
0.04405,NO
0.19635,NO
0.0502,NO
0.16344999999999998,NO
0.0711,NO
0.03065,NO
0.0792,NO
0.22390000000000002,NO
0.18625,NO
0.08225,NO
0.07645,NO
0.0549,NO
0.09265000000000001,NO
0.11035,YES
0.07200000000000001,NO
0.1609,YES
0.12689999999999999,NO
0.12425,NO
0.1138,NO
0.04035,NO
0.1836,NO
0.0431,NO
0.17575000000000002,NO
0.1143,NO
0.17520000000000002,NO
0.0686,YES
0.0725,YES
0.08185,YES
0.15655,YES
0.10185000000000001,NO
0.07755,YES
0.0576,NO
