ALLTRACED_RFSMOTE_SINGLE_VSM_MEDIAN.csv,Associated
0.0286,NO
0.6159,YES
0.0278,NO
0.68045,YES
0.07085,NO
0.6275,YES
0.0261,NO
0.03385,NO
0.07195,NO
0.0247,NO
0.58575,YES
0.0482,NO
0.56715,YES
0.0772,NO
0.0366,NO
0.09875,NO
0.1291,NO
0.09885,NO
0.08505,NO
0.0842,NO
0.06125,NO
0.0729,NO
0.7014,YES
0.07885,NO
0.6452,YES
0.09935,NO
0.0878,NO
0.08445,NO
0.027000000000000003,NO
0.07345,NO
0.02735,NO
0.0541,NO
0.10095,NO
0.06465,NO
0.69485,YES
0.6806,YES
0.6395500000000001,YES
0.6447,YES
0.1113,NO
0.58765,YES
0.04895,NO
0.04925,NO
0.0387,NO
0.55345,YES
0.68235,YES
0.6265499999999999,YES
0.56655,YES
0.04425,NO
0.0302,NO
0.6034,YES
0.1299,NO
0.553,YES
0.07295,NO
0.1126,NO
0.12855,NO
0.11875,NO
0.07265,NO
0.61225,YES
0.0705,NO
0.63115,YES
0.071,NO
0.62775,YES
0.10245,NO
0.1103,NO
0.1114,NO
0.0516,NO
0.5730500000000001,YES
0.0558,NO
0.5663,YES
0.07075,NO
0.03725,NO
0.11905,NO
0.095,NO
0.07735,NO
0.09985,NO
0.08265,NO
0.0768,NO
0.09995,NO
0.59945,YES
0.10225,NO
0.62235,YES
0.12595,NO
0.1018,NO
0.10165,NO
0.02665,NO
0.0525,NO
0.027999999999999997,NO
0.05565,NO
0.1128,NO
0.04945,NO
0.59395,YES
0.57225,YES
0.59505,YES
0.6554,YES
0.12025,NO
0.58285,YES
0.06655,NO
0.04745,NO
0.06695,NO
0.11199999999999999,NO
0.09835,NO
0.0718,NO
0.10395,NO
0.06695,NO
0.04835,NO
0.1099,NO
0.6714,YES
0.1172,NO
0.5868,YES
0.06655,NO
0.03675,NO
0.03235,NO
0.102,NO
0.06635,NO
0.08275,NO
0.155,NO
0.06545,NO
0.14095,NO
0.7021,YES
0.6648000000000001,YES
0.74705,YES
0.58915,YES
0.0965,NO
0.63365,YES
0.0863,NO
0.07195,NO
0.03845,NO
0.09765,NO
0.1171,NO
0.10235,NO
0.09115,NO
0.0842,NO
0.0602,NO
0.08755,NO
0.6789499999999999,YES
0.0914,NO
0.60415,YES
0.1126,NO
0.10205,NO
0.10035,NO
0.0249,NO
0.07075,NO
0.02575,NO
0.06035,NO
0.0956,NO
0.07,NO
0.7019,YES
0.6747,YES
0.63995,YES
0.63375,YES
0.1103,NO
0.60015,YES
0.0584,NO
0.03635,NO
0.0357,NO
0.054000000000000006,NO
0.1443,NO
0.07135,NO
0.04275,NO
0.03025,NO
0.0266,NO
0.07105,NO
0.71985,YES
0.03035,NO
0.61735,YES
0.1059,NO
0.1024,NO
0.10225,NO
0.04245,NO
0.05175,NO
0.0412,NO
0.04875,NO
0.0851,NO
0.0759,NO
0.6686,YES
0.66515,YES
0.657,YES
0.56285,YES
0.06875,NO
0.5564,YES
0.0495,NO
0.05345,NO
0.02255,NO
0.75475,YES
0.57155,YES
0.56135,YES
0.64235,YES
0.11185,NO
0.05325,NO
0.6633,YES
0.0487,NO
0.66445,YES
0.05295,NO
0.10655,NO
0.0748,NO
0.0737,NO
0.0451,NO
0.54965,YES
0.04375,NO
0.6184499999999999,YES
0.10645,NO
0.5660499999999999,YES
0.06355,NO
0.04,NO
0.15125,NO
0.06,NO
0.66995,YES
0.1258,NO
0.60405,YES
0.08995,NO
0.07735,NO
0.67975,YES
0.1078,NO
0.07675,NO
0.70795,YES
0.09135,NO
0.05485,NO
0.7724,YES
0.0955,NO
0.71905,YES
0.0764,NO
0.1632,NO
0.16015,NO
0.1324,NO
0.0855,NO
0.10949999999999999,NO
0.0699,NO
0.18365,NO
0.07255,NO
0.13185,NO
0.09955,NO
0.0892,NO
0.18835,NO
0.09585,NO
0.6897,YES
0.16795,NO
0.6436999999999999,YES
0.0399,NO
0.0182,NO
0.62375,YES
0.6396999999999999,YES
0.6116,YES
0.61065,YES
0.06165,NO
0.0237,NO
0.63995,YES
0.1164,NO
0.6304,YES
0.05475,NO
0.11825,NO
0.10305,NO
0.1024,NO
0.0228,NO
0.58975,YES
0.0221,NO
0.635,YES
0.0612,NO
0.59565,YES
0.11985,NO
0.10555,NO
0.14675,NO
0.05775,NO
0.6214999999999999,YES
0.09795,NO
0.599,YES
0.0818,NO
0.0823,NO
0.6940500000000001,YES
0.0881,NO
0.08245,NO
0.70985,YES
0.08405,NO
0.0765,NO
0.7369,YES
0.0795,NO
0.7464999999999999,YES
0.0728,NO
0.1122,NO
0.0771,NO
0.06385,NO
0.08875,NO
0.1053,NO
0.0827,NO
0.17785,NO
0.0451,NO
0.13315,NO
0.1109,NO
0.0882,NO
0.19505,NO
0.10800000000000001,NO
0.7010000000000001,YES
0.1792,NO
0.66195,YES
0.02335,NO
0.0092,NO
0.5272,YES
0.59835,YES
0.56255,YES
0.5263,YES
0.01945,NO
0.0049,NO
0.5602,YES
0.0576,NO
0.5217,YES
0.0497,NO
0.0855,NO
0.08665,NO
0.08925,NO
0.0316,NO
0.5826,YES
0.0307,NO
0.57665,YES
0.06735,NO
0.5606,YES
0.0075,NO
0.0357,NO
0.0349,NO
0.0175,NO
0.5336,YES
0.0189,NO
0.53185,YES
0.6512,YES
0.5241,YES
0.1817,NO
0.0774,NO
0.07295,NO
0.0753,NO
0.6197,YES
0.68465,YES
0.0702,NO
0.0379,NO
0.07585,NO
0.0335,NO
0.10655,NO
0.08,NO
0.0723,NO
0.5422,YES
0.0475,NO
0.62095,YES
0.013000000000000001,NO
0.64925,YES
0.01885,NO
0.051,NO
0.04635,NO
0.06295,NO
0.05965,NO
0.10885,NO
0.075,NO
0.0498,NO
0.04195,NO
0.0336,NO
0.6534,YES
0.5577,YES
0.5401,YES
0.6583,YES
0.0434,NO
0.03385,NO
0.7727999999999999,YES
0.0469,NO
0.68855,YES
0.03825,NO
0.1521,NO
0.09335,NO
0.1012,NO
0.042,NO
0.55635,YES
0.03865,NO
0.6501,YES
0.04105,NO
0.59845,YES
0.06765,NO
0.0471,NO
0.15115,NO
0.05885,NO
0.6483,YES
0.13105,NO
0.68155,YES
0.0589,NO
0.0237,NO
0.71385,YES
0.6107,YES
0.6003499999999999,YES
0.62335,YES
0.1096,NO
0.05825,NO
0.65175,YES
0.0943,NO
0.6461,YES
0.0544,NO
0.11385,NO
0.08815,NO
0.0872,NO
0.0474,NO
0.576,YES
0.0441,NO
0.6133500000000001,YES
0.0984,NO
0.5787,YES
0.1067,NO
0.0923,NO
0.1502,NO
0.0661,NO
0.65195,YES
0.11705,NO
0.60685,YES
0.0671,NO
0.05495,NO
0.763,YES
0.58115,YES
0.5998,YES
0.6648499999999999,YES
0.11349999999999999,NO
0.0811,NO
0.6686,YES
0.0551,NO
0.69505,YES
0.0511,NO
0.07415,NO
0.0431,NO
0.03145,NO
0.1017,NO
0.5841,YES
0.09875,NO
0.6711,YES
0.08865,NO
0.6257,YES
0.0877,NO
0.06505,NO
0.18095,NO
0.08575,NO
0.6726,YES
0.16295,NO
0.629,YES
0.03545,NO
0.0366,NO
0.6547000000000001,YES
0.55455,YES
0.53325,YES
0.64705,YES
0.0332,NO
0.0278,NO
0.76145,YES
0.05015,NO
0.6802,YES
0.044000000000000004,NO
0.14295,NO
0.06315,NO
0.07485,NO
0.05235,NO
0.55155,YES
0.0508,NO
0.6533,YES
0.03195,NO
0.6073500000000001,YES
0.06385,NO
0.04065,NO
0.15675,NO
0.05475,NO
0.651,YES
0.11845,NO
0.71315,YES
0.05755,NO
0.04525,NO
0.5514,YES
0.6783,YES
0.63255,YES
0.5771,YES
0.047,NO
0.0277,NO
0.60185,YES
0.09855,NO
0.5563,YES
0.0709,NO
0.1244,NO
0.13655,NO
0.12615,NO
0.0849,NO
0.6133,YES
0.0824,NO
0.63725,YES
0.0754,NO
0.6326499999999999,YES
0.0603,NO
0.08065,NO
0.08055,NO
0.0509,NO
0.576,YES
0.0593,NO
0.56035,YES
0.06005,NO
0.051500000000000004,NO
0.627,YES
0.66425,YES
0.6812,YES
0.62965,YES
0.04905,NO
0.0396,NO
0.64585,YES
0.0918,NO
0.65195,YES
0.0671,NO
0.0724,NO
0.0518,NO
0.0351,NO
0.09125,NO
0.64685,YES
0.0886,NO
0.7864,YES
0.0446,NO
0.7297,YES
0.08385,NO
0.07305,NO
0.14925,NO
0.0674,NO
0.62395,YES
0.1149,NO
0.61725,YES
0.044500000000000005,NO
0.0197,NO
0.06905,NO
0.1054,NO
0.0338,NO
0.04785,NO
0.04815,NO
0.02175,NO
0.1296,NO
0.06455,NO
0.03925,NO
0.0526,NO
0.7112499999999999,YES
0.6684,YES
0.6969,YES
0.0383,NO
0.03555,NO
0.03985,NO
0.02655,NO
0.07755,NO
0.0385,NO
0.02315,NO
0.03725,NO
0.0507,NO
0.02705,NO
0.08425,NO
0.02705,NO
0.10525,NO
0.56195,YES
0.6445,YES
0.1376,NO
0.08265,NO
0.0407,NO
0.03115,NO
0.6645,YES
0.56245,YES
0.0484,NO
0.07595,NO
0.02665,NO
0.0892,NO
0.08305,NO
0.0752,NO
0.0781,NO
0.65375,YES
0.02985,NO
0.59075,YES
0.0168,NO
0.68675,YES
0.04385,NO
0.05815,NO
0.0209,NO
0.0677,NO
0.0474,NO
0.07035,NO
0.04105,NO
0.0447,NO
0.0208,NO
0.00655,NO
0.56015,YES
0.6443,YES
0.64395,YES
0.5647,YES
0.0249,NO
0.00695,NO
0.59995,YES
0.05545,NO
0.56945,YES
0.0498,NO
0.09885,NO
0.0863,NO
0.09025,NO
0.0102,NO
0.60615,YES
0.0099,NO
0.6768000000000001,YES
0.05195,NO
0.64135,YES
0.0213,NO
0.01935,NO
0.0614,NO
0.01865,NO
0.56795,YES
0.0404,NO
0.5559499999999999,YES
0.6729,YES
0.5132,YES
0.17365,NO
0.07775,NO
0.0453,NO
0.0535,NO
0.613,YES
0.7092,YES
0.05555,NO
0.05085,NO
0.048499999999999995,NO
0.0529,NO
0.08705,NO
0.06865,NO
0.066,NO
0.5569,YES
0.0383,NO
0.6621,YES
0.01485,NO
0.67035,YES
0.01935,NO
0.03105,NO
0.038,NO
0.0633,NO
0.0363,NO
0.096,NO
0.0564,NO
0.04065,NO
0.0619,NO
0.03295,NO
0.04955,NO
0.1084,NO
0.04705,NO
0.0613,NO
0.03985,NO
0.04345,NO
0.09605,NO
0.60595,YES
0.04225,NO
0.59815,YES
0.12050000000000001,NO
0.1315,NO
0.1252,NO
0.0707,NO
0.04915,NO
0.0829,NO
0.06665,NO
0.1036,NO
0.07595,NO
0.56135,YES
0.5662,YES
0.57905,YES
0.59635,YES
0.0689,NO
0.5485,YES
0.059500000000000004,NO
0.6806,YES
0.5244,YES
0.14115,NO
0.0792,NO
0.0325,NO
0.0339,NO
0.5826,YES
0.72495,YES
0.04735,NO
0.05395,NO
0.03225,NO
0.05475,NO
0.08325,NO
0.0736,NO
0.07315,NO
0.56305,YES
0.0264,NO
0.68955,YES
0.01645,NO
0.67885,YES
0.031,NO
0.02385,NO
0.02285,NO
0.0637,NO
0.03405,NO
0.07135,NO
0.0402,NO
0.03845,NO
0.0711,NO
0.03065,NO
0.0742,NO
0.0889,NO
0.05125,NO
0.07725,NO
0.07645,NO
0.0549,NO
0.08765,NO
0.59035,YES
0.067,NO
0.6409,YES
0.1219,NO
0.11925,NO
0.1088,NO
0.04035,NO
0.0486,NO
0.0431,NO
0.04075,NO
0.1143,NO
0.0402,NO
0.5486,YES
0.5525,YES
0.56185,YES
0.63655,YES
0.09685,NO
0.55755,YES
0.0526,NO
