UPPERTRACED_RFSMOTE_SINGLE_LSA_MAX.csv,Associated
0.1343,YES
0.25,NO
0.0732,NO
0.1975,NO
0.82,NO
0.48,NO
0.44,NO
0.62,NO
0.1225,NO
0.1458,NO
0.4028,YES
0.57,NO
0.82,YES
0.22,NO
0.1756,NO
0.23,NO
0.1,NO
0.1469,NO
0.33,NO
0.13,NO
0.38,NO
0.1293,NO
0.95,YES
0.3612,YES
0.64,YES
0.72,YES
0.25,NO
0.59,YES
0.0979,NO
0.0985,NO
0.13,NO
0.1069,YES
0.3647,YES
0.2531,YES
0.68,YES
0.44,NO
0.41,NO
0.2068,YES
0.2598,NO
0.106,YES
0.1459,NO
0.2252,NO
0.2571,NO
0.2375,NO
0.1453,NO
0.2245,YES
0.27,NO
0.2623,YES
0.142,NO
0.2555,YES
0.2049,NO
0.2206,NO
0.2228,NO
0.15,NO
0.1461,YES
0.1116,NO
0.1326,YES
0.25,NO
0.0745,NO
0.2381,NO
0.82,NO
0.48,NO
0.44,NO
0.62,NO
0.1536,NO
0.1999,NO
0.22,YES
0.57,NO
0.82,YES
0.2519,NO
0.2036,NO
0.23,NO
0.1,NO
0.105,NO
0.33,NO
0.13,NO
0.38,NO
0.0989,NO
0.95,YES
0.1445,YES
0.64,YES
0.72,YES
0.25,NO
0.59,YES
0.1331,NO
0.25,NO
0.1339,NO
0.22399999999999998,NO
0.82,NO
0.48,NO
0.44,NO
0.62,NO
0.0967,NO
0.2198,NO
0.3428,YES
0.57,NO
0.82,YES
0.22,NO
0.0735,NO
0.23,NO
0.204,NO
0.1327,NO
0.33,NO
0.31,NO
0.38,NO
0.2819,NO
0.95,YES
0.3296,YES
0.64,YES
0.72,YES
0.25,NO
0.59,YES
0.1726,NO
0.25,NO
0.0769,NO
0.1953,NO
0.82,NO
0.48,NO
0.44,NO
0.62,NO
0.1204,NO
0.1751,NO
0.3579,YES
0.57,NO
0.82,YES
0.2252,NO
0.2041,NO
0.23,NO
0.1,NO
0.1415,NO
0.33,NO
0.13,NO
0.38,NO
0.14,NO
0.95,YES
0.3494,YES
0.64,YES
0.72,YES
0.25,NO
0.59,YES
0.1168,NO
0.25,NO
0.0714,NO
0.16,NO
0.82,NO
0.48,NO
0.44,NO
0.62,NO
0.08,NO
0.1421,NO
0.4397,YES
0.57,NO
0.82,YES
0.22,NO
0.2048,NO
0.23,NO
0.1,NO
0.1035,NO
0.33,NO
0.13,NO
0.38,NO
0.1518,NO
0.95,YES
0.3303,YES
0.64,YES
0.72,YES
0.25,NO
0.59,YES
0.099,NO
0.1069,NO
0.0451,NO
0.5095,YES
0.1431,YES
0.1227,YES
0.2847,YES
0.2237,NO
0.1065,NO
0.3266,YES
0.13,NO
0.3289,YES
0.27,NO
0.2131,NO
0.1496,NO
0.1474,NO
0.0902,NO
0.42,YES
0.0875,NO
0.2369,YES
0.47,NO
0.1321,YES
0.1271,NO
0.08,NO
0.3025,NO
0.12,NO
0.3399,YES
0.2516,NO
0.2081,YES
0.1799,NO
0.1547,NO
0.3595,YES
0.2156,NO
0.1535,NO
0.4159,YES
0.1827,NO
0.37,NO
0.5448,YES
0.191,NO
0.4381,YES
0.1528,NO
0.3264,NO
0.41,NO
0.96,NO
0.73,NO
0.21899999999999997,NO
0.22,NO
0.3673,NO
0.1451,NO
0.2637,NO
0.1991,NO
0.94,NO
0.3767,NO
0.1917,NO
0.3794,YES
0.3359,NO
0.98,YES
0.0798,NO
0.13,NO
0.2475,YES
0.2794,YES
0.2232,YES
0.68,YES
0.44,NO
0.41,NO
0.2799,YES
0.2328,NO
0.2608,YES
0.1095,NO
0.2365,NO
0.2061,NO
0.2048,NO
0.08,NO
0.1795,YES
0.27,NO
0.27,YES
0.1224,NO
0.1913,YES
0.2397,NO
0.2111,NO
0.2935,NO
0.15,NO
0.243,YES
0.1959,NO
0.198,YES
1.0,NO
0.1646,NO
0.3881,YES
0.1762,NO
0.1649,NO
0.4197,YES
0.1681,NO
0.153,NO
0.59,YES
0.159,NO
0.493,YES
0.1456,NO
0.2244,NO
0.1542,NO
0.93,NO
0.1775,NO
0.76,NO
0.1654,NO
0.3557,NO
0.0902,NO
0.32,NO
0.2218,NO
0.45,NO
0.95,NO
0.65,NO
0.88,YES
0.86,NO
0.3239,YES
0.0467,NO
0.13,NO
0.0544,YES
0.1967,YES
0.1251,YES
0.68,YES
0.44,NO
0.41,NO
0.1204,YES
0.1152,NO
0.07,YES
0.0994,NO
0.171,NO
0.1733,NO
0.1785,NO
0.08,NO
0.1652,YES
0.27,NO
0.1533,YES
0.1347,NO
0.1212,YES
0.015,NO
0.0714,NO
0.0698,NO
0.15,NO
0.0672,YES
0.06,NO
0.0637,YES
0.3024,YES
0.0482,YES
0.71,NO
0.1548,NO
0.34,NO
0.1506,NO
0.56,YES
0.3693,YES
0.1404,NO
0.0758,NO
0.9,NO
0.17,NO
0.2131,NO
0.16,NO
0.81,NO
0.32,YES
0.44,NO
0.4,YES
0.71,NO
0.52,YES
0.45,NO
0.102,NO
0.21,NO
0.13,NO
0.1193,NO
0.82,NO
0.15,NO
0.98,NO
0.0839,NO
0.0672,NO
0.3068,YES
0.1154,YES
0.0802,YES
0.3166,YES
0.0868,NO
0.07,NO
0.5456,YES
0.13,NO
0.3771,YES
0.27,NO
0.3042,NO
0.1867,NO
0.2024,NO
0.084,NO
0.42,YES
0.0773,NO
0.3002,YES
0.47,NO
0.1969,YES
0.1353,NO
0.0942,NO
0.3023,NO
0.1177,NO
0.2966,YES
0.2621,NO
0.3631,YES
0.1178,NO
0.0474,NO
0.4277,YES
0.2214,YES
0.2007,YES
0.2467,YES
0.2192,NO
0.1165,NO
0.3035,YES
0.1886,NO
0.2922,YES
0.27,NO
0.2277,NO
0.1763,NO
0.1744,NO
0.0948,NO
0.42,YES
0.0882,NO
0.2267,YES
0.47,NO
0.1574,YES
0.2134,NO
0.1846,NO
0.3004,NO
0.1322,NO
0.3039,YES
0.2341,NO
0.2137,YES
0.1342,NO
0.1099,NO
0.526,YES
0.1623,YES
0.1996,YES
0.3297,YES
0.22699999999999998,NO
0.1622,NO
0.3372,YES
0.13,NO
0.3901,YES
0.27,NO
0.1483,NO
0.0862,NO
0.0629,NO
0.2034,NO
0.42,YES
0.1975,NO
0.3422,YES
0.47,NO
0.2514,YES
0.1754,NO
0.1301,NO
0.3619,NO
0.1715,NO
0.3452,YES
0.3259,NO
0.258,YES
0.0709,NO
0.0732,NO
0.3094,YES
0.1091,YES
0.0665,YES
0.2941,YES
0.0664,NO
0.07,NO
0.5229,YES
0.13,NO
0.3604,YES
0.27,NO
0.2859,NO
0.1263,NO
0.1497,NO
0.1047,NO
0.42,YES
0.1016,NO
0.3066,YES
0.47,NO
0.2147,YES
0.1277,NO
0.0813,NO
0.3135,NO
0.1095,NO
0.302,YES
0.2369,NO
0.4263,YES
0.1151,NO
0.13,NO
0.1028,YES
0.3566,YES
0.2651,YES
0.68,YES
0.44,NO
0.41,NO
0.2037,YES
0.1971,NO
0.1126,YES
0.1418,NO
0.2488,NO
0.2731,NO
0.2523,NO
0.1698,NO
0.2266,YES
0.27,NO
0.2745,YES
0.1508,NO
0.2653,YES
0.1206,NO
0.1613,NO
0.1611,NO
0.15,NO
0.152,YES
0.1186,NO
0.1207,YES
0.1201,NO
0.13,NO
0.254,YES
0.3285,YES
0.3624,YES
0.68,YES
0.44,NO
0.41,NO
0.2917,YES
0.1836,NO
0.3039,YES
0.1342,NO
0.1448,NO
0.1036,NO
0.0702,NO
0.1825,NO
0.2937,YES
0.27,NO
0.5728,YES
0.0892,NO
0.4594,YES
0.1677,NO
0.1461,NO
0.2985,NO
0.15,NO
0.2479,YES
0.2298,NO
0.2345,YES
0.15,NO
0.74,NO
0.1381,NO
0.2108,NO
0.0676,NO
0.22,NO
0.35,NO
0.09,NO
0.2592,NO
0.1291,NO
0.28,NO
0.3,NO
0.4225,YES
0.3368,YES
0.3938,YES
0.1,NO
0.0711,NO
0.45,NO
0.0531,NO
1.0,NO
0.21,NO
0.92,NO
0.0745,NO
0.1014,NO
0.77,NO
0.27,NO
0.0541,NO
0.38,NO
0.1239,YES
0.289,YES
0.71,NO
0.1653,NO
0.34,NO
0.0623,NO
0.56,YES
0.1249,YES
0.0968,NO
0.1519,NO
0.9,NO
0.1784,NO
0.1661,NO
0.1504,NO
0.81,NO
0.32,YES
0.44,NO
0.4,YES
0.71,NO
0.52,YES
0.45,NO
0.1163,NO
0.21,NO
0.1354,NO
0.0948,NO
0.82,NO
0.0821,NO
0.98,NO
0.0416,NO
0.13,NO
0.1203,YES
0.2886,YES
0.2879,YES
0.68,YES
0.44,NO
0.41,NO
0.1999,YES
0.1109,NO
0.1389,YES
0.0996,NO
0.1977,NO
0.1726,NO
0.1805,NO
0.08,NO
0.2123,YES
0.27,NO
0.3536,YES
0.1039,NO
0.2827,YES
0.0426,NO
0.0387,NO
0.1228,NO
0.15,NO
0.1359,YES
0.0808,NO
0.1119,YES
0.3458,YES
0.0264,YES
0.71,NO
0.1555,NO
0.34,NO
0.107,NO
0.56,YES
0.4184,YES
0.1111,NO
0.1017,NO
0.9,NO
0.17,NO
0.1741,NO
0.1373,NO
0.81,NO
0.32,YES
0.44,NO
0.4,YES
0.71,NO
0.52,YES
0.45,NO
0.0621,NO
0.21,NO
0.13,NO
0.0726,NO
0.82,NO
0.1128,NO
0.98,NO
0.25,NO
0.0659,NO
0.16,NO
0.82,NO
0.48,NO
0.44,NO
0.62,NO
0.0869,NO
0.1921,NO
0.22,YES
0.57,NO
0.82,YES
0.24100000000000002,NO
0.263,NO
0.2504,NO
0.1414,NO
0.0983,NO
0.33,NO
0.1333,NO
0.38,NO
0.1519,NO
0.95,YES
0.1324,YES
0.64,YES
0.72,YES
0.25,NO
0.59,YES
0.11900000000000001,NO
0.3612,YES
0.0488,YES
0.71,NO
0.1584,NO
0.34,NO
0.0678,NO
0.56,YES
0.4499,YES
0.0947,NO
0.1079,NO
0.9,NO
0.17,NO
0.1665,NO
0.1472,NO
0.81,NO
0.32,YES
0.44,NO
0.4,YES
0.71,NO
0.52,YES
0.45,NO
0.0477,NO
0.21,NO
0.13,NO
0.0681,NO
0.82,NO
0.0804,NO
0.98,NO
0.25,NO
0.0613,NO
0.16,NO
0.82,NO
0.48,NO
0.44,NO
0.62,NO
0.1098,NO
0.1753,NO
0.22,YES
0.57,NO
0.82,YES
0.2438,NO
0.2385,NO
0.23,NO
0.1,NO
0.0972,NO
0.33,NO
0.13,NO
0.38,NO
0.0804,NO
0.95,YES
0.105,YES
0.64,YES
0.72,YES
0.25,NO
0.59,YES
0.1052,NO
