UPPERTRACED_RFUNDER_RAW_VSM_MEDIAN.csv,Associated
0.51735,NO
0.29655,YES
0.5058,NO
0.6383,YES
0.41195,NO
0.39235,YES
0.52885,NO
0.44065000000000004,NO
0.64175,NO
0.43975000000000003,NO
0.586,YES
0.59345,NO
0.7081500000000001,YES
0.44255,NO
0.26525,NO
0.2864,YES
0.5283,YES
0.6125499999999999,YES
0.5321,YES
0.432,NO
0.09770000000000001,NO
0.5418499999999999,YES
0.51855,NO
0.2913,YES
0.5159,NO
0.5894,NO
0.58155,NO
0.60615,NO
0.5599,NO
0.5982999999999999,YES
0.5224,NO
0.48724999999999996,YES
0.5404,NO
0.48264999999999997,YES
0.44530000000000003,NO
0.5056499999999999,NO
0.41055,NO
0.5009,NO
0.316,YES
0.33430000000000004,NO
0.53035,YES
0.44505,NO
0.2715,NO
0.362,YES
0.51425,YES
0.6612,YES
0.58465,YES
0.43405,NO
0.1096,NO
0.58585,YES
0.5118,NO
0.38695,YES
0.5121,NO
0.5374,NO
0.4968,NO
0.5151,NO
0.5662499999999999,NO
0.63185,YES
0.5286,NO
0.6364,YES
0.5096,NO
0.5797,YES
0.46885,NO
0.49805,NO
0.47925,NO
0.5174,NO
0.36395,YES
0.3899,NO
0.5872499999999999,YES
0.4845,NO
0.049699999999999994,NO
0.22405,NO
0.5354,NO
0.08879999999999999,NO
0.41285,NO
0.25815,NO
0.07675,NO
0.6195999999999999,NO
0.28955,NO
0.03925,NO
0.0526,NO
0.62625,YES
0.6384,YES
0.6869,YES
0.0483,NO
0.31555,NO
0.09484999999999999,NO
0.21655,NO
0.08754999999999999,NO
0.20850000000000002,NO
0.21315,NO
0.10725000000000001,NO
0.4057,NO
0.20704999999999998,NO
0.11925000000000001,NO
0.29205000000000003,NO
0.51525,NO
0.39695,YES
0.26449999999999996,YES
0.5276000000000001,NO
0.44765,NO
0.4057,NO
0.39615,NO
0.3295,YES
0.52745,YES
0.3834,NO
0.51595,NO
0.04665,NO
0.3742,NO
0.50305,NO
0.4602,NO
0.0931,NO
0.28875,YES
0.42985,NO
0.42575,YES
0.0718,NO
0.67675,YES
0.48385,NO
0.25315,NO
0.38589999999999997,NO
0.4377,NO
0.2124,NO
0.51035,NO
0.47104999999999997,NO
0.3947,NO
0.4058,NO
0.22655,NO
0.29514999999999997,YES
0.49429999999999996,YES
0.62395,YES
0.5197,YES
0.4099,NO
0.07695,NO
0.53995,YES
0.47545,NO
0.30445,YES
0.4948,NO
0.56385,NO
0.5313,NO
0.5702499999999999,NO
0.48519999999999996,NO
0.59115,YES
0.4499,NO
0.5267999999999999,YES
0.51695,NO
0.49134999999999995,YES
0.4063,NO
0.44434999999999997,NO
0.3914,NO
0.46865,NO
0.30795,YES
0.3154,NO
0.5259499999999999,YES
0.5079,YES
0.13319999999999999,YES
0.56365,NO
0.44275,NO
0.4103,NO
0.4185,NO
0.278,YES
0.6742,YES
0.39055,NO
0.49085,NO
0.06849999999999999,NO
0.3379,NO
0.50705,NO
0.45365,NO
0.081,NO
0.19190000000000002,YES
0.4383,NO
0.4971,YES
0.06985,NO
0.66035,YES
0.45935,NO
0.22605,NO
0.40299999999999997,NO
0.4333,NO
0.2013,NO
0.536,NO
0.4864,NO
0.39065,NO
0.4419,NO
0.20295000000000002,NO
0.35955,NO
0.3434,NO
0.42705,NO
0.2863,NO
0.51485,NO
0.37345,NO
0.52605,NO
0.44595,YES
0.42225,NO
0.34815,YES
0.5855,NO
0.5165,NO
0.3302,NO
0.5507,NO
0.33414999999999995,NO
0.5479,NO
0.45665,NO
0.4436,NO
0.52595,NO
0.40135000000000004,YES
0.4062,YES
0.41905000000000003,YES
0.44634999999999997,YES
0.4989,NO
0.39349999999999996,YES
0.5095000000000001,NO
0.5156000000000001,YES
0.1444,YES
0.53115,NO
0.4442,NO
0.39749999999999996,NO
0.3989,NO
0.24760000000000001,YES
0.6899500000000001,YES
0.38235,NO
0.49395,NO
0.052250000000000005,NO
0.33975,NO
0.50325,NO
0.4586,NO
0.08815,NO
0.19805,YES
0.4264,NO
0.5245500000000001,YES
0.07145,NO
0.66885,YES
0.471,NO
0.21885000000000002,NO
0.38785,NO
0.4337,NO
0.19905,NO
0.51135,NO
0.4702,NO
0.38844999999999996,NO
0.4511,NO
0.20065000000000002,NO
0.3842,NO
0.32389999999999997,NO
0.43125,NO
0.30225,NO
0.55145,NO
0.3849,NO
0.5176499999999999,NO
0.43035,YES
0.447,NO
0.3909,YES
0.5869,NO
0.50425,NO
0.31379999999999997,NO
0.52035,NO
0.33359999999999995,NO
0.5081,NO
0.43075,NO
0.45430000000000004,NO
0.4902,NO
0.3886,YES
0.3925,YES
0.40185000000000004,YES
0.48655,YES
0.52685,NO
0.40254999999999996,YES
0.5026,NO
