UPPERTRACED_RFSMOTE_MULTI_LSA_MAX.csv,Associated
0.56,NO
0.18,YES
0.52,NO
0.61,YES
0.98,NO
0.1913,YES
0.2397,NO
0.2111,NO
0.2935,NO
0.42,NO
0.243,YES
0.1959,NO
0.198,YES
0.1636,NO
0.1646,NO
0.3881,YES
0.1762,NO
0.4,NO
0.4197,YES
0.1681,NO
0.52,NO
0.4738,YES
0.159,NO
0.493,YES
0.1456,NO
0.2244,NO
0.1542,NO
0.96,NO
0.32,NO
0.2106,NO
0.88,NO
0.3557,NO
0.0902,NO
0.29,NO
0.79,NO
0.1764,NO
0.3901,NO
1.0,NO
0.402,YES
0.3584,NO
0.72,YES
0.05,NO
0.35,NO
0.25,YES
0.1967,YES
0.97,YES
0.25,YES
0.41,NO
0.67,NO
0.44,YES
0.1152,NO
0.79,YES
0.0994,NO
0.171,NO
0.7,NO
0.37,NO
0.56,NO
0.18,YES
0.52,NO
0.61,YES
0.98,NO
0.1212,YES
0.015,NO
0.0714,NO
0.11,NO
0.42,NO
0.0672,YES
0.0378,NO
0.0637,YES
0.3024,YES
0.53,YES
0.95,NO
0.59,NO
0.22,NO
0.1506,NO
0.3,YES
0.3693,YES
0.1404,NO
0.0758,NO
0.1517,NO
0.067,NO
0.2131,NO
0.35,NO
0.5,NO
0.0844,YES
0.28,NO
0.74,YES
0.1,NO
0.66,YES
0.0377,NO
0.102,NO
0.0927,NO
0.15,NO
0.1193,NO
0.2177,NO
0.15,NO
0.88,NO
0.0839,NO
0.23,NO
0.3068,YES
0.14,YES
0.28,YES
0.3166,YES
0.0868,NO
0.8,NO
0.5456,YES
0.0938,NO
0.3771,YES
0.0765,NO
0.53,NO
0.1867,NO
0.52,NO
0.66,NO
0.18,YES
0.64,NO
0.9,YES
0.11,NO
0.1969,YES
0.23,NO
0.51,NO
0.3023,NO
0.54,NO
0.2966,YES
0.2621,NO
0.58,YES
0.1178,NO
0.23,NO
0.4277,YES
0.2214,YES
0.28,YES
0.2467,YES
0.2192,NO
0.8,NO
0.3035,YES
0.1886,NO
0.2922,YES
0.1088,NO
0.53,NO
0.18,NO
0.52,NO
0.66,NO
0.18,YES
0.64,NO
0.9,YES
0.1968,NO
0.17,YES
0.23,NO
0.51,NO
0.3004,NO
0.54,NO
0.3039,YES
0.2341,NO
0.58,YES
0.1342,NO
0.23,NO
0.526,YES
0.1623,YES
0.28,YES
0.3297,YES
0.22699999999999998,NO
0.8,NO
0.3372,YES
0.1102,NO
0.3901,YES
0.1022,NO
0.53,NO
0.18,NO
0.52,NO
0.66,NO
0.18,YES
0.64,NO
0.9,YES
0.1773,NO
0.2514,YES
0.23,NO
0.51,NO
0.3619,NO
0.54,NO
0.3452,YES
0.3259,NO
0.58,YES
0.0709,NO
0.23,NO
0.3094,YES
0.14,YES
0.28,YES
0.2941,YES
0.0664,NO
0.8,NO
0.5229,YES
0.1003,NO
0.3604,YES
0.08800000000000001,NO
0.53,NO
0.18,NO
0.52,NO
0.66,NO
0.18,YES
0.64,NO
0.9,YES
0.11,NO
0.2147,YES
0.23,NO
0.51,NO
0.3135,NO
0.54,NO
0.302,YES
0.2369,NO
0.58,YES
0.1151,NO
0.35,NO
0.25,YES
0.3566,YES
0.97,YES
0.25,YES
0.41,NO
0.67,NO
0.44,YES
0.1971,NO
0.79,YES
0.1418,NO
0.2488,NO
0.7,NO
0.37,NO
0.56,NO
0.2266,YES
0.52,NO
0.61,YES
0.98,NO
0.2653,YES
0.1206,NO
0.1613,NO
0.1611,NO
0.42,NO
0.152,YES
0.1186,NO
0.1207,YES
0.1201,NO
0.35,NO
0.254,YES
0.3285,YES
0.97,YES
0.2593,YES
0.41,NO
0.67,NO
0.44,YES
0.1836,NO
0.79,YES
0.1342,NO
0.1448,NO
0.7,NO
0.37,NO
0.56,NO
0.2937,YES
0.52,NO
0.61,YES
0.98,NO
0.4594,YES
0.1677,NO
0.1461,NO
0.2985,NO
0.42,NO
0.2479,YES
0.2298,NO
0.2345,YES
0.15,NO
0.0394,NO
0.15,NO
0.45,NO
0.26,NO
0.62,NO
0.34,NO
0.17,NO
0.2592,NO
0.1291,NO
0.0785,NO
0.13,NO
0.99,YES
0.85,YES
0.3938,YES
0.0766,NO
0.77,NO
0.15,NO
0.0531,NO
0.1551,NO
1.0,NO
0.59,NO
0.0745,NO
0.31,NO
0.56,NO
0.1685,NO
0.17,NO
0.2105,NO
0.1239,YES
0.53,YES
0.95,NO
0.59,NO
0.22,NO
0.0623,NO
0.32899999999999996,YES
0.1249,YES
0.0968,NO
0.1519,NO
0.0533,NO
0.1784,NO
0.1661,NO
0.35,NO
0.5,NO
0.3075,YES
0.28,NO
0.74,YES
0.1,NO
0.66,YES
0.0877,NO
0.1163,NO
0.0418,NO
0.15,NO
0.0948,NO
0.1407,NO
0.0821,NO
0.88,NO
0.05,NO
0.35,NO
0.25,YES
0.2886,YES
0.97,YES
0.25,YES
0.41,NO
0.67,NO
0.44,YES
0.1109,NO
0.79,YES
0.0996,NO
0.1977,NO
0.7,NO
0.37,NO
0.56,NO
0.2123,YES
0.52,NO
0.61,YES
0.98,NO
0.2827,YES
0.0426,NO
0.0387,NO
0.1228,NO
0.42,NO
0.1359,YES
0.0808,NO
0.1119,YES
0.3458,YES
0.53,YES
0.95,NO
0.59,NO
0.22,NO
0.107,NO
0.3,YES
0.4184,YES
0.1111,NO
0.1017,NO
0.09699999999999999,NO
0.1058,NO
0.1741,NO
0.35,NO
0.5,NO
0.1138,YES
0.28,NO
0.74,YES
0.1,NO
0.66,YES
0.0387,NO
0.0621,NO
0.076,NO
0.15,NO
0.0726,NO
0.192,NO
0.1128,NO
0.88,NO
0.1238,NO
0.0659,NO
0.45,NO
0.2168,NO
0.99,NO
0.1226,NO
0.0797,NO
0.0869,NO
0.1921,NO
0.2119,YES
0.0845,NO
0.1963,YES
0.24100000000000002,NO
0.263,NO
0.2504,NO
0.1414,NO
0.0983,NO
0.1658,NO
0.1333,NO
0.2072,NO
0.1519,NO
0.1227,YES
0.1324,YES
0.1581,YES
0.1927,YES
0.56,NO
0.09699999999999999,YES
0.11900000000000001,NO
0.3612,YES
0.53,YES
0.95,NO
0.59,NO
0.22,NO
0.0678,NO
0.3,YES
0.4499,YES
0.0947,NO
0.1079,NO
0.0645,NO
0.1095,NO
0.1665,NO
0.35,NO
0.5,NO
0.1261,YES
0.28,NO
0.74,YES
0.1,NO
0.66,YES
0.062,NO
0.05,NO
0.0457,NO
0.15,NO
0.0681,NO
0.1427,NO
0.0804,NO
0.88,NO
0.1422,NO
0.0613,NO
0.45,NO
0.1778,NO
0.99,NO
0.1545,NO
0.1529,NO
0.1098,NO
0.1753,NO
0.1807,YES
0.134,NO
0.2818,YES
0.2438,NO
0.2385,NO
0.2176,NO
0.0807,NO
0.0972,NO
0.0862,NO
0.1,NO
0.2286,NO
0.0804,NO
0.0972,YES
0.105,YES
0.1237,YES
0.2731,YES
0.56,NO
0.1151,YES
0.1052,NO
