NONETRACED_MAX_MULTI_VSM_MEDIAN.csv,Associated
0.15894999999999998,NO
0.17945,NO
0.14965,NO
0.238,NO
0.5618,YES
0.6389,YES
0.46335000000000004,YES
0.25285,YES
0.18730000000000002,NO
0.2668,YES
0.1516,NO
0.17855,NO
0.07285,NO
0.5207999999999999,YES
0.23365,YES
0.20279999999999998,YES
0.40615,YES
0.24845,NO
0.14629999999999999,NO
0.42505,YES
0.17415,NO
0.369,YES
0.11345,NO
0.27645,NO
0.22205,NO
0.19455,NO
0.14705000000000001,NO
0.1747,YES
0.1673,NO
0.3059,YES
0.20729999999999998,NO
0.19195,YES
0.1987,NO
0.21335,NO
0.37185,NO
0.1456,NO
0.41474999999999995,YES
0.33355,NO
0.31955,YES
0.24910000000000002,NO
0.14645,NO
0.4576,YES
0.246,NO
0.2126,NO
0.5894,YES
0.26725,NO
0.11485000000000001,NO
0.6809000000000001,YES
0.2162,NO
0.49255000000000004,YES
0.15375,NO
0.36460000000000004,NO
0.36124999999999996,NO
0.29510000000000003,NO
0.18375000000000002,NO
0.29064999999999996,NO
0.165,NO
0.43815000000000004,NO
0.1629,NO
0.32655,NO
0.2248,NO
0.24985,NO
0.42215,NO
0.20415,NO
0.49970000000000003,YES
0.419,NO
0.39154999999999995,YES
0.18439999999999998,NO
0.06575,NO
0.35225,YES
0.3796,YES
0.32210000000000005,YES
0.3668,YES
0.19140000000000001,NO
0.13419999999999999,NO
0.4143,YES
0.40415,NO
0.32804999999999995,YES
0.20695,NO
0.2973,NO
0.2793,NO
0.24705,NO
0.1192,NO
0.26990000000000003,YES
0.15345,NO
0.4046,YES
0.16294999999999998,NO
0.30185,YES
0.37225,NO
0.40969999999999995,NO
0.4033,NO
0.19065,NO
0.3297,YES
0.33955,NO
0.30725,YES
0.2039,NO
0.14665,NO
0.462,YES
0.22904999999999998,NO
0.2054,NO
0.49215,YES
0.22165,NO
0.12965,NO
0.5722,YES
0.2343,NO
0.53335,YES
0.14095000000000002,NO
0.32030000000000003,NO
0.22735,NO
0.154,NO
0.1835,NO
0.24265,NO
0.1744,NO
0.39890000000000003,NO
0.1283,NO
0.30225,NO
0.2415,NO
0.25980000000000003,NO
0.42125,NO
0.21150000000000002,NO
0.4329,YES
0.40025,NO
0.42595000000000005,YES
0.08285000000000001,NO
0.0351,NO
0.0961,YES
0.23560000000000003,YES
0.1732,YES
0.10895,YES
0.07885,NO
0.047,NO
0.15045,YES
0.121,NO
0.08965,YES
0.10405,NO
0.2087,NO
0.19790000000000002,NO
0.1824,NO
0.08055000000000001,NO
0.19035000000000002,YES
0.0843,NO
0.2076,YES
0.1045,NO
0.18919999999999998,YES
0.0599,NO
0.12095,NO
0.10845,NO
0.06495000000000001,NO
0.10475000000000001,YES
0.091,NO
0.10365,YES
0.47415,YES
0.0729,YES
0.27915,NO
0.18595,NO
0.16765000000000002,NO
0.18605,NO
0.2316,YES
0.4316,YES
0.19874999999999998,NO
0.14545000000000002,NO
0.16570000000000001,NO
0.11699999999999999,NO
0.2801,NO
0.23665000000000003,NO
0.20345,NO
0.14115,YES
0.13125,NO
0.41445000000000004,YES
0.11524999999999999,NO
0.34055,YES
0.0958,NO
0.14535,NO
0.16,NO
0.16415000000000002,NO
0.13255,NO
0.21165,NO
0.1703,NO
0.15095,NO
0.19119999999999998,NO
0.10119999999999998,NO
0.41705000000000003,YES
0.23395,YES
0.19385,YES
0.51545,YES
0.21225,NO
0.09525,NO
0.6553,YES
0.17015,NO
0.4899,YES
0.11065,NO
0.39355,NO
0.28885,NO
0.25785,NO
0.12505,NO
0.22594999999999998,YES
0.119,NO
0.38195,YES
0.1247,NO
0.26034999999999997,YES
0.1882,NO
0.2017,NO
0.38880000000000003,NO
0.1676,NO
0.43855,YES
0.3661,NO
0.4878,YES
0.21905,NO
0.07289999999999999,NO
0.39885000000000004,YES
0.31525000000000003,YES
0.27875,YES
0.34145,YES
0.2258,NO
0.18075,NO
0.3853,YES
0.32255,NO
0.32765,YES
0.183,NO
0.26465,NO
0.23465,NO
0.2074,NO
0.1471,NO
0.2338,YES
0.1897,NO
0.30605000000000004,YES
0.19545,NO
0.2237,YES
0.30695,NO
0.33355,NO
0.37995,NO
0.1784,NO
0.33775,YES
0.3334,NO
0.29815,YES
0.17665,NO
0.10389999999999999,NO
0.5483,YES
0.22525,YES
0.2255,YES
0.4128,YES
0.26,NO
0.14875,NO
0.43415000000000004,YES
0.23225,NO
0.41325,YES
0.12905,NO
0.2366,NO
0.17875,NO
0.09759999999999999,NO
0.20255,NO
0.2137,YES
0.19640000000000002,NO
0.37965000000000004,YES
0.17725000000000002,NO
0.2852,YES
0.2356,NO
0.26144999999999996,NO
0.40185000000000004,NO
0.17025,NO
0.38815,YES
0.37335,NO
0.33505,YES
0.1892,NO
0.10915,NO
0.42645,YES
0.23509999999999998,YES
0.19075,YES
0.46455,YES
0.20715,NO
0.09095,NO
0.6555500000000001,YES
0.16525,NO
0.5037,YES
0.11325000000000002,NO
0.39139999999999997,NO
0.2646,NO
0.21205,NO
0.13415,NO
0.22365000000000002,YES
0.12995,NO
0.4022,YES
0.11760000000000001,NO
0.269,YES
0.18259999999999998,NO
0.1914,NO
0.41185,NO
0.1715,NO
0.41255,YES
0.3678,NO
0.5283,YES
0.1538,NO
0.08595,NO
0.1629,YES
0.4019,YES
0.32875,YES
0.21845,YES
0.14205,NO
0.09145,NO
0.21765,YES
0.26880000000000004,NO
0.1558,YES
0.17555,NO
0.2709,NO
0.27205,NO
0.23735,NO
0.16735,NO
0.28765,YES
0.1674,NO
0.32435,YES
0.14275,NO
0.32199999999999995,YES
0.20245,NO
0.26935,NO
0.23795,NO
0.14225,NO
0.20489999999999997,YES
0.1772,NO
0.15710000000000002,YES
0.16825,NO
0.08865,NO
0.31315000000000004,YES
0.429,YES
0.41355,YES
0.33085,YES
0.1606,NO
0.09145,NO
0.3418,YES
0.2552,NO
0.3175,YES
0.13905,NO
0.18765,NO
0.19480000000000003,NO
0.0941,NO
0.1605,NO
0.3457,YES
0.15545,NO
0.60535,YES
0.13745000000000002,NO
0.48544999999999994,YES
0.2203,NO
0.2542,NO
0.3284,NO
0.14175,NO
0.30169999999999997,YES
0.2905,NO
0.26639999999999997,YES
0.18935000000000002,NO
0.08779999999999999,NO
0.1973,NO
0.2483,NO
0.13455,NO
0.21365,NO
0.20425,NO
0.0937,NO
0.36075,NO
0.1626,NO
0.1502,NO
0.12725,NO
0.5268999999999999,YES
0.45339999999999997,YES
0.4355,YES
0.11555,NO
0.1739,NO
0.12764999999999999,NO
0.11845,NO
0.16465,NO
0.1293,NO
0.09105,NO
0.17265,NO
0.165,NO
0.1044,NO
0.21495000000000003,NO
0.14885,NO
0.28925,NO
0.2078,YES
0.28435,YES
0.2456,NO
0.17095,NO
0.0963,NO
0.09985,NO
0.424,YES
0.17099999999999999,YES
0.1263,NO
0.16645000000000001,NO
0.07919999999999999,NO
0.16675,NO
0.1894,NO
0.19219999999999998,NO
0.1585,NO
0.4372,YES
0.09995,NO
0.2348,YES
0.0768,NO
0.3595,YES
0.1195,NO
0.11905,NO
0.1061,NO
0.12514999999999998,NO
0.1151,NO
0.1454,NO
0.1145,NO
0.10669999999999999,NO
0.13695000000000002,NO
0.0483,NO
0.21635000000000001,YES
0.44755,YES
0.41005,YES
0.26275,YES
0.1396,NO
0.061,NO
0.2708,YES
0.20175,NO
0.20879999999999999,YES
0.12735,NO
0.25029999999999997,NO
0.2374,NO
0.2126,NO
0.07125000000000001,NO
0.3339,YES
0.07890000000000001,NO
0.4374,YES
0.1463,NO
0.43165,YES
0.14085,NO
0.22435,NO
0.2121,NO
0.0878,NO
0.24855,YES
0.18384999999999999,NO
0.19145,YES
0.54555,YES
0.0706,YES
0.28745,NO
0.16955,NO
0.12215000000000001,NO
0.1723,NO
0.24209999999999998,YES
0.4942,YES
0.14934999999999998,NO
0.1371,NO
0.12535,NO
0.12195,NO
0.21275,NO
0.19145,NO
0.161,NO
0.17325,YES
0.1268,NO
0.5223,YES
0.09785,NO
0.40295000000000003,YES
0.0818,NO
0.10669999999999999,NO
0.13344999999999999,NO
0.1461,NO
0.09659999999999999,NO
0.20625,NO
0.13435,NO
0.1139,NO
0.18005,NO
0.0769,NO
0.11714999999999999,NO
0.21415,NO
0.1292,NO
0.15395,NO
0.12145,NO
0.13240000000000002,NO
0.2094,NO
0.2881,YES
0.10869999999999999,NO
0.2543,YES
0.26935000000000003,NO
0.2661,NO
0.23770000000000002,NO
0.1598,NO
0.1316,NO
0.1996,NO
0.15515,NO
0.17895,NO
0.15855000000000002,NO
0.1906,YES
0.2378,YES
0.2222,YES
0.23265000000000002,YES
0.1442,NO
0.1557,YES
0.14625,NO
0.5669,YES
0.08265,YES
0.25775,NO
0.1733,NO
0.09185,NO
0.13005,NO
0.21645,YES
0.5204,YES
0.12045,NO
0.12385,NO
0.08365,NO
0.1147,NO
0.17935,NO
0.2003,NO
0.1458,NO
0.18114999999999998,YES
0.11815,NO
0.55865,YES
0.07880000000000001,NO
0.4172,YES
0.1122,NO
0.08145,NO
0.12179999999999999,NO
0.1154,NO
0.08635,NO
0.17905,NO
0.1118,NO
0.09765,NO
0.2434,NO
0.09045,NO
0.18480000000000002,NO
0.22975,NO
0.13194999999999998,NO
0.244,NO
0.18745,NO
0.18255000000000002,NO
0.20875,NO
0.33295,YES
0.1748,NO
0.34885,YES
0.2697,NO
0.2597,NO
0.22405,NO
0.1616,NO
0.15714999999999998,NO
0.2133,NO
0.1279,NO
0.2242,NO
0.12469999999999999,NO
0.2064,YES
0.2809,YES
0.1911,YES
0.3181,YES
0.2516,NO
0.1787,YES
0.1397,NO
