LOWERTRACED_MAX_RAW_VSM_MEDIAN.csv,Associated
0.272,YES
0.11050000000000001,NO
0.31725000000000003,YES
0.1496,NO
0.2779,YES
0.28855,NO
0.27425,NO
0.31545,NO
0.22644999999999998,NO
0.30174999999999996,YES
0.26665,NO
0.27925,YES
0.10039999999999999,NO
0.10089999999999999,NO
0.42075,YES
0.2399,NO
0.23424999999999999,NO
0.43655,YES
0.10264999999999999,NO
0.09509999999999999,NO
0.4636,YES
0.2219,NO
0.4732,YES
0.2152,NO
0.1977,NO
0.16260000000000002,NO
0.14935,NO
0.10735,NO
0.2571,NO
0.1013,NO
0.32965,NO
0.0637,NO
0.28495,NO
0.25329999999999997,NO
0.2306,NO
0.33745,NO
0.2504,NO
0.4277,YES
0.3216,NO
0.38865000000000005,YES
0.0661,NO
0.05195,NO
0.1014,YES
0.20350000000000001,YES
0.1677,YES
0.1005,YES
0.062200000000000005,NO
0.047650000000000005,NO
0.1344,YES
0.11635,NO
0.0959,YES
0.10844999999999999,NO
0.1736,NO
0.17475000000000002,NO
0.17735,NO
0.07435,NO
0.18775,YES
0.07345,NO
0.1818,YES
0.1101,NO
0.16575,YES
0.06625,NO
0.09445,NO
0.09365,NO
0.07625,NO
0.1078,YES
0.07765,NO
0.10605,YES
0.3325,YES
0.2054,YES
0.27945,NO
0.17515,NO
0.17070000000000002,NO
0.17305,NO
0.301,YES
0.36595,YES
0.16795,NO
0.12115000000000001,NO
0.1736,NO
0.11675,NO
0.22525,NO
0.1987,NO
0.191,NO
0.22349999999999998,YES
0.14525,NO
0.30225,YES
0.11075,NO
0.33055,YES
0.11660000000000001,NO
0.13425,NO
0.1296,NO
0.1462,NO
0.1429,NO
0.2066,NO
0.15825,NO
0.14755000000000001,NO
0.0767,NO
0.06835,NO
0.3923,YES
0.2082,YES
0.1906,YES
0.3972,YES
0.07815,NO
0.0686,NO
0.5117,YES
0.17935,NO
0.42745,YES
0.17070000000000002,NO
0.29100000000000004,NO
0.23225,NO
0.24009999999999998,NO
0.07675000000000001,NO
0.20684999999999998,YES
0.07339999999999999,NO
0.3006,YES
0.0758,NO
0.24895,YES
0.2001,NO
0.17955000000000002,NO
0.2836,NO
0.19130000000000003,NO
0.3872,YES
0.2635,NO
0.42045,YES
0.15545,NO
0.12025,NO
0.3864,YES
0.28325,YES
0.27290000000000003,YES
0.2959,YES
0.20615,NO
0.1548,NO
0.32430000000000003,YES
0.24675,NO
0.31865,YES
0.20685,NO
0.2235,NO
0.1978,NO
0.19685,NO
0.14395,NO
0.24855,YES
0.14065,NO
0.28590000000000004,YES
0.19495,NO
0.25125000000000003,YES
0.25915,NO
0.24475,NO
0.30265,NO
0.21855000000000002,NO
0.3245,YES
0.2695,NO
0.2794,YES
0.12630000000000002,NO
0.11415,NO
0.4579,YES
0.2251,YES
0.24375,YES
0.35975,YES
0.1727,NO
0.1403,NO
0.3635,YES
0.2003,NO
0.38995,YES
0.1963,NO
0.1404,NO
0.10935,NO
0.09770000000000001,NO
0.1609,NO
0.22804999999999997,YES
0.15795,NO
0.31505,YES
0.14785,NO
0.26965,YES
0.2329,NO
0.21025,NO
0.32615,NO
0.23095,NO
0.3675,YES
0.30815000000000003,NO
0.32389999999999997,YES
0.058300000000000005,NO
0.05945,NO
0.4087,YES
0.20839999999999997,YES
0.1871,YES
0.40105,YES
0.05605,NO
0.05065,NO
0.51545,YES
0.1747,NO
0.43420000000000003,YES
0.16855,NO
0.26625,NO
0.18645,NO
0.19815,NO
0.0752,NO
0.20539999999999997,YES
0.07365,NO
0.30715,YES
0.0548,NO
0.2612,YES
0.1884,NO
0.16519999999999999,NO
0.2813,NO
0.1793,NO
0.405,YES
0.243,NO
0.46715,YES
0.1205,NO
0.1082,NO
0.17515,YES
0.3403,YES
0.29455,YES
0.20085,YES
0.10995,NO
0.09065000000000001,NO
0.2256,YES
0.2153,NO
0.18005,YES
0.18765,NO
0.2268,NO
0.23895,NO
0.22855000000000003,NO
0.14785,NO
0.2753,YES
0.14535,NO
0.29925,YES
0.13835,NO
0.29464999999999997,YES
0.17705,NO
0.19740000000000002,NO
0.1973,NO
0.16765000000000002,NO
0.19974999999999998,YES
0.17605,NO
0.18409999999999999,YES
0.1085,NO
0.09995000000000001,NO
0.29264999999999997,YES
0.37745,YES
0.3944,YES
0.2953,YES
0.0975,NO
0.08805,NO
0.3115,YES
0.20440000000000003,NO
0.3176,YES
0.17970000000000003,NO
0.12580000000000002,NO
0.1052,NO
0.0885,NO
0.1397,NO
0.36005,YES
0.13705,NO
0.4996,YES
0.09305,NO
0.44289999999999996,YES
0.19645,NO
0.18565,NO
0.26185,NO
0.18,NO
0.28959999999999997,YES
0.2275,NO
0.2829,YES
0.10665,NO
0.08184999999999999,NO
0.1656,NO
0.19105,NO
0.11945,NO
0.1444,NO
0.1103,NO
0.0839,NO
0.22615,NO
0.1367,NO
0.1358,NO
0.12475,NO
0.4164,YES
0.37355,YES
0.40205,YES
0.10045,NO
0.1212,NO
0.102,NO
0.11220000000000001,NO
0.1397,NO
0.12415000000000001,NO
0.09530000000000001,NO
0.1094,NO
0.12285000000000001,NO
0.09920000000000001,NO
0.18080000000000002,NO
0.09920000000000001,NO
0.20179999999999998,NO
0.24625,YES
0.3288,YES
0.2004,NO
0.14545,NO
0.1035,NO
0.09394999999999999,NO
0.3488,YES
0.24675,YES
0.1112,NO
0.1542,NO
0.08945,NO
0.16745,NO
0.1609,NO
0.15305000000000002,NO
0.15595,NO
0.33804999999999996,YES
0.09265,NO
0.27505,YES
0.07959999999999999,NO
0.37105,YES
0.10665,NO
0.1364,NO
0.09915,NO
0.14595,NO
0.12564999999999998,NO
0.13315,NO
0.1193,NO
0.10749999999999998,NO
0.07205,NO
0.0578,NO
0.22825,YES
0.3489,YES
0.34855,YES
0.2328,YES
0.07615,NO
0.058199999999999995,NO
0.26805,YES
0.13019999999999998,NO
0.23754999999999998,YES
0.12455,NO
0.2102,NO
0.19765,NO
0.2016,NO
0.06145,NO
0.31074999999999997,YES
0.061149999999999996,NO
0.3814,YES
0.1032,NO
0.34595,YES
0.09605,NO
0.09409999999999999,NO
0.13615,NO
0.0934,NO
0.23604999999999998,YES
0.11515,NO
0.22405,YES
0.385,YES
0.2253,YES
0.26045,NO
0.15955,NO
0.1271,NO
0.1403,NO
0.3251,YES
0.4213,YES
0.14235,NO
0.12195,NO
0.1353,NO
0.124,NO
0.17665,NO
0.15825,NO
0.15560000000000002,NO
0.269,YES
0.1201,NO
0.3742,YES
0.09665,NO
0.38245,YES
0.10114999999999999,NO
0.10214999999999999,NO
0.1091,NO
0.1344,NO
0.1074,NO
0.18280000000000002,NO
0.1275,NO
0.12745,NO
0.1395,NO
0.11055000000000001,NO
0.11935,NO
0.19195,NO
0.1306,NO
0.1311,NO
0.11745,NO
0.12105,NO
0.16585,NO
0.25015,YES
0.11205000000000001,NO
0.24235,YES
0.2242,NO
0.23520000000000002,NO
0.2289,NO
0.1483,NO
0.13269999999999998,NO
0.1605,NO
0.1502,NO
0.1812,NO
0.1595,NO
0.20555,YES
0.21039999999999998,YES
0.22325,YES
0.24054999999999999,YES
0.1387,NO
0.19269999999999998,YES
0.1293,NO
0.3976,YES
0.2414,YES
0.2059,NO
0.14395000000000002,NO
0.09725,NO
0.09865,NO
0.2996,YES
0.44195,YES
0.1121,NO
0.1174,NO
0.097,NO
0.1182,NO
0.15485,NO
0.1452,NO
0.14475,NO
0.28005,YES
0.09115000000000001,NO
0.40654999999999997,YES
0.0812,NO
0.39585000000000004,YES
0.09575,NO
0.0873,NO
0.0863,NO
0.12715,NO
0.0975,NO
0.1361,NO
0.10365,NO
0.1032,NO
0.17825,NO
0.1378,NO
0.1907,NO
0.17415000000000003,NO
0.1365,NO
0.19375,NO
0.18359999999999999,NO
0.16205,NO
0.20415,NO
0.27805,YES
0.1835,NO
0.3286,YES
0.22754999999999997,NO
0.2249,NO
0.21444999999999997,NO
0.1475,NO
0.13385,NO
0.15025,NO
0.126,NO
0.22144999999999998,NO
0.12545,NO
0.2363,YES
0.2402,YES
0.24955,YES
0.32425000000000004,YES
0.21335,NO
0.24525,YES
0.1691,NO
