UPPERTRACED_RFUNDER_SINGLE_VSM_MAX.csv,Associated
0.45,NO
0.1698,NO
0.86,YES
0.1648,NO
0.94,YES
0.52,NO
0.95,YES
0.56,NO
0.87,NO
0.99,NO
0.12,NO
0.78,YES
1.0,NO
0.98,YES
0.1201,NO
0.10300000000000001,NO
1.0,YES
0.58,YES
0.89,YES
0.64,YES
0.26,NO
0.0792,NO
0.99,YES
0.1836,NO
0.82,YES
0.1342,NO
0.28,NO
0.38,NO
0.45,NO
0.1825,NO
0.86,YES
0.1772,NO
0.94,YES
0.52,NO
0.95,YES
0.56,NO
0.87,NO
0.99,NO
0.1348,NO
0.78,YES
1.0,NO
0.98,YES
0.08900000000000001,NO
0.0394,NO
0.1381,NO
0.2108,NO
0.45,NO
0.0957,NO
0.28,NO
0.0435,NO
0.26,NO
0.17,NO
0.6,NO
0.1052,NO
0.4225,YES
0.3368,YES
0.3938,YES
0.0766,NO
0.17,NO
0.0797,NO
0.0531,NO
0.57,NO
0.077,NO
0.0463,NO
0.0745,NO
0.1014,NO
0.29,NO
0.1685,NO
0.0541,NO
0.2105,NO
0.51,YES
0.99,YES
0.2752,NO
0.1653,NO
0.0814,NO
0.0623,NO
1.0,YES
0.1249,YES
0.0968,NO
0.63,NO
0.0533,NO
0.1784,NO
0.1661,NO
0.1504,NO
0.1562,NO
1.0,YES
0.0597,NO
0.54,YES
0.0336,NO
0.8,YES
0.0877,NO
0.1163,NO
0.0418,NO
0.1354,NO
0.0948,NO
0.1407,NO
0.0821,NO
0.0894,NO
0.0416,NO
0.03,NO
1.0,YES
0.58,YES
0.89,YES
0.64,YES
0.26,NO
0.0139,NO
0.99,YES
0.1109,NO
0.82,YES
0.0996,NO
0.28,NO
0.38,NO
0.45,NO
0.0204,NO
0.86,YES
0.0198,NO
0.94,YES
0.52,NO
0.95,YES
0.56,NO
0.87,NO
0.99,NO
0.12,NO
0.78,YES
1.0,NO
0.98,YES
0.51,YES
0.99,YES
0.3473,NO
0.1555,NO
0.0906,NO
0.107,NO
1.0,YES
0.4184,YES
0.1111,NO
0.63,NO
0.09699999999999999,NO
0.1058,NO
0.1741,NO
0.1373,NO
0.132,NO
1.0,YES
0.0766,NO
0.54,YES
0.0297,NO
0.8,YES
0.0387,NO
0.0621,NO
0.076,NO
0.1266,NO
0.0726,NO
0.192,NO
0.1128,NO
0.0813,NO
0.31,NO
0.17,NO
0.37,NO
0.95,NO
0.79,NO
0.47,NO
0.76,NO
0.0869,NO
0.43,NO
0.78,YES
0.75,NO
0.77,YES
0.24100000000000002,NO
0.263,NO
0.2504,NO
0.1414,NO
0.97,NO
0.1658,NO
0.99,NO
0.2072,NO
0.86,NO
0.8,YES
0.58,YES
0.52,YES
0.84,YES
0.58,NO
0.93,YES
0.67,NO
0.51,YES
0.99,YES
0.2823,NO
0.1584,NO
0.065,NO
0.0678,NO
1.0,YES
0.4499,YES
0.0947,NO
0.63,NO
0.0645,NO
0.1095,NO
0.1665,NO
0.1472,NO
0.1463,NO
1.0,YES
0.0528,NO
0.54,YES
0.0329,NO
0.8,YES
0.062,NO
0.0477,NO
0.0457,NO
0.1274,NO
0.0681,NO
0.1427,NO
0.0804,NO
0.0769,NO
0.31,NO
0.17,NO
0.37,NO
0.95,NO
0.79,NO
0.47,NO
0.76,NO
0.1098,NO
0.43,NO
0.78,YES
0.75,NO
0.77,YES
0.2438,NO
0.26,NO
0.2176,NO
0.0807,NO
0.97,NO
0.0862,NO
0.99,NO
0.2286,NO
0.86,NO
0.8,YES
0.58,YES
0.52,YES
0.84,YES
0.58,NO
0.93,YES
0.67,NO
