LOWERTRACED_RFSMOTE_RAW_LSA_MAX.csv,Associated
0.35,NO
0.48,NO
0.48,NO
0.35,NO
0.1291,NO
0.35,NO
0.1052,NO
0.4225,YES
0.3368,YES
0.3938,YES
0.48,NO
0.47,NO
0.48,NO
0.47,NO
0.48,NO
0.47,NO
0.0463,NO
0.0745,NO
0.1014,NO
0.0541,NO
0.35,NO
0.0541,NO
0.35,NO
0.1239,YES
0.289,YES
0.8,NO
0.3,NO
0.3,NO
0.8,NO
0.32899999999999996,YES
0.1249,YES
0.8,NO
0.1519,NO
0.8,NO
0.1784,NO
0.1661,NO
0.1504,NO
0.1562,NO
0.3075,YES
0.3,NO
0.1815,YES
0.3,NO
0.3735,YES
0.3,NO
0.1163,NO
0.0418,NO
0.1354,NO
0.0948,NO
0.8,NO
0.0821,NO
0.8,NO
0.0416,NO
0.0131,NO
0.98,YES
0.2886,YES
0.2879,YES
0.98,YES
0.0498,NO
0.0139,NO
0.98,YES
0.24,NO
0.98,YES
0.24,NO
0.1977,NO
0.1726,NO
0.1805,NO
0.0204,NO
0.2123,YES
0.0198,NO
0.3536,YES
0.1039,NO
0.2827,YES
0.24,NO
0.24,NO
0.24,NO
0.24,NO
0.98,YES
0.24,NO
0.98,YES
0.3458,YES
0.0264,YES
0.65,NO
0.91,NO
0.91,NO
0.65,NO
0.226,YES
0.4184,YES
0.65,NO
0.1017,NO
0.65,NO
0.1058,NO
1.0,NO
1.0,NO
1.0,NO
0.1138,YES
0.91,NO
0.3242,YES
0.91,NO
0.3407,YES
0.91,NO
0.0621,NO
0.076,NO
0.1266,NO
0.0726,NO
0.65,NO
0.1128,NO
0.65,NO
0.1238,NO
0.0659,NO
0.78,NO
0.34,NO
0.34,NO
0.78,NO
0.0797,NO
0.0869,NO
0.78,NO
0.42,YES
0.78,NO
0.42,YES
0.24100000000000002,NO
0.263,NO
0.2504,NO
0.1414,NO
0.34,NO
0.1658,NO
0.34,NO
0.2072,NO
0.34,NO
0.42,YES
0.42,YES
0.42,YES
0.42,YES
0.78,NO
0.42,YES
0.78,NO
0.3612,YES
0.0488,YES
0.96,NO
0.53,NO
0.53,NO
0.96,NO
0.1652,YES
0.4499,YES
0.96,NO
0.1079,NO
0.96,NO
0.1095,NO
0.2987232645528465,NO
0.2987232645528465,NO
0.2987232645528465,NO
0.1261,YES
0.53,NO
0.3791,YES
0.53,NO
0.3577,YES
0.53,NO
0.0477,NO
0.0457,NO
0.1274,NO
0.0681,NO
0.96,NO
0.0804,NO
0.96,NO
0.64,NO
0.64,NO
0.95,NO
0.2,NO
0.2,NO
0.95,NO
0.64,NO
0.64,NO
0.95,NO
0.1807,YES
0.95,NO
0.2818,YES
0.2438,NO
0.2385,NO
0.2176,NO
0.64,NO
0.2,NO
0.64,NO
0.2,NO
0.64,NO
0.2,NO
0.13,YES
0.13,YES
0.13,YES
0.2731,YES
0.95,NO
0.13,YES
0.95,NO
