NONETRACED_MAX_RAW_VSM_MEDIAN.csv,Associated
0.07395,NO
0.030350000000000002,NO
0.14934999999999998,YES
0.1078,NO
0.10205,YES
0.09340000000000001,NO
0.1476,NO
0.1389,NO
0.12869999999999998,NO
0.0529,NO
0.1738,YES
0.0593,NO
0.24505,YES
0.0957,NO
0.19440000000000002,YES
0.0576,NO
0.0862,NO
0.1105,NO
0.0434,NO
0.13155,YES
0.08465,NO
0.10200000000000001,YES
0.11795,NO
0.0524,NO
0.1441,NO
0.1954,NO
0.13655,NO
0.13505,NO
0.12365,NO
0.0917,NO
0.1109,NO
0.3106,YES
0.11845,NO
0.21284999999999998,YES
0.13385,NO
0.13065,NO
0.1113,NO
0.058050000000000004,NO
0.11674999999999999,NO
0.0676,NO
0.0898,NO
0.12735,NO
0.10264999999999999,NO
0.291,YES
0.29585,YES
0.2151,YES
0.2041,YES
0.15105,NO
0.14845,YES
0.076,NO
0.0732,NO
0.0494,NO
0.08775,YES
0.24325000000000002,YES
0.1802,YES
0.1096,YES
0.0682,NO
0.048100000000000004,NO
0.13895000000000002,YES
0.1856,NO
0.0838,YES
0.10495,NO
0.14715,NO
0.1625,NO
0.14679999999999999,NO
0.09375,NO
0.15845,YES
0.09415,NO
0.179,YES
0.09234999999999999,NO
0.17149999999999999,YES
0.15145,NO
0.16904999999999998,NO
0.1566,NO
0.0797,NO
0.11245,YES
0.09005,NO
0.0963,YES
0.1108,NO
0.0535,NO
0.1545,NO
0.1341,NO
0.10880000000000001,NO
0.14415,NO
0.112,NO
0.10765,NO
0.14135,NO
0.16515,YES
0.1353,NO
0.179,YES
0.16920000000000002,NO
0.1444,NO
0.13685,NO
0.05865,NO
0.08315,NO
0.06470000000000001,NO
0.08954999999999999,NO
0.13695,NO
0.0753,NO
0.1413,YES
0.13424999999999998,YES
0.1454,YES
0.20515,YES
0.16144999999999998,NO
0.13035,YES
0.1013,NO
0.08515,NO
0.086,NO
0.16394999999999998,NO
0.15015,NO
0.10805000000000001,NO
0.1612,NO
0.10535,NO
0.06315,NO
0.15455,NO
0.2638,YES
0.16255,NO
0.129,YES
0.09575,NO
0.07785,NO
0.043949999999999996,NO
0.1406,NO
0.11635000000000001,NO
0.12025,NO
0.1982,NO
0.0797,NO
0.19155,NO
0.2797,YES
0.2669,YES
0.3327,YES
0.12369999999999999,YES
0.14005,NO
0.20329999999999998,YES
0.1173,NO
0.1117,NO
0.052849999999999994,NO
0.14115,NO
0.18014999999999998,NO
0.1382,NO
0.1391,NO
0.12175,NO
0.09085,NO
0.12405,NO
0.28285,YES
0.12935,NO
0.16515000000000002,YES
0.1513,NO
0.1424,NO
0.13069999999999998,NO
0.05325,NO
0.11195,NO
0.062,NO
0.09805,NO
0.11955,NO
0.10585,NO
0.29335,YES
0.28435,YES
0.2118,YES
0.18730000000000002,YES
0.14805,NO
0.15845,YES
0.0861,NO
0.0737,NO
0.051250000000000004,NO
0.08935000000000001,NO
0.21055000000000001,NO
0.109,NO
0.0821,NO
0.0697,NO
0.04795,NO
0.10125,NO
0.32899999999999996,YES
0.0612,NO
0.172,YES
0.14355,NO
0.14475,NO
0.131,NO
0.07395,NO
0.095,NO
0.0718,NO
0.08245,NO
0.10355,NO
0.11715,NO
0.2647,YES
0.28035,YES
0.23249999999999998,YES
0.11080000000000001,YES
0.09970000000000001,NO
0.10930000000000001,YES
0.07655,NO
0.0879,NO
0.0371,NO
0.32125,YES
0.11335,YES
0.098,YES
0.2084,YES
0.14700000000000002,NO
0.07935,NO
0.22925,YES
0.0813,NO
0.21615,YES
0.07045,NO
0.14985,NO
0.1136,NO
0.1058,NO
0.07375,NO
0.08224999999999999,YES
0.0778,NO
0.1659,YES
0.13295,NO
0.09925,YES
0.09855,NO
0.08445,NO
0.20734999999999998,NO
0.0828,NO
0.23135,YES
0.17875,NO
0.1584,YES
0.1305,NO
0.0965,NO
0.24895,YES
0.14335,NO
0.11175,NO
0.30135,YES
0.1359,NO
0.0718,NO
0.37224999999999997,YES
0.12845,NO
0.2868,YES
0.0975,NO
0.21465,NO
0.2108,NO
0.17425,NO
0.11135,NO
0.15525,NO
0.095,NO
0.2475,NO
0.09645000000000001,NO
0.18114999999999998,NO
0.13219999999999998,NO
0.13065,NO
0.24664999999999998,NO
0.12430000000000001,NO
0.2661,YES
0.23035,NO
0.2056,YES
0.07905,NO
0.032100000000000004,NO
0.1815,YES
0.20015,YES
0.16485,YES
0.17504999999999998,YES
0.09515000000000001,NO
0.053849999999999995,NO
0.20879999999999999,YES
0.1885,NO
0.1805,YES
0.09405,NO
0.16449999999999998,NO
0.1486,NO
0.14005,NO
0.05015,NO
0.1356,YES
0.05775,NO
0.20235,YES
0.0879,NO
0.14765,YES
0.18335,NO
0.18165,NO
0.2112,NO
0.09225,NO
0.1742,YES
0.15875,NO
0.1517,YES
0.11345,NO
0.1002,NO
0.26095,YES
0.12495,NO
0.11474999999999999,NO
0.2803,YES
0.1194,NO
0.09175,NO
0.31945,YES
0.12035,NO
0.3175,YES
0.09145,NO
0.16444999999999999,NO
0.11549999999999999,NO
0.08875,NO
0.11374999999999999,NO
0.1408,NO
0.10694999999999999,NO
0.23395,NO
0.0673,NO
0.17645,NO
0.1452,NO
0.13335,NO
0.25155,NO
0.13525,NO
0.2589,YES
0.2345,NO
0.22760000000000002,YES
0.04185,NO
0.0175,NO
0.04625,YES
0.1348,YES
0.09255,YES
0.0489,YES
0.0363,NO
0.01915,NO
0.08505,YES
0.07715,NO
0.0405,YES
0.0661,NO
0.11905000000000002,NO
0.11705,NO
0.11485,NO
0.047950000000000007,NO
0.11145000000000001,YES
0.04855,NO
0.11185,YES
0.07905,NO
0.0952,YES
0.0239,NO
0.059050000000000005,NO
0.055150000000000005,NO
0.0319,NO
0.053849999999999995,YES
0.03875,NO
0.0518,YES
0.23149999999999998,YES
0.0383,YES
0.20735,NO
0.10669999999999999,NO
0.09865,NO
0.10590000000000001,NO
0.14885,YES
0.24655,YES
0.10414999999999999,NO
0.06845000000000001,NO
0.1008,NO
0.05675,NO
0.15175,NO
0.12095,NO
0.1068,NO
0.07015,YES
0.07035,NO
0.1941,YES
0.040650000000000006,NO
0.19765,YES
0.03995,NO
0.0779,NO
0.0786,NO
0.09140000000000001,NO
0.08005000000000001,NO
0.1373,NO
0.10185,NO
0.07669999999999999,NO
0.0801,NO
0.052349999999999994,NO
0.2188,YES
0.1028,YES
0.07965,YES
0.24609999999999999,YES
0.08625,NO
0.05115,NO
0.36669999999999997,YES
0.08045,NO
0.2629,YES
0.058050000000000004,NO
0.2122,NO
0.14255,NO
0.14165,NO
0.06415,NO
0.09935,YES
0.060149999999999995,NO
0.20795000000000002,YES
0.06335,NO
0.13965,YES
0.09920000000000001,NO
0.08715,NO
0.21035,NO
0.0874,NO
0.2201,YES
0.1897,NO
0.25705,YES
0.10165,NO
0.038,NO
0.26155,YES
0.16240000000000002,YES
0.1457,YES
0.17895,YES
0.1399,NO
0.0912,NO
0.2112,YES
0.1527,NO
0.19245,YES
0.0882,NO
0.1531,NO
0.1268,NO
0.11915,NO
0.0755,NO
0.1163,YES
0.08305,NO
0.16215000000000002,YES
0.12415,NO
0.1159,YES
0.15810000000000002,NO
0.15395,NO
0.2084,NO
0.09575,NO
0.1991,YES
0.172,NO
0.15560000000000002,YES
0.09570000000000001,NO
0.0688,NO
0.33395,YES
0.11875,YES
0.13275,YES
0.22735,YES
0.151,NO
0.1013,NO
0.23545,YES
0.1011,NO
0.25005,YES
0.0721,NO
0.1157,NO
0.078,NO
0.05075,NO
0.1282,NO
0.11775,YES
0.1245,NO
0.2243,YES
0.11220000000000001,NO
0.16675,YES
0.12635,NO
0.1159,NO
0.2364,NO
0.10825000000000001,NO
0.22675,YES
0.21585000000000001,NO
0.18115,YES
0.0747,NO
0.05665,NO
0.22195,YES
0.10065,YES
0.0737,YES
0.22535,YES
0.07725,NO
0.04554999999999999,NO
0.35805000000000003,YES
0.0818,NO
0.25975,YES
0.06330000000000001,NO
0.2047,NO
0.11374999999999999,NO
0.11075,NO
0.0742,NO
0.09515,YES
0.072,NO
0.21515,YES
0.05475,NO
0.1485,YES
0.09485,NO
0.07915,NO
0.22005,NO
0.0853,NO
0.21585,YES
0.1804,NO
0.29075,YES
0.08299999999999999,NO
0.057499999999999996,NO
0.08085,YES
0.23495,YES
0.1825,YES
0.11405,YES
0.0721,NO
0.0467,NO
0.13244999999999998,YES
0.14295,NO
0.0827,YES
0.09910000000000001,NO
0.16335,NO
0.17265,NO
0.15595,NO
0.10905000000000001,NO
0.15775,YES
0.10755,NO
0.18485000000000001,YES
0.09375,NO
0.18134999999999998,YES
0.09759999999999999,NO
0.12975,NO
0.12175,NO
0.07565,NO
0.1098,YES
0.09045,NO
0.08605,YES
0.08835,NO
0.06235,NO
0.17495,YES
0.23045,YES
0.23954999999999999,YES
0.18025,YES
0.07815,NO
0.056150000000000005,NO
0.1966,YES
0.13465,NO
0.19465,YES
0.08665,NO
0.1028,NO
0.08845,NO
0.051449999999999996,NO
0.11025,NO
0.1971,YES
0.10815,NO
0.36519999999999997,YES
0.06915,NO
0.2938,YES
0.11985,NO
0.12040000000000001,NO
0.19455,NO
0.0876,NO
0.16920000000000002,YES
0.15935,NO
0.15589999999999998,YES
0.0816,NO
0.0383,NO
0.10214999999999999,NO
0.142,NO
0.0615,NO
0.09,NO
0.08795,NO
0.04295,NO
0.18739999999999998,NO
0.09035,NO
0.06825,NO
0.07275000000000001,NO
0.28935,YES
0.23914999999999997,YES
0.2565,YES
0.06125,NO
0.0711,NO
0.06565,NO
0.051250000000000004,NO
0.10074999999999999,NO
0.06255,NO
0.04395,NO
0.0721,NO
0.08045,NO
0.047850000000000004,NO
0.11795,NO
0.0586,NO
0.15175,NO
0.1012,YES
0.1804,YES
0.1658,NO
0.1061,NO
0.0572,NO
0.05165,NO
0.22935,YES
0.09215,YES
0.07050000000000001,NO
0.10125,NO
0.04245,NO
0.11105000000000001,NO
0.1127,NO
0.1056,NO
0.1007,NO
0.2244,YES
0.0489,NO
0.1295,YES
0.03455,NO
0.23065,YES
0.0662,NO
0.07730000000000001,NO
0.0448,NO
0.0849,NO
0.06655,NO
0.0906,NO
0.0609,NO
0.062349999999999996,NO
0.051000000000000004,NO
0.0189,NO
0.1001,YES
0.21945,YES
0.21015,YES
0.1149,YES
0.05475,NO
0.024,NO
0.1449,YES
0.0929,NO
0.1053,YES
0.07075,NO
0.1387,NO
0.12555,NO
0.1227,NO
0.02935,NO
0.16315,YES
0.03135,NO
0.24205000000000002,YES
0.07685,NO
0.21345,YES
0.0523,NO
0.07089999999999999,NO
0.10005,NO
0.0374,NO
0.11385,YES
0.07719999999999999,NO
0.09090000000000001,YES
0.26465,YES
0.02945,YES
0.2033,NO
0.10225000000000001,NO
0.0668,NO
0.08595,NO
0.1463,YES
0.2799,YES
0.0814,NO
0.0765,NO
0.06985,NO
0.07275000000000001,NO
0.12115000000000001,NO
0.10045000000000001,NO
0.09205,NO
0.0889,YES
0.0619,NO
0.2508,YES
0.038,NO
0.22845,YES
0.0375,NO
0.0536,NO
0.06505,NO
0.0875,NO
0.0537,NO
0.1262,NO
0.07925,NO
0.06095,NO
0.09475,NO
0.046,NO
0.06999999999999999,NO
0.13735,NO
0.0699,NO
0.0879,NO
0.0634,NO
0.0686,NO
0.12645,NO
0.1526,YES
0.06155000000000001,NO
0.1384,YES
0.16,NO
0.16735,NO
0.1553,NO
0.09634999999999999,NO
0.0721,NO
0.11535000000000001,NO
0.09135,NO
0.12485,NO
0.09875,NO
0.09565,YES
0.11135,YES
0.1169,YES
0.1317,YES
0.09065000000000001,NO
0.07715,YES
0.083,NO
0.2755,YES
0.04085,YES
0.17149999999999999,NO
0.10415,NO
0.0495,NO
0.05935,NO
0.11705000000000002,YES
0.29810000000000003,YES
0.06835000000000001,NO
0.07485,NO
0.04695,NO
0.07245,NO
0.1105,NO
0.10635,NO
0.09395,NO
0.09545,YES
0.0508,NO
0.2803,YES
0.03475,NO
0.2383,YES
0.054650000000000004,NO
0.042249999999999996,NO
0.04895,NO
0.07945,NO
0.0496,NO
0.09955,NO
0.05975,NO
0.05505,NO
0.11645,NO
0.0475,NO
0.10350000000000001,NO
0.12505,NO
0.07365,NO
0.12079999999999999,NO
0.10685,NO
0.08879999999999999,NO
0.12110000000000001,NO
0.1511,YES
0.0956,NO
0.19325,YES
0.16115,NO
0.1565,NO
0.13955,NO
0.07344999999999999,NO
0.07694999999999999,NO
0.0879,NO
0.06485,NO
0.14365,NO
0.06275,NO
0.08885,YES
0.1098,YES
0.09665,YES
0.18255,YES
0.13735,NO
0.0904,YES
0.07675,NO
