NONETRACED_RFUNDER_RAW_VSM_MEDIAN.csv,Associated
0.06975,NO
0.17125,YES
0.07215,NO
0.14325,NO
0.1017,NO
0.10669999999999999,NO
0.0336,NO
0.1809,YES
0.0278,NO
0.18045,YES
0.07085,NO
0.2925,YES
0.031100000000000003,NO
0.12885,NO
0.08695,NO
0.0947,NO
0.08575,YES
0.0532,NO
0.08215,YES
0.11220000000000001,NO
0.0366,NO
0.10375000000000001,NO
0.2191,NO
0.11384999999999999,NO
0.09005,NO
0.1142,NO
0.06125,NO
0.0729,NO
0.3114,YES
0.08385000000000001,NO
0.2602,YES
0.11935,NO
0.1678,NO
0.08445,NO
0.027000000000000003,NO
0.08845,NO
0.04235,NO
0.0991,NO
0.11095,NO
0.09965,NO
0.33485,YES
0.3156,YES
0.21955000000000002,YES
0.2447,YES
0.1163,NO
0.21765,YES
0.05895,NO
0.07425000000000001,NO
0.0387,NO
0.11345,YES
0.18735000000000002,YES
0.30655,YES
0.07654999999999999,YES
0.05425,NO
0.0302,NO
0.1034,YES
0.2549,NO
0.123,YES
0.11795,NO
0.1676,NO
0.12855,NO
0.11875,NO
0.07265,NO
0.15725,YES
0.0955,NO
0.14615,YES
0.076,NO
0.14775,YES
0.11245,NO
0.1903,NO
0.1464,NO
0.1416,NO
0.17305,YES
0.0558,NO
0.07629999999999999,YES
0.09575,NO
0.03725,NO
0.14405,NO
0.115,NO
0.07735,NO
0.10485,NO
0.08265,NO
0.0768,NO
0.09995,NO
0.21944999999999998,YES
0.11725,NO
0.12235,YES
0.17095,NO
0.1168,NO
0.10165,NO
0.03165,NO
0.0525,NO
0.043,NO
0.05565,NO
0.1128,NO
0.04945,NO
0.09895000000000001,YES
0.27725,YES
0.10005,YES
0.1554,YES
0.12025,NO
0.12284999999999999,YES
0.10655,NO
0.04745,NO
0.06695,NO
0.187,NO
0.21335,NO
0.0718,NO
0.10895,NO
0.10195,NO
0.04835,NO
0.1399,NO
0.2814,YES
0.1572,NO
0.1018,YES
0.06655,NO
0.08174999999999999,NO
0.03235,NO
0.127,NO
0.09135000000000001,NO
0.13775,NO
0.16999999999999998,NO
0.07544999999999999,NO
0.17095,NO
0.2821,YES
0.30979999999999996,YES
0.30705,YES
0.08915,YES
0.0965,NO
0.18364999999999998,YES
0.1063,NO
0.10195,NO
0.03845,NO
0.09765,NO
0.1721,NO
0.12235,NO
0.09615,NO
0.10919999999999999,NO
0.0602,NO
0.11255000000000001,NO
0.27395,YES
0.10139999999999999,NO
0.17915,YES
0.1226,NO
0.13205,NO
0.10035,NO
0.0399,NO
0.11074999999999999,NO
0.06075,NO
0.06035,NO
0.0956,NO
0.115,NO
0.2969,YES
0.29469999999999996,YES
0.18995,YES
0.26875000000000004,YES
0.1103,NO
0.14515,YES
0.1134,NO
0.03635,NO
0.0357,NO
0.054000000000000006,NO
0.1993,NO
0.08635,NO
0.06275,NO
0.04525,NO
0.031599999999999996,NO
0.07605,NO
0.29985,YES
0.03035,NO
0.20235,YES
0.11589999999999999,NO
0.1474,NO
0.10725,NO
0.05745,NO
0.07675,NO
0.061200000000000004,NO
0.04875,NO
0.1451,NO
0.0809,NO
0.21860000000000002,YES
0.19014999999999999,YES
0.252,YES
0.08285000000000001,YES
0.07375000000000001,NO
0.2214,YES
0.0495,NO
0.07844999999999999,NO
0.02255,NO
0.27975,YES
0.08655,YES
0.20634999999999998,YES
0.14235,YES
0.14185,NO
0.06325,NO
0.1733,YES
0.0487,NO
0.16445,YES
0.057949999999999995,NO
0.14655,NO
0.0748,NO
0.0787,NO
0.0501,NO
0.06465,YES
0.05375,NO
0.12845,YES
0.11145000000000001,NO
0.09605,YES
0.17855,NO
0.095,NO
0.19125,NO
0.08499999999999999,NO
0.17495,YES
0.1558,NO
0.10905000000000001,YES
0.10495,NO
0.09235,NO
0.17975,YES
0.1278,NO
0.07675,NO
0.25795,YES
0.09135,NO
0.08485000000000001,NO
0.31739999999999996,YES
0.0955,NO
0.21905,YES
0.0914,NO
0.2082,NO
0.16515,NO
0.15239999999999998,NO
0.0855,NO
0.10949999999999999,NO
0.0699,NO
0.18365,NO
0.07255,NO
0.15184999999999998,NO
0.09955,NO
0.0892,NO
0.18835,NO
0.09585,NO
0.1897,YES
0.16795,NO
0.1437,YES
0.044899999999999995,NO
0.028200000000000003,NO
0.12375,YES
0.1397,YES
0.1916,YES
0.11065,YES
0.12165000000000001,NO
0.0237,NO
0.19995,YES
0.1764,NO
0.15039999999999998,YES
0.05475,NO
0.12325,NO
0.16305,NO
0.13240000000000002,NO
0.0228,NO
0.08975,YES
0.0221,NO
0.135,YES
0.1462,NO
0.10565,YES
0.23485,NO
0.10555,NO
0.15175,NO
0.05775,NO
0.1215,YES
0.09795,NO
0.099,YES
0.0818,NO
0.0823,NO
0.20905,YES
0.0931,NO
0.08245,NO
0.20985,YES
0.25905,NO
0.0765,NO
0.2969,YES
0.0845,NO
0.2565,YES
0.1428,NO
0.2672,NO
0.0971,NO
0.06385,NO
0.08875,NO
0.1653,NO
0.0827,NO
0.18785000000000002,NO
0.0501,NO
0.13315,NO
0.1209,NO
0.1182,NO
0.19505,NO
0.11800000000000001,NO
0.20600000000000002,YES
0.1792,NO
0.18195,YES
0.05835,NO
0.0092,NO
0.062200000000000005,YES
0.10335000000000001,YES
0.09255,YES
0.0263,YES
0.06445,NO
0.0049,NO
0.0602,YES
0.0926,NO
0.0317,YES
0.0497,NO
0.0855,NO
0.08665,NO
0.08925,NO
0.0316,NO
0.0826,YES
0.0307,NO
0.07665,YES
0.11234999999999999,NO
0.0756,YES
0.0075,NO
0.0357,NO
0.0349,NO
0.0175,NO
0.0336,YES
0.0189,NO
0.05185000000000001,YES
0.2062,YES
0.0241,YES
0.19669999999999999,NO
0.1774,NO
0.10295,NO
0.0753,NO
0.1197,YES
0.22465000000000002,YES
0.1252,NO
0.0379,NO
0.09585,NO
0.043500000000000004,NO
0.11155000000000001,NO
0.085,NO
0.0723,NO
0.0872,YES
0.0475,NO
0.13595000000000002,YES
0.013000000000000001,NO
0.16924999999999998,YES
0.02385,NO
0.061,NO
0.04635,NO
0.07295,NO
0.05965,NO
0.10885,NO
0.15,NO
0.0498,NO
0.04195,NO
0.12359999999999999,NO
0.1534,YES
0.0577,YES
0.0401,YES
0.1783,YES
0.0484,NO
0.13385,NO
0.43279999999999996,YES
0.0469,NO
0.19855,YES
0.05325,NO
0.1521,NO
0.18835000000000002,NO
0.1762,NO
0.042,NO
0.07635,YES
0.058649999999999994,NO
0.16510000000000002,YES
0.04105,NO
0.09845,YES
0.07765,NO
0.0621,NO
0.15615,NO
0.05885,NO
0.1533,YES
0.13105,NO
0.29655,YES
0.0589,NO
0.0237,NO
0.30385,YES
0.11570000000000001,YES
0.11535,YES
0.12835,YES
0.1696,NO
0.13825,NO
0.15175,YES
0.23929999999999998,NO
0.1461,YES
0.0544,NO
0.12385,NO
0.08815,NO
0.0872,NO
0.0474,NO
0.086,YES
0.0441,NO
0.23835,YES
0.0984,NO
0.08370000000000001,YES
0.17670000000000002,NO
0.1123,NO
0.1552,NO
0.16110000000000002,NO
0.22195,YES
0.11705,NO
0.12185,YES
0.0671,NO
0.05495,NO
0.338,YES
0.08115,YES
0.1098,YES
0.16485,YES
0.11349999999999999,NO
0.10110000000000001,NO
0.1886,YES
0.0551,NO
0.20005,YES
0.0511,NO
0.10414999999999999,NO
0.0681,NO
0.04645,NO
0.1017,NO
0.1141,YES
0.09875,NO
0.22110000000000002,YES
0.08865,NO
0.1257,YES
0.1177,NO
0.10005,NO
0.18095,NO
0.08575,NO
0.1826,YES
0.16295,NO
0.184,YES
0.045450000000000004,NO
0.0366,NO
0.1647,YES
0.09955,YES
0.03825,YES
0.17204999999999998,YES
0.0382,NO
0.032799999999999996,NO
0.42645,YES
0.05015,NO
0.3052,YES
0.044000000000000004,NO
0.15794999999999998,NO
0.06315,NO
0.10485,NO
0.05235,NO
0.05155,YES
0.0508,NO
0.1633,YES
0.04195,NO
0.11735,YES
0.07385,NO
0.16065,NO
0.15675,NO
0.05475,NO
0.156,YES
0.12345,NO
0.25815,YES
0.05755,NO
0.050249999999999996,NO
0.0514,YES
0.2883,YES
0.13755,YES
0.0771,YES
0.052,NO
0.0277,NO
0.10685,YES
0.11855,NO
0.08130000000000001,YES
0.0809,NO
0.1294,NO
0.16155,NO
0.12615,NO
0.12490000000000001,NO
0.1683,YES
0.0874,NO
0.16725,YES
0.0754,NO
0.14265,YES
0.0603,NO
0.18065,NO
0.08055,NO
0.0659,NO
0.151,YES
0.0593,NO
0.06035,YES
0.06005,NO
0.051500000000000004,NO
0.152,YES
0.25425,YES
0.2512,YES
0.15965,YES
0.04905,NO
0.0396,NO
0.22585,YES
0.09680000000000001,NO
0.15695,YES
0.0671,NO
0.0724,NO
0.0518,NO
0.0401,NO
0.12125,NO
0.15685000000000002,YES
0.0986,NO
0.3114,YES
0.0496,NO
0.2397,YES
0.08385,NO
0.09305000000000001,NO
0.15425,NO
0.0674,NO
0.13895000000000002,YES
0.1199,NO
0.13724999999999998,YES
0.10950000000000001,NO
0.0197,NO
0.07405,NO
0.1054,NO
0.0438,NO
0.07285,NO
0.05815,NO
0.02175,NO
0.2496,NO
0.13955,NO
0.04425,NO
0.0526,NO
0.28625,YES
0.2534,YES
0.2619,YES
0.0383,NO
0.040549999999999996,NO
0.03985,NO
0.02655,NO
0.07755,NO
0.058499999999999996,NO
0.02815,NO
0.03725,NO
0.1557,NO
0.02705,NO
0.08425,NO
0.02705,NO
0.12025,NO
0.07195,YES
0.16449999999999998,YES
0.1376,NO
0.10265,NO
0.0557,NO
0.10615,NO
0.19949999999999998,YES
0.06245,YES
0.0484,NO
0.08095000000000001,NO
0.03165,NO
0.0892,NO
0.14805000000000001,NO
0.0752,NO
0.0781,NO
0.18875,YES
0.03485,NO
0.12575,YES
0.1268,NO
0.26675,YES
0.05385,NO
0.09815,NO
0.0209,NO
0.0677,NO
0.052399999999999995,NO
0.07035,NO
0.04105,NO
0.0547,NO
0.0208,NO
0.00655,NO
0.06015,YES
0.2293,YES
0.22394999999999998,YES
0.12469999999999999,YES
0.0249,NO
0.00695,NO
0.16494999999999999,YES
0.05545,NO
0.13945000000000002,YES
0.0498,NO
0.09885,NO
0.1013,NO
0.10024999999999999,NO
0.0852,NO
0.17115,YES
0.029900000000000003,NO
0.19180000000000003,YES
0.05695,NO
0.22135,YES
0.0363,NO
0.06434999999999999,NO
0.0614,NO
0.04865,NO
0.11295,YES
0.045399999999999996,NO
0.07095,YES
0.2129,YES
0.0132,YES
0.17365,NO
0.07775,NO
0.0953,NO
0.0535,NO
0.14300000000000002,YES
0.2542,YES
0.05555,NO
0.05085,NO
0.048499999999999995,NO
0.0529,NO
0.09705,NO
0.07365000000000001,NO
0.066,NO
0.0769,YES
0.0383,NO
0.23709999999999998,YES
0.01485,NO
0.22035,YES
0.02435,NO
0.03105,NO
0.038,NO
0.0783,NO
0.0363,NO
0.096,NO
0.061399999999999996,NO
0.09065000000000001,NO
0.0619,NO
0.03295,NO
0.07455,NO
0.1084,NO
0.04705,NO
0.1163,NO
0.03985,NO
0.04345,NO
0.10604999999999999,NO
0.10595,YES
0.13225,NO
0.09815,YES
0.1355,NO
0.1365,NO
0.1252,NO
0.0707,NO
0.04915,NO
0.0929,NO
0.06665,NO
0.1036,NO
0.08095000000000001,NO
0.06635,YES
0.0812,YES
0.09905,YES
0.09635,YES
0.09390000000000001,NO
0.058499999999999996,YES
0.059500000000000004,NO
0.1956,YES
0.0244,YES
0.14115,NO
0.08420000000000001,NO
0.0375,NO
0.0339,NO
0.08760000000000001,YES
0.25495,YES
0.057350000000000005,NO
0.058949999999999995,NO
0.04225,NO
0.05475,NO
0.08325,NO
0.0786,NO
0.07315,NO
0.07304999999999999,YES
0.0264,NO
0.22955,YES
0.03145,NO
0.24885000000000002,YES
0.041,NO
0.02885,NO
0.02285,NO
0.06870000000000001,NO
0.03405,NO
0.08134999999999999,NO
0.0552,NO
0.09845,NO
0.0861,NO
0.03065,NO
0.0742,NO
0.0889,NO
0.05125,NO
0.08225,NO
0.07645,NO
0.0549,NO
0.11765,NO
0.20035,YES
0.07200000000000001,NO
0.1409,YES
0.12689999999999999,NO
0.13424999999999998,NO
0.1088,NO
0.08035,NO
0.053599999999999995,NO
0.0781,NO
0.11075000000000002,NO
0.1143,NO
0.0402,NO
0.0686,YES
0.20249999999999999,YES
0.07185,YES
0.14155,YES
0.10185000000000001,NO
0.05755,YES
0.0526,NO
