UPPERTRACED_MAX_RAW_VSM_MEDIAN.csv,Associated
0.2621,YES
0.177,NO
0.11745,NO
0.2984,YES
0.17620000000000002,NO
0.13365,NO
0.40375,YES
0.1891,NO
0.09040000000000001,NO
0.48669999999999997,YES
0.15465,NO
0.36105,YES
0.1206,NO
0.27065,NO
0.27244999999999997,NO
0.17964999999999998,NO
0.13255,NO
0.20625,NO
0.1073,NO
0.2926,NO
0.1039,NO
0.2237,NO
0.1628,NO
0.17465,NO
0.31055,NO
0.1555,NO
0.3499,YES
0.29874999999999996,NO
0.29855,YES
0.1182,NO
0.04995,NO
0.24265,YES
0.32330000000000003,YES
0.2734,YES
0.2599,YES
0.1447,NO
0.059199999999999996,NO
0.2632,YES
0.2079,NO
0.23709999999999998,YES
0.1059,NO
0.1921,NO
0.2032,NO
0.1477,NO
0.06735,NO
0.22905,YES
0.0653,NO
0.31975,YES
0.13525,NO
0.27855,YES
0.20129999999999998,NO
0.2315,NO
0.26165,NO
0.11355000000000001,NO
0.2581,YES
0.2036,NO
0.20290000000000002,YES
0.15794999999999998,NO
0.12179999999999999,NO
0.33089999999999997,YES
0.158,NO
0.1399,NO
0.35785,YES
0.16695,NO
0.1127,NO
0.42515000000000003,YES
0.12315000000000001,NO
0.40305,YES
0.11075,NO
0.238,NO
0.16949999999999998,NO
0.11810000000000001,NO
0.12084999999999999,NO
0.1846,NO
0.11384999999999999,NO
0.2996,NO
0.08,NO
0.2142,NO
0.17195,NO
0.15465,NO
0.3197,NO
0.16810000000000003,NO
0.33140000000000003,YES
0.30115000000000003,NO
0.32,YES
0.10164999999999999,NO
0.04095,NO
0.1461,YES
0.28195000000000003,YES
0.22435,YES
0.17554999999999998,YES
0.1025,NO
0.0404,NO
0.18345,YES
0.1491,NO
0.12840000000000001,YES
0.10085,NO
0.15935,NO
0.18680000000000002,NO
0.13455,NO
0.07615,NO
0.22190000000000001,YES
0.07390000000000001,NO
0.26139999999999997,YES
0.1414,NO
0.2435,YES
0.08895,NO
0.16165000000000002,NO
0.1498,NO
0.0733,NO
0.1702,YES
0.12455,NO
0.13575,YES
0.37260000000000004,YES
0.12154999999999999,YES
0.25825,NO
0.14100000000000001,NO
0.11175,NO
0.13465,NO
0.2957,YES
0.3553,YES
0.1048,NO
0.0799,NO
0.11019999999999999,NO
0.0665,NO
0.1563,NO
0.16244999999999998,NO
0.09495,NO
0.2339,YES
0.10439999999999999,NO
0.33,YES
0.041800000000000004,NO
0.28625,YES
0.060649999999999996,NO
0.09645,NO
0.10725000000000001,NO
0.10285,NO
0.0902,NO
0.17465,NO
0.12885,NO
0.0885,NO
0.129,NO
0.07369999999999999,NO
0.33540000000000003,YES
0.2075,YES
0.17149999999999999,YES
0.35409999999999997,YES
0.14115,NO
0.07005,NO
0.4871,YES
0.12065,NO
0.34509999999999996,YES
0.08245,NO
0.27790000000000004,NO
0.20565,NO
0.15545,NO
0.11000000000000001,NO
0.1732,YES
0.10464999999999999,NO
0.29155,YES
0.116,NO
0.20629999999999998,YES
0.1491,NO
0.1567,NO
0.29335,NO
0.11895,NO
0.32215,YES
0.26675,NO
0.3396,YES
0.14595,NO
0.0638,NO
0.39585000000000004,YES
0.2605,YES
0.23174999999999998,YES
0.31915,YES
0.20735,NO
0.09445,NO
0.36605,YES
0.16804999999999998,NO
0.30265,YES
0.0986,NO
0.23965,NO
0.20045000000000002,NO
0.14145,NO
0.1154,NO
0.19285,YES
0.1101,NO
0.2548,YES
0.17335,NO
0.18655,YES
0.18814999999999998,NO
0.2019,NO
0.2924,NO
0.1262,NO
0.3258,YES
0.25275,NO
0.2649,YES
0.15415,NO
0.09505,NO
0.445,YES
0.23095,YES
0.2312,YES
0.36065,YES
0.21125,NO
0.11730000000000002,NO
0.3829,YES
0.12885,NO
0.3516,YES
0.0953,NO
0.19995,NO
0.15539999999999998,NO
0.0857,NO
0.16970000000000002,NO
0.20095,YES
0.16475,NO
0.31255,YES
0.16360000000000002,NO
0.23355,YES
0.16915,NO
0.17465,NO
0.32315,NO
0.14585,NO
0.34645000000000004,YES
0.29864999999999997,NO
0.28705,YES
0.1225,NO
0.07669999999999999,NO
0.3367,YES
0.20434999999999998,YES
0.16465,YES
0.34285,YES
0.13095,NO
0.064,NO
0.47575,YES
0.1239,NO
0.33675,YES
0.0882,NO
0.26875,NO
0.17545,NO
0.1291,NO
0.12035000000000001,NO
0.1684,YES
0.1168,NO
0.29474999999999996,YES
0.1069,NO
0.2152,YES
0.14529999999999998,NO
0.15025,NO
0.29895,NO
0.11485000000000001,NO
0.32484999999999997,YES
0.25415,NO
0.3712,YES
0.13585,NO
0.077,NO
0.1703,YES
0.3619,YES
0.29435,YES
0.22635,YES
0.13005,NO
0.06319999999999999,NO
0.2251,YES
0.19005,NO
0.163,YES
0.12205,NO
0.19824999999999998,NO
0.23670000000000002,NO
0.17145000000000002,NO
0.12945,NO
0.2526,YES
0.1256,NO
0.322,YES
0.14945,NO
0.31555,YES
0.14175,NO
0.2066,NO
0.19545,NO
0.1067,NO
0.2126,YES
0.16494999999999999,NO
0.16425,YES
0.13835,NO
0.08325,NO
0.2459,YES
0.34785,YES
0.34299999999999997,YES
0.2789,YES
0.1321,NO
0.0751,NO
0.2691,YES
0.18330000000000002,NO
0.25865,YES
0.11825000000000001,NO
0.14625,NO
0.15195,NO
0.0804,NO
0.1358,NO
0.28615,YES
0.1318,NO
0.47114999999999996,YES
0.11865,NO
0.41259999999999997,YES
0.1653,NO
0.199,NO
0.26415,NO
0.1232,NO
0.26055,YES
0.22055,NO
0.22115,YES
0.1411,NO
0.0681,NO
0.1552,NO
0.19989999999999997,NO
0.09584999999999999,NO
0.1576,NO
0.1518,NO
0.0581,NO
0.2789,NO
0.13174999999999998,NO
0.11455000000000001,NO
0.1051,NO
0.40159999999999996,YES
0.3446,YES
0.3425,YES
0.08105000000000001,NO
0.12805,NO
0.08135,NO
0.08990000000000001,NO
0.1367,NO
0.10114999999999999,NO
0.0672,NO
0.12789999999999999,NO
0.1281,NO
0.08125,NO
0.17195,NO
0.10915000000000001,NO
0.21855,NO
0.28335,YES
0.24195,YES
0.21415,NO
0.14625,NO
0.0795,NO
0.0905,NO
0.3405,YES
0.2331,YES
0.08299999999999999,NO
0.11795,NO
0.061,NO
0.1222,NO
0.1328,NO
0.15765,NO
0.10075,NO
0.34545000000000003,YES
0.08675,NO
0.2998,YES
0.0456,NO
0.32375,YES
0.08565,NO
0.1036,NO
0.0818,NO
0.1076,NO
0.07794999999999999,NO
0.13615,NO
0.09490000000000001,NO
0.0834,NO
0.0991,NO
0.0383,NO
0.17905000000000001,YES
0.3279,YES
0.30574999999999997,YES
0.21394999999999997,YES
0.10794999999999999,NO
0.042449999999999995,NO
0.2232,YES
0.14695,NO
0.17615,YES
0.10095,NO
0.1727,NO
0.18645,NO
0.13555,NO
0.05475,NO
0.24545,YES
0.0531,NO
0.36155000000000004,YES
0.126,NO
0.32425000000000004,YES
0.10275,NO
0.1453,NO
0.1763,NO
0.07445,NO
0.20455,YES
0.14604999999999999,NO
0.15985,YES
0.3943,YES
0.11065,YES
0.2502,NO
0.14135,NO
0.08410000000000001,NO
0.11285,NO
0.28900000000000003,YES
0.37985,YES
0.09015000000000001,NO
0.09285,NO
0.08285,NO
0.0859,NO
0.1368,NO
0.1511,NO
0.08865,NO
0.24860000000000002,YES
0.0952,NO
0.37115,YES
0.04365,NO
0.30735,YES
0.061149999999999996,NO
0.0765,NO
0.0989,NO
0.10319999999999999,NO
0.06684999999999999,NO
0.1618,NO
0.11025,NO
0.07935,NO
0.1462,NO
0.0722,NO
0.18395,NO
0.24105,NO
0.12245,NO
0.20945,NO
0.1392,NO
0.0758,NO
0.20865,NO
0.3245,YES
0.1596,NO
0.23764999999999997,YES
0.196,NO
0.2232,NO
0.15510000000000002,NO
0.1502,NO
0.15215,NO
0.16010000000000002,NO
0.1588,NO
0.1465,NO
0.1801,NO
0.25375,YES
0.29685,YES
0.27,YES
0.21885,YES
0.18159999999999998,NO
0.22865,YES
0.1383,NO
0.402,YES
0.12185,YES
0.2177,NO
0.1428,NO
0.0713,NO
0.09325,NO
0.25860000000000005,YES
0.3956,YES
0.08195,NO
0.09595000000000001,NO
0.06659999999999999,NO
0.08775,NO
0.133,NO
0.15605,NO
0.09580000000000001,NO
0.25475000000000003,YES
0.0833,NO
0.3986,YES
0.04525,NO
0.31584999999999996,YES
0.0728,NO
0.0693,NO
0.08375,NO
0.1036,NO
0.06459999999999999,NO
0.13715,NO
0.09405,NO
0.07715,NO
0.15539999999999998,NO
0.0699,NO
0.2086,NO
0.22155,NO
0.12664999999999998,NO
0.2254,NO
0.1758,NO
0.08725,NO
0.20025,NO
0.3089,YES
0.18435,NO
0.2804,YES
0.1974,NO
0.21095,NO
0.1387,NO
0.11985,NO
0.1516,NO
0.1203,NO
0.1329,NO
0.1572,NO
0.14435,NO
0.241,YES
0.28315,YES
0.2528,YES
0.25905,YES
0.20955000000000001,NO
0.2377,YES
0.1314,NO
