LOWERTRACED_MAX_MULTI_VSM_MEDIAN.csv,Associated
0.1593,NO
0.6870499999999999,YES
0.1153,NO
0.63035,YES
0.28304999999999997,NO
0.27225,NO
0.34845,NO
0.2666,NO
0.4294,YES
0.3141,NO
0.42269999999999996,YES
0.14265,NO
0.11785,NO
0.2361,NO
0.2506,NO
0.179,NO
0.2149,NO
0.14629999999999999,NO
0.1199,NO
0.29664999999999997,NO
0.1827,NO
0.2063,NO
0.17075,NO
0.5958,YES
0.55295,YES
0.58145,YES
0.13645000000000002,NO
0.18075,NO
0.138,NO
0.17174999999999999,NO
0.1757,NO
0.1837,NO
0.1413,NO
0.1554,NO
0.16885,NO
0.1452,NO
0.2513,NO
0.1452,NO
0.2723,NO
0.40475,YES
0.48729999999999996,YES
0.23704999999999998,NO
0.18209999999999998,NO
0.14015,NO
0.1306,NO
0.5073,YES
0.40525,YES
0.14784999999999998,NO
0.20634999999999998,NO
0.1261,NO
0.2196,NO
0.21265,NO
0.20479999999999998,NO
0.2077,NO
0.49655,YES
0.1293,NO
0.43355,YES
0.11624999999999999,NO
0.52955,YES
0.14329999999999998,NO
0.18855,NO
0.1513,NO
0.1981,NO
0.17779999999999999,NO
0.1698,NO
0.17145,NO
0.14415,NO
0.0971,NO
0.08285000000000001,NO
0.3705,YES
0.52775,YES
0.5274,YES
0.37505,YES
0.10120000000000001,NO
0.08325,NO
0.4103,YES
0.17880000000000001,NO
0.3798,YES
0.17315,NO
0.29555,NO
0.28300000000000003,NO
0.28695000000000004,NO
0.08650000000000001,NO
0.48960000000000004,YES
0.08620000000000001,NO
0.56025,YES
0.12825,NO
0.5248,YES
0.14465,NO
0.1427,NO
0.18475,NO
0.14200000000000002,NO
0.3783,YES
0.16375,NO
0.3663,YES
0.57135,YES
0.41165,YES
0.32115,NO
0.21525,NO
0.18280000000000002,NO
0.20099999999999998,NO
0.5114500000000001,YES
0.60765,YES
0.20305,NO
0.1669,NO
0.19599999999999998,NO
0.16895,NO
0.24015000000000003,NO
0.22175,NO
0.21910000000000002,NO
0.45535000000000003,YES
0.1758,NO
0.56055,YES
0.15235,NO
0.5688,YES
0.15685000000000002,NO
0.1471,NO
0.15405,NO
0.17935,NO
0.15234999999999999,NO
0.2435,NO
0.17245,NO
0.18814999999999998,NO
0.191,NO
0.16205,NO
0.16299999999999998,NO
0.24939999999999998,NO
0.18805,NO
0.17475,NO
0.16895,NO
0.17254999999999998,NO
0.2095,NO
0.3684,YES
0.1557,NO
0.36060000000000003,YES
0.30185,NO
0.31285,NO
0.30655,NO
0.19979999999999998,NO
0.19014999999999999,NO
0.212,NO
0.20765,NO
0.2327,NO
0.21694999999999998,NO
0.32380000000000003,YES
0.32865,YES
0.3415,YES
0.3588,YES
0.18235,NO
0.31095,YES
0.17295,NO
0.58885,YES
0.43265,YES
0.2445,NO
0.18255,NO
0.13585,NO
0.13724999999999998,NO
0.49085,YES
0.6332,YES
0.1507,NO
0.1547,NO
0.1356,NO
0.1555,NO
0.2003,NO
0.19065,NO
0.1902,NO
0.4713,YES
0.12975,NO
0.5978,YES
0.11979999999999999,NO
0.5871,YES
0.13435,NO
0.1246,NO
0.1236,NO
0.16445,NO
0.1348,NO
0.1747,NO
0.14095000000000002,NO
0.14179999999999998,NO
0.25934999999999997,NO
0.2189,NO
0.2812,NO
0.2333,NO
0.19565,NO
0.28425,NO
0.2647,NO
0.24315,NO
0.29464999999999997,NO
0.43995,YES
0.274,NO
0.49050000000000005,YES
0.30715,NO
0.3045,NO
0.29405,NO
0.2286,NO
0.193,NO
0.23135,NO
0.18515,NO
0.30255,NO
0.1846,NO
0.3982,YES
0.4021,YES
0.41145000000000004,YES
0.48615,YES
0.30385,NO
0.40715,YES
0.2596,NO
