NONETRACED_RFNONE_MULTI_LSA_MAX.csv,Associated
0.2381,NO
0.2647058823529411,NO
0.2352941176470588,NO
0.1997,NO
0.1653,NO
0.1536,NO
0.1999,NO
0.2352941176470588,YES
0.2045,NO
0.2447,YES
0.5588235294117647,NO
0.2036,NO
0.2033,NO
0.0533,NO
0.105,NO
0.055999999999999994,NO
0.2058823529411765,NO
0.2256,NO
0.32352941176470584,NO
0.4705882352941176,YES
0.5294117647058822,YES
0.38235294117647056,YES
0.4705882352941176,YES
0.38235294117647056,NO
0.1657,YES
0.14705882352941174,NO
0.32352941176470584,NO
0.29411764705882354,NO
0.22399999999999998,NO
0.1967,NO
0.2058823529411765,NO
0.2079,NO
0.1339,NO
0.7352941176470588,NO
0.38235294117647056,NO
0.3428,YES
0.2344,NO
0.1736,YES
0.1331,NO
0.0735,NO
0.14705882352941174,NO
0.204,NO
0.1327,NO
0.1655,NO
0.4411764705882352,NO
0.7941176470588235,NO
0.2819,NO
0.5,YES
0.38235294117647056,YES
0.4941,YES
0.32352941176470584,YES
0.193,NO
0.2673,YES
0.4117647058823529,NO
0.2058823529411765,NO
0.0769,NO
0.1953,NO
0.3529411764705882,NO
0.2047,NO
0.1823,NO
0.1684,NO
0.1204,NO
0.1751,NO
0.3579,YES
0.1828,NO
0.2352941176470588,YES
0.4411764705882352,NO
0.2041,NO
0.2007,NO
0.0498,NO
0.1415,NO
0.05882352941176471,NO
0.1207,NO
0.1912,NO
0.4705882352941176,NO
0.4038,YES
0.8823529411764705,YES
0.4117647058823529,YES
0.2675,YES
0.4117647058823529,NO
0.2003,YES
0.1176470588235294,NO
0.0727,NO
0.0714,NO
0.10800000000000001,NO
0.38235294117647056,NO
0.1427,NO
0.0855,NO
0.0605,NO
0.0532,NO
0.2058823529411765,NO
0.4397,YES
0.0607,NO
0.2347,YES
0.2118,NO
0.2048,NO
0.2045,NO
0.0849,NO
0.7058823529411764,NO
0.0824,NO
0.3529411764705882,NO
0.7941176470588235,NO
0.1518,NO
0.3372,YES
0.7058823529411764,YES
0.314,YES
0.1257,YES
0.1375,NO
0.1128,YES
0.099,NO
0.1069,NO
0.0451,NO
0.5095,YES
0.1764705882352941,YES
0.2647058823529411,YES
0.2847,YES
0.2237,NO
0.1065,NO
0.3266,YES
0.3529411764705882,NO
0.3289,YES
0.6470588235294117,NO
0.2131,NO
0.2352941176470588,NO
0.1474,NO
0.0902,NO
0.0993,YES
0.0875,NO
0.3529411764705882,YES
0.32352941176470584,NO
0.1321,YES
0.1271,NO
0.5,NO
0.3025,NO
0.12,NO
0.3399,YES
0.2516,NO
0.2352941176470588,YES
0.1799,NO
0.1764705882352941,NO
0.3595,YES
0.2156,NO
0.1535,NO
0.4159,YES
0.1827,NO
0.1097,NO
0.5448,YES
0.191,NO
0.4381,YES
0.1764705882352941,NO
0.3264,NO
0.3203,NO
0.2648,NO
0.171,NO
0.21899999999999997,NO
0.2352941176470588,NO
0.4117647058823529,NO
0.4117647058823529,NO
0.29411764705882354,NO
0.1991,NO
0.1784,NO
0.3767,NO
0.1917,NO
0.3794,YES
0.3359,NO
0.5,YES
0.0798,NO
0.1764705882352941,NO
0.2475,YES
0.2794,YES
0.2232,YES
0.6470588235294117,YES
0.1233,NO
0.0474,NO
0.2799,YES
0.2328,NO
0.5294117647058822,YES
0.1095,NO
0.2365,NO
0.2061,NO
0.2048,NO
0.1176470588235294,NO
0.1795,YES
0.05882352941176471,NO
0.27,YES
0.1224,NO
0.4117647058823529,YES
0.2397,NO
0.2111,NO
0.2935,NO
0.1155,NO
0.6176470588235293,YES
0.1959,NO
0.198,YES
0.1636,NO
0.1646,NO
0.3881,YES
0.29411764705882354,NO
0.2352941176470588,NO
0.4197,YES
0.1681,NO
0.153,NO
0.4738,YES
0.159,NO
0.493,YES
0.1456,NO
0.2244,NO
0.1542,NO
0.1277,NO
0.1775,NO
0.2106,NO
0.1654,NO
0.6470588235294117,NO
0.5,NO
0.2663,NO
0.2218,NO
0.1764705882352941,NO
0.3901,NO
0.21600000000000003,NO
0.402,YES
0.3584,NO
0.3239,YES
0.7647058823529411,NO
0.4117647058823529,NO
0.0544,YES
0.38235294117647056,YES
0.1251,YES
0.0526,YES
0.0389,NO
0.1176470588235294,NO
0.1764705882352941,YES
0.8235294117647058,NO
0.32352941176470584,YES
0.7941176470588235,NO
0.32352941176470584,NO
0.5882352941176471,NO
0.1785,NO
0.0632,NO
0.2647058823529411,YES
0.9117647058823528,NO
0.32352941176470584,YES
0.6470588235294117,NO
0.14705882352941174,YES
0.14705882352941174,NO
0.0714,NO
0.08823529411764705,NO
0.035,NO
0.2647058823529411,YES
0.05882352941176471,NO
0.0637,YES
0.3024,YES
0.05882352941176471,YES
0.3634,NO
0.8529411764705881,NO
0.8235294117647058,NO
0.1506,NO
0.2394,YES
0.3693,YES
0.1764705882352941,NO
0.38235294117647056,NO
0.1517,NO
0.5588235294117647,NO
0.7647058823529411,NO
0.16,NO
0.29411764705882354,NO
0.2058823529411765,YES
0.2058823529411765,NO
0.2419,YES
0.38235294117647056,NO
0.38235294117647056,YES
0.7941176470588235,NO
0.29411764705882354,NO
0.2647058823529411,NO
0.7647058823529411,NO
0.1193,NO
0.2177,NO
0.1764705882352941,NO
0.2647058823529411,NO
0.32352941176470584,NO
0.0672,NO
0.3068,YES
0.1154,YES
0.0802,YES
0.3166,YES
0.0868,NO
0.14705882352941174,NO
0.5456,YES
0.0938,NO
0.3771,YES
0.0765,NO
0.3042,NO
0.1867,NO
0.2024,NO
0.084,NO
0.1764705882352941,YES
0.0773,NO
0.5294117647058822,YES
0.2647058823529411,NO
0.1969,YES
0.1353,NO
0.0942,NO
0.3023,NO
0.1177,NO
0.2966,YES
0.2621,NO
0.3631,YES
0.3529411764705882,NO
0.0474,NO
0.4277,YES
0.2647058823529411,YES
0.2007,YES
0.2467,YES
0.2192,NO
0.1165,NO
0.3035,YES
0.4117647058823529,NO
0.2922,YES
0.5588235294117647,NO
0.2277,NO
0.1763,NO
0.1744,NO
0.0948,NO
0.152,YES
0.0882,NO
0.7058823529411764,YES
0.7647058823529411,NO
0.2058823529411765,YES
0.2134,NO
0.7352941176470588,NO
0.3004,NO
0.1322,NO
0.3039,YES
0.2341,NO
0.2137,YES
0.14705882352941174,NO
0.1099,NO
0.526,YES
0.7058823529411764,YES
0.1996,YES
0.3297,YES
0.22699999999999998,NO
0.2058823529411765,NO
0.3372,YES
0.7647058823529411,NO
0.3901,YES
0.1022,NO
0.1483,NO
0.0862,NO
0.29411764705882354,NO
0.3529411764705882,NO
0.32352941176470584,YES
0.1975,NO
0.5294117647058822,YES
0.5,NO
0.2514,YES
0.1754,NO
0.1301,NO
0.3619,NO
0.1715,NO
0.3452,YES
0.3259,NO
0.5,YES
0.0709,NO
0.0732,NO
0.4117647058823529,YES
0.1091,YES
0.2352941176470588,YES
0.2941,YES
0.14705882352941174,NO
0.2058823529411765,NO
0.5229,YES
0.1003,NO
0.3604,YES
0.08800000000000001,NO
0.2859,NO
0.1263,NO
0.1764705882352941,NO
0.3529411764705882,NO
0.1764705882352941,YES
0.1016,NO
0.4705882352941176,YES
0.5882352941176471,NO
0.2147,YES
0.1277,NO
0.0813,NO
0.3135,NO
0.1095,NO
0.302,YES
0.2369,NO
0.4263,YES
0.1151,NO
0.1764705882352941,NO
0.1028,YES
0.3566,YES
0.2651,YES
0.1542,YES
0.094,NO
0.0554,NO
0.2037,YES
0.1971,NO
0.1126,YES
0.1418,NO
0.2488,NO
0.2731,NO
0.2523,NO
0.1698,NO
0.32352941176470584,YES
0.2647058823529411,NO
0.2745,YES
0.4117647058823529,NO
0.2653,YES
0.1206,NO
0.1764705882352941,NO
0.1611,NO
0.1018,NO
0.152,YES
0.1186,NO
0.1207,YES
0.4411764705882352,NO
0.10300000000000001,NO
0.32352941176470584,YES
0.3285,YES
0.3624,YES
0.2593,YES
0.0981,NO
0.2647058823529411,NO
0.2917,YES
0.8235294117647058,NO
0.3039,YES
0.14705882352941174,NO
0.14705882352941174,NO
0.4117647058823529,NO
0.0702,NO
0.1825,NO
0.2937,YES
0.1772,NO
0.5728,YES
0.3529411764705882,NO
0.4594,YES
0.1677,NO
0.1461,NO
0.2985,NO
0.1348,NO
0.2479,YES
0.2298,NO
0.8235294117647058,YES
0.08900000000000001,NO
0.0394,NO
0.1381,NO
0.2108,NO
0.0676,NO
0.1176470588235294,NO
0.9117647058823528,NO
0.0435,NO
0.2592,NO
0.1291,NO
0.0785,NO
0.1176470588235294,NO
0.4225,YES
0.3368,YES
0.3938,YES
0.0766,NO
0.0711,NO
0.1764705882352941,NO
0.7647058823529411,NO
1.0,NO
0.077,NO
0.05882352941176471,NO
0.0745,NO
0.1014,NO
0.05882352941176471,NO
0.1685,NO
0.0541,NO
0.2105,NO
0.1239,YES
0.289,YES
0.8529411764705881,NO
0.4705882352941176,NO
0.14705882352941174,NO
0.0623,NO
0.32899999999999996,YES
0.7058823529411764,YES
0.7647058823529411,NO
0.38235294117647056,NO
0.1176470588235294,NO
0.38235294117647056,NO
0.2058823529411765,NO
0.1764705882352941,NO
0.7941176470588235,NO
0.3529411764705882,YES
0.0597,NO
0.3529411764705882,YES
0.3529411764705882,NO
0.4117647058823529,YES
0.14705882352941174,NO
0.6764705882352939,NO
0.1764705882352941,NO
0.3529411764705882,NO
0.0948,NO
0.1407,NO
0.0821,NO
0.3529411764705882,NO
0.0416,NO
0.029411764705882356,NO
0.1203,YES
0.2886,YES
0.2879,YES
0.38235294117647056,YES
0.0498,NO
0.0139,NO
0.32352941176470584,YES
0.1109,NO
0.4117647058823529,YES
0.1764705882352941,NO
0.1977,NO
0.1726,NO
0.1805,NO
0.0204,NO
0.2123,YES
0.14705882352941174,NO
0.8823529411764705,YES
0.14705882352941174,NO
0.2827,YES
0.0426,NO
0.1176470588235294,NO
0.1228,NO
0.0373,NO
0.1359,YES
0.14705882352941174,NO
0.1176470588235294,YES
0.3458,YES
0.2058823529411765,YES
0.7352941176470588,NO
0.8235294117647058,NO
0.32352941176470584,NO
0.107,NO
0.226,YES
0.7352941176470588,YES
0.4117647058823529,NO
0.4411764705882352,NO
0.09699999999999999,NO
0.6176470588235293,NO
0.32352941176470584,NO
0.1764705882352941,NO
0.3529411764705882,NO
0.7647058823529411,YES
0.0766,NO
0.3242,YES
0.38235294117647056,NO
0.4117647058823529,YES
0.7352941176470588,NO
0.32352941176470584,NO
0.5,NO
0.7352941176470588,NO
0.6764705882352939,NO
0.192,NO
0.14705882352941174,NO
0.32352941176470584,NO
0.1238,NO
0.1176470588235294,NO
0.0991,NO
0.2352941176470588,NO
0.0941,NO
0.1226,NO
0.0797,NO
0.2352941176470588,NO
0.1921,NO
0.2119,YES
0.08823529411764705,NO
0.1963,YES
0.24100000000000002,NO
0.263,NO
0.2504,NO
0.1414,NO
0.4705882352941176,NO
0.1658,NO
0.1333,NO
0.38235294117647056,NO
0.1519,NO
0.1227,YES
0.29411764705882354,YES
0.1581,YES
0.1927,YES
0.1378,NO
0.09699999999999999,YES
0.11900000000000001,NO
0.3612,YES
0.14705882352941174,YES
0.3529411764705882,NO
0.2058823529411765,NO
0.2058823529411765,NO
0.0678,NO
0.1652,YES
0.8235294117647058,YES
0.3529411764705882,NO
0.4411764705882352,NO
0.0645,NO
0.38235294117647056,NO
0.3529411764705882,NO
0.2058823529411765,NO
0.38235294117647056,NO
0.7352941176470588,YES
0.0528,NO
0.7058823529411764,YES
0.3529411764705882,NO
0.4117647058823529,YES
0.32352941176470584,NO
0.7352941176470588,NO
0.14705882352941174,NO
0.3529411764705882,NO
0.7352941176470588,NO
0.2058823529411765,NO
0.0804,NO
0.38235294117647056,NO
0.1422,NO
0.0613,NO
0.1484,NO
0.29411764705882354,NO
0.1025,NO
0.1545,NO
0.1529,NO
0.1098,NO
0.1753,NO
0.2058823529411765,YES
0.134,NO
0.2818,YES
0.4705882352941176,NO
0.2385,NO
0.2176,NO
0.0807,NO
0.0972,NO
0.0862,NO
0.2058823529411765,NO
0.2286,NO
0.5,NO
0.5882352941176471,YES
0.29411764705882354,YES
0.38235294117647056,YES
0.2731,YES
0.6176470588235293,NO
0.1151,YES
0.2352941176470588,NO
