UPPERTRACED_RFNONE_RAW_VSM_MEDIAN.csv,Associated
0.41095000000000004,NO
0.32575,NO
0.5126000000000001,YES
0.42795000000000005,NO
0.569,YES
0.20545000000000002,NO
0.3316,NO
0.37470000000000003,YES
0.17955,YES
0.13824999999999998,YES
0.30205,YES
0.2182,NO
0.31779999999999997,NO
0.44645,YES
0.28515,NO
0.6402,YES
0.234,NO
0.35295,NO
0.25315,NO
0.20485,NO
0.21735000000000002,NO
0.24155,YES
0.1558,NO
0.4183,YES
0.30695,NO
0.26735,YES
0.22385,NO
0.24564999999999998,NO
0.38675000000000004,NO
0.29475,NO
0.491,YES
0.38345,NO
0.65315,YES
0.33255,NO
0.11525,NO
0.1614,YES
0.3433,YES
0.54255,YES
0.2771,YES
0.22699999999999998,NO
0.0577,NO
0.25185,YES
0.23355,NO
0.1013,YES
0.19590000000000002,NO
0.3594,NO
0.31655,NO
0.33615,NO
0.3449,NO
0.5683,YES
0.36240000000000006,NO
0.35225,YES
0.3204,NO
0.34265,YES
0.24029999999999999,NO
0.28564999999999996,NO
0.29555,NO
0.15589999999999998,NO
0.22099999999999997,YES
0.2143,NO
0.16535,YES
0.33505,NO
0.12150000000000001,NO
0.237,YES
0.32925000000000004,YES
0.5912,YES
0.32965,YES
0.22905,NO
0.0696,NO
0.29585,YES
0.2268,NO
0.19695000000000001,YES
0.1921,NO
0.3074,NO
0.2318,NO
0.24509999999999998,NO
0.35125,NO
0.60185,YES
0.36860000000000004,NO
0.5014,YES
0.28959999999999997,NO
0.4397,YES
0.26385,NO
0.27805,NO
0.36424999999999996,NO
0.1724,NO
0.26895,YES
0.26990000000000003,NO
0.22225,YES
0.23950000000000002,NO
0.0747,NO
0.14405,NO
0.3504,NO
0.0688,NO
0.42285,NO
0.07815,NO
0.02175,NO
0.5446,NO
0.23455,NO
0.03925,NO
0.0526,NO
0.22625,YES
0.4234,YES
0.6519,YES
0.0533,NO
0.040549999999999996,NO
0.17985,NO
0.21155,NO
0.07755,NO
0.0885,NO
0.03315,NO
0.03725,NO
0.31570000000000004,NO
0.05205,NO
0.08925000000000001,NO
0.057050000000000003,NO
0.41025,NO
0.14195,YES
0.2045,YES
0.3926,NO
0.31765,NO
0.2807,NO
0.17615,NO
0.3445,YES
0.33245,YES
0.2884,NO
0.37095,NO
0.03165,NO
0.3242,NO
0.20805,NO
0.2102,NO
0.0881,NO
0.30374999999999996,YES
0.29985,NO
0.17075,YES
0.0718,NO
0.41675,YES
0.30385,NO
0.11315,NO
0.2209,NO
0.3077,NO
0.0924,NO
0.30035,NO
0.16105,NO
0.2897,NO
0.2958,NO
0.07655,NO
0.17015,YES
0.3093,YES
0.5539499999999999,YES
0.2647,YES
0.2049,NO
0.03695,NO
0.24995,YES
0.19045,NO
0.11445,YES
0.1748,NO
0.33385,NO
0.2663,NO
0.30025,NO
0.2702,NO
0.56115,YES
0.28990000000000005,NO
0.39180000000000004,YES
0.29695,NO
0.35135,YES
0.20129999999999998,NO
0.22435,NO
0.2764,NO
0.12365,NO
0.21294999999999997,YES
0.1954,NO
0.16094999999999998,YES
0.2529,YES
0.0732,YES
0.42865,NO
0.31275,NO
0.2853,NO
0.19849999999999998,NO
0.293,YES
0.4792,YES
0.29555,NO
0.34585,NO
0.05349999999999999,NO
0.2879,NO
0.21205000000000002,NO
0.20365,NO
0.076,NO
0.2069,YES
0.3083,NO
0.24209999999999998,YES
0.06985,NO
0.40035,YES
0.27935,NO
0.08605,NO
0.23800000000000002,NO
0.3033,NO
0.0813,NO
0.326,NO
0.1764,NO
0.28565,NO
0.2369,NO
0.06795000000000001,NO
0.14955000000000002,NO
0.2884,NO
0.32205,NO
0.1963,NO
0.21484999999999999,NO
0.30845,NO
0.29105000000000003,NO
0.23595,YES
0.08225,NO
0.19815,YES
0.35050000000000003,NO
0.3165,NO
0.3502,NO
0.1807,NO
0.20415,NO
0.2329,NO
0.19665,NO
0.1736,NO
0.31095,NO
0.24135,YES
0.19619999999999999,YES
0.23904999999999998,YES
0.30135,YES
0.2939,NO
0.22349999999999998,YES
0.2495,NO
0.2606,YES
0.0844,YES
0.39615,NO
0.3142,NO
0.27249999999999996,NO
0.1789,NO
0.2626,YES
0.49495,YES
0.28735,NO
0.34895,NO
0.03725,NO
0.28975,NO
0.20825,NO
0.2086,NO
0.08315,NO
0.21305,YES
0.2964,NO
0.26955,YES
0.07145,NO
0.40885000000000005,YES
0.29100000000000004,NO
0.07885,NO
0.22285000000000002,NO
0.30369999999999997,NO
0.07905,NO
0.30135,NO
0.1602,NO
0.28345,NO
0.24609999999999999,NO
0.06565,NO
0.17420000000000002,NO
0.26890000000000003,NO
0.32625000000000004,NO
0.21225,NO
0.25145,NO
0.3199,NO
0.28265,NO
0.22035,YES
0.10700000000000001,NO
0.2409,YES
0.3519,NO
0.30425,NO
0.3338,NO
0.15034999999999998,NO
0.2036,NO
0.1931,NO
0.17075,NO
0.18430000000000002,NO
0.2752,NO
0.2286,YES
0.1825,YES
0.22185,YES
0.34155,YES
0.32185,NO
0.23254999999999998,YES
0.2426,NO
